Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
A30991,EAKR,KAINUUN VAELLUSKALAHANKE,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.7.2009,30.12.2011,KAINUUN ETU OY,123 952,0,82 635,0,275 125,0
A30996,EAKR,Heraj‰rven Kierroksen laajennus,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,12.9.2008,31.12.2010,Kontiolahden kunta,56 580,0,28 290,0,109 160,0
A30998,EAKR,Hambulanssi - liikkuva suunhoitoyksikkˆ,÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.8.2009,31.7.2011,Savonia-ammattikorkeakoulun kuntayhtym‰,112 946,0,85 204,0,244 700,0
A31001,EAKR,Alakoulu yritystiloiksi,÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,14.5.2009,30.6.2010,Maaningan kunta,150 000,0,0,0,300 000,0
A31007,EAKR,J‰ppil‰n seudun vesiosuuskunta 2-rakennusvaihe,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,15.4.2009,31.12.2011,J‰ppil‰n seudun vesiosuuskunta,535 500,0,229 500,0,1 105 000,0
A31008,EAKR,Vuojalahden vesihuolto,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.6.2009,31.12.2010,It‰kankaan vesiosuuskunta,181 289,0,77 695,0,386 100,0
A30768,EAKR,"EAKR tekninen tuki, toimeenpano ja hallinnointi",÷stra Finland,4,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Pohjois-Karjalan maakuntaliitto,234 431,117 014,234 431,71 819,468 862,188 833
A30769,EAKR,"EAKR tekninen tuki, tiedotus ja viestint‰",÷stra Finland,4,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Pohjois-Karjalan maakuntaliitto,15 256,5 776,15 256,5 030,30 512,10 806
A30775,EAKR,DigiLounge toimintaymp‰ristˆ,÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.1.2009,31.12.2010,Savonia-ammattikorkeakoulun kuntayhtym‰,124 956,23 870,64 372,12 297,208 350,40 374
A30777,EAKR,KAINU-huonekaluteollisuuden kehitt‰mishanke,÷stra Finland,2,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.2.2009,31.1.2012,Kainuun Etu Oy,76 798,26 710,49 693,17 283,510 000,53 420
A30780,EAKR,"Tahkon matkailualueen liikenneverkon kehitt‰minen, mt 5775 kevyen liikenteen j‰rjestelyt Tahkovuoren sis‰‰ntulojaksolla, Nilsi‰",÷stra Finland,3,Trafikverket,Verksamhet pÂgÂr,2.2.2009,31.12.2009,Savo-Karjalan tiepiiri,574 900,523 411,925 100,842 247,1 500 000,1 365 658
A30781,EAKR,Rissalan tiej‰rjestelyt,÷stra Finland,3,Trafikverket,Verksamhet pÂgÂr,1.9.2008,31.12.2010,Savo-Karjalan tiepiiri,700 000,700 000,300 000,300 000,1 800 000,1 800 000
A30782,EAKR,Hiirola-Kalvitsa nopeustason noston edellytt‰m‰t investoinnit,÷stra Finland,3,Trafikverket,Verksamhet pÂgÂr,27.10.2008,31.12.2011,Ratahallintokeskus,287 000,0,213 000,0,4 600 000,0
A30785,EAKR,Rakentamiskeskus,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.1.2009,31.12.2010,Pohjois-Karjalan ammattikorkeakoulu,146 650,24 759,99 581,16 812,293 308,50 591
A30786,EAKR,Harvanj‰rven kunnostus,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2009,31.12.2011,Sonkaj‰rven kunta,100 959,1 240,47 511,583,174 983,1 823
A30787,EAKR,Mekrij‰rven bioenergian tutkimus- ja kehitysymp‰ristˆ,÷stra Finland,2,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.9.2008,31.8.2010,Joensuun yliopisto,352 580,1 720,225 420,1 100,630 000,3 820
A30789,EAKR,"Analyyttisen, nanometriluokan l‰p‰isyelektronimikroskoopin hankinta (NANOTEM-INFRA)",÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.1.2009,31.12.2011,Kuopion yliopisto,366 641,0,188 875,0,811 300,0
A30790,EAKR,Ylij‰‰m‰maiden ja aurauslumen hyˆtyk‰yttˆ- ja sijoittamisselvitys,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,30.1.2009,31.12.2009,"Kuopion kaupunki, tekninen virasto, kunnallistekninen osasto",20 944,0,9 856,0,44 000,0
A30792,EAKR,Fyysisen suorituskyvyn mittaaminen - liikkuva kalusto,÷stra Finland,2,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2009,31.12.2010,Tanhuvaaran S‰‰tiˆ,34 769,18 831,17 911,9 701,52 680,28 532
A30795,EAKR,"EAKR tekninen tuki, toimeenpano ja hallinnointi",÷stra Finland,4,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Etel‰-Savon maakuntaliitto,294 251,172 003,294 251,172 003,588 502,344 006
A30796,EAKR,"EAKR, tekninen tuki, tiedotus ja viestint‰",÷stra Finland,4,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Etel‰-Savon maakuntaliitto ,30 709,4 319,30 709,4 319,61 418,8 638
A30805,EAKR,"Oulujoen p‰‰uoman kalateiden suunnittelu ja tukitoimenpiteet, Kainuu",÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.1.2009,30.4.2011,Kainuun ymp‰ristˆkeskus,142 760,16 456,87 751,10 115,285 519,37 530
A30715,EAKR,Elokuva- ja el‰mysmatkailun kehitt‰minen Pohjois-Karjalassa,÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.12.2008,31.12.2010,Pohjois-Karjalan ammattikorkeakoulu,58 007,40 745,23 203,16 298,200 000,81 491
A30720,EAKR,Keskisen Saimaan Retkiluisteluverkosto,÷stra Finland,3,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.9.2008,31.12.2010,Savonlinnan seudun kuntayhtym‰,119 124,16 070,46 326,6 249,248 175,33 479
A30728,EAKR,Kuhmon t‰rkeiden pohjavesialueiden riskien hallinta,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.2.2009,30.11.2010,Kuhmon kaupunki,54 210,10 754,27 105,5 377,108 420,21 774
A30730,EAKR,Kest‰v‰n kehityksen ja ilmastovastuullisuuden nykytila sek‰ kehitt‰mistarpeet Kainuussa - Esiselvitys Kainuun kest‰v‰n kehityksen koordinointi- ja viestint‰hankkeen taustaksi,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.2.2009,31.8.2009,"Lˆnnrot-instituutti, Kajaanin yliopistokeskus, Oulun yliopisto",14 414,0,8 648,0,28 828,0
A30731,EAKR,Korjausrakentamisen varaosapankki,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.12.2008,31.12.2009,Paltamon kunta,16 340,0,9 840,0,32 680,0
A30732,EAKR,DIGIEKO,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.1.2009,31.10.2009,"Oulun yliopisto, Mittalaitelaboratorio",24 892,0,17 424,0,42 316,0
A30733,EAKR,Ekoterminen koelaitos yhdyskuntalietteiden rakeistamiseen,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,30.10.2008,31.12.2009,Kainuun j‰tehuollon kuntayhtym‰,179 974,137 371,71 989,54 948,359 947,274 742
A30734,EAKR,Tyˆkalu kemikaaliturvallisuuteen liittyv‰‰n riskien arviointiin,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.1.2009,31.7.2011,Kainuun Etu Oy,207 440,0,0,0,222 440,0
A30507,EAKR,Savonlinnan matkustajasataman kehitt‰minen,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.9.2008,30.6.2010,Savonlinnan kaupunki,354 780,0,131 220,0,2 207 000,0
A30514,EAKR,WELLMOVING Liikuntateknologian mittaustekniikoiden tutkimustoiminnan kehitt‰minen,÷stra Finland,2,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.1.2008,31.12.2010,Measurepolis Development Oy,144 000,0,16 000,0,360 000,0
A30515,EAKR,Kainuun tutkimus- ja innovaatioymp‰ristˆn kehitt‰minen - Welliving,÷stra Finland,2,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.1.2008,31.12.2010,Measurepolis Development Oy,96 000,0,14 000,0,240 000,0
A30516,EAKR,Savonrannan vierasvenesatama,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.6.2008,31.12.2009,Savonlinnan kaupunki,115 182,0,42 818,0,450 000,0
A30520,EAKR,"Myyv‰ ja pys‰ytt‰v‰ ymp‰ristˆ, Kuortin palvelu-ja teollisuusalueen ymp‰ristˆn kohentaminen",÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.9.2008,31.3.2010,Pertunmaan kunta,65 700,0,24 300,0,247 000,0
A30524,EAKR,Hein‰veden matkailu 2013,÷stra Finland,3,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.10.2008,31.12.2010,Hein‰veden kunta,84 060,0,32 690,0,140 100,0
A30527,EAKR,Voimavuodet - S‰hkˆiset terveyspalvelut,÷stra Finland,3,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.4.2008,31.3.2011,Mikkelin ammattikorkeakoulu Oy,229 690,79 795,102 926,35 757,430 265,155 481
A30533,EAKR,VYYT - Prosessi- ja energia-alojen yritysten kilpailukyvyn ja osaamisen lis‰‰minen yliopistojen ja korkeakoulujen avulla,÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.3.2008,31.12.2010,Savonia-ammattikorkeakoulun kuntayhtym‰,318 523,94 469,41 837,12 408,614 254,126 377
A30534,EAKR,Ymp‰rivuorokautisen kotihoidon kehitt‰minen seudullisena verkostoyhteistyˆn‰,÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.8.2008,31.12.2010,Pohjois-Karjalan ammattikorkeakoulu,153 150,108 761,82 800,31 959,517 750,182 206
A30535,EAKR,Ik‰neuvola Ruori- Ik‰‰ntyvien neuvolamallin k‰ynnistys ja pilotointi,÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.9.2008,31.12.2010,Joensuun kaupunki / sosiaali- ja terveystoimi,89 550,88 500,62 685,25 323,324 300,133 911
A30538,EAKR,Patruunapolun kunnallistekniikan rakentaminen,÷stra Finland,3,Norra Savolax fˆrbund,Verksamhet pÂgÂr,27.2.2008,31.12.2009,Lepp‰virran kunta,163 837,153 008,0,0,327 674,306 016
A30539,EAKR,Tietomalli-investoinnit,÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.6.2008,31.12.2010,Savonia-ammattikorkeakoulun kuntayhtym‰,86 327,28 268,44 472,3 444,146 362,35 978
A30543,EAKR,Hiirolan alueen vesihuoltoverkosto,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,10.3.2008,30.6.2010,Vesiosuuskunta Vesihiisi,292 890,163 480,161 710,90 260,707 155,253 740
A30544,EAKR,Oulu-Kajaani kehitt‰misvyˆhyke 2009-2010,÷stra Finland,3,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.1.2009,30.4.2010,Pohjois-Pohjanmaan liitto,40 345,13 757,40 345,13 757,115 270,39 306
A30551,EAKR,Tekninen tuki EAKR -toimenpideohjelma,÷stra Finland,4,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Kainuun maakunta -kuntayhtym‰,160 396,93 434,160 396,93 434,320 792,186 868
A30560,EAKR,VArhainen MUkaantulo (VAMU) ik‰ihmisen arjessa -projekti,÷stra Finland,3,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.9.2008,30.6.2011,"Kuopion kaupunki, sosiaali- ja terveyskeskus",373 799,58 732,46 201,7 259,600 000,94 273
A30561,EAKR,"PAIKALLINEN TIETOYHTEISKUNTA JA UUDISTUVAT VERKOTTUNEET YHTEIS÷T PIELISEN KARJALAN ALUEKEHITYKSESSƒ, VALUE -PROJEKTI, vaihe 1",÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.8.2008,30.4.2010,Pielisen Karjalan kehitt‰miskeskus Oy,176 255,118 523,77 255,38 095,386 650,223 740
A30566,EAKR,It‰-Suomen EAKR-toimenpideohjelman hallinnointi,÷stra Finland,4,Arbets- och n‰ringsministeriet,Verksamhet pÂgÂr,1.1.2008,31.12.2013,Tyˆ- ja elinkeinoministeriˆ/AKY/RAPO,568 702,150 233,568 702,68 234,3 980 904,218 467
A30569,EAKR,"Kuvansinjoen teollisuusalueen kunnallistekniikan rakentaminen, vaihe 1",÷stra Finland,3,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.8.2008,30.6.2010,Varkauden kaupunki / Tekninen virasto,50 000,0,0,0,100 000,0
A30570,EAKR,"Kuvansinjoen teollisuusalueen kunnallistekniikan rakentaminen, vaihe 2",÷stra Finland,3,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.1.2009,30.6.2010,Varkauden kaupunki / Tekninen virasto,24 392,0,0,0,48 784,0
A30571,EAKR,"LIVE, Learning and innovative environment",÷stra Finland,2,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.5.2008,31.12.2009,Joensuun yliopisto,166 602,97 628,92 098,43 936,323 400,176 967
A30572,EAKR,"Hallinnollinen tekninen tuki, Etel‰-Savon ymp‰ristˆkeskus",÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.1.2007,31.12.2013,Etel‰-Savon ymp‰ristˆkeskus,60 800,45 962,60 800,45 962,369 800,91 924
A30573,EAKR,"Pohjavesien suojeluohjelma, It‰-Suomi",÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.1.2009,31.12.2012,Etel‰-Savon ymp‰ristˆkeskus,125 354,23 899,39 212,7 476,274 700,41 835
A30585,EAKR,It‰-Suomen EAKR-ohjelman tiedotus,÷stra Finland,4,Arbets- och n‰ringsministeriet,Verksamhet pÂgÂr,1.1.2008,31.12.2013,"Tyˆ- ja elinkeiniministeriˆ, AKY/RAPO",105 060,30 900,105 060,11 980,735 420,42 880
A30587,EAKR,Yritysosaston EAKR:n tekninen tuki,÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.2.2008,31.12.2013,Pohjois- Savon TE- keskus,137 254,39 307,137 254,39 307,584 500,78 614
A30590,EAKR,Teknologian kehitt‰misosaston EAKR:n tekninen tuki,÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2008,31.12.2013,Pohjois-Savon TE-keskus,121 717,38 790,121 717,38 790,515 000,77 580
A30596,EAKR,"It‰-Suomen EAKR-toimenpideohjelma, hallinnointi/PKA",÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.1.2008,31.12.2011,Pohjois-Karjalan ymp‰ristˆkeskus/tutkimus seuranta ja ymp‰ristˆtietoisuus,116 864,56 186,116 864,56 186,233 728,112 372
A30603,EAKR,"Tekninen tuki EAKR It‰-Suomi, Hallinnointi OLH Sivistys",÷stra Finland,4,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.1.2007,31.12.2013,"Oulun l‰‰ninhallitus, sivistysosasto",83 434,46 473,84 775,47 601,402 209,94 074
A30606,EAKR,EAKR Tekninen tuki,÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.1.2007,31.12.2013,"Kainuun elinkeino-, liikenne- ja ymp‰ristˆkeskus",90 195,85 228,90 955,62 703,870 460,147 931
A30611,EAKR,It‰-Suomen hallinnollinen tekninen tuki vuosille 2007-2013 (menoluokka 85),÷stra Finland,4,Miljˆministeriet,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Ymp‰ristˆministeriˆ,49 880,39 379,49 880,39 379,99 760,78 758
A30612,EAKR,It‰-Suomen muu tekninen tuki vuosina 2007-2013 (menoluokka 86),÷stra Finland,4,Miljˆministeriet,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Ymp‰ristˆministeriˆ,9 000,9 000,9 000,9 000,18 000,18 000
A30616,EAKR,EAKR Tekninen tuki,÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.1.2007,31.12.2013,Kainuun TE-keskus,2 265,858,2 285,866,25 550,1 724
A30620,EAKR,Hallinnollinen tekninen tuki EAKR -toimenpideohjelma,÷stra Finland,4,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Pohjois-Savon liitto,538 525,254 372,538 525,254 372,2 490 700,508 744
A30621,EAKR,Tiedotus ja viestint‰ EAKR -toimenpideohjelma,÷stra Finland,4,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Pohjois-Savon liitto,38 125,19 632,38 125,19 632,169 800,39 264
A30622,EAKR,Mobiilihoiva turvallisen kotihoidon tukena,÷stra Finland,3,Sˆdra Savolax landskapsfˆrbund,Verksamhet pÂgÂr,1.5.2008,31.5.2010,Mikkelin Ammattikorkeakoulu Oy,310 011,57 251,126 624,23 384,522 585,98 024
A30635,EAKR,"It‰-Suomen EAKR-toimenpideohjelma, hallinnollinen tekninen tuki PSA",÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax",Verksamhet pÂgÂr,1.1.2007,31.12.2013,Pohjois-Savon ymp‰ristˆkeskus,83 563,28 410,83 563,28 410,532 600,56 820
A30637,EAKR,"Tekninen tuki EAKR, hallinnointi, ISLH / SIV",÷stra Finland,4,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.3.2008,31.12.2013,"It‰-Suomen l‰‰ninhallitus, Sivistysosasto ",229 265,81 965,229 265,81 965,1 308 530,163 930
A30640,EAKR,Tervan tie - matkailutiehanke,÷stra Finland,3,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.1.2009,31.12.2009,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu,53 740,22 630,23 208,7 259,59 590,47 386
A30643,EAKR,It‰-Suomen EAKR-ohjelman tietohallinto,÷stra Finland,4,Arbets- och n‰ringsministeriet,Verksamhet pÂgÂr,1.1.2008,31.12.2013,Tyˆ- ja elinkeinoministeriˆ,270 599,115 087,270 599,115 087,1 519 532,230 174
A30647,EAKR,Kainuun EAKR-tietohallinto,÷stra Finland,4,Arbets- och n‰ringsministeriet,Verksamhet pÂgÂr,1.1.2008,31.12.2013,Tyˆ- ja elinkeinoministeriˆ,94 198,8 034,94 198,8 034,796 487,16 068
A30651,EAKR,"Tekninen tuki EAKR, hallinnointi, ISLH / STO",÷stra Finland,4,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.1.2008,31.12.2013,"It‰-Suomen l‰‰ninhallitus, Sosiaali- ja terveysosasto ",9 080,7 209,9 080,7 209,309 260,14 418
A30653,EAKR,EAKR-ohjelmakoordinaattori,÷stra Finland,4,Samkommunen fˆr landskapet Kajanaland,Verksamhet pÂgÂr,1.10.2007,31.12.2013,Kainuun maakunta -kuntayhtym‰,76 781,90 616,78 122,92 560,323 863,183 176
A30655,EAKR,Pilkko - Huhmarinen vesihuoltohanke,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.11.2008,31.12.2010,Polvij‰rven kunta,599 900,101 929,199 948,33 976,1 999 619,339 764
A30659,EAKR,Bioenergiaosaamisen tuotteistaminen liiketoiminnaksi,÷stra Finland,2,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.8.2008,31.7.2010,Pohjois-Karjalan ammattikorkeakoulu,66 008,30 078,26 508,10 883,195 000,57 466
A30669,EAKR,"It‰-Suomen EAKR-toimenpideohjelma, hallinnointi/KAI",÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Kajanaland",Verksamhet pÂgÂr,1.1.2008,31.12.2013,Kainuun ymp‰ristˆkeskus,46 769,34 861,48 110,36 202,227 000,71 063
A30671,EAKR,"EAKR-tekninen tuki Etel‰-Savon TE-keskus, hallinto",÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.1.2008,31.12.2013,Etel‰-Savon TE-keskus,169 500,91 660,169 500,91 660,1 161 000,183 320
A30673,EAKR,"EAKR tekninen tuki Etel‰-Savon TE-keskus, viestint‰",÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.1.2008,31.12.2013,Etel‰-Savon TE-keskus,10 000,1 582,10 000,1 582,60 000,3 164
A30677,EAKR,EAKR tekninen apu - hallinnointi,÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.1.2007,31.12.2013,Pohjois-Karjalan TE-keskus,127 500,65 704,127 500,45 590,1 960 418,111 294
A30678,EAKR,EAKR tekninen apu - tiedotus,÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.1.2007,31.12.2013,Pohjois-Karjalan TE-keskus,4 000,388,4 000,388,20 000,776
A30692,EAKR,Taitokorttelin jatkohanke,÷stra Finland,2,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2009,31.7.2011,Taito Pohjois-Karjala ry,35 000,28 519,35 000,10 490,146 335,39 009
A30693,EAKR,Ortodoksisen kulttuurikeskuksen k‰ynnist‰mis- ja markkinointihanke,÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2008,31.12.2010,Ortodoksisen kulttuurin s‰‰tiˆ,59 500,0,59 500,0,166 600,0
A30694,EAKR,"Ortodoksisen kulttuurikeskuksen k‰ynnist‰mis- ja markkinointihanke,investoinnit",÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2008,31.12.2010,Ortodoksisen kulttuurin s‰‰tiˆ,5 500,0,5 500,0,14 000,0
A30695,EAKR,It‰-Suomen Monitoimikeskus,÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.12.2008,31.12.2011,Keski-Karjalan Kehitysyhtiˆ Oy,114 000,15 281,54 000,7 238,342 000,30 559
A30701,EAKR,Kolin kansallispuiston toiminta- ja palvelukeskus - Arkkitehtuurikilpailu,÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.9.2008,31.1.2010,Lieksan kaupunki,56 000,0,42 000,0,112 000,0
A30702,EAKR,Pakkaprojekti  (investointihanke),÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2009,30.4.2010,Esitt‰v‰n taiteen tila ry,16 000,4 467,9 000,1 268,32 000,7 341
A30703,EAKR,Pakkaprojekti (kehitt‰mishanke),÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.1.2009,30.4.2010,Esitt‰v‰n taiteen tila ry,48 500,22 647,35 500,16 577,97 000,41 753
A31009,EAKR,Pohjois-Juvan vesihuolto,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,12.6.2009,31.10.2010,Juvan kunnta,92 175,0,39 504,0,175 572,0
A31013,EAKR,"Muu tekninen tuki, Etel‰-Savon ymp‰ristˆkeskus",÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax",Verksamhet pÂgÂr,1.1.2007,31.12.2013,Etel‰-Savon ymp‰ristˆkeskus,2 200,2 194,2 200,2 194,16 400,4 388
A31017,EAKR,FinlandLakeland Online globaali e-kauppapaikka- ja matkailumyynnin kehitt‰mis- ja edist‰mishanke,÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.9.2009,31.8.2011,Kuopion Matkailupalvelu Oy,261 300,0,112 465,0,897 299,0
A31019,EAKR,Tiedotus ja viestint‰,÷stra Finland,4,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.6.2009,31.12.2009,"Pohjois-Karjalan ymp‰ristˆkeskus/Tutkimus, seuranta ja ymp‰ristˆtietoisuus",3 000,2 722,3 000,2 722,6 000,5 444
A31023,EAKR,"EAKR - ohjelmien arviointi, It‰-Suomen osuus",÷stra Finland,4,Arbets- och n‰ringsministeriet,Verksamhet pÂgÂr,1.1.2007,31.12.2013,Tyˆ- ja elinkeinoministeriˆ/AKY/RAPO,56 283,15 682,56 283,0,262 654,15 682
A31028,EAKR,Ylimaakunnallisella yhteistyˆll‰ potkua kest‰vien energiaratkaisuiden ja osaamisen vientiin ja kansainv‰listymiseen - Wenet Centre,÷stra Finland,2,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.5.2009,30.4.2011,Joensuun Seudun Kehitt‰misyhtiˆ Josek Oy,72 833,0,40 684,0,414 330,0
A31029,EAKR,Hyv‰‰ palvelua arjessa tieto- ja viestint‰teknologiaa hyˆdynt‰en,÷stra Finland,3,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.11.2009,30.11.2011,Lieksan kaupunki,160 416,0,74 594,0,428 210,0
A31031,EAKR,Tulkkauspalvelujen koulutuksen ja toimintaedellytysten kehitt‰mishanke,÷stra Finland,2,Norra Karelens landskapsfˆrbund,Verksamhet pÂgÂr,1.11.2009,31.10.2011,Joensuun yliopisto,120 000,0,80 000,0,235 000,0
A31050,EAKR,Kest‰v‰ Koli,÷stra Finland,3,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen",Verksamhet pÂgÂr,1.5.2009,31.12.2011,"Mets‰hallitus, Etel‰-Suomen Luontopalvelut, Vaara-Karjalan puistoalue",37 000,0,35 000,0,111 000,0
A31062,EAKR,Energiatekniikan k‰yttˆ- ja kunnossapidon uusien mittausmenetelmien kehitysymp‰ristˆ,÷stra Finland,2,Norra Savolax fˆrbund,Verksamhet pÂgÂr,1.9.2009,31.8.2010,Savonia-ammattikorkeakoulun kuntayhtym‰,73 380,0,56 620,0,147 000,0
