,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A536621,EAKR,Profilointilinjojen tuotekehitys ja ohjelmistohankinnat,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,2.10.2007,31.12.2010,AJV-MACHINE OY,22 800,0,34 200,0,57 000,0
A536624,EAKR,Kierrätyskeskuksen nykyaikaistaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,2.10.2007,31.3.2009,PAJARILAN AUTOPURKAAMO OY,55 000,49 122,82 500,73 682,137 500,122 804
A536336,EAKR,Käyttöomaisuushankinnat,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,5.9.2007,31.8.2009,SUBREERINGSIMO NYRÖNEN,2 000,2 000,3 000,3 000,5 000,5 000
A536370,EAKR,Kromaamon perustaminen Padasjoelle,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,4.9.2007,30.5.2009,SPECIAL CHROME OY,29 860,25 882,44 790,38 824,74 650,64 706
A536391,EAKR,Suomalaisia puurunkotaloja Puolaan,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,1.12.2007,30.11.2009,PL-RAKENNUTTAJA,5 960,4 493,8 940,6 742,14 900,11 235
A536405,EAKR,Taivutuskapasiteetin tehostaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,7.9.2007,31.12.2008,PELTISEPÄNLIIKE KOSKINEN OY,4 800,3 035,7 200,4 553,12 000,7 588
A536442,EAKR,Tuotannolliset koneet,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,12.9.2007,1.10.2008,PADASPUU OY,7 000,7 000,10 500,10 500,17 500,17 500
A536453,EAKR,Robottityösolu,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,13.9.2007,31.12.2008,VOLAR PLASTIC OY,10 240,8 222,15 360,12 334,25 600,20 556
A536471,EAKR,Toiminnanohjausjärjestelmä,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,17.9.2007,31.5.2010,HOTELLI KUMPELI OY,6 200,1 974,9 300,2 962,15 500,4 936
A536065,EAKR,Teknologialla tuloksiin.,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,1.1.2008,30.6.2009,TURUN AMMATTIKORKEAKOULU,19 200,15 490,28 800,23 236,48 000,38 726
A536070,EAKR,Rimoitusteknologian kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,17.8.2007,31.3.2009,HERRALAN SAHA OY,27 200,27 200,40 800,40 800,68 000,68 000
A536103,EAKR,Tuotannonohjausjärjestelmä,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,2.8.2007,31.3.2008,ALUSAL OY,2 400,1 993,3 600,2 990,6 000,4 983
A536117,EAKR,Naulauslinjan hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,21.8.2007,30.12.2007,TEOLLISUUSPOHJA OY,2 720,2 720,4 080,4 080,6 800,6 800
A536144,EAKR,Liikettä massojen talveen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,16.8.2007,15.8.2009,MATTI JÄRVINEN SPORT OY,10 960,4 229,16 440,6 343,27 400,10 572
A536153,EAKR,Lasermerkkauslaitteen hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,23.8.2007,30.6.2008,LMP-MERKKAUS OY,4 456,4 456,6 684,6 684,11 140,11 140
A536154,EAKR,Menetelmien ja sovellusten kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,23.8.2007,31.7.2009,MEDIAMAESTRO OY,14 000,14 000,21 000,21 000,35 000,35 000
A536155,EAKR,Sahauskapasiteetin lisääminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,23.8.2007,1.1.2009,REDSON OY,22 240,22 240,33 360,33 360,55 600,55 600
A536172,EAKR,Hautomoyrityksen perustaminen 1.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.9.2007,31.8.2008,ARTPIX,1 480,1 095,2 220,1 643,3 700,2 738
A536177,EAKR,Puhdistuslaite,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,24.8.2007,31.5.2009,FINNENCO OY,2 800,2 498,4 200,3 746,7 000,6 244
A536238,EAKR,Tuotantolaiteinvestointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,28.8.2007,23.12.2008,AMROY EUROPE OY,3 012,3 012,4 518,4 518,7 530,7 530
A536628,EAKR,Kansainvälistyminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,4.10.2007,31.5.2009,HK-KONE OY,15 610,4 096,23 416,6 144,39 026,10 240
A536629,EAKR,Tuotantokapasiteetin kasvattaminen koneita ja laitteita lisäämällä,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,3.10.2007,31.12.2008,RAUCELL OY,4 800,1 626,7 200,2 438,12 000,4 064
A536641,EAKR,Perhetyön kehittämishanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,4.10.2007,31.3.2010,KIVIRANTA KODIT OY,26 200,16 334,39 300,24 501,65 500,40 835
A536649,EAKR,Tuotteiden ja tuotantomenetelmien kehittäminen ja liiketoiminnan kansainvälistäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,5.10.2007,31.7.2010,METEHE OY,129 200,79 646,193 800,119 470,323 000,207 166
A536667,EAKR,Triotec Oy:n konekannan lisääminen tuotannon kasvattamiseksi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,3.10.2007,30.6.2009,TRIOTEC OY,6 985,2 873,10 477,4 309,17 462,7 182
A536728,EAKR,Kehittämisohjelman läpivieminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,10.10.2007,30.9.2009,CALORTEC OY,24 000,24 000,36 000,36 000,60 000,60 000
A536739,EAKR,Hautaeko ja Pöytäeko,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,16.10.2007,15.10.2009,EKOFINLAND OY,6 400,6 400,9 600,9 600,16 000,16 000
A536740,EAKR,Uusien yritysten perustamisneuvonta,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,1.1.2008,31.12.2009,LAHDEN ALUEEN UUSYRITYSKESKUS RY,141 143,88 984,82 257,66 627,410 300,220 426
A536746,EAKR,investoinnit,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,17.10.2007,31.12.2009,SUOMEN VALOPALKKI OY AB,8 960,7 241,13 440,10 862,22 400,18 103
A536754,EAKR,Uusien markkinoiden kartoitus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,16.10.2007,31.12.2015,GRANITE DEVELOPMENT OY,0,0,0,0,0,0
A536786,EAKR,Poraus/tapinlyöntiautomaatti,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,23.10.2007,31.5.2008,JUSAPLAST OY,2 380,2 380,3 570,3 570,5 950,5 950
A536795,EAKR,Kauneuskoulu Kouvolaan,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,23.10.2007,30.6.2009,HIUSTROPIIKKI OY,12 800,12 349,19 200,18 523,32 000,30 872
A536796,EAKR,investoinnit,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,23.10.2007,1.9.2008,MESSUMAINOS OY LAHTI,2 156,2 130,2 744,2 712,4 900,4 842
A536802,EAKR,Tuotannon kehittämishanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,24.10.2007,30.6.2009,TENMARK SERVICE OY,3 736,3 736,5 604,5 604,9 340,9 340
A536812,EAKR,Arkituslaitoksen perustaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,23.10.2007,31.10.2010,JOUTCON OY,186 020,182 526,279 030,273 789,465 050,456 315
A536819,EAKR,Liiketoiminnan stratergian kehittämisprojekti.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,25.10.2007,30.11.2008,COMPUTEC OY,0,0,0,0,0,0
A536858,EAKR,Särmäyspuristin,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,30.10.2007,30.10.2008,MATKUN TERÄSRAKENTEET OY,7 600,7 600,11 400,11 400,19 000,19 000
A536872,EAKR,Kartonkirullien sahaus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,30.10.2007,30.9.2009,KARJALAN PAPERI,6 960,0,10 440,0,17 400,0
A536873,EAKR,Tuotannonohjausjärjestelmä.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,30.10.2007,30.6.2008,TAITOMUOVI OY,13 900,12 514,20 850,18 772,34 750,31 286
A537020,EAKR,Ohjelmistokehityshanke.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,15.11.2007,30.11.2008,A J SOFTAT OY,4 200,3 785,6 300,5 678,10 500,9 463
A537041,EAKR,Aksiaalivuokone tuotetehdas,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,19.11.2007,31.5.2010,AXCO-MOTORS OY,26 000,0,39 000,0,65 000,0
A537064,EAKR,Työstökoneinvestointi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,22.11.2007,30.9.2009,IMATRAN TERÄSVALMISTE OY,21 600,18 798,32 400,28 197,54 000,46 995
A537083,EAKR,Jälkiuunineppareiden markkinoiden avaus Ruotsiin.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,26.11.2007,30.6.2008,SINUHE KY,7 552,6 660,11 328,9 990,18 880,16 650
A537091,EAKR,Sterilointilaitteen testituotteen valmistusmenetelmän kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,27.11.2007,30.11.2008,CLINICHEM OY LTD,2 220,2 220,3 330,3 330,5 550,5 550
A537099,EAKR,Kansainvälistyminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,28.11.2007,30.6.2008,YMPÄRISTÖKONSULTOINTI HYÖTYVISIO OY,0,0,0,0,0,0
A537110,EAKR,Markkinointi-ja viestintäpalvelujen tarjoaminen yrityksille,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.12.2007,30.11.2008,IDONEA MARKKINOINTI & VIESTINTÄ,1 232,1 219,1 568,1 552,2 800,2 771
A536901,EAKR,Koneinvestoinnit,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.11.2007,31.12.2015,DARATEK OY,0,0,0,0,0,0
A536929,EAKR,Uusiokäyttö,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,5.11.2007,31.10.2009,TL-PLAST OY,10 900,6 427,16 350,9 642,27 250,16 069
A536939,EAKR,Kansainvälistymisen kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,1.1.2008,31.10.2009,MIRADORE OY,24 800,0,37 200,0,62 000,0
A536940,EAKR,Taloushallinnon kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,1.4.2008,31.3.2010,MIRADORE OY,8 400,0,12 600,0,21 000,0
A536952,EAKR,"Maalaamo, putkivarasto, ilmanvaihto, hitsaus",Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,8.11.2007,30.11.2009,RIIHIMÄEN METALLIKALUSTE OY,26 891,16 898,42 059,26 429,68 950,43 327
A536959,EAKR,Uuden avainhenkilön palkkaus,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,8.11.2007,31.1.2009,FINNOLINK OY,9 600,6 800,14 400,10 200,24 000,17 000
A536981,EAKR,Tehdaslaajennus ja teknologiatason nosto,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,6.11.2007,30.6.2011,HYDORING OY,55 500,0,83 250,0,138 750,0
A536984,EAKR,Särmäyskoneen hankinta ym.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,8.11.2007,31.12.2009,LASERKESKUS OY,15 000,13 668,22 500,20 501,37 500,34 169
A535830,EAKR,Logistiikan tilaushallintajärjestelmä.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,27.7.2007,30.11.2008,PLUS KAKS KULJETUS OY,15 100,6 691,22 650,10 036,37 750,16 727
A535831,EAKR,Tuotantokapasiteeetin lisäys,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,27.7.2007,30.9.2008,KASLINK FOODS OY,49 938,49 938,74 907,74 907,124 845,124 845
A535841,EAKR,Uuden tuoteryhmän viennin aloittaminen.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.1.2008,30.4.2009,YPAP OY,14 400,12 350,21 600,18 525,36 000,30 875
A535873,EAKR,Pinnoituslinja,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,3.8.2007,31.3.2010,FINNESTER COATINGS OY,7 080,4 418,10 620,6 626,17 700,11 044
A535919,EAKR,Toimitilojen ja tuotannon laajentaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,2.8.2007,31.12.2008,KULJETINTEKNIIKKA OY,30 000,29 975,45 000,44 962,75 000,74 937
A535939,EAKR,Hylsynkierrätyspalveluyksikön perustaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,3.8.2007,31.7.2009,OY CORE HANDLING LTD,32 400,10 591,48 600,15 886,81 000,26 477
A535980,EAKR,CNC-sorvin hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,13.8.2007,30.6.2008,TMI HANNU HELLGREN,5 760,5 760,8 640,8 640,14 400,14 400
A536001,EAKR,Pintaliitosladonnan kapasiteetin lisääminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,14.8.2007,30.9.2008,JOPACO ELECTRONICS OY,5 400,5 400,8 100,8 100,13 500,13 500
A535678,EAKR,Aasat Oy kokonaistoimittajaksi,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,28.6.2007,30.6.2009,AASAT OY,4 200,0,6 300,0,10 500,0
A535680,EAKR,Työkonehuoltoyrityksen perustaminen.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,2.7.2007,31.3.2008,H&H TYÖKONEHUOLTO OY,600,546,900,820,1 500,1 366
A535698,EAKR,Toiminnan aloittaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,3.7.2007,28.2.2009,AMBULATOR OY,0,0,0,0,0,0
A535713,EAKR,Tuotekehityshanke,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,5.7.2007,31.12.2015,RITMACON OY,0,0,0,0,0,0
A535727,EAKR,Tuotannon kehittämisinvestoinnit,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,6.7.2007,30.6.2010,LS LAATUSEINÄ OY,26 308,13 166,39 462,19 748,65 770,32 914
A535728,EAKR,Jäysteenpoiston räjäytysuuni,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,6.7.2007,30.8.2008,KONEPAJA SEPPO SUOMI OY,42 000,42 000,63 000,63 000,105 000,105 000
A535731,EAKR,Tuotantotason nosto,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,6.7.2007,31.10.2010,HOTSHRINK FINLAND OY,26 000,3 895,39 000,5 842,65 000,9 737
A535735,EAKR,Leveänauhahiomakone,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,9.7.2007,30.3.2008,PUUANTTI OY,1 760,1 760,2 640,2 640,4 400,4 400
A535750,EAKR,Aloitushankinnat ja toiminnan kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,9.7.2007,31.3.2009,UUNINMITTAUS MARTTI HÄKLI OY,2 000,2 000,3 000,3 000,5 000,5 000
A535768,EAKR,Liiketoiminnan tehostaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,10.7.2007,30.6.2009,FINNISH WATER GROUP OY,20 600,20 600,30 900,30 900,51 500,51 500
A535771,EAKR,Ohutlevykeskuksen perustaminen,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamhet pågår,11.7.2007,31.12.2010,UUDENKAUPUNGIN KAUPUNKI,27 200,0,40 800,0,283 350,0
A535807,EAKR,Yksilöllisyys,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,17.7.2007,30.6.2009,MISA OY,0,0,0,0,0,0
A535819,EAKR,Tuotannon tehostamisinvestointi.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,24.7.2007,30.12.2008,TEKNO-FOREST OY,10 400,10 400,15 600,15 600,26 000,26 000
A535554,EAKR,Laserlinjauslaitteisto,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,20.6.2007,31.3.2008,OY SCALAR LTD,2 440,1 774,3 660,2 661,6 100,4 435
A535559,EAKR,Kone- ja laitehankinnat,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,20.6.2007,30.6.2009,MILLMAN OY,0,0,0,0,0,0
A535580,EAKR,Remontti Wep,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,25.6.2007,31.12.2007,HÄMEEN LÄHIÖKUNNOSTAJAT OY,2 100,2 100,3 150,3 150,5 250,5 250
A535581,EAKR,Ripaputken valmistuskoneen hankinta,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,25.6.2007,31.12.2008,TERMOPOINT OY,2 000,2 000,3 000,3 000,5 000,5 000
A535582,EAKR,hautomotuki- ja käynnistystuki,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.7.2007,31.12.2015,SUOMEN PIHARAKENNE OY,0,0,0,0,0,0
A535604,EAKR,Utö Havshotel,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,20.6.2007,31.12.2008,OY SSL HOLDING AB,89 800,88 395,134 700,132 590,224 500,220 985
A535611,EAKR,Liiketoiminnan kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,26.6.2007,30.8.2008,SALTARELLO OY,6 196,5 421,9 294,8 133,15 490,13 554
A535612,EAKR,Liiketoiminnan kansainvälistäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,26.6.2007,31.12.2008,PEMCO OY,9 240,6 146,13 860,9 218,23 100,15 364
A535672,EAKR,Viennin kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,1.7.2007,31.10.2008,GYMSTICK INTERNATIONAL OY,22 080,20 086,33 120,30 130,55 200,50 216
A537983,EAKR,Kokonaistuottavuuden nostaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,8.2.2008,30.3.2009,METSI OY,18 330,16 442,28 670,25 717,47 000,42 159
A537986,EAKR,Tuotantolinjan uudistaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,11.2.2008,30.6.2009,KROMIPINTA OY,35 200,35 200,52 800,52 800,88 000,88 000
A538047,EAKR,Markkinoinnin ja markkinointia tukevien toimintojen ja järjestelmien kehittäminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamheten har upphört,13.2.2008,12.2.2009,FLY LAPPEENRANTA OY,3 492,1 000,5 238,1 500,8 730,2 500
A538051,EAKR,Mekatroniikan kasvu-urat Päijät-Häme,Södra Finland,2,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,1.2.2008,31.12.2009,LAHDEN ALUEEN KEHITTÄMISYHTIÖ OY LAKES,80 000,32 739,50 000,20 460,200 000,76 399
A538053,EAKR,Liiketoiminnan laajentaminen,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamhet pågår,13.2.2008,31.12.2009,PP-METAL OY,5 376,0,8 064,0,13 440,0
A538061,EAKR,"Näringslivsutveckling i Houtskär, Korpo och Iniö.",Södra Finland,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland, företagsstöd",Verksamheten har upphört,1.4.2008,31.12.2008,LÄNSI-TURUNMAAN KAUPUNKIVÄSTÅBOLANDS STAD,14 000,9 796,21 000,14 694,35 000,24 490
A538133,EAKR,Annostusjärjestelmien ja -laitteistojen teknologian kehitysohjelma,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,19.2.2008,30.4.2010,JAUHETEKNIIKKA OY KOTKA,14 484,0,21 726,0,36 210,0
A538153,EAKR,Tuotannon kehittämisinvestoinnit,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Tavastland, företagsstöd",Verksamheten har upphört,19.2.2008,31.12.2008,MUOVIRINNE OY,15 704,13 270,23 556,19 905,39 260,33 175
A538162,EAKR,Kone- ja laiteinvestoinnit.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,20.2.2008,30.3.2011,ATPLAST OY,11 100,0,16 650,0,27 750,0
A538164,EAKR,Rakennusinvestoinnit.,Södra Finland,1,"Närings-, trafik- och miljöcentralen i Sydöstra Finland, företagsstöd",Verksamhet pågår,20.2.2008,30.3.2011,KIINTEISTÖ OY KAUSALAN KYMENRANNANTIE 8,12 900,9 343,19 350,14 015,32 250,23 358
