,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A31036,EAKR,Kurikka Uuteen Nousuun,Västra Finland,1,Södra Österbottens förbund,Verksamhet pågår,1.10.2009,30.9.2011,Kurikan kaupunki,44 730,0,44 730,0,197 260,0
A31038,EAKR,Rakenne- ja verkostosuunnittelija BoWer-hankkeeseen,Västra Finland,2,Österbottens förbund,Verksamhet pågår,1.8.2009,31.12.2011,Vaasan kaupunki / kaupunkisuunnittelu ,32 500,0,32 500,0,210 000,0
A31039,EAKR,OptiInno,Västra Finland,2,Österbottens förbund,Verksamhet pågår,1.9.2009,31.8.2012,Optima samkommun,64 578,0,64 047,0,362 566,0
A31040,EAKR,Silta työpajainvestoinnit,Västra Finland,4,Birkalands förbund,Verksamhet pågår,1.11.2009,30.4.2010,Silta-Valmennusyhdistys ry,43 007,0,32 823,0,108 330,0
A31042,EAKR,Tekninen tuki 2009,Västra Finland,5,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.1.2009,31.12.2009,Keski-Suomen ympäristökeskus,10 000,10 000,10 000,10 000,20 000,20 000
A31045,EAKR,KASVA 3,Västra Finland,1,Mellersta Finlands förbund,Verksamhet pågår,1.10.2009,31.3.2011,Jyväskylä Innovation Oy,150 000,0,230 000,0,765 000,0
A31053,EAKR,Iståndsättning av Kilviken,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,4.9.2009,31.12.2011,Sideby skifteslag,35 000,0,37 000,0,209 000,0
A31058,EAKR,Kulturmiljöprogram för Närpes,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.10.2009,31.3.2012,Närpes stad,48 000,0,48 000,0,120 000,0
A31066,EAKR,LOS:n hallinnollinen tekninen tuki 2007-2009,Västra Finland,5,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.1.2008,31.12.2010,Lounais-Suomen ympäristökeskus,20 770,2 271,20 770,2 271,41 540,4 542
A31067,EAKR,Tampereen seudun Ilmankos - yhdessä toimien ilmaston puolesta,Västra Finland,4,Birkalands förbund,Verksamhet pågår,20.10.2009,30.6.2012,Ekokumppanit Oy,75 278,0,53 487,0,415 386,0
A31068,EAKR,LOS:n muu tekninen tuki 2007-2009,Västra Finland,5,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.1.2008,31.12.2010,Lounais-Suomen ympäristökeskus,10 813,2 196,10 813,2 196,21 626,4 392
A31070,EAKR,Koordinaatio,Västra Finland,5,Undervisningsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Opetusministeriö,33 074,4 030,33 074,4 030,161 149,8 060
A31074,EAKR,Tiedotus ja viestintä,Västra Finland,5,Undervisningsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Opetusministeriö,3 832,0,3 832,0,7 665,0
A31081,EAKR,Hyypänjoen luonnonmukainen kunnostus,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.7.2009,1.7.2011,Hyypän kyläseura ry/ Hyypänjokilaakson maisemanhoitokunta,9 500,0,15 700,0,45 000,0
A31082,EAKR,"VPK-talot, Pori",Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.12.2009,18.12.2010,Porin Vapaaehtoinen Palokunta ry,54 400,0,54 400,0,136 000,0
A31083,EAKR,Seniorwest,Västra Finland,1,Södra Österbottens förbund,Verksamhet pågår,1.12.2009,30.11.2010,Kurikan Tuulikello Oy,33 530,0,33 530,0,81 430,0
A31084,EAKR,"Valkeakosken kansallinen kaupunkipuisto, perustamisselvitys",Västra Finland,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,15.9.2009,15.5.2010,Valkeakosken kaupunki,17 460,0,13 860,0,63 000,0
A31085,EAKR,Virontörmänkadun kehittäminen,Västra Finland,4,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,15.11.2009,31.8.2011,Virontörmän Lämpö Oy,66 080,0,43 920,0,145 200,0
A31087,EAKR,ESSI Länsi-Suomen energiaomavaraisuusohjelma,Västra Finland,2,Österbottens förbund,Verksamhet pågår,1.9.2009,31.8.2012,"Levón-instituutti, Vaasan yliopisto",110 000,0,110 000,0,320 000,0
A31088,EAKR,Maa- ja järvilämmön käyttö aluerakennuskohteessa,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.11.2009,31.12.2011,Verte Oy,45 000,0,35 000,0,160 000,0
A31089,EAKR,Yhdistelmärakennepiloteilla aurinkoenergiasta liiketoimintaa,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.10.2009,31.8.2011,Prizztech Oy,91 000,0,91 210,0,260 300,0
A31091,EAKR,Kahden ajan maailmanperinnöt,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.1.2010,31.12.2012,Rauman kaupunki,67 768,0,51 722,0,170 700,0
A31093,EAKR,Hyvinvointialan Living Lab,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.9.2009,31.8.2011,Porin Seudun Kehittämiskeskus Oy Posek,212 000,0,212 571,0,530 715,0
A31094,EAKR,Pirkanmaan uudet palvelukonseptit,Västra Finland,4,Birkalands förbund,Verksamhet pågår,1.1.2010,31.12.2012,Pirkanmaan Yrittäjät ry,62 976,0,55 104,0,443 460,0
A31098,EAKR,Tekninen oppimisympäristö 2009,Västra Finland,2,Österbottens förbund,Verksamhet pågår,1.6.2009,31.12.2011,"Vaasan kaupunki/Vaasan aikuiskoulutuskeskus päätoteuttaja, Vaasan ammattiopisto osatoteuttaja",5 673,0,5 809,0,582 180,0
A31105,EAKR,Perinnesatama kulttuurikohteena,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.12.2009,31.12.2011,Perinnelaivayhdistys Ihana ry,115 280,0,122 920,0,377 800,0
A31113,EAKR,OPI ENEMPI - Oppimisympäristö uusista energia- ja ympäristöteknologioista,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.9.2009,30.10.2011,Tampereen kaupunki - Tampereen ammattikorkeakoulu,133 358,0,101 782,0,376 834,0
A31115,EAKR,Kuhajärven pohjoispään kunnostamishanke,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,15.10.2009,31.12.2010,Kuortaneen kunta,72 000,0,28 800,0,180 000,0
A31116,EAKR,The Land of the Rising Stones II,Västra Finland,3,Österbottens förbund,Verksamhet pågår,1.1.2010,31.12.2011,Pohjanmaan Matkailu - Österbottens Turism ry,21 000,0,21 000,0,120 000,0
A31122,EAKR,Ruokaketjun sivutuotteiden hyödyntäminen,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.3.2010,31.8.2012,Satafood Kehittämisyhdistys ry,120 315,0,71 260,0,232 626,0
A31123,EAKR,Energy Gateway - Innostusta tekniikan opintoihin,Västra Finland,2,Österbottens förbund,Verksamhet pågår,1.10.2009,30.9.2011,Teknologiakeskus Oy Merinova Ab,33 635,0,33 635,0,142 073,0
A31127,EAKR,Kullaan vedet - kunnostus ja käyttö,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Egentliga Finland",Verksamhet pågår,1.2.2010,31.12.2012,Ulvilan kaupunki,85 330,0,39 830,0,170 660,0
A31129,EAKR,Tampere yhdessä -pienhankkeet,Västra Finland,4,Birkalands förbund,Verksamhet pågår,1.6.2009,31.7.2010,Tampereen kaupunki,8 645,0,6 916,0,22 230,0
A30305,EAKR,Bioenergialiiketoiminnan kehittäminen -kokonaispalvelut- Biometalli,Västra Finland,1,Mellersta Finlands förbund,Verksamhet pågår,4.1.2008,30.4.2011,Kehittämisyhtiö Keulink Oy,161 000,58 638,138 763,15 979,402 788,113 677
A30310,EAKR,Sähköisen asioinnin kehittäminen erikoissairaanhoidon palveluprosesissa (SÄKE),Västra Finland,2,Österbottens förbund,Verksamhet pågår,1.5.2008,30.4.2011,"Vaasan sairaanhoitopiiri, Vaasan keskussairaala",72 050,17 416,72 050,17 416,501 800,58 336
A30311,EAKR,"ILMALAB - Ilmanlaadun ja päästöjen mittaus- ja mallinnuslaboratorio, erityisalana nanohiukkaset",Västra Finland,2,Mellersta Finlands förbund,Verksamhet pågår,4.1.2008,31.8.2010,Jyväskylän yliopisto,111 208,31 158,96 792,27 119,277 334,128 277
A30313,EAKR,Tulevaisuuden biopolttoainekattilan T&K-ympäristö,Västra Finland,2,Mellersta Finlands förbund,Verksamhet pågår,1.4.2008,30.9.2009,"Valtion teknillinen tutkimuskeskus, VTT / Bioenergia osaamiskeskus",139 415,30 753,132 585,29 246,347 000,59 999
A30323,EAKR,Liiketoimintaosaamisen kehittäminen eteläisen Keski-Suomen kärkiklustereissa,Västra Finland,2,Mellersta Finlands förbund,Verksamhet pågår,1.2.2008,31.12.2010,Jyväskylän seudun kehittämisyhtiö Jykes Oy,275 700,51 383,295 300,55 035,1 214 700,140 888
A30330,EAKR,KaupunginOsa (KaOs) -projekti,Västra Finland,4,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,18.1.2008,31.3.2009,Tampereen kaupunki/ Yhdyskuntatuotanto/ Suunnittelupalvelut,40 000,33 081,40 000,33 081,160 000,132 325
A30335,EAKR,Uudistuvat koneet ja laitteet klusterin pohjoisen Keski-Suomen kärkiohjelma 2008-2010,Västra Finland,2,Mellersta Finlands förbund,Verksamhet pågår,1.5.2008,31.12.2010,Saarijärven Seudun Yrityspalvelu Oy,109 160,32 930,81 870,24 698,272 900,82 326
A30339,EAKR,Kinnulan tie- ja liittymäjärjestelyt,Västra Finland,3,Trafikverket,Verksamhet pågår,1.6.2008,30.11.2009,Keski-Suomen tiepiiri,130 000,67 100,120 000,40 260,500 000,214 720
A30352,EAKR,"Haja-asutusalueiden jätevesien järjestäminen, suunnittelu- ja neuvontahanke, Kauhava",Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,15.5.2008,31.12.2013,Kauhavan kaupunki,42 900,1 687,23 100,908,110 000,4 325
A30357,EAKR,PROJEKTERING AV ÖPPEN DIGITAL INFRASTRUKTUR I SYDÖSTERBOTTEN,Västra Finland,2,Österbottens förbund,Verksamhet pågår,1.6.2008,31.12.2009,Närpes stad,22 400,0,22 400,0,64 000,0
A30361,EAKR,"Farlederna i Björkö skede III, Korsholm",Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.6.2007,31.12.2009,Västra Finlands miljöcentral,24 000,22 238,20 000,18 531,60 000,55 561
A30368,EAKR,Bäckmanin talo,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.6.2008,31.12.2010,Sastamalan kaupunki / tilakeskus,172 800,10 572,131 700,7 929,609 000,37 003
A30373,EAKR,Keski-Suomen kärkielinkeinot,Västra Finland,1,Mellersta Finlands förbund,Verksamhet pågår,15.11.2007,31.12.2010,Keski-Suomen liitto,550 000,255 542,440 000,100 425,1 470 000,557 187
A30378,EAKR,Automaation ja robotiikan kehittämishanke,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.7.2008,30.6.2011,Länsi-Pirkanmaan koulutuskuntayhtymä,66 150,35 490,44 415,23 829,352 800,94 400
A30383,EAKR,Poweri-oppimisympäristö,Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.8.2008,31.5.2011,Seinäjoen koulutuskuntayhtymä,62 964,17 876,55 536,15 767,288 000,45 464
A30384,EAKR,LTO- Liiketoimintaosaamisen kehittäminen pohjoisen Keski-Suomen avainklustereissa -kehittämisohjelma,Västra Finland,2,Mellersta Finlands förbund,Verksamhet pågår,1.5.2008,31.12.2010,Kehittämisyhtiö Witas Oy,150 160,27 140,192 435,3 158,375 400,40 133
A30385,EAKR,JaMet -hanke,Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.9.2008,30.6.2009,Järviseudun ammatti-instituutti ( Jami ),56 215,56 215,49 134,49 134,141 598,141 598
A30386,EAKR,Kirjan keskus,Västra Finland,3,Birkalands förbund,Verksamhet pågår,1.6.2008,31.12.2010,Vammalan kaupunki / tilakeskus,280 679,18 993,249 571,16 888,1 227 300,47 842
A30388,EAKR,Sedimenttilämmön kartoittaminen ja hyödyntäminen,Västra Finland,1,Österbottens förbund,Verksamhet pågår,20.3.2008,30.6.2010,Teknologiakeskus Oy Merinova Ab,52 500,6 479,52 500,6 479,250 000,18 512
A30390,EAKR,"Kyyjärven kunnan jätevedenpuhdistamo, siirtoviemäri, Koskiniemen pumppaamon saneeraus",Västra Finland,3,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,19.11.2007,30.6.2009,Kyyjärven kunta,541 000,541 000,110 000,110 000,1 418 000,1 341 822
A30393,EAKR,UUSTEKNO 2008-2010,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.7.2008,31.12.2010,Valkeakosken seudun koulutuskuntayhtymä,274 365,53 302,225 635,43 835,1 054 195,160 876
A30394,EAKR,"5-akselisen numeerisen sorvauksen oppimisympäristö, ""MAX5""",Västra Finland,2,Birkalands förbund,Verksamhet pågår,6.8.2008,31.5.2010,Tampereen Aikuiskoulutussäätiö/Tampereen Aikuiskoulutuskeskus,214 380,32 909,325 620,49 986,540 000,82 895
A30396,EAKR,Nykälänniemen kanavan suunnittelu,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.6.2008,31.12.2009,Lappajärven kunta,7 800,0,5 000,0,20 000,0
A30412,EAKR,Langaton Tampereen kaupunkiseutu ja palvelut,Västra Finland,4,Birkalands förbund,Verksamhet pågår,1.4.2008,31.12.2009,Tampereen kaupunki,90 000,60 914,60 000,20 679,300 000,182 093
A30414,EAKR,Nanoteknologia optoelektroniikassa,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.10.2008,31.3.2011,TTY-säätiö / Optoelektroniikan tutkimuskeskus,111 242,53 345,111 241,53 344,660 562,164 138
A30415,EAKR,P2B - Plastics to Business,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.1.2008,31.12.2010,TTY-Säätiö,136 320,78 086,85 200,48 804,516 000,200 126
A30416,EAKR,HITECH SUUTARI,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.9.2008,29.5.2009,Pohjois-Satakunnan Aikuiskoulutuskeskus,59 079,32 166,58 121,31 229,147 700,72 869
A30417,EAKR,Purjelaiva kulttuurikohteena,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.7.2008,30.6.2011,Perinnelaivayhdistys Ihana ry,59 400,37 991,70 100,44 834,326 688,101 825
A30428,EAKR,"ARVI, Ammattiosaamisen ja yritysyhteistyön vahvistaminen graafisella alalla",Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.10.2008,30.9.2011,Länsirannikon Koulutus Oy/WinNova,68 594,42 968,52 891,39 452,255 750,127 881
A30432,EAKR,Älykkäät yritys- ja liikuntaympäristöt,Västra Finland,3,Mellersta Finlands förbund,Verksamhet pågår,1.9.2008,31.12.2010,Jyväskylän seudun kehittämisyhtiö Jykes Oy,113 600,11 253,111 400,11 035,284 200,28 173
A30440,EAKR,Jämsän palveluiden kehittäminen toimintaa parantavin tiejärjestelyin,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.9.2007,31.8.2010,Jämsän kaupunki,620 000,472 925,0,0,1 790 000,1 366 835
A30442,EAKR,Ympäristöohjelmasopimuksen koordinointihanke,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.1.2008,31.12.2013,Länsi-Suomen ympäristökeskus,46 800,37 534,63 200,50 658,370 000,95 965
A30444,EAKR,"Torakkakankaan pohjavesialueen kunnostus, vaihe ll",Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,19.11.2007,30.11.2008,Ähtärin kaupunki,29 016,22 805,18 228,14 326,74 400,58 475
A30450,EAKR,"Tuotantoalueiden saavutettavuuden parantaminen, Jämsänkoski",Västra Finland,3,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.9.2009,31.12.2010,"Tiehallinto, Keski-Suomen tiepiiri",143 930,0,145 070,0,867 000,0
A30451,EAKR,"Yritystoiminnan kasvun, kansainvälistymisen ja verkostoitumisen kehittämishanke (TEKA)",Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.1.2009,31.12.2011,Etelä-Pohjanmaan korkeakouluyhdistys ry,34 000,3 182,26 000,2 433,210 000,19 656
A30455,EAKR,Terveyttä metsästä,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.10.2008,30.9.2011,"Metsäntutkimuslaitos, Parkanon toimintayksikkö",72 800,63 125,67 200,0,331 000,90 179
A30456,EAKR,VETO Etelä-Pirkanmaan vetovoimaisuuden kehittäminen,Västra Finland,3,Birkalands förbund,Verksamhet pågår,1.6.2008,31.5.2011,Valkeakosken Seudun Kehitys Oy,152 500,15 934,152 500,15 934,441 700,46 186
A30457,EAKR,INTO-Verkosto: Yritysten innovaatioedellytysten sekä kehitys- ja tutkimustoiminnan tehostaminen Pirkanmaalla,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.2.2008,31.12.2010,TTY-säätiö,166 385,37 948,121 763,27 771,762 755,114 894
A30464,EAKR,Laihianjoen tulvasuojelusuunnitelman ja ympäristölupahakemuksen loppuunsaattaminen,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.8.2008,31.12.2010,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus",20 400,0,16 600,0,51 000,0
A30475,EAKR,Konseptijohtamisen tutkimus- ja innovatiohanke,Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.1.2009,31.12.2011,Etelä-Pohjanmaan korkeakouluyhdistys ry,51 300,4 917,38 700,3 709,240 000,23 004
A30476,EAKR,Metallirakentamisen tutkimuskeskuksen kehittämishanke,Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.1.2009,31.12.2013,Etelä-Pohjanmaan korkeakouluyhdistys ry,84 000,15 737,60 000,0,650 000,28 414
A30477,EAKR,Elintarvikkeiden kuluttamisen tutkimushanke (HALA),Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.1.2009,31.12.2011,Etelä-Pohjanmaan korkeakouluyhdistys ry,33 600,3 542,26 400,2 783,210 000,22 142
A30479,EAKR,Elintarvikeketjujen turvallisuuden edistäminen Etelä-Pohjanmaalla,Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.1.2009,31.12.2012,Etelä-Pohjanmaan korkeakouluyhdistys ry,28 318,9 875,21 362,2 676,286 000,36 140
A30481,EAKR,Rytmimusiikin tutkimus- ja kehittämishanke (RYTKE),Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.1.2009,30.4.2012,Etelä-Pohjanmaan korkeakouluyhdistys ry,34 200,4 964,25 800,3 745,313 000,27 289
A30484,EAKR,Luontomatkailun edellytysten parantaminen Merenkurkun saariston maailmanperintöalueella  - Förbättrande av naturturismens förutsättningar i världsarvet Kvarkens skärgård (FENIKS III),Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,18.4.2008,31.12.2010,"Metsähallitus, Pohjanmaan luontopalvelut",132 800,29 538,132 700,29 960,332 000,74 373
A30485,EAKR,Elintarvikekehityksen tutkimus ja kehittäminen Etelä-Pohjanmaalla,Västra Finland,2,Södra Österbottens förbund,Verksamhet pågår,1.1.2009,31.7.2013,Etelä-Pohjanmaan korkeakouluyhdistys ry,68 000,8 480,52 000,6 484,425 230,22 812
A30491,EAKR,Kinnulan Saarensalmen loma-asuntoalueen kunnallistekniikan rakentaminen,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,15.9.2008,30.11.2009,Kinnulan kunta,203 770,140 420,206 230,142 115,1 230 118,848 454
A30492,EAKR,Keski-Suomen kansainvälinen matkailun markkinointihanke,Västra Finland,1,Mellersta Finlands förbund,Verksamhet pågår,1.5.2008,31.7.2010,Jyväskylän Seudun Kehittämisyhtiö Jykes Oy,129 000,51 258,84 700,33 655,323 700,137 756
A30496,EAKR,Simulaatio-opetus metsäkoneenkuljettajakoulutuksen tukena 2 (JATKOSIMU),Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.10.2008,30.9.2009,"Tampereen ammattiopisto, Kuru",19 632,18 142,18 444,17 044,49 450,45 696
A30264,EAKR,Puettavan teknologian innovaatiot,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2013,Kankaanpään kaupunki,94 375,0,75 625,0,560 000,0
A30265,EAKR,"Bioteknologian, mikrobiologian, ympäristöteknologian ja vesiensuojelun tutkimusyksikkö",Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.6.2007,31.12.2010,Satafood Kehittämisyhdistys ry,91 140,57 323,68 860,43 310,331 872,144 387
A30266,EAKR,Elintarviketalouden ja vesiensuojelun innovaatiorakenteiden ja -osaamisen vahvistaminen Satakunnassa,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2010,Pyhäjärvi-instituutti,47 332,13 128,47 332,13 128,189 328,52 513
A30268,EAKR,Selkämeren teemavuosi,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2009,"Turun yliopisto, Merenkulkualan koulutus- ja tutkimuskeskus (MKK)",61 000,29 841,26 900,13 159,121 000,59 550
A30269,EAKR,Satakunnan historian jatkokirjoittaminen,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2013,Porin kaupunki/Satakunnan Museo,37 500,0,15 000,0,280 000,0
A30270,EAKR,Alueellinen kilpailukyky (Innovaatioiden ja uuden teknologian kehittäminen),Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.6.2007,30.6.2009,Pohjois-Satakunnan Kehittämiskeskus Oy,30 000,8 960,10 000,2 986,75 000,20 411
A30271,EAKR,Seudullinen kilpailukykyohjelma,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,2.7.2007,30.9.2009,Porin Seudun Kehittämiskeskus Oy POSEK,120 000,86 920,0,0,240 000,173 841
A30272,EAKR,Rauman Seudun Kilpailukykyohjelma,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.11.2007,31.12.2009,Rauman Seudun Kehitys Oy,80 000,80 000,0,0,158 050,159 386
A30273,EAKR,Innovaatioiden synty ja leviäminen elintarviketuotannossa,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.9.2007,30.9.2009,Pyhäjärvi-instituutti,27 630,27 630,26 970,26 970,78 000,75 141
A30274,EAKR,CMS MBA in Marine Industry,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2009,"Turun yliopisto, Merenkulkualan koultus- ja tutkimuskeskus",35 000,32 535,25 000,22 535,120 000,110 141
A30275,EAKR,Villilän uudet markkinat ja tuotantopalvelut - hanke,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.10.2009,Porin Seudun Kehittämiskeskus Oy,60 000,0,0,0,120 000,0
A30276,EAKR,Teema,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2010,Satakunnan ammattikorkeakoulu,142 090,45 004,33 910,25 590,313 000,90 580
A30277,EAKR,Vähäx valottaa -lasten ja nuorten valokuvafestivaali,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2008,Porin lastenkulttuurikeskus - Satakunnan lastenkulttuuriverkosto,31 250,31 250,20 750,20 750,61 500,61 500
A30278,EAKR,Innogeo,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.7.2007,31.5.2009,"Porin kaupunki, tekninen palvelukeskus",35 000,23 563,10 000,6 732,70 000,30 295
A30279,EAKR,Fuusioituneen palvelutuotannon johtaminen kunnissa 2008-2010; KUNTAPALVELUJEN FUUSIO,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2010,"Turun kauppakorkeakoulu, Porin yksikkö",66 500,22 433,50 435,11 807,290 100,48 914
A30280,EAKR,Ulkosuomalaiset - NettiTV,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,15.1.2008,31.12.2009,Siirtolaisuusinstituutti,115 400,114 866,40 000,40 000,155 400,154 866
A30281,EAKR,Etnisen Yhdenvertaisuuden Edistäminen Satakunnassa,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2008,Porin kaupungin kulttuuritoimi,32 700,29 995,0,0,65 400,59 991
A30282,EAKR,Kulttuuritapahtumat maakunnan vetovoimatekijänä,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2008,Porin kaupunki,50 000,0,0,0,100 000,0
A30284,EAKR,Luovan sektorin kehittäminen Satakunnassa,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.1.2008,30.10.2009,Rauman Seudun Kehitys Oy,42 000,40 581,8 000,7 729,71 649,69 729
A30285,EAKR,Selkämeren rannikon matkailutiehanke,Västra Finland,3,Satakundaförbundet,Verksamhet pågår,1.5.2008,31.10.2010,Turun yliopisto/Kulttuurituotannon ja maisemantutkimuksen laitos,68 600,43 536,27 440,17 414,170 000,87 072
A30286,EAKR,T&K: Kansainvälisen monitieteisen täydennyskoulutuksen suunnitteluhanke,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.4.2008,31.3.2010,"Tampereen teknillinen yliopisto, Porin yksikkö",50 200,14 814,38 280,11 307,126 400,37 316
A30296,EAKR,Liikuntamatkailun kansainvälistäminen Keski-Suomessa,Västra Finland,2,Mellersta Finlands förbund,Verksamhet pågår,1.1.2008,28.2.2010,"Luonto-, liikunta- ja nuorisomatkailukeskus Piispala",109 480,35 012,101 120,32 339,288 126,108 933
A30300,EAKR,Vapon Pellettilämpöyrittäjä,Västra Finland,1,Mellersta Finlands förbund,Verksamhet pågår,1.6.2008,31.12.2009,Vapo Oy,70 000,0,56 620,0,126 620,0
A30301,EAKR,Töysän pohjavesialueiden suojelusuunnitelma,Västra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,18.9.2007,31.5.2009,Töysän kunta,19 800,19 624,9 900,9 812,49 500,49 060
A30303,EAKR,Keuruun osaamisverkosto esiselvitys,Västra Finland,2,Mellersta Finlands förbund,Verksamhet pågår,12.3.2008,31.3.2010,Kehittämisyhtiö Keulink Oy,74 200,38 470,75 800,39 300,212 150,112 261
A30222,EAKR,BCC - Biomittausten tutkimus- ja teknologiakehitys,Västra Finland,2,Birkalands förbund,Verksamhet pågår,1.3.2008,31.12.2010,TTY-säätiö,190 752,53 059,135 534,37 700,594 171,168 900
A30056,EAKR,Magneettiteknologiakeskus,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.12.2011,Prizztech Oy Magneettiteknologiakeskus,219 700,188 209,160 300,130 775,1 077 130,437 765
A30057,EAKR,VTT:n yksikön perustaminen Poriin,Västra Finland,2,Satakundaförbundet,Verksamhet pågår,1.1.2008,31.8.2009,Porin kaupunki,50 000,0,8 300,0,166 600,0
