,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A536323,EAKR,Gemilo Oy:n hautomotuki,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,1.9.2007,30.11.2008,GEMILO OY,13 428,13 247,20 142,19 870,33 570,33 117
A536325,EAKR,Ketterä liiketoimintaprosessi,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,30.8.2007,31.8.2008,MODULIGHT OY,41 284,31 087,61 926,46 630,103 210,155 434
A536326,EAKR,"Pixact Oy, yrityksen alkuvaiheen toimintamenot",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,1.9.2007,31.8.2008,PIXACT OY,14 490,13 582,14 490,13 579,28 980,27 161
A536655,EAKR,Konekannan monipuolistaminen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,3.10.2007,31.12.2010,RAUMAN TYÖKALUVALMISTUS OY,52 740,40 387,79 110,60 580,131 850,100 967
A536656,EAKR,Liimapuutehtaan tuotannon jalostusasteen nostaminen.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,4.10.2007,31.3.2009,ARKTOS GROUP LTD OY,18 000,9 539,27 000,14 309,45 000,23 848
A536662,EAKR,Kokoonpanotuotanto.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,8.10.2007,31.12.2015,WELLQUIP OY,0,0,0,0,0,0
A536670,EAKR,ProMIl sotilasambulanssikalusteiden kansainvälistäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamhet pågår,8.10.2007,8.10.2010,FRESTEMS OY,31 800,21 027,47 700,31 540,79 500,52 567
A536690,EAKR,Vientimarkkinoiden kartoitus,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamheten har upphört,9.10.2007,30.6.2009, PUUTALOKYMPPI OY,4 950,2 080,7 550,3 173,12 500,5 253
A536699,EAKR,GENU2008,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,11.10.2007,13.2.2009,LASER GAS OY,4 556,4 556,4 555,4 555,9 111,9 111
A536705,EAKR,"XS-osien valmistuslinja nosturin teräosien polttoleikkaus-, särmäys- ja hitsauslinja",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,11.10.2007,31.1.2009,LÄNSIHYDRO OY,34 300,31 320,51 450,46 980,85 750,78 300
A536709,EAKR,Lasinjalostustehtaan perustaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,12.10.2007,31.12.2015,TAMGLASS LASINJALOSTUS OY,0,0,0,0,0,0
A536710,EAKR,Investointiohjelma 2007-2008,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,12.10.2007,31.7.2008,CARPINO OY,58 500,58 115,58 500,58 114,117 000,116 229
A536715,EAKR,Tuotannon tarjonnan laajentaminen ja palvelukyvyn parantaminen investoimalla automaattikoneisiin,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,12.10.2007,30.10.2008,A. REPONEN OY,23 435,23 435,23 435,23 435,46 870,46 870
A536724,EAKR,Vientivalmiuksien kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamhet pågår,15.10.2007,31.12.2008,WATER GROUP LTD OY,6 199,6 199,9 299,9 299,15 498,15 498
A536738,EAKR,Forge 2008,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,12.10.2007,31.12.2008,KOMAS MALIRA OY,176 475,176 475,176 475,176 475,352 950,352 950
A536745,EAKR,Yrityksen kehittämiseen ja tuotekehitykseen liittyvät investoinnit,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,17.10.2007,31.12.2015,JOMPPA-TUOTE KYJORMA NURMENNIEMI,0,0,0,0,0,0
A536773,EAKR,Koneinvestointi.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,19.10.2007,31.12.2008,EVETCO KY,52 800,52 800,79 200,79 200,132 000,132 000
A536777,EAKR,"Liiketoimintakauppa, kone- ja laitehankinnat",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,22.10.2007,31.10.2009,HARMONIA KALUSTE OY,5 490,3 448,12 510,7 858,18 000,11 306
A536789,EAKR,Uuden sukupolven tuotantojärjestelmät,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamhet pågår,22.10.2007,31.12.2009,METECO OY,100 200,78 451,233 800,183 052,334 000,261 503
A536799,EAKR,"Akaa-Steel Oy:n laiteinvestoinnit, arkituslinja ja sen käyttöön liittyvät koneet",Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,21.8.2007,31.12.2008,AKAA STEEL OY,49 600,47 754,74 400,71 632,124 000,119 386
A536808,EAKR,Mobilt modulbaserat Intranet med e-faktureringskompabilitet.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Österbotten, företagsstöd",Verksamheten har upphört,18.10.2007,31.5.2009,OY CREAMARKETING AB,9 636,9 302,8 894,8 587,18 530,17 889
