"Koodi","Rahasto","Projektin nimi","Ohjelma / osio","Tl","Viranomainen","Toiminnan tila","Aloituspvm","Päättymispvm","Toteuttajan nimi","Myönnetty,EU-rahoitus","Toteutunut,EU-rahoitus","Myönnetty,valtion,rahoitus","Toteutunut,valtion,rahoitus","Suunniteltu,julkinen,rahoitus,yhteensä","Toteutunut,julkinen,rahoitus,yhteensä"
"S10146","ESF","TUOTEKEHITYSSTUDIO -Teollisen muotoilun ja materiaalitekniikan monialainen tuotekehitysympäristö","Itä-Suomen suuralueosio",3,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/08,31/12/10,"Mikkelin ammattikorkeakoulu Oy",211996,107934,124504,37631,387500,161473
"S10147","ESF","Målsatt","Etelä-Suomen suuralueosio",2,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/08,31/12/10,"Ab Yrkeshögskolan vid Åbo Akademi / Yrkeshögskolan Novia",75967,50735,85902,55098,297500,114671
"S10148","ESF","World class materials technology in Mikkeli","Itä-Suomen suuralueosio",3,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/08,31/12/10,"Lappeenrannan teknillinen yliopisto",426105,303248,234024,161870,1205768,528342
"S10149","ESF","Mahis työhön -projekti","Etelä-Suomen suuralueosio",2,"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/03/08,28/02/11,"Invalidiliiton Järvenpään koulutuskeskus",164754,51780,195610,77671,642019,148578
"S10150","ESF","Aloittavien yritysten neuvontapalvelut","Länsi-Suomen suuralueosio",1,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/02/08,30/06/11,"Tredea Oy",1124100,480052,216900,192659,2382000,1127328
"S10151","ESF","Hyvinvointipalvelujen kehittäminen kunnan ja urheiluseuran välillä","Valtakunnallinen osio",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/05/08,31/12/10,"Suomen Jääkiekkoliitto ry",165595,147161,182179,27099,916917,242910
"S10152","ESF","Kasvu yrittäjyyteen","Valtakunnallinen osio",1,"Opetushallitus","Toiminnassa",01/04/08,31/12/11,"Valkeakosken Seudun Kehitys Oy",396432,324081,346878,90665,1748000,487276
"S10153","ESF","CASE Eleforss","Etelä-Suomen suuralueosio",3,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/06/08,31/12/10,"Hämeen ammatillisen korkeakoulutuksen kuntayhtymä, Hämeen ammattikorkeakoulu",132920,75549,67080,30956,235500,123754
"S10154","ESF","YES-yrittäjyyskasvatuskeskukset","Valtakunnallinen osio",1,"Opetushallitus","Toiminnassa",01/04/08,31/07/10,"Porin Seudun Kehittämiskeskus POSEK Oy",1176919,141908,150492,103405,1919611,368519
"S10155","ESF","SOTE-ENNAKOINTI","Valtakunnallinen osio",3,"Opetushallitus","Toiminnassa",01/05/08,30/04/11,"Etelä-Karjalan koulutuskuntayhtymä",141459,46005,146338,32547,413126,92497
