"Koodi","Rahasto","Projektin nimi","Ohjelma / osio","Tl","Viranomainen","Toiminnan tila","Aloituspvm","Päättymispvm","Toteuttajan nimi","Myönnetty,EU-rahoitus","Toteutunut,EU-rahoitus","Myönnetty,valtion,rahoitus","Toteutunut,valtion,rahoitus","Suunniteltu,julkinen,rahoitus,yhteensä","Toteutunut,julkinen,rahoitus,yhteensä"
"A538463","ERDF","Tietoset Oy - Mikkelin osaamisyksikkö","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",03/03/08,31/03/10,"TIETOSET OY",19732,12424,16078,10126,35810,22550
"A538464","ERDF","Laajentamisinvestoinnit","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",03/03/08,27/02/09,"PUUSEPÄNLIIKE WELLWOOD OY",7439,4703,6061,3832,13500,8535
"A538470","ERDF","Investointi uusiin koneisiin","Etelä-Suomi",1,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",29/02/08,31/12/09,"IMATRAN TYÖSTÖASENNUS OY",79234,59164,118850,88746,198084,147910
"A538484","ERDF","Tuotantoteknologian parantaminen","Länsi-Suomi",1,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",03/03/08,30/09/09,"KAUHAJOEN OVITUOTANTO OY",13068,12084,19932,18431,33000,30515
"A538492","ERDF","Projektijohtaminen ja jatkokehittäminen","Itä-Suomi",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",04/03/08,29/05/09,"KUOPION PARKETTIASENNUS OY",5195,3914,3335,2513,8530,6427
"A538495","ERDF","Uuden komposiittitehtaan varustelu ja käynnistäminen.","Länsi-Suomi",1,"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",04/03/08,31/12/10,"CSI COMPOSITE SOLUTIONS AND INNOVATIONS OY",28856,19344,72394,48530,101250,67874
"A538497","ERDF","Yritystoiminnan käynnistäminen","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",04/03/08,30/06/11,"A. GRAVEOLENS OY",37606,1626,24144,1043,61750,2669
"A538499","ERDF","Uusien tuotantotilojen rakentaminen sekä investoinnit uusiin koneisiin.","Itä-Suomi",1,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",05/03/08,31/12/10,"JOENSUUN LASI- JA PEILIHIOMO OY",422128,0,271022,0,693150,0
"A538502","ERDF","Kätevä 2008","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",05/03/08,15/08/09,"RIHOTEC OY",60248,8727,38682,5602,98930,14329
"A538511","ERDF","Viennin käynnistäminen Venäjälle","Länsi-Suomi",1,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",06/03/08,29/01/09,"SPU SYSTEMS OY",16200,8362,24300,12544,40500,20906
"A538523","ERDF","OLO.MUOTO -messutapahtuman kehittäminen","Etelä-Suomi",2,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",06/03/08,30/04/10,"LAHDEN MESSUT OY",32508,24580,61992,46874,94500,71454
"A538526","ERDF","Kalajoen matkailun yhteismarkkinoinnin kehittäminen, vaihe II.","Pohjois-Suomi",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",07/03/08,07/03/10,"KALAJOKI MATKAILUYHDISTYS RY",30000,34384,30000,8072,60000,42456
"A538531","ERDF","Buss 2000 vientihanke","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",06/03/08,31/12/08,"STC SIMULATOR TRAINING OY",10199,3746,15951,5860,26150,9606
"A538532","ERDF","investoinnit","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",07/03/08,31/12/08,"PADASPUU OY",2980,2980,4470,4470,7450,7450
"A538534","ERDF","Risteilyaluksen uudistaminen","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",07/03/08,30/06/09,"TILAUSRISTEILY VESA NISSINEN",8526,8526,5474,5474,14000,14000
"A538535","ERDF","Maalauslinjan kehittäminen","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",07/03/08,31/10/08,"CNC-MUOTOCO OY",3136,3136,4704,4704,7840,7840
"A538541","ERDF","Toimiston laajennus","Etelä-Suomi",1,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",04/03/08,30/06/09,"UUTECHNIC OY",10800,10347,16200,15520,27000,25867
"A538548","ERDF","Ranuan kesämatkailun kehittäminen - kesän ohjelmapalvelut","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",05/03/08,31/07/10,"RANUAN SEUDUN MATKAILU OY",11250,2914,11250,2913,22500,5827
"A538550","ERDF","Maalausliike Molkoselkä Oy:n sähköisen liiketoiminnan kehittämisprojekti","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",11/03/08,30/06/09,"VASTUUREMONTTI OY",7575,7050,7575,7048,15150,14098
"A538551","ERDF","WW Projekt","Länsi-Suomi",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",10/03/08,10/03/09,"OY WIKROLUX AB",8268,3892,12402,5839,20670,9731
"A538552","ERDF","Frostiart jääpatsaat","Etelä-Suomi",1,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",10/03/08,10/03/10,"FROSTIART OY",4045,1902,6067,2853,10112,4755
"A538553","ERDF","Yritys- ja tuote-esittelyt messuilla","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",10/03/08,09/03/10,"SUOMEN LOMAKOTI OY",7625,5595,7625,5594,15250,11189
"A538563","ERDF","Kulmaelementtien kokoonpanolinja","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",10/03/08,31/05/09,"STONEL OY",53987,45276,43993,36894,97980,82170
"A538564","ERDF","Äänentoistolaitteiden hankinta","Itä-Suomi",1,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",10/03/08,28/02/10,"VALOPARTA OY",17125,21446,10995,6674,29284,29257
"A538577","ERDF","Tuotantoteknologian kehittäminen","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",11/03/08,30/09/10,"LAPPLI-TALOT OY",36000,36000,36000,36000,72000,72000
"A538579","ERDF","Internet-portaalin toteuttaminen","Itä-Suomi",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",11/03/08,10/03/10,"FINANCIAL CARE FCR OY",10460,5895,10240,5777,22100,13072
"A538583","ERDF","Konehankinta","Etelä-Suomi",1,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",11/03/08,30/06/08,"KITE OY",5400,5400,8100,8100,13500,13500
"A538588","ERDF","Tuotannon kehittäminen","Pohjois-Suomi",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",12/03/08,31/10/08,"PYHÄJOEN PUU OY",7500,7383,7500,7383,15000,14766
"A538589","ERDF","Kansainvälistymisen kehittäminen","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",05/03/08,31/10/09,"AMROY EUROPE OY",13800,13177,20700,7200,34500,20377
"A538591","ERDF","Tuotekehitys: Nestemäinen heraproteiini-kasvisteroli -tuoteperhe senioreille.","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",12/03/08,30/09/10,"LAPLAND NUTRITION OY",23800,21831,4200,2062,28000,23893
"A538592","ERDF","Grillikiinteistön rakennuttaminen Saariselän tunturikeskukseen.","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",12/03/08,01/07/10,"SODANKYLÄN GRILLIPALVELU KY",31065,24375,31065,16376,62130,40751
"A538595","ERDF","Tuotantovalmiuksien kehittäminen","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",10/03/08,30/04/09,"FIXTERI OY",20810,20510,13360,13168,34170,33678
"A538601","ERDF","Akustisen ruiskueristeen kehittäminen.","Itä-Suomi",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",12/03/08,30/07/09,"OY ACOSTIC-SPRAY AB",39139,16470,38361,16144,77500,32614
"A538603","ERDF","Biopolymeerirakenteisten tunnistinten (aptameerien) tuottaminen analytiikan ja tutkimuksen työkaluiksi","Itä-Suomi",2,"Tekes","Toiminnassa",13/03/08,31/01/09,"KUOPION YLIOPISTO",203237,173774,147413,126042,350650,299816
"A538604","ERDF","Improvement of fire resistance of polymer composites using nanoscale coatings","Itä-Suomi",2,"Tekes","Toiminnassa",01/01/08,31/12/09,"LAPPEENRANNAN TEKNILLINEN YLIOPISTO",166410,54010,91990,29856,258400,83866
"A538605","ERDF","Sinituvan kunnostus ja laajennus","Itä-Suomi",2,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",13/03/08,31/03/09,"PUUMALAN KUNTA",115920,115920,64080,64080,180000,180000
"A538606","ERDF","Sähkökeskuksen edelleen kehittäminen","Länsi-Suomi",1,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",13/03/08,31/12/09,"SELEGA SYSTEM KY",4320,4298,6480,6446,10800,10744
"A538607","ERDF","Ledstart hankkeen tarkoituksena valomainosalan yrityksen tuotannon ja tuotekehityksen suunnittelu ja käynnistys.","Länsi-Suomi",1,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",13/03/08,30/06/09,"DELUMEN OY",11321,11321,16982,16982,28344,28344
"A538608","ERDF","Yrityksen laajentaminen","Länsi-Suomi",1,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",13/03/08,31/12/09,"TT-PLAST OY",13200,0,19800,0,33000,0
"A538616","ERDF","Ohjelmapalvelutoiminnan käynnistäminen","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",13/03/08,31/10/09,"METSÄMATKAT OY",23989,19127,15401,12281,39959,31664
"A538618","ERDF","Kone/laite- ja rakennusinvestointi","Länsi-Suomi",1,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",14/03/08,31/07/09,"NARVI OY",44800,40002,67200,60002,112000,100004
"A540882","ERDF","Ohjelmistojen toimittaminen palveluina","Länsi-Suomi",2,"Tekes","Toiminnassa",01/01/09,31/03/10,"JYVÄSKYLÄN YLIOPISTO",59524,31356,91976,48451,151500,79807
"A540889","ERDF","Toimituksen atk-järjestelmän uudistaminen ja kehittäminen","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",27/10/08,01/07/09,"PADASJOEN SANOMAT OY",2028,2028,3042,3042,5070,5070
"A540892","ERDF","Konepajan käynnistämiseen tarvittavat investoinnit","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",27/10/08,28/02/10,"HELLMET OYKÄRKKÄINEN ANTTI",29754,18367,24246,14967,59427,33334
"A540904","ERDF","Erityisasiantuntijapalvelujen lisääminen","Itä-Suomi",1,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",01/11/08,31/10/09,"MJM SOLUTIONS OY",10962,5799,7038,0,18000,5799
"A540905","ERDF","Turvavaloviennin edistäminen Lähi-idässä","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",27/10/08,30/06/10,"TEKNOWARE OY",20800,0,31200,0,52000,0
"A540910","ERDF","Älykkäiden telemaattisten liikennepalvelujen kehittäminen","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",28/10/08,31/12/09,"NEVIA OY",29000,0,29000,0,58000,0
"A540914","ERDF","Yrityksen kehittäminen investoimsöös laserlevytyöstökeskukseen.","Itä-Suomi",1,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",28/10/08,31/12/09,"NURMEKSEN METALLI OY",87148,87148,55952,55952,143100,143100
"A540915","ERDF","Hyvinvointipalvelujen tarve Suupohjassa -esiselvitys","Länsi-Suomi",2,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",28/10/08,30/09/09,"SUUPOHJAN ELINKEINOTOIMEN KUNTAYHTYMÄ",12281,0,14129,0,26410,0
"A540921","ERDF","Kierrätystoiminnan vahvistaminen","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",28/10/08,30/06/10,"PA-RI MATERIA OY",42120,34944,65880,54656,108000,89600
"A540928","ERDF","Strategian ja johdon työskentelyn kehittäminen","Länsi-Suomi",1,"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",28/10/08,30/09/10,"ADEA OY",15484,0,23616,0,39100,0
"A540929","ERDF","Kansainvälistymisen kehittäminen","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",29/10/08,30/06/10,"FINNBLAST OY",17000,0,17000,0,34000,0
"A540930","ERDF","MediPeda tutkimus- ja kehittämishanke","Pohjois-Suomi",2,"Tekes","Toiminnassa",01/11/08,30/04/10,"LAPIN YLIOPISTO",113760,23860,78370,16437,192130,40297
"A540941","ERDF","Pohjois-Lapin ICT strategia ja toimenpideohjelma","Pohjois-Suomi",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",01/11/08,31/03/10,"POHJOIS-LAPIN ALUEYHTEISTYÖN KUNTAYHTYMÄ",98400,0,0,0,98400,0
"A540943","ERDF","Toiminnan kehittäminen","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",29/10/08,31/10/09,"HR-IKKUNAT RUHKALA OY",39000,39000,39000,39000,78000,78000
"A540946","ERDF","Aateli Saari.","Itä-Suomi",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",29/10/08,28/02/10,"VUOKATIN KATINKULMA OY",67503,90620,66167,43050,133670,133670
"A540960","ERDF","Oulun Sataman Luoteis-Venäjän markkinointihanke","Pohjois-Suomi",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",30/10/08,31/12/11,"OULUN SATAMA",50000,0,50000,0,100000,0
"A540968","ERDF","Liikkuvien sekä siirrettävien koneiden ja laitteiden ohjausjärjestelmien etähallinta.","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",31/10/08,31/07/10,"M-MOTION LTD OY",48650,33147,20850,9648,69500,42795
"A540969","ERDF","Byggnadstekniska produkter i profilerad stål","Länsi-Suomi",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",31/10/08,01/11/10,"OY PROCONS AB",32400,0,48600,0,81000,0
"A540970","ERDF","Puukaasugeneraattori","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",31/10/08,31/12/10,"FORTEL COMPONENTS OY",55850,29562,55850,29562,111700,59124
"A540972","ERDF","Parvekelasituksen laadun parantaminen","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",31/10/08,31/12/10,"LASIMIES OY",49800,0,74700,0,124500,0
"A540974","ERDF","Mittaus- ja automaatiojärjestelmä","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",31/10/08,30/06/10,"EXIMUS OY",31556,0,25714,0,57270,0
"A540977","ERDF","Teejii -siilon kehittäminen","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",01/11/08,30/11/12,"T.J. PYYKKÖNEN OY",196300,0,0,0,196300,0
"A540987","ERDF","SAIMASTRA","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",03/11/08,31/10/09,"SAIMA SOFT & PEOPLE OY",23264,20170,14936,4316,38200,24486
"A540998","ERDF","PET- granulaattituotannon tehostaminen.","Pohjois-Suomi",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",03/11/08,30/06/10,"PREFORMIA OY",337590,526656,337590,0,735463,632074
"A541004","ERDF","Tuotantolaitoksen suunnitelu","Itä-Suomi",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",13/11/08,29/05/09,"F. K. TRUBE OY",11220,2578,8780,2017,20000,4595
"A541008","ERDF","Hallin rakentaminen","Pohjois-Suomi",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",06/11/08,31/03/09,"YXPILA BOAT YARD AB",6550,6214,6550,6213,13100,12427
"A541015","ERDF","Liiketoiminnankehittämishanke.","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",05/11/08,04/11/10,"TEOLLISUUDEN MONIPALVELU TMP OY",26420,6028,26420,6028,52840,12056
"A541023","ERDF","valmistus- ja työstökoneiden hankinta","Itä-Suomi",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",06/11/08,30/06/09,"LASILINKKI OY",25578,18769,16422,12050,42000,30819
"A541024","ERDF","Tuottavuuden kehittäminen","Itä-Suomi",1,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",05/11/08,31/12/10,"TMI KITEEN PUUJALOSTE",1660,1176,1660,0,3320,1176
"A541028","ERDF","Codemill Oy:n tuotekehityshanke","Itä-Suomi",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",15/11/08,14/11/10,"CODEMILL OY",8850,8856,8670,0,17520,8856
"A541029","ERDF","CRM-asiakkuuushallinnan laadinta ja laatujärjestelmän kehittäminen","Itä-Suomi",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",06/11/08,31/10/10,"KUOPION YKKÖSTILIT OY",15420,3031,9900,1946,25320,4977
"A541030","ERDF","puuenergiatoimisto","Pohjois-Suomi",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",06/11/08,30/03/11,"KEMI-TORNIONLAAKSON KOULUTUSKUNTAYHTYMÄ LAPPIA",168120,25400,0,0,168120,25400
"A541042","ERDF","Jatkojalostus, höyläämön modernisointi ja maalauslinjan rakentaminen.","Etelä-Suomi",1,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",07/11/08,30/09/10,"KOUVOLAN SAHA OY",11370,0,17055,0,28425,0
"A541043","ERDF","Toiminnan kehittäminen ja kilpailukyvyn varmistaminen.","Etelä-Suomi",1,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",07/11/08,30/03/10,"PUUSEPÄNLIIKE PUUKAS KY",1720,2852,2580,0,4300,2852
"A541045","ERDF","Clipperilinjan rakentaminen.","Itä-Suomi",1,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",07/11/08,30/06/09,"RAUTALAMMIN VIILUTUOTE OY",21559,21559,13841,13841,35400,35400
"A541049","ERDF","Investointihanke","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",07/11/08,31/07/09,"MAINOSTALO MAINOSPUU OY",4800,4800,1200,1200,6000,6000
"A541050","ERDF","Muovin puujäljitelmäpinnoituslinja","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",07/11/08,30/05/10,"VIAMONT OY",17600,0,26400,0,44000,0
"A541056","ERDF","Yläjyrsin","Pohjois-Suomi",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",10/11/08,09/11/10,"LAHNAKOSKI OY AB",27000,24546,27000,24546,54000,49092
"A541061","ERDF","Internationalization and Commercial Opportunities in Photovoltaics Manufacturing","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",10/11/08,30/06/10,"BRAGGONE OY",125445,0,125445,0,265494,0
"A541063","ERDF","Energiapuun korjuuseen liittyvät investoinnit","Länsi-Suomi",1,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",05/11/08,31/05/09,"T JA E PASANEN",11701,11227,28099,26962,39800,38189
"A541064","ERDF","Kattopeltivalmistus","Itä-Suomi",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",17/11/08,16/11/10,"VESIKATTOPALVELU KEMPPAINEN OY",36764,16887,36036,16553,72800,33440
"A541077","ERDF","Tuotekehityshanke","Länsi-Suomi",1,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",11/11/08,31/01/10,"KESKI-SUOMEN MEKATRONIIKKA OY",10384,0,15576,0,25960,0
"A541083","ERDF","Talousjohtamisen kehitysohjelma","Länsi-Suomi",1,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",11/11/08,31/12/09,"CASATINO OY",10800,19238,16200,7762,27000,27000
"A541094","ERDF","Pellettiliiketoiminnan kansainvälisten yhteyksien kehittäminen","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",12/11/08,31/12/09,"LAPIN EKOLÄMPÖ OY",13120,0,13120,0,26240,0
"A541107","ERDF","Kiinteistössä toimivan Kewatec Aluboat Oy:n toiminnan laajentuessa ja volyymin kasvaessa, nykyiset tilat jäävät liian pieniksi. Koska veneet ovat kasvaneet asennuspuolella on liian vähän tilaa. Laajennushanke mahdollistaa tehokkaamman tuotannon kun asennus siirtyy uuteen halliin.","Pohjois-Suomi",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",12/11/08,30/06/11,"KIINTEISTÖ OY KOKKOLAN ALU-BOAT PARK",70000,0,70000,0,140000,0
"A541119","ERDF","CNC-sorvin hankinta","Länsi-Suomi",1,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",13/11/08,31/12/09,"AHO-MET OY",6788,6300,10182,9450,16970,15750
"A541120","ERDF","Uivat huvilat-konseptin kehittäminen","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",01/12/08,01/12/10,"CATMARINA OY",20572,26677,30858,0,51430,26677
"A541121","ERDF","Kansainvälistyminen 2009","Länsi-Suomi",1,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",13/11/08,30/11/10,"STEERPROP OY",19560,0,29340,0,48900,0
"A541124","ERDF","Venekylkien hionta-työkalu","Pohjois-Suomi",1,"Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",15/11/08,15/02/10,"OY YBY AB",12960,15058,12960,0,25920,15058
"A541128","ERDF","Eko Teräs Oy- kierrätysliiketoiminta","Etelä-Suomi",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",13/11/08,31/12/10,"EKO TERÄS OY",54000,0,81000,0,135000,0
"A540691","ERDF","Pakkaustuotannon lisääminen","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",09/10/08,31/12/10,"SAVOPAK OY",159863,0,102637,0,262500,0
"A540693","ERDF","Tuotantolaitoksen rakentaminen","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",09/10/08,31/10/10,"PEL-TUOTE OY",347769,223428,223281,0,627286,279664
"A540698","ERDF","Lapiosalmen erämatkailukeskuksen kehittäminen","Pohjois-Suomi",1,"Lapin elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",09/10/08,01/03/10,"ERÄSAUKKO OY",10500,21000,10500,0,21000,21000
"A540703","ERDF","Jauhojen ja litisteiden valmistus leipomossa","Länsi-Suomi",1,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",08/10/08,01/10/10,"LANKOSKI OY(ULLAN PAKARI)",19632,0,29448,0,49080,0
"A540710","ERDF","Tuotekehityshanke","Etelä-Suomi",1,"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",10/10/08,30/09/09,"TOI-PUU",1673,280,2509,420,4182,700
"A540712","ERDF","AcoPutki-tuotannon automatisointi","Pohjois-Suomi",1,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",10/10/08,30/09/10,"ACONET KY",16850,0,16850,0,33700,0
"A540715","ERDF","Kemiönsaaren keskustat 2010","Etelä-Suomi",1,"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",06/10/08,31/12/09,"KEMIÖNSAAREN KUNTA",36399,52524,18191,0,90997,87540
"A540717","ERDF","Kulttuuritori Amusa","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",10/10/08,01/03/11,"SUOMEN PORTAALIT OY",24795,14081,20205,11474,45000,25555
"A540721","ERDF","Ohjelmistojen kehittämishanke.","Itä-Suomi",1,"Kainuun elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminnassa",15/10/08,30/06/09,"KUHMON METSÄKONTIO AY",3596,2840,3524,2782,7120,5622
"A540727","ERDF","Tuotantoinvestoinnit","Itä-Suomi",1,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus, yritystuet","Toiminta päättynyt",13/10/08,30/12/09,"PIRTAKKA, VELJEKSET HÄLIKKÄ",20100,4671,12900,2710,33000,7381
