"Prio","OD","Nr","Projectnaam","Promotor","EFRO","Totale kost","EFRO-%","Startdatum","Einddatum"
"P1",5,82,"Gent 3D","Stad Gent",317840,794600,40.00%,04/02/13,04/01/15
"P1",5,92,"VLARIPdiensten","Federatie van de Chemische Industrie van België",70990,177475,40.00%,12/02/12,12/02/14
"P1",5,101,"Innovatieve concepten via een multidisciplinaire aanpak","Universiteit Hasselt - Instituut EDM",311890,779726,40.00%,12/02/12,12/01/14
"P1",5,115,"Moving Forward!","Universiteit Hasselt - Instituut IMOB",118402.78,296006.97,40.00%,04/02/13,04/01/15
"P1",5,131,"Energiezuinig concept voor revalidatiecentrum UZ-Gent","Universitair Ziekenhuis Gent",160852.56,402131.4,40.00%,"12/19/12","12/18/14"
"P1",5,134,"MLOZ-ZorgTV","Landsbond van de onafhankelijke ziekenfondsen",70854.61,177136.52,40.00%,04/02/12,04/01/14
"P1",5,136,"Ritchie","Universiteit Hasselt - Instituut EDM",294625,736563,40.00%,09/02/12,09/01/14
"P1",5,149,"Challenge-me","VOKA - Kamer van Koophandel West-Vlaanderen",76477.56,191193.9,40.00%,09/02/12,09/01/14
"P1",5,154,"Woonlabo: kennisvalorisatie gericht op levenslang wonen, aanpasbaar bouwen en universal design","Provinciale Hogeschool Limburg",294200,735500,40.00%,"12/16/12","12/15/14"
"P1",5,167,"De ontwikkeling en realisatie van een multitouch interface","Provincie Limburg",120000,300000,40.00%,12/02/12,12/01/14
"P1",5,168,"KIK-off","Katholieke Hogeschool Limburg",154254,385636,40.00%,09/02/12,09/01/14
"P1",5,171,"Innovation Wizard: contextuele creativiteit","Hogeschool West-Vlaanderen",63800,159500,40.00%,12/02/12,"1/31/14"
"P1",5,173,"Sint-Vincentiusziekenhuis","Sint-Vincentiusziekenhuis te Antwerpen",199842.68,499606.68,40.00%,10/02/12,10/01/14
"P1",5,185,"Economische kaart West-Vlaanderen","Provincie West-Vlaanderen",115038,287598,40.00%,12/02/12,12/01/14
"P1",5,204,"Profoto","Hogeschool West-Vlaanderen",60000,150000,40.00%,11/04/12,"10/31/14"
"P1",5,433,"TEB - THE ENERGY BOX","GREENBRIDGE INNOVATIECENTRUM",599813.37,1499533.42,40.00%,02/02/14,02/01/16
"P1",5,453,"Milieuvriendelijke teeltwijzen ter productie van residu-arm fruit","Proefcentrum Fruitteelt",101580,253950,40.00%,01/02/14,01/01/16
"P1",5,454,"GameHUB","Provinciale Hogeschool Limburg",505967,1264917.5,40.00%,01/02/14,01/01/17
"P1",5,463,"Mobiele pilootopstellingen voor waterbehandeling","Katholieke Hogeschool Brugge-Oostende",120000,300000,40.00%,03/02/14,03/01/15
"P1",5,464,"ISSI - Innovatie Systeem voor Systeem Innovatie","I-PROPELLER",295506.18,738765.45,40.00%,11/02/13,11/02/15
"P1",5,466,"Duurzame verpakkingstechnologie","PROCTER & GAMBLE EUROCOR",307826.5,769566.3,40.00%,01/02/14,01/01/17
"P1",5,475,"Closing the Circle, een demonstratie van Enhanced Landfill Mining (ELFM)","Universiteit Hasselt - Instituut CMK",200000,500000,40.00%,10/02/13,10/01/15
"P1",5,478,"Hybride Ventilatie @ Creative Minds","Den Hoorn",159350,398376,40.00%,04/02/14,"3/31/16"
"P1",5,483,"VEHIKel","Groep T",210982.17,527455.42,40.00%,11/02/13,11/01/15
"P1",6,38,"Ondersteuning en coördinatie van het actieplan 'De Romeinse Weg'","Provincie Limburg",144087.16,360217.9,40.00%,01/02/12,01/01/14
"P1",6,109,"Landbouwwegen in de Westhoek","Vlaamse Landmaatschappij",504210.48,1260526.48,40.00%,11/02/12,11/01/14
"P1",6,114,"Regionale branding","Rurant",318560,796400,40.00%,07/02/12,07/01/14
"P1",6,124,"Kempen Duurzaam","Strategische Projectenorganisatie Kempen",152983,382456,40.00%,07/02/12,07/01/14
"P1",6,130,"Masterplan Mijnstreek","Provincie Limburg",31040,77600,40.00%,11/05/11,04/01/13
"P1",6,170,"ECO_","B B Consult",652640,1631600,40.00%,10/02/12,10/01/14
"P1",6,429,"Green Valley Kempen","GPB Kamp C - Provinciebestuur Antwerpen",117680,294200,40.00%,01/02/14,01/01/16
"P1",6,438,"De kolonies in de Noorderkempen","Kempens Landschap",152522.64,500238.25,30.49%,01/02/14,01/01/16
"P1",6,442,"De Westhoek inspireert","Provincie West-Vlaanderen",313328,783320,40.00%,11/02/13,11/01/15
"P1",6,458,"Regional Branding Hageland","Leaderwerking Hageland vzw",199800,499500,40.00%,01/02/14,01/01/16
"P1",6,460,"Thought 4 Food","Provincie West-Vlaanderen",552000,1380000,40.00%,02/02/14,02/01/16
"P1",6,469,"GENT BLOEMENREGIO","Boerenbondvereniging voor Projecten",410653.44,1026633.61,40.00%,01/02/14,01/01/16
"P2",1,231,"ondernemers.tv","Unie van Zelfstandige Ondernemers",138224,345560,40.00%,10/02/12,10/01/14
"P2",1,261,"Proleron","Epon",59772.1,149430.24,40.00%,02/02/13,02/01/15
"P2",1,269,"COCON","SYNTRA WEST",81682.49,204206.22,40.00%,03/02/13,03/01/15
"P2",1,270,"Battle of Talents","ADDESTINO INNOVATION MANAGEMENT",93976.32,234940.8,40.00%,10/02/12,10/01/14
"P2",1,273,"Zorg voor Ondernemerschap","VOKA - Kamer van Koophandel Limburg",97588.48,243971.17,40.00%,01/02/13,01/01/15
