Beneficiaries,Portefeuilles,Project name,Decision date,Total eligible costs,Amount awarded by the FEDER,Amount awarded by Wallonnia region,Total cost,Final FEDER
IFAPME,Centre de competence Construform Liege- antennes de Namur et Verviers,Volet 1- antenne Verviers IFAPME,30/05/2009,1.847.479,779.636,1.067.843,n/a,n/a
IFAPME,Equip'AutoFORM,AutoFORM,30/05/2009,1.239.657,371.897,867.759,n/a,n/a
IFAPME,Redynamisation du secteur des metiers de bouche- centre de competence EPICURIS,Volet 1: Villiers-le-Bouillet- Extension ,30/05/2009,1.951.671,585.501,1.366.169,12.614,3.784
LE FOREM,CdC FORMALIM-Equipement,CdC FORMALIM-Equipement,23/04/2009,448.013,189.061,258.951,n/a,n/a
LE FOREM,CdC Logistique La Louviere,Antenne Logistique et centre d'examen,30/05/2009,"4.500.000,0","1.350.000,0","3.150.000,0",3.044,913
LE FOREM,CdC Logistique Liege,Extension Logistique Liege,30/05/2009,"2.639.000,0","791.700,0","1.847.300,0","4.340,22",1.302
LE FOREM,CdC Logistique Liege Antenne Molinfaing,CdC Logistique Liege Antenne Molinfaing,23/04/2009,923.739,389.816,533.921,n/a,n/a
LE FOREM,CDC Polygone de l'eau,CDC Polygone de l'eau,23/04/2009,461.869,194.909,"266.960,74",n/a,n/a
LE FOREM,CDC Technofutur industrie,n/a,30/05/2009,"1.05.000,0","315.000,0","735.000,0",n/a,n/a
LE FOREM,CDC Wallonie bois,1,30/05/2009,"405.000,0","121.500,0","283.500,0",6.746,2.023
LE FOREM,CENTRE BIOTECH-antenne CDC CEFOCHIM,CENTRE BIOTECH-antenne CDC CEFOCHIM,30/05/2009,"1.370.000,0","411.000,0","959.000,0",n/a,n/a
LE FOREM,Centre de competence Construform Liege- antennes de Namur et Verviers,Volet 2- antenne Verviers FOREM,23/04/2009,1.847.479,779.636,1.067.843,n/a,n/a
LE FOREM,Centre de competence Construform Liege,Volet 2- extension Grace-Hollogne,23/04/2008,4.454.779,1.336.433,3.116.345,1.033,309
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA centre de travail de la tole,30/05/2008,"770.000,0","385.000,0","385.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA de l'automation- mini-usine,30/05/2008,"880.000,0","440.000,0","440.000,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en bases du futur des metiers de bouche,30/05/2008,"823.500,0","411.750,0","411.750,0",n/a,n/a
Ministere de la Communaute francaise DG Enseignement obligatoire,centre de technologie avancee-competitivite,CTA en equipements techniques du batiment,30/05/2008,"820.000,0","410.000,0","410.000,0",n/a,n/a
