Project name , Organization,Amount awarded by the ESF,Amount awarded by public bodies,Total eligible costs,Total financing,Final ESF,Total cost
OMIG , Epon ,"12.441,50 ",n/a,"24.883,00 ","24.883,00 ","10.222,66 ","20.445,31 "
OMIG , Epon ,"105.710,01 ","105.345,57 ","213.555,58 ","213.555,58 ",n/a,n/a
Omscholing van fabricatiemedewerker tot het volwaardig beroep van procestechnieker , NYRSTAR BELGIUM ,n/a,n/a,n/a,n/a,n/a,n/a
Ondernemen met een handicap , Hazo ,"12.313,61 ","12.313,61 ","24.876,22 ","24.876,22 ","11.945,69 ","24.132,71 "
ondernemen werkt , Unie van Zelfstandige Ondernemers ,"270.000,00 ","330.000,00 ","666.692,00 ","666.692,00 ","64.782,38 ","159.956,63 "
Ontwikkelen vanuit Talent en Bezieling , STEBO ,"10.750,00 ","14.250,00 ","30.220,00 ","30.220,00 ","10.750,00 ","30.435,09 "
Ontwikkeling Bekwaamheden - NV Colruyt - 2008/2009 , COLRUYT ,"225.000,00 ","366.899,71 ","2.193.469,18 ","2.193.469,18 ","225.000,00 ","2.466.491,56 "
Ontwikkeling Bekwaamheden - NV Mavedro - 2008/2009 , MAVEDRO ,n/a,n/a,n/a,n/a,n/a,n/a
Ontwikkeling bekwaamheden - NV Okay Buurtwinkels - 2008/2009 , Buurtwinkels Okay ,n/a,n/a,n/a,n/a,n/a,n/a
Ontwikkeling praktijkproef voor erkend Testcentrum Bandenmonteur - Ervaringsbewijs Bandenmonteur , Centre de formation professionnelle dans le secteur automobile et les secteurs connexes ,"3.375,00 ","4.125,00 ","7.500,00 ","7.500,00 ",n/a,n/a
Op weg naar kwalificaties! Een opleidingstraject voor wegenbouwarbeiders. , COLAS BELGIUM ,"144.880,81 ","177.076,55 ","850.306,26 ","850.306,26 ","65.021,08 ","288.982,58 "
Open Academie , BURO 2 ,"45.000,00 ","55.000,00 ","244.609,34 ","244.609,34 ",n/a,"35.231,06 "
Opleiding + begeleiding op de werkvloer , Migranten Cultureel Sociaal Trefpunt ,"43.200,00 ","130.676,26 ","193.031,76 ","193.031,76 ","43.200,00 ","200.932,52 "
Opleiding arbeiders , BUCHEN INDUSTRIAL SERVICES NV ,"33.370,99 ","40.786,76 ","148.315,50 ","148.315,50 ",n/a,n/a
opleiding verpleegkundige organisatorisch/pedagogisch aanpassen aan kansengroepen , VDAB ,"11.000,00 ","14.000,00 ","25.000,00 ","25.000,00 ","3.934,81 ","7.949,12 "
OpleidingsCV integreren in MijnLoopbaan en koppelen aan HR-systemen , VDAB ,"98.999,98 ","98.999,98 ","199.999,95 ","199.999,95 ",n/a,n/a
OpleidingsCV integreren in MijnLoopbaan en koppelen aan HR-systemen. , VDAB ,"12.375,00 ","12.375,00 ","25.000,00 ","25.000,00 ",n/a,n/a
OPLEIDINGSPLAN MELSBROEK , Nationaal Multiple Sclerose Centrum ,"32.804,05 ","40.093,84 ","145.795,78 ","145.795,78 ","12.135,18 ","53.934,12 "
opleidingsprogramma , MARLUX KLAPS ,"163.373,20 ","199.678,35 ","726.103,10 ","726.103,10 ","33.617,14 ","149.409,49"
Opleidingsproject Pullmaflex , Pullmaflex Benelux ,n/a,n/a,n/a,n/a,n/a,n/a
Opleidingstraject Group Ghistelinck , GARAGE GHISTELINCK ,"113.045,29 ","138.166,46 ","557.034,75 ","557.034,75 ",n/a,n/a
Opleidingstraject havenarbeiders van Antwerpen , Centrale der Werkgevers aan de Haven van Antwerpen ,"225.000,00 ","275.000,00 ","1.696.133,42 ","1.696.133,42 ","87.345,28 ","388.201,26 "
Opleidingstraject I , Diensten -aan-Huis ,n/a,n/a,n/a,n/a,n/a,n/a
Opleidingstraject Vanderscheuren , METAALCONSTRUCTIE VANDERSCHEUREN ,"46.326,60 ","56.621,40 ","205.896,00 ","205.896,00 ",n/a,n/a
OPLEIDINSTRAJECT 2008/2009 , Chicago Metallic Continental ,"34.543,12 ","42.219,38 ","153.525,00 ","153.525,00 ","15.662,69 ","71.195,97 "
Opmaak praktijkproef ervaringsbewijs Rigger-monteerder , MONTAGE NATIONAAL FONDS VOOR TEWERKSTELLING EN OPLEIDING VAN JONGEREN ,"3.375,00 ","4.125,00 ","7.500,00 ","7.500,00 ",n/a,n/a
oproep 94 , Vormingscentrum Hoger Instituut Voor Verpleegkunde Sint-Elisabeth Turnhout ,"89.100,00 ",n/a,"200.000,00 ","200.000,00 ",n/a,n/a
Op-Stap , JOBCENTRUM WEST-VLAANDEREN ,"56.349,00 ","66.000,00 ","125.220,00 ","125.220,00 ","21.114,03 ","46.920,05 "
opSTAP naar Duurzaam Ondernemen , VOKA-KAMER VAN KOOPHANDEL OOST-VLAANDEREN ,"124.650,00 ","152.350,00 ","570.213,33 ","570.213,33 ",n/a,"35.317,80 "
Opstap naar Europa! , SNACK FOOD POCO LOCO ,"213.790,43 ","261.299,42 ","950.179,71 ","950.179,71 ","212.796,16 ","1.542.549,40 "
Organisatiebreed leren , Rust en verzorgingstehuis St Monica vzw ,"17.899,60 ","21.877,29 ","79.553,78 ","79.553,78 ","5.939,66 ","26.398,48 "
Organisatiebreed leren 2 , Rust en verzorgingstehuis St Monica vzw ,n/a,n/a,n/a,n/a,n/a,n/a
Organize , Sigma Service Center Hasselt PPG ,"45.000,00 ","55.000,00 ","229.103,92 ","229.103,92 ",n/a,"98.893,96 "
OTC SpoorTwee , SPOOR TWEE ,"108.000,00 ","305.000,00 ","425.000,00 ","425.000,00 ","90.836,07 ","403.440,35 "
Packo Inox blijft toekomstgericht , PACKO INOX ,"112.944,37 ","138.043,13 ","501.975,00 ","501.975,00 ",n/a,n/a
pc repair en contact center medewerker , Antwerps Telematica Centrum ,n/a,"213.941,21 ","333.503,33 ","333.503,33 ",n/a,"308.428,37 "
PCBO-project coaching en opleiding op de werkvloer in de sociale economie Kinderopvang , Provinciale Commissie Buitenschoolse Opvang ,"22.275,00 ",n/a,"50.000,00 ","50.000,00 ",n/a,n/a
PCBO-project Testcentrum Ervaringsbewijs Begeleider buitenschoolse kinderopvang , Provinciale Commissie Buitenschoolse Opvang ,"62.370,00 ","91.230,00 ","153.600,00 ","153.600,00 ","9.606,60 ","31.537,56 "
PCBO-project verfijning praktijkproef Ervaringsbewijs Begeleider buitenschoolse kinderopvang , Provinciale Commissie Buitenschoolse Opvang ,"562,50 ","687,50 ","1.250,00 ","1.250,00 ",n/a,n/a
Permanent verbeteren , GLACIO ,"62.239,73 ","138.742,88 ","276.621,00 ","276.621,00 ",n/a,n/a
Permanente educatie in de Chemische Nijverheid , Exxon Mobil Petroleum & Chemical ,"50.017,75 ","61.132,80 ","222.301,10 ","222.301,10 ","11.801,46 ","52.450,94 "
PERSPECTIEF , KEERPUNT ,"234.900,00 ","234.900,00 ","522.000,00 ","522.000,00 ","84.021,40 ","186.714,23 "
Perspectief , KEERPUNT ,"238.050,00 ","290.950,00 ","529.000,00 ","529.000,00 ",n/a,n/a
Pfizer vrouwen , PFIZER MANUFACTURING BELGIUM ,"13.500,00 ","16.500,00 ","60.000,00 ","60.000,00 ",n/a,n/a
Phoinix , ECHO ,"131.196,60 ","160.351,40 ","583.096,00 ","583.096,00 ","13.492,81 ","59.968,06 "
PHOLL , OPLEIDINGSCENTRUM HOUT vzw ,n/a,n/a,n/a,n/a,n/a,n/a
PIT-toolbox voor leiderschap en betrokkenheid op de werkvloer , UNILIN ,"41.948,55 ","51.270,45 ","186.438,00 ","186.438,00 ",n/a,n/a
PLUSPUNT vzw , PLUSPUNT vzw + DE KLEERBOETIEK ,"126.000,00 ","402.846,00 ","531.681,20 ","531.681,20 ","117.038,24 ","579.230,50 "
PolyGroup , RECOR BEDDING ,"135.000,00 ","165.000,00 ","784.713,41 ","784.713,41 ",n/a,n/a
Polyvalentie en verhoogde waakzaamheid in de veiligheidssector , Seris SECURITY ,"85.174,98 ","85.174,98 ","750.996,00 ","750.996,00 ",n/a,n/a
Poppies , POPPIES INTERNATIONAL ,"5.162,94 ","6.310,27 ","22.946,42 ","22.946,42 ",n/a,n/a
Praktijk- en veiligheidspolyvalentie bij INEOS Polyolefins , INEOS Manufacturing Belgium ,"85.533,73 ","104.541,22 ","381.708,00 ","381.708,00 ","28.361,88 ","126.052,78 "
Praktijkproef dubbelstuk fluweelwever , COBOT VZW ,"1.836,59 ","2.244,73 ","4.081,32 ","4.081,32 ",n/a,n/a
Procall , Antwerps Telematica Centrum ,"177.282,00 ","216.678,00 ","393.960,00 ","393.960,00 ","52.823,24 ","117.384,98 "
Proeftuin Bouw , ondersteunende diensten ,n/a,"200.983,75 ","290.983,75 ","290.983,75 ",n/a,"245.402,27 "
Professional Organizer , MARKANT - NETWERK VAN ONDERNEMENDE VROUWEN ,"12.375,00 ","12.375,00 ","25.000,00 ","25.000,00 ","12.375,00 ","25.000,00 "
Professionaliteit & veiligheid , PICANOL ,"135.000,00 ","165.000,00 ","600.838,20 ","600.838,20 ",n/a,n/a
Professionals@work , CENTER PARCS ,"79.715,08 ","97.429,55 ","354.289,26 ","354.289,26 ","30.272,55 ","138.031,30 "
Project Technische bijstand ESF , ESF - AGENTSCHAP VLAANDEREN vzw ,"18.754.979,00 ","18.754.979,00 ","37.509.958,00 ","37.509.958,00 ",n/a,n/a
ProjectVoorstel: Carrera 2 , Antwerps Telematica Centrum ,"231.300,00 ","282.700,00 ","514.000,00 ","514.000,00 ",n/a,n/a
Prometheus , Grontmij Industry ,"45.000,00 ","55.000,00 ","257.465,00 ","257.465,00 ",n/a,"114.198,61 "
PROMOBIL , Carestel Motorway Services ,"97.968,96 ","119.739,84 ","435.417,60 ","435.417,60 ","39.420,98 ","175.204,35 "
QUALITY MEAT RENMANS TRAINING EN OPLEIDING , Quality Meat Renmans ,"42.038,60 ","51.380,50 ","186.838,20 ","186.838,20 ",n/a,n/a
Randstad = werk. Meer kans op veilig werk met de juiste attitude! , Randstad Belgium ,"122.364,00 ","149.556,00 ","543.840,00 ","543.840,00 ",n/a,n/a
RAVAGO PRODUCTION NV , Ravago Production ,"131.940,86 ","161.261,04 ","586.403,80 ","586.403,80 ","79.319,90 ","325.776,41 "
RealDolmen Training en Opleiding , RealDolmen ,"135.000,00 ","165.000,00 ","1.229.083,20 ","1.229.083,20 ",n/a,n/a
re-compete , Job- link VZW ,"99.000,00 ","99.000,00 ","200.246,63 ","200.246,63 ",n/a,n/a
Re-Compete , GOCI ,"12.375,00 ","12.375,00 ","25.000,00 ","25.000,00 ","12.197,23 ","24.640,86 "
Reflex: Onze kwaliteiten mobiliseren , SPORTS WORLD ,n/a,n/a,n/a,n/a,n/a,n/a
Regiedossier prioriteit 1 , VDAB ,"14.000.000,00 ","17.111.111,11 ","31.111.111,11 ","31.111.111,11 ","2.556.472,06 ","5.681.049,02 "
Regionale focus op SEM , Administratieve en maatschappelijke zetel IGO-W vzw ,"41.556,24 ",n/a,"105.280,00 ","105.280,00 ","6.451,50 ","14.481,48 "
SADEF Opleidingsproject 2009-2011 , SADEF ,"85.409,23 ","104.389,07 ","379.596,60 ","379.596,60 ",n/a,n/a
SAFE , MECHANICAL S.O.S. ,"22.269,83 ","27.218,69 ","98.977,04 ","98.977,04 ","18.145,33 ","80.645,93 "
SAFER , MECHANICAL S.O.S. ,"31.447,44 ","38.435,76 ","139.766,40 ","139.766,40 ",n/a,n/a
Samen in team , SECRETARY PLUS OUTSOURCING SOLUTIONS ,"44.926,31 ","54.909,93 ","182.889,77 ","182.889,77 ",n/a,n/a
Samen naar een hoger prestatieniveau , Duracell Batteries ,"174.996,63 ","213.884,78 ","777.762,82 ","777.762,82 ","48.534,83 ","215.710,37 "
Samen Sterk door teamwerk , NV BEKAERT SA ,n/a,n/a,n/a,n/a,n/a,n/a
Samen sterk door techniek! , ONTEX NV ,"71.319,96 ","87.168,84 ","316.977,60 ","316.977,60 ",n/a,n/a
Samen verbeteren , PROCTER & GAMBLE MANUFACTURING ,"135.000,00 ","165.000,00 ","612.666,36 ","612.666,36 ",n/a,n/a
SBS , SBS ,"290.089,05 ","354.553,28 ","644.642,33 ","644.642,33 ","54.816,46 ","121.814,36 "
SBS , SBS ,"290.160,00 ","354.640,00 ","644.800,00 ","644.800,00 ",n/a,n/a
SCANA NOLIKO Academy , SCANA NOLIKO ,"99.987,21 ","122.206,59 ","444.387,60 ","444.387,60 ",n/a,n/a
Scharnier IV , VORMINGS- EN OPLEIDINGSKANSEN ,"366.170,63 ","622.201,87 ","988.372,50 ","988.372,50 ","162.345,44 ","437.735,06 "
Scharnier V , VORMINGS- EN OPLEIDINGSKANSEN ,"353.196,51 ","431.684,62 ","818.400,00 ","818.400,00 ",n/a,n/a
SE binnen 3 sociale werkplaatsen , Leefbaar Wonen-Kringloopcentrum ,"25.346,03 ",n/a,"60.893,44 ","60.893,44 ","12.857,91 ","28.861,75 "
Sectorfoto Grafische Sector , GRAFOC GRAFISCH OPLEIDINGSCENTRUM VZW ,"16.557,96 ","48.328,18 ","81.107,68 ","81.107,68 ",n/a,"42.606,33 "
SERVICE CENTRAAL 3 , Colmar ,"166.864,64 ","203.945,68 ","741.620,62 ","741.620,62 ","60.460,52 ","268.713,42 "
Service Centraal 4 , Colmar ,n/a,n/a,n/a,n/a,n/a,n/a
shine , campus Roeselare ,"10.750,00 ","14.250,00 ","27.010,13 ","27.010,13 ","10.750,00 ","28.407,43 "
Sint-Alexius opleidingsplan , PZ SINT-ALEXIUS ,"58.724,25 ","71.774,09 ","260.996,68 ","260.996,68 ","7.339,88 ","32.621,68 "
Skills for the future , PICANOL ,"210.618,89 ","257.423,09 ","936.083,95 ","936.083,95 ","91.445,36 ","407.525,71 "
SLIM! (Safe Lifting Instruction Matters!) , AERTSSEN KRANEN ,"88.818,52 ","108.555,98 ","394.749,00 ","394.749,00 ",n/a,n/a
Smart Coach als opstap naar activerende arbeidsorganiatie , Waak-BW ,"45.000,00 ","55.000,00 ","256.006,25 ","256.006,25 ",n/a,n/a
Sociaal Bedrijvencentrum , Sociaal bedrijvencentrum Maasmechelen ,"153.000,00 ","320.205,48 ","474.058,68 ","474.058,68 ","143.204,80 ","434.632,85 "
SOCIALE INNOVATIE OP ORGANISATIENIVEAU IN EUROPEES PERSPECTIEF , SOCIAAL ECONOMISCHE RAAD VAN VLAANDEREN (SERV) ,"87.314,40 ","58.209,60 ","145.524,00 ","145.524,00 ",n/a,n/a
SOTE+ , Diversiteit In Tewerkstelling (DIT) ,"28.066,50 ",n/a,"70.753,20 ","70.753,20 ","16.867,25 ","41.670,81 "
SP: Sustainable Progress , SCHERING - PLOUGH LABO ,"225.000,00 ","275.000,00 ","1.213.193,01 ","1.213.193,01 ","156.122,97 ","1.043.546,68 "
Spicer Off - Highway in training , SPICER OFF HIGHWAY PRODUCTS DIVISION ,"225.000,00 ","275.000,00 ","1.017.079,96 ","1.017.079,96 ","79.325,01 ","358.577,24 "
Spicer Off - Highway in training part 2 , SPICER OFF HIGHWAY PRODUCTS DIVISION ,n/a,n/a,n/a,n/a,n/a,n/a
Spoorzoeker , VLAAMS A.B.V.V. SYNDIKALE DIENSTEN ,"324.090,00 ","398.360,00 ","722.751,07 ","722.751,07 ","124.156,83 ","276.599,16 "
Sportief Meesterschap , SPORTS WORLD ,"156.705,75 ","191.529,25 ","696.470,00 ","696.470,00 ","91.785,28 ","407.934,58 "
STADSBADER FLAMAND TRAINING EN OPLEIDING , DESIRE STADSBADER FLAMAND NV ,"135.000,00 ","165.000,00 ","600.000,00 ","600.000,00 ",n/a,n/a
Star Quality , GE Industrial Belgium ,"97.900,74 ","119.656,46 ","435.114,40 ","435.114,40 ","18.014,51 ","80.064,50 "
Startmodule voor werkzoekenden met NAH en ASS , PAND ,"100.000,00 ","126.753,36 ","230.460,65 ","230.460,65 ","35.417,46 ","81.625,85 "
Steensterke operatoren , WIENERBERGER ,"84.081,85 ","102.766,70 ","373.697,10 ","373.697,10 ",n/a,n/a
sterk aan het werk , Katholieke Universiteit te Leuven ,"98.969,85 ","97.842,85 ","199.962,00 ","199.962,00 ",n/a,n/a
Steunpunt Werk en Sociale Economie , Steunpunt Werk en Sociale Economie ,"990.000,00 ","1.514.187,10 ","2.504.187,10 ","2.504.187,10 ","278.336,27 ","618.525,05 "
Stimuleren van leermogelijkheden in het werk , VOV VZW ,"12.358,09 ","12.358,09 ","24.965,84 ","24.965,84 ",n/a,n/a
Stimuleren van leermogelijkheden in het werk , VOV VZW ,"100.141,91 ","89.249,55 ","224.756,00 ","224.756,00 ",n/a,n/a
stoomstrijkster , VDAB ,"1.687,50 ","2.062,50 ","5.307,94 ","5.307,94 ",n/a,n/a
Stoppen is starten , zenitor ,"101.967,46 ","101.967,46 ","205.994,92 ","205.994,92 ",n/a,n/a
Stoppen is starten , Unie van Zelfstandige Ondernemers ,"9.405,00 ","9.405,00 ","19.000,00 ","19.000,00 ","9.384,96 ","18.959,52 "
STRAK - STressReductie door Attitude en Kennis , VERVOER VAN DIEVEL ,"33.771,20 ","41.275,90 ","159.054,20 ","159.054,20 ","27.558,86 ","102.408,70 "
Strategic Modernisation Initiative , ESTEE LAUDER NV ,"225.000,00 ","275.000,00 ","1.118.391,10 ","1.118.391,10 ","49.262,98 ","218.946,58 "
Strategische competenties@work , CENTER PARCS ,"135.000,00 ","165.000,00 ","639.381,60 ","639.381,60 ",n/a,n/a
Structuur in Opleiding en Organisatie , Delhaize ,"135.000,00 ","165.000,00 ","2.191.178,88 ","2.191.178,88 ",n/a,n/a
SUPERVISOR 45+ , OILTANKING ANTWERP ,"33.750,00 ","41.250,00 ","175.522,70 ","175.522,70 ",n/a,n/a
Supported Employment , Mariasteen - Gits ,"587.614,50 ",n/a,"1.343.000,00 ","1.343.000,00 ","70.466,93 ","163.777,62 "
Supported employment Gent en Vlaamse Ardennen , SOCIALE WERKPLAATS DE SLEUTEL ,"97.453,13 ",n/a,"247.873,50 ","247.873,50 ","18.979,66 ","41.067,42 "
Sustainable Progress 2010-2011 , SCHERING - PLOUGH LABO ,"135.000,00 ","165.000,00 ","735.232,80 ","735.232,80 ",n/a,n/a
SW De Sleutel en art 60 , SOCIALE WERKPLAATS DE SLEUTEL ,"129.000,00 ","803.466,90 ","1.042.560,00 ","1.042.560,00 ",n/a,n/a
Synergie_ , Johnson Controls Gent ,"225.000,00 ","275.000,00 ","2.341.763,03 ","2.341.763,03 ","118.028,76 ","524.572,27 "
Synergie3 2010-2011 , Johnson Controls Gent ,"135.000,00 ","165.000,00 ","1.037.103,71 ","1.037.103,71 ",n/a,n/a
SYNTRA Vlaanderen , VLAAMS AGENTSCHAP VOOR ONDERNEMERSVORMING - SYNTRA VLAANDEREN ,"300.000,00 ","366.666,66 ","687.285,22 ","687.285,22 ",n/a,n/a
TALENT (UP) DATE , Intergemeentelijk Opbouwwerk arrondissement Leuven ,"9.509,45 ","12.605,55 ","22.115,00 ","22.115,00 ","8.190,39 ","19.047,41 "
Talent in beweging , MONTAGE NATIONAAL FONDS VOOR TEWERKSTELLING EN OPLEIDING VAN JONGEREN ,"53.820,00 ","65.780,00 ","149.500,00 ","149.500,00 ",n/a,"22.264,71 "
Talent in proces - begeleiding , Antwerps Centrum Toegepaste Automatiseringstechniek vzw ,"56.833,88 ","69.463,62 ","126.297,50 ","126.297,50 ",n/a,n/a
Talent in proces - praktijkproef , Antwerps Centrum Toegepaste Automatiseringstechniek vzw ,"6.750,00 ","8.250,00 ","16.938,19 ","16.938,19 ",n/a,n/a
Talent Transfer , POM Oost -Vlaanderen ,"9.090,00 ","11.110,00 ","23.875,00 ","23.875,00 ","8.904,82 ","24.043,13 "
Talent Transfer , POM Oost -Vlaanderen ,"199.568,05 ","264.543,69 ","474.585,45 ","474.585,45 ","44.677,29 ","111.248,65 "
Talent Transfer , POM Oost -Vlaanderen ,"49.334,86 ","50.341,38 ","104.294,42 ","104.294,42 ",n/a,n/a
Talentactivering voor duurzame integratie , Centrale zetel ,"224.670,76 ","313.456,95 ","1.083.972,75 ","1.083.972,75 ","93.653,99 ","496.059,30 "
Talentenactivering , Transports Vervaeke ,"211.443,50 ","258.430,94 ","672.566,63 ","672.566,63 ","40.081,60 ","133.588,77 "
Talentenactivering 2 , Transports Vervaeke ,"135.000,00 ","165.000,00 ","599.622,99 ","599.622,99 ",n/a,n/a
Talentenbank , VZW solidariteit voor het gezin,n/a,n/a,n/a,n/a,n/a,n/a
Talentenbank , VZW solidariteit voor het gezin ,"177.665,56 ","346.266,90 ","1.052.864,93 ","1.052.864,93 ","143.035,77 ","635.714,52 "
Talentontwikkeling in de sociale economie , Mentor - Centrum voor opleiding en individuele begeleiding vzw ,"196.164,14 ","284.938,36 ","481.102,50 ","481.102,50 ","24.905,24 ","63.539,04 "
Talentontwikkeling in de sociale economie , Mentor - Centrum voor opleiding en individuele begeleiding vzw ,"10.212,50 ","16.975,00 ","30.625,00 ","30.625,00 ","8.569,03 ","25.694,25 "
Talentteam , VOKA-KAMER VAN KOOPHANDEL OOST-VLAANDEREN ,"45.000,00 ","55.000,00 ","150.411,46 ","150.411,46 ",n/a,n/a
Talent-TEX , COBOT VZW ,"146.005,31 ","178.450,93 ","844.002,54 ","844.002,54 ","43.668,00 ","313.260,92 "
Teach 'N Train , TNT-EXPRESS BELGIUM NV ,"72.300,35 ","88.367,09 ","321.334,88 ","321.334,88 ",n/a,n/a
Team-ontwikkeling , PICANOL ,"45.000,00 ","55.000,00 ","235.813,00 ","235.813,00 ",n/a,n/a
"Teamwerk, meer dan samen werken. ", BOMBARDIER TRANSPORTATION BELGIUM ,"45.000,00 ","55.000,00 ","259.213,00 ","259.213,00 ",n/a,n/a
Test centrum kapper , SYNTRA-LIMBURG vzw ,"16.902,00 ","20.658,00 ","40.405,55 ","40.405,55 ",n/a,n/a
Testcentrum begeleid(st)er buitenschoolse kinderopvang , VLAAMSE DIENST KIND` OPVANG vzw ,"71.910,00 ","87.890,00 ","162.024,00 ","162.024,00 ","6.894,00 ","15.543,67 "
Testcentrum Begeleider Kinderopvang , VORMINGSCENTRUM OPVOEDING EN KINDEROPVANG ,"53.023,20 ","64.806,13 ","117.829,33 ","117.829,33 ","6.929,86 ","16.678,07 "
TESTCENTRUM ERVARINGSBEWIJS BESTUURDER MOBIELE KRAAN , MONTAGE NATIONAAL FONDS VOOR TEWERKSTELLING EN OPLEIDING VAN JONGEREN ,"57.476,93 ","70.249,57 ","127.726,50 ","127.726,50 ",n/a,n/a
testcentrum ervaringsbewijs monitor/begeleider in beschutte en sociale werkplaatsen (m/v) , Werkervaringsbedrijven ,"42.390,00 ","51.810,00 ","94.200,00 ","94.200,00 ","12.407,50 ","31.403,49 "
TESTCENTRUM ERVARINGSBEWIJS PIJPFITTER , MONTAGE NATIONAAL FONDS VOOR TEWERKSTELLING EN OPLEIDING VAN JONGEREN ,"  63.347,51 ","77.424,74 ","140.772,25 ","140.772,25 ",n/a,n/a
Testcentrum Ervaringsbewijs Rigger-monteerder , MONTAGE NATIONAAL FONDS VOOR TEWERKSTELLING EN OPLEIDING VAN JONGEREN ,"7.110,00 ","8.690,00 ","66.366,75 ","66.366,75 ",n/a,n/a
Testcentrum ervaringsbewijzen 'call center operator' en 'begeleider buitenschoolse kinderopvang', V.Z.W. Opleidingscentrum van Solidariteit voor het Gezin ,n/a,n/a,n/a,n/a,n/a,n/a
Testcentrum podiumtechniek ," Erasmushogeschool Brussel, Vlaamse autonome hogeschool ","71.550,00 ","87.450,00 ","159.006,00 ","159.006,00 ",n/a,n/a
Testcentrum Podiumtechniek ," Erasmushogeschool Brussel, Vlaamse autonome hogeschool ","101.970,00 ","124.630,00 ","226.760,50 ","226.760,50 ",n/a,n/a
Themis , Grontmij Industry ,"45.000,00 ","55.000,00 ","211.198,55 ","211.198,55 ",n/a,n/a
TOECAN , Limburgs Initiatief voor Therapie en integrale Personenzorg - Dienst Gesp. Ori‘ntering ,"34.830,00 ","42.570,00 ","80.119,29 ","80.119,29 ",n/a,n/a
Toolbox 2 , DESIRE STADSBADER FLAMAND NV ,"51.555,86 ","63.012,72 ","229.137,16 ","229.137,16 ","33.977,29 ","151.010,16 "
Top Level , Friesland Foods Professional Belgium ,"29.825,34 ","36.453,19 ","132.557,06 ","132.557,06 ","11.650,98 ","51.782,15 "
TOPS , Tessenderlo Chemie ,"135.000,00 ","135.000,00 ","629.507,70 ","629.507,70 ",n/a,n/a
TRAIN_ , DLCARGO ,"219.197,98 ","267.908,64 ","974.213,24 ","974.213,24 ","69.687,76 ","309.723,38 "
Training to GO! , TENNECO AUTOMOTIVE EUROPE ,"44.274,20 ","54.112,91 ","196.774,20 ","196.774,20 ",n/a,n/a
Training voor operatoren , WIENERBERGER ,"104.044,72 ","127.166,02 ","471.001,42 ","471.001,42 ","97.412,58 ","432.944,80 "
Traject opleiding voor werkenden Villeroy & Boch Wellness n.v. , VILLEROY & BOCH WELLNESS ,n/a,n/a,n/a,n/a,n/a,n/a
Trajectbegeleiding begeleiders kinderopvang , VLAAMSE DIENST KIND` OPVANG vzw ,"10.668,32 ","10.668,32 ","21.550,00 ","21.550,00 ","5.774,87 ","11.666,41 "
Trajectbegeleiding en competentieversterking van wz met focus op de 4 prioritaire kansengroepen , VDAB ,"18.850.000,00 ","23.038.888,89 ","42.210.901,50 ","42.210.901,50 ","18.850.000,00 ","49.821.481,29 "
TransLevantor , LEVANTO ,"31.413,48 ","141.558,27 ","202.889,35 ","202.889,35 ",n/a,"54.390,38 "
trendonderzoek naar loopbaanpercepties in Vlaanderen , Bexpertise ,"20.000,00 ","20.000,00 ","40.250,00 ","40.250,00 ",n/a,n/a
Ubuntu , Feniks vzw ,"44.603,33 ","21.925,75 ","116.610,00 ","116.610,00 ",n/a,n/a
Uitmuntend leren Fase 6 , DECEUNINCK ,"225.000,00 ","275.000,00 ","1.027.896,00 ","1.027.896,00 ","145.274,36 ","643.839,63 "
Uitmuntend leren Fase 7 , DECEUNINCK ,"135.000,00 ","165.000,00 ","718.473,00 ","718.473,00 ",n/a,n/a
uitsnijder-uitbener , Hoofdzetel van : Koninklijk Technisch Atheneum ,"19.710,00 ","25.476,00 ","48.458,08 ","48.458,08 ",n/a,n/a
Umicore Olen: Veilig en Wel naar 2015 , UMICORE ,"88.783,58 ","108.513,26 ","394.593,68 ","394.593,68 ","10.076,74 ","44.785,50 "
UNIZO loopbaandienstverlening , Unie van Zelfstandige Ondernemers ,"171.810,00 ","214.990,00 ","396.643,55 ","396.643,55 ","54.925,96 ","125.282,69 "
UNIZO transnationaal , Unie van Zelfstandige Ondernemers ,"96.006,00 ","64.004,00 ","160.010,00 ","160.010,00 ",n/a,n/a
Upgrading en empowerment , Robert Bosch Produktie ,"210.997,69 ","257.886,06 ","937.767,50 ","937.767,50 ","45.058,98 ","200.262,13 "
UPSTREAM , Conix Architects - Burgelijke Vennootschap ,"41.279,29 ","50.452,47 ","174.257,50 ","174.257,50 ",n/a,n/a
Vaktechnische kennis en commerci‘le vaardigheden , Sigma Service Center Hasselt PPG ,"93.894,55 ","114.760,00 ","417.309,10 ","417.309,10 ","37.425,14 ","166.433,92 "
Validering proeven podiumtechnieken ," Erasmushogeschool Brussel, Vlaamse autonome hogeschool ","15.187,50 ","18.562,50 ","33.750,00 ","33.750,00 ",n/a,n/a
VAN HOOL TRAINING , VAN HOOL ,"225.000,00 ","380.701,10 ","1.375.514,08 ","1.375.514,08 ","76.801,94 ","387.701,62 "
VAN HOOL TRAINING & OPLEIDING , VAN HOOL ,"68.372,10 ","83.565,90 ","303.876,00 ","303.876,00 ",n/a,n/a
Van lijnstructuur naar teamstructuur , DECEUNINCK ,"32.463,17 ","39.677,21 ","144.280,76 ","144.280,76 ",n/a,n/a
van productgestructureerde naar klantgeori‘nteerde organisatie , Securex ,"43.125,00 ","52.708,33 ","191.666,67 ","191.666,67 ",n/a,"168.516,79 "
