Nom des bnficiaires,Portefeuilles,Projets,Date de dcision du gouvernement,Montant investi,Feder budget decide,Rgion wallonne budget decide,Autres budget decide,Total budget decide,Feder budget paye
S.A. LOGITOYS,n/a,n/a,09/06/2008,"6.000.000,00","393.750,00","731.250,00",n/a,"1.125.000,00",n/a
S.A. MEGAMAX,n/a,n/a,24/09/2008,"4.875.000,00","341.250,00","633.750,00",n/a,"975.000,00",n/a
S.A. NEOCERAM,n/a,n/a,24/11/2008,"1.400.000,00","158.307,69","294.000,00",n/a,"452.307,69",n/a
S.A. OPTICABLE,n/a,n/a,18/12/2008,"13.900.000,00","1.313.550,00","2.439.450,00",n/a,"3.753.000,00",n/a
S.A. POLYMEDIS,n/a,n/a,24/10/2008,"1.450.500,00","152.302,50","282.847,50",n/a,"435.150,00",n/a
S.A. QUALITY ASSISTANCE,n/a,n/a,02/12/2008,"4.089.000,00","415.033,50","770.776,50",n/a,"1.185.810,00",n/a
S.A. QUINTENS BAKERIES,n/a,n/a,26/09/2008,"3.773.300,00","264.131,00","490.529,00",n/a,"754.660,00",n/a
S.A. SIOEN FABRICS,n/a,n/a,26/09/2008,"8.256.000,00","577.920,00","1.073.280,00",n/a,"1.651.200,00",n/a
S.A. STOW INTERNATIONAL,n/a,n/a,25/11/2008,"8.281.115,00","579.678,05","1.076.544,95",n/a,"1.656.223,00",n/a
S.A. UCI,n/a,n/a,02/12/2008,"1.020.000,00","53.550,00","99.450,00",n/a,"153.000,00",n/a
S.P.R.L. CAMARG,n/a,n/a,24/09/2008,"4.999.000,00","524.895,00","974.805,00",n/a,"1.499.700,00",n/a
S.P.R.L. DEQUENNE CHIMIE,n/a,n/a,20/06/2008,"2.050.000,00","234.807,69","430.500,00",n/a,"665.307,69",n/a
S.P.R.L. PENNEL &FLIPO,n/a,n/a,09/04/2008,"15.162.000,00","997.500,00","1.852.500,00",n/a,"2.850.000,00",n/a
SCRL SUNWORKS,n/a,n/a,26/11/2008,"405.306,00","45.830,75","85.114,26",n/a,"130.945,01",n/a
SPRL ABRASIVE TRADING,n/a,n/a,22/04/2008,"1.045.000,00","73.150,00","135.850,00",n/a,"209.000,00",n/a
SPRL BENECHIM,n/a,n/a,02/12/2008,"2.648.000,00","203.896,00","378.664,00",n/a,"582.560,00",n/a
SPRL CS ENGINEERING,n/a,n/a,14/10/2008,"400.000,00","45.231,20","84.000,80",n/a,"129.232,00",n/a
SPRL STOCKHABO,n/a,n/a,02/12/2008,"3.500.000,00","245.000,00","455.000,00",n/a,"700.000,00",n/a
THE RICE CAKE FACTORY,n/a,n/a,20/06/2008,"9.300.000,00","878.850,00","1.632.150,00",n/a,"2.511.000,00",n/a
SA Ç Filiale Convergence Hoccinvest È,n/a,n/a,06/11/2008,"26.875.357,00","10.750.142,80","11.778.749,98",n/a,"26.875.357,00","7580366,8"
SA Ç Filiale Convergence IBC È,n/a,n/a,06/11/2008,"52.470.936,00","20.988.374,40","22.996.606,97",n/a,"52.470.936,00","14799763,6"
