"Operačný program","Názov prijímateľa","Názov projektu","Rok - Začiatok realizácie","Mesiac - Začiatok realizácie","Rok - Koniec realizácie","Mesiac - Koniec realizácie","Spolufinancovanie","EÚ zdroje - Zazmluvnené prostriedky","ŠR zdroje - Zazmluvnené prostriedky","Spolu - Zazmluvnené prostriedky","EÚ zdroje - Vyčerpané prostriedky","ŠR zdroje - Vyčerpané prostriedky","Spolu - Vyčerpané prostriedky"
"OP Životné prostredie","17058520 - ŠOP SR","24150120027 - Zlep.stavu  tetrov hlucháň a tetrov hoľniak",2010,"Január",2012,"December",0,489925.73,86457.48,576383.21,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120035 - Realizácia programu záchrany druhu zubor",2010,"Január",2011,"December",0,400902.76,70747.55,471650.31,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120038 - Vyprac. projektov ochrany pre 26 území EV",2009,"November",2010,"December",0,62550.36,11038.3,73588.66,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120039 - Výskum a monitoring populácií veľkých še",2009,"Jún",2012,"December",0,1785338.89,315059.8,2100398.69,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120041 - Monitoring a manažment vybraných jaskýň",2010,"Január",2012,"December",0,655847.4,115737.78,771585.18,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120010 - Priazn. stav vtákov a ich biotopov v CHVÚ-1. etapa",2009,"Január",2011,"December",0,1183527.59,208857.81,1392385.4,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120025 - Zabezpečenie starostlivosti o mokrade SR",2009,"August",2012,"December",0,861999.62,152117.58,1014117.2,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120028 - Monitoring a manažment kormorána veľkého",2010,"Január",2012,"December",0,1163674.06,205354.25,1369028.31,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120033 - Propagácia chránených území a druhov NAT",2009,"September",2011,"December",0,227309.35,40113.41,267422.76,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120040 - Zlepšenie stavu motýľov Maculinea",2010,"Január",2012,"December",0,191326.39,33763.48,225089.87,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120004 - Zlepš.infraš.ochr.prír.a kra.Dobšinská ľad.jaskyňa",2008,"Máj",2010,"September",0,715502.36,126265.12,841767.48,414847.96,73208.46,488056.42
"OP Životné prostredie","17058520 - ŠOP SR","24150120013 - Konsolidácia serverov a IT infraštruktúry SSJ",2009,"Január",2010,"December",0,181434.06,32017.78,213451.84,4643.55,819.45,5463
"OP Životné prostredie","17058520 - ŠOP SR","24150120014 - Posil. infrašt. v Pienin. NP pre zabez.plnenia",2008,"Február",2010,"December",0,705575.5,124513.32,830088.82,36679.28,6472.81,43152.09
"OP Životné prostredie","17058520 - ŠOP SR","24150120019 - Zlepšenie infraštrukt. ochrany prír. a krajiny V.F",2007,"Jún",2010,"December",0,398073.94,70248.34,468322.28,39722.95,7009.93,46732.88
"OP Životné prostredie","17058520 - ŠOP SR","24150120020 - Infraštruktúra NATURA 2000 - NP Slovenský raj",2008,"September",2011,"Marec",0,987519.09,174268.08,1161787.17,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120021 - Zlepšenie informovanosti - CHKO Horná Orava",2009,"Apríl",2012,"Marec",0,846155.13,149321.49,995476.62,13152.95,2321.11,15474.06
"OP Životné prostredie","17058520 - ŠOP SR","24150120022 - Rekonštr. návštevnej trasy v Demän. ľadov.jaskyni",2007,"August",2015,"December",0,497411.72,87778.54,585190.26,83962.41,14816.9,98779.31
"OP Životné prostredie","17058520 - ŠOP SR","24150120024 - Rekonštrukcia prehliadkovej trasy v Harm",2010,"Január",2012,"December",0,297088.13,52427.32,349515.45,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120026 - Zlepšenie infraštruktúry Národného parku",2009,"September",2011,"Máj",0,294458.45,51963.26,346421.71,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120031 - Realizácia schválených programov záchran",2009,"Máj",2011,"December",0,37165.95,6558.7,43724.65,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120032 - Zlepšenie starostlivosti o Ramsarskú lok",2010,"Január",2011,"December",0,334184.11,58973.67,393157.78,0,0,0
"OP Životné prostredie","17058520 - ŠOP SR","24150120036 - Posilnenie infraštruktúry Správy CHKO Po",2009,"November",2011,"December",0,681862.95,120328.75,802191.7,0,0,0
"OP Životné prostredie","31753604 - Geologický ústav DŠ","24110110004 - Monitorovanie kvality podzemných vôd SR",2008,"Január",2010,"December",0,1105807.79,195142.55,1300950.34,0,0,0
"OP Životné prostredie","31753604 - Geologický ústav DŠ","24140110007 - Atlas sanačných metód environm. záťaží",2008,"December",2010,"November",0,97165.64,17146.88,114312.52,13890.76,2451.31,16342.07
"OP Životné prostredie","36145114 - Sloven.múz. ochr.prír.a jaskyn","24150120001 - Digitalizácia fondov a podpora informatiz. v OPaK",2008,"Január",2011,"December",0,457401.92,80717.99,538119.91,53621.03,9462.53,63083.56
"OP Životné prostredie","36145114 - Sloven.múz. ochr.prír.a jaskyn","24150120002 - Natura 2000 v celoživotnom vzdelávaní",2008,"Január",2010,"December",0,271072.42,47836.31,318908.73,95766.6,16899.99,112666.59
"OP Životné prostredie","36145114 - Sloven.múz. ochr.prír.a jaskyn","24150120003 - Získ. zemepis. sur. jaskýň a dobud. archívu múzea",2008,"Január",2011,"December",0,289675.39,51119.19,340794.58,50897.82,8981.97,59879.79
"OP Životné prostredie","36145114 - Sloven.múz. ochr.prír.a jaskyn","24150120012 - Rekonštrukcia budovy múzea + environ. vzdelávan.",2008,"Február",2011,"December",0,8153606.52,1438871.74,9592478.26,65640.39,11583.6,77223.99
"OP Životné prostredie","00304913 - Mesto Malacky","24110110041 - Záhorie, Malacky - odkanalizovanie",2009,"Október",2012,"Október",733081.62,12462387.52,1466163.24,13928550.76,0,0,0
"OP Životné prostredie","00304913 - Mesto Malacky","24140110034 - Existujúca hala -modernizácia sprac.druhot.surovín",2008,"Január",2014,"Jún",95913.16,1630523.8,191826.33,1822350.13,848435.72,99815.97,948251.69
"OP Životné prostredie","00305081 - Mesto Stupava","24110110012 - Dostavba kanal.siete a intenz. ČOV mesta Stupava",2009,"Február",2010,"Júl",602897.51,10249257.68,1205795.02,11455052.7,0,0,0
"OP Životné prostredie","00305235 - Obec Zohor","24110110027 - Dobudovanie celoobecnej kanalizácie v obci Zohor",2009,"Január",2010,"August",26265.03,446505.56,52530.07,499035.63,335914.79,39519.39,375434.18
"OP Životné prostredie","00305553 - Obec Lehnice","24110110050 - Dobudovanie celoobecnej kanalizácie a vodovodu",2009,"Júl",2012,"Apríl",48686.56,827671.54,97373.12,925044.66,0,0,0
"OP Životné prostredie","00305553 - Obec Lehnice","24140110098 - Program separ. zberu obce Lehnice",2009,"Október",2011,"Máj",40713.47,692129,81426.94,773555.94,0,0,0
"OP Životné prostredie","00305731 - Obec Štvrtok na Ostrove","24110110015 - Kanalizácia Štvrtok na Ostrove - 4. časť",2009,"Január",2011,"Marec",60667.98,1031355.61,121335.95,1152691.56,0,0,0
"OP Životné prostredie","00305936 - Mesto Galanta","24130120005 - Zvýš.kvality ovzdušia pre obyv. mesta Galanta",2008,"Jún",2010,"Február",17775.34,302180.84,35550.69,337731.53,132622.82,15602.69,148225.51
"OP Životné prostredie","00305936 - Mesto Galanta","24140110004 - Rekult. skládky inertného odpadu Galanta - Javorin",2008,"Február",2009,"December",22068.16,375158.7,44136.32,419295.02,336075.25,39538.27,375613.52
"OP Životné prostredie","00305936 - Mesto Galanta","24140110044 - Vybudovanie zariad.na zhodnoc.BRO GA-Zámocká Lúka",2008,"Júl",2009,"December",61718.99,1049222.9,123437.99,1172660.89,515713.28,60672.15,576385.43
"OP Životné prostredie","00306169 - Mesto Sereď","24140110020 - Dobudovanie infraštruktúry OH mesta Sereď",2009,"Apríl",2010,"December",9793.27,166485.67,19586.55,186072.22,54758.09,6442.13,61200.22
"OP Životné prostredie","00306177 - Sládkovičovo","24140110039 - Zhodnocovanie drobných stavebných odpadov",2009,"Apríl",2009,"December",15446.54,262591.24,30893.09,293484.33,210501.65,24764.9,235266.55
"OP Životné prostredie","00306215 - Obec Tešedíkovo","24140110120 - Zberný dvor separátov komunálneho odpadu",2009,"August",2011,"Október",104489.83,1776327.04,208979.65,1985306.69,0,0,0
"OP Životné prostredie","00306240 - Trnovec nad Váhom","24140110037 - Kompostáreň nad 10 ton",2007,"Júl",2011,"Máj",20919.8,355636.52,41839.59,397476.11,0,0,0
"OP Životné prostredie","00306380 - Obec Brestovec","24140110042 - Kompostáreň - Brestovec",2009,"Január",2010,"September",9224.1,156809.65,18448.19,175257.84,0,0,0
"OP Životné prostredie","00306401 - Obec Čalovec - 139066","24140110047 - Kompostáreň Čalovec",2009,"Január",2010,"September",9167.65,155850,18335.29,174185.29,0,0,0
"OP Životné prostredie","00306452 - Hurbanovo","24140110012 - Hurbanovo - skládka TKO - rekultivácia skládky",2008,"Apríl",2009,"December",88376.71,1502404.13,176753.43,1679157.56,0,0,0
"OP Životné prostredie","00306550 - OcÚ Marcelová","24110110043 - Odkanalizovanie Obce Marcelová",2009,"Júl",2015,"August",432637.45,7354836.73,865274.91,8220111.64,0,0,0
"OP Životné prostredie","00306649 - Obec Pribeta","24140110081 - Strojové vybavenie zberného dvora separo",2009,"August",2010,"September",13300.27,226104.64,26600.55,252705.19,0,0,0
"OP Životné prostredie","00306703 - Obec Veľké Kosihy","24140110035 - Kompostáreň - Veľké Kosihy",2009,"Január",2010,"September",9165.94,155820.94,18331.88,174152.82,0,0,0
"OP Životné prostredie","00306975 - obec Hontianska Vrbica","24140110011 - Skládka TKO Hontianska Vrbica-rekult.uzatv a mon.s",2008,"Január",2009,"December",69626.23,1183645.83,139252.45,1322898.28,850622.9,100073.28,950696.18
"OP Životné prostredie","00307360 - Obec Plášťovce","24140110049 - Plášťovce - rekult. skládky TKO",2007,"Január",2010,"Júl",25759.97,437919.51,51519.94,489439.45,182344.44,21452.29,203796.73
"OP Životné prostredie","00307785 - obec Cabaj-Čápor","24110110057 - Obecná kanalizácia – ČOV, Cabaj-Čápor 2009",2007,"September",2011,"Október",412982.76,7020706.89,825965.52,7846672.41,0,0,0
"OP Životné prostredie","00307891 - Dolné Obdokovce","24140110099 - Program sep. zberu obce Dolné Obdokovce",2009,"Október",2011,"Máj",83823.97,1425007.52,167647.94,1592655.46,0,0,0
"OP Životné prostredie","00308153 - Obec Lehota","24140110137 - Lehota – rekultivácia skládky odpadov",2007,"August",2010,"December",24339.46,413770.82,48678.92,462449.74,0,0,0
"OP Životné prostredie","00308269 - Obec Mojmirovce","24140110133 - Projekt uzavretia a rekultivácie skládky",2009,"Október",2011,"Jún",58345.22,991868.66,116690.43,1108559.09,0,0,0
"OP Životné prostredie","00308307 - Mesto Nitra","24140110036 - Kompostáreň pre mesto Nitra",2007,"Marec",2010,"Október",167748.76,2851728.87,335497.51,3187226.38,0,0,0
"OP Životné prostredie","00308315 - OBEC ČECHYNCE","24140110150 - Čechynce - uzatvorenie a rekultivácia skládky",2009,"Máj",2010,"December",22794.89,387513.16,45589.78,433102.94,0,0,0
"OP Životné prostredie","00308382 - Obec Pohranice","24110110039 - Dobudovanie celoobecnej kanalizácie v obci Pohrani",2009,"September",2012,"Február",132750.17,2256752.91,265500.34,2522253.25,0,0,0
"OP Životné prostredie","00308498 - obec Šurianky","24140110005 - Šurianky - rekultivácia skládky KO",2007,"August",2009,"September",21507.15,365621.52,43014.3,408635.82,357811.93,42095.52,399907.45
"OP Životné prostredie","00308641 - Mesto Vráble","24140110121 - Zefektívnenie separovaného zberu Vráble",2008,"December",2011,"Júl",82816.22,1407875.78,165632.45,1573508.23,0,0,0
"OP Životné prostredie","00308692 - Obec Žikava","24110110031 - Vodovod obce Žikava,zásob.vod.potrub. Žikava-Lovce",2008,"Január",2010,"Október",61466.29,1044926.91,122932.58,1167859.49,640665.75,75372.44,716038.19
"OP Životné prostredie","00308749 - Obec Andovce","24140110050 - Andovce - skládka TKO, rekultivácia skládky",2007,"Jún",2010,"Jún",23697.75,402861.72,47395.5,450257.22,78431.53,9227.24,87658.77
"OP Životné prostredie","00309095 - Obec Michal nad Žitavou","24140110135 - Michal nad Žitavou - uzatvorenie a rekult.skládky",2008,"Júl",2011,"Október",22056.07,374953.22,44112.14,419065.36,0,0,0
"OP Životné prostredie","00309141 - Obec Nová Vieska","24140110132 - Rekultiv. skládky TKO Nová Vieska",2010,"Marec",2010,"December",13773.86,234155.6,27547.72,261703.32,0,0,0
"OP Životné prostredie","00309419 - obec Borský Mikuláš","24110110018 - Splašková tlaková kanalizácia II.etapa",2009,"Júl",2011,"Jún",336413.23,5719024.9,672826.46,6391851.36,0,0,0
"OP Životné prostredie","00309524 - Mesto Gbely","24110110008 - Kanalizácia, ulica Medlenova",2009,"Február",2010,"Júl",25867.38,439745.53,51734.77,491480.3,0,0,0
"OP Životné prostredie","00309524 - Mesto Gbely","24140110025 - Zberný dvor odpadov Gbely",2008,"Jún",2010,"Máj",37314.77,634351.15,74629.55,708980.7,74761.55,8795.48,83557.03
"OP Životné prostredie","00309541 - Mesto Holíč","24130120007 - Výsadba zelene v Holíči za účel.zniž.vplyvu imisií",2008,"Júl",2009,"December",8031.43,136534.23,16062.85,152597.08,124616.17,14660.73,139276.9
"OP Životné prostredie","00309672 - Kúty","24140110001 - Uzavretie a rekultivácia skládky odpadov - Kúty",2008,"Máj",2010,"Február",123539.09,2100164.58,247078.19,2347242.77,0,0,0
"OP Životné prostredie","00309745 - Mesto Myjava","24120110023 - Vybudovanie poldra Svacenický jarok",2009,"December",2012,"Marec",119218.15,2026708.52,238436.3,2265144.82,0,0,0
"OP Životné prostredie","00309745 - Mesto Myjava","24140110122 - Regionálne centrum pre zhodnotenie biolog.",2009,"Február",2011,"Apríl",150508.94,2558652.04,301017.89,2859669.93,0,0,0
"OP Životné prostredie","00309958 - Rudník (Myjava)","24130120028 - Efektív.využív.energií v budove ZŠ a MŠ v Rudníku",2009,"December",2012,"December",10026.5,170450.5,20053,190503.5,0,0,0
"OP Životné prostredie","00311162 - Topoľčany","24140110024 - Dotrieďovací dvor odpadového hosp. Topoľčany",2007,"Október",2010,"Máj",140722.79,1242643.42,146229.33,1388872.75,0,0,0
"OP Životné prostredie","00311685 - Kočovce","24110110026 - Vybud. a využ. stokovej siete v aglomeráciií obcí",2008,"Január",2011,"Marec",408316.14,6941374.39,816632.28,7758006.67,0,0,0
"OP Životné prostredie","00311812 - Mesto Nemšová","24140110116 - Regionálne centrum zhodnocovania BRO v m",2010,"Január",2011,"Jún",240397.77,4086762.16,480795.55,4567557.71,0,0,0
"OP Životné prostredie","00311863 - Mesto Nové Mesto nad Váhom","24140110045 - Modernizácia odpad. hosp. v NMnV - 2. etapa",2009,"Január",2010,"Apríl",32214.56,547647.5,64429.12,612076.62,0,0,0
"OP Životné prostredie","00311863 - Mesto Nové Mesto nad Váhom","24140110048 - Skládka odpadov - Mnešice - Tušková",2009,"Február",2010,"Október",162230.3,2757915.17,324460.61,3082375.78,0,0,0
"OP Životné prostredie","00312002 - Mesto Stará Turá","24140110038 - Rozšírenie a moderniz. v Starej Turej - II. etapa",2009,"Január",2010,"Máj",43730.37,743416.36,87460.75,830877.11,595858.3,70100.98,665959.28
"OP Životné prostredie","00312053 - Obec Trenčianska Turná","24110110054 - Trenčianska Turná KANALIZÁCIA",2010,"Január",2012,"Január",172172.24,2926928.06,344344.48,3271272.54,0,0,0
"OP Životné prostredie","00312088 - Mesto Trenčianske Teplice","24140110066 - Uzatvor. a rekult. skládky Trenč.Teplice - Kaňová",2007,"Január",2011,"Január",302197.3,5137354.13,604394.6,5741748.73,0,0,0
"OP Životné prostredie","00312622 - obec Kátlovce","24140110023 - Program separovaného zberu odpadov-Kátlovce",2009,"Január",2010,"Júl",22522.73,382886.38,45045.46,427931.84,0,0,0
"OP Životné prostredie","00313092 - obec Trakovice","24140110006 - Trakovice - rekultivácia skládky odpadov",2008,"Február",2009,"Júl",25112.47,426912.02,50224.94,477136.96,381076.79,44832.56,425909.35
"OP Životné prostredie","00313114 - Mesto Trnava","24140110115 - Zariadenie na zhodnotenie odpadov Trnava",2009,"September",2011,"Február",161993,2753881,323986,3077867,0,0,0
"OP Životné prostredie","00313271 - Mesto Banská Bystrica","24140110029 - Zaved.sep.zberu kovov a BRO na úz.mesta B.Bystrica",2009,"Január",2010,"August",32768.1,557057.68,65536.2,622593.88,0,0,0
"OP Životné prostredie","00313343 - Obec Čierny Balog","24140110138 - Uzav. a rekult. skládky PDO Kopec-Čierny Balog",2010,"Apríl",2011,"September",12659.94,215218.9,25319.87,240538.77,0,0,0
"OP Životné prostredie","00313424 - Obec Heľpa","24110110037 - Čistiareň odpadových vôd Heľpa 2009",2009,"November",2011,"Február",73549.59,1250342.95,147099.17,1397442.12,0,0,0
"OP Životné prostredie","00313424 - Obec Heľpa","24140110074 - Vybudovanie zariadenia na zber komunálny",2009,"Marec",2013,"December",38705.94,658000.9,77411.87,735412.77,0,0,0
"OP Životné prostredie","00313696 - Obec Pohorelá","24110110055 - Splašková kanalizácia Pohorelá–II.,III.a IV.stavba",2008,"Apríl",2012,"Marec",240956.36,4096258.11,481912.72,4578170.83,0,0,0
"OP Životné prostredie","00313726 - obec Polomka","24110110007 - Ochrana spodných vôd v regióne Polomka",2009,"Apríl",2012,"Jún",63781.81,1084290.79,127563.62,1211854.41,3075.3,361.8,3437.1
"OP Životné prostredie","00313726 - obec Polomka","24140110126 - Vybudovanie zberného dvora v obci Polomk",2009,"Apríl",2013,"December",46311.03,787287.47,92622.06,879909.53,0,0,0
"OP Životné prostredie","00313874 - Obec Telgárt","24140110030 - Zberný dvor a separácia odpadov - obec Telgárt",2008,"Máj",2014,"December",23267.15,395541.59,46534.31,442075.9,0,0,0
"OP Životné prostredie","00313947 - Obec Závadka nad Hronom","24110110036 - Splašková kanalizácia a ČOV-Závadka nad Hronom",2009,"September",2011,"September",403359.11,6857104.91,806718.23,7663823.14,0,0,0
"OP Životné prostredie","00313980 - Obec Čierne","24140110040 - Separovaný zber v obci Čierne",2009,"Január",2010,"Apríl",8430.74,143322.64,16861.49,160184.13,0,0,0
"OP Životné prostredie","00314170 - Obec Oščadnica","24140110026 - Vybudovanie technic.zariad.- sep.zber Oščadnica",2009,"Január",2009,"September",9569.63,162683.72,19139.26,181822.98,144459.19,16995.2,161454.39
"OP Životné prostredie","00314331 - Turzovka","24140110100 - Čisté mesto bez odpadu:zefektí.odpad.hosp-Turzovka",2009,"Máj",2010,"Júl",20258.53,344395.01,40517.06,384912.07,0,0,0
"OP Životné prostredie","00314544 - Obec Klin","24130120029 - Zmena palivovej základne v ZŠ Klin - biomasa",2008,"August",2010,"December",28013.34,476226.75,56026.68,532253.43,14282.38,1680.28,15962.66
"OP Životné prostredie","00314676 - Mesto Námestovo","24140110013 - Uzatvor.skládky TKO Zubrohlava sev.kazeta-I.etapa",2007,"August",2009,"December",115637.67,1965840.39,231275.34,2197115.73,1828639.07,215134.01,2043773.08
"OP Životné prostredie","00314676 - Mesto Námestovo","24140110093 - Zberný dvor Námestovo 2009",2008,"Február",2012,"December",15791.03,268447.45,31582.05,300029.5,0,0,0
"OP Životné prostredie","00314901 - Mesto Tvrdošín","24140110003 - Zakrytie a rekult. skládky NNO Tvrdošín-Jurčov Laz",2008,"Január",2010,"Jún",46880.47,796968.06,93760.95,890729.01,668479.29,78644.62,747123.91
"OP Životné prostredie","00314901 - Mesto Tvrdošín","24140110082 - Zberný dvor Tvrdošín",2009,"November",2010,"December",104317.49,1773397.32,208634.98,1982032.3,0,0,0
"OP Životné prostredie","00315397 - Liptovská Lúžna","24130120025 - Rekonštr. kotolní a vykurov. syst. Liptovská Lúžna",2007,"Júl",2015,"December",137200.52,2332408.82,274401.04,2606809.86,0,0,0
"OP Životné prostredie","00315494 - Mesto Liptovský Hrádok","24140110043 - Projekt materiál.zhodn. BRO aerobnou fermentáciou",2009,"Január",2010,"Jún",35720.72,607252.26,71441.44,678693.7,572834.14,67392.25,640226.39
"OP Životné prostredie","00315494 - Mesto Liptovský Hrádok","24140110076 - Zavedenie separovaného zberu biologicky",2009,"Máj",2011,"Júl",21994.39,373904.63,43988.78,417893.41,0,0,0
"OP Životné prostredie","00315737 - Mesto Ružomberok","24140110032 - Integr.systém OH Ružomberok-zberný dvor",2009,"Február",2010,"December",60368.23,1026259.91,120736.46,1146996.37,0,0,0
"OP Životné prostredie","00315737 - Mesto Ružomberok","24140110064 - Integrovaný systém OH Ružomberok-kompostovanie BRO",2009,"Január",2010,"Marec",66093.34,1123586.8,132186.68,1255773.48,0,0,0
"OP Životné prostredie","00316181 - Mesto Lučenec","24140110058 - Lučenec kompostáreň BRO",2008,"Október",2010,"Jún",107662.82,1830267.99,215325.65,2045593.64,1010309.08,118859.89,1129168.97
"OP Životné prostredie","00317179 - Dolný Lieskov","24120110019 - Vyregulovanie dna toku potoka Lieskovského",2009,"Október",2011,"August",5486.03,93262.48,10972.06,104234.54,0,0,0
"OP Životné prostredie","00317462 - Obec Lednické Rovne","24140110054 - Zakratie a rekultivácia skládky Lednické Rovne",2008,"December",2010,"December",171495.24,2915419.05,342990.48,3258409.53,0,0,0
"OP Životné prostredie","00317489 - Obec Lúky","24140110136 - Uzatvorenie a rekultivácia skládky odpad- Lúky",2010,"Január",2010,"December",17272.23,293627.95,34544.47,328172.42,0,0,0
"OP Životné prostredie","00317721 - obec Pruské","24130120031 - Nechajme dýchať",2009,"Január",2010,"Máj",34602.65,588245.06,69205.3,657450.36,0,0,0
"OP Životné prostredie","00318302 - Obec  Nedožery - Brezany","24140110021 - Zefekt. a rozšírenie.sepr.odpadu Nedožery-Brezany",2008,"Marec",2010,"Jún",16414.04,279038.65,32828.08,311866.73,0,0,0
"OP Životné prostredie","00319643 - Obec Veľké Zlievce","24140110151 - Uzavretie a rekultivácia skládky Veľké Zlievce",2010,"Január",2010,"December",17442.48,296522.09,34884.95,331407.04,0,0,0
"OP Životné prostredie","00319805 - Mesto Detva","24140110134 - Rekut. reg. skl. odpadov Detva-Studienec, II.etap",2010,"Január",2010,"December",28002,476034.05,56004.01,532038.06,0,0,0
"OP Životné prostredie","00320781 - Mesto Kremnica","24140110009 - Skládka odpadov Kremnické bane-Ovčín:rekultivácia",2008,"August",2010,"November",56045.31,952770.25,112090.62,1064860.87,0,0,0
"OP Životné prostredie","00320897 - Nová Baňa","24110110058 - Kanalizačný zberač ul. Kamenárska",2009,"Júl",2010,"September",54550.75,927362.82,109101.51,1036464.33,0,0,0
"OP Životné prostredie","00320897 - Nová Baňa","24140110051 - Úprava zložiek BRO pred zhodnotením - Nová Baňa",2008,"Január",2010,"Apríl",29602.21,503237.55,59204.42,562441.97,0,0,0
"OP Životné prostredie","00321125 - Mesto Žiar n/H","24140110028 - Intenzifikácia separ. zberu v Žiari n. Hronom",2009,"Január",2010,"December",162557.04,2763469.69,325114.08,3088583.77,0,0,0
"OP Životné prostredie","00321125 - Mesto Žiar n/H","24140110041 - Uzatvor. a rekul. Skl.odp. H. Opatovce, Žiar/Hrono",2009,"Január",2010,"September",198611.52,3376395.88,397223.05,3773618.93,0,0,0
"OP Životné prostredie","00321699 - Obec Terchová","24110110006 - Terchová-Struháreň,prívod vody zo zdroja Balátovia",2007,"Január",2010,"Jún",163130.99,2773226.8,326261.98,3099488.78,476662.07,56077.89,532739.96
"OP Životné prostredie","00321982 - Mesto Giraltovce - MÚ","24110110013 - Giraltovce, ul. Kpt. Nálepku - kanalizácia",2008,"Júl",2010,"Október",41012.03,697204.58,82024.07,779228.65,11498.67,1352.79,12851.46
"OP Životné prostredie","00322521 - Obec Raslavice","24110110021 - ČOV a kanalizácia Raslavice",2008,"Júl",2010,"November",187764.78,3192001.28,375529.56,3567530.84,0,0,0
"OP Životné prostredie","00322814 - Obec Belá nad Cirochou","24110110019 - Splašk. kanal. + ČOV Belá nad Cirochou - II.Etapa",2008,"Február",2011,"Február",254123.16,4320093.67,508246.31,4828339.98,0,0,0
"OP Životné prostredie","00322814 - Obec Belá nad Cirochou","24140110141 - Uzatvorenie a rekultivácia  existujúcej skl. k. od",2009,"Október",2010,"September",13034.76,221590.88,26069.52,247660.4,0,0,0
"OP Životné prostredie","00322849 - Obec Brestov","24120110035 - Úprava Hlbokého potoka v obci Bresto",2007,"Február",2011,"Máj",35613.89,605436.2,71227.79,676663.99,0,0,0
"OP Životné prostredie","00323021 - Mesto Humenné","24140110018 - Separačný dvor na Sninskej ulici v Humennom",2009,"Január",2009,"December",115912.19,1970507.15,231824.37,2202331.52,0,0,0
"OP Životné prostredie","00323187 - Krásny Brod","24120110004 - Realizácia protipovod. opatrení v obci Krásny Brod",2007,"Máj",2009,"December",72941.64,1240007.84,145883.28,1385891.12,769759.32,90559.92,860319.24
"OP Životné prostredie","00323209 - obec Lieskovec","24120110017 - Eliminácia rizík spojených s výskytom povod. skôd",2009,"Október",2010,"December",83297.46,1416056.9,166594.93,1582651.83,0,0,0
"OP Životné prostredie","00323560 - mesto Snina","24140110019 - Rozšírenie separovaného zberu v meste Snina",2008,"Október",2010,"Marec",26499.46,450490.8,52998.92,503489.72,0,0,0
"OP Životné prostredie","00323560 - mesto Snina","24140110072 - Regionálne centrum zhodnocovania biologi",2009,"November",2010,"December",117994.77,2005911.12,235989.54,2241900.66,0,0,0
"OP Životné prostredie","00323578 - Obec Stakčín","24110110025 - ČOV a kanalizácia obce Stakčín - VI.a VII. etapa",2007,"December",2011,"Jún",106595.28,1812119.8,213190.57,2025310.37,0,0,0
"OP Životné prostredie","00325228 - Inovce","24120110011 - Žblnkajúci Inovský potok",2008,"Júl",2009,"Október",33271.58,565616.86,66543.16,632160.02,0,0,0
"OP Životné prostredie","00325350 - Obec Koromľa","24120110036 - Koromľa – realizácia protipovodňových opatrení",2008,"August",2010,"December",18856.68,320563.52,37713.36,358276.88,0,0,0
"OP Životné prostredie","00325490 - Michalovce","24140110002 - Uzavr. a rekult. skládky nie nebez.odpad-Lastomír",2008,"September",2010,"Jún",107545.25,1828269.31,215090.51,2043359.82,332996.44,39176.05,372172.49
"OP Životné prostredie","00325490 - Michalovce","24140110031 - Rozšírenie separácie odpadov a modernizácia linky",2008,"Júl",2010,"Január",40440.83,687494.08,80881.66,768375.74,0,0,0
"OP Životné prostredie","00325520 - Nižná Rybnica","24110110038 - Zabezpečenie dodávky pitnej vody v Nižnej Rybnici",2007,"Júl",2010,"September",34668.78,589369.24,69337.56,658706.8,0,0,0
"OP Životné prostredie","00325619 - Obec Petrovce nad Laborcom","24110110040 - Dokončenie výstaby vodovodu v Petrovciach",2008,"Október",2011,"Marec",102578.74,1743838.5,205157.47,1948995.97,0,0,0
"OP Životné prostredie","00326321 - Obec Lendak","24110110017 - Splašková kanalizácia a II. etapa ČOV obce Lendak",2007,"Január",2010,"December",323355.66,5497046.15,646711.31,6143757.46,0,0,0
"OP Životné prostredie","00326518 - Spišská Belá","24110110045 - Spišská Belá - environ.infraštruk.- splašková kan.",2010,"Január",2012,"Február",298959.82,5082316.87,597919.63,5680236.5,0,0,0
"OP Životné prostredie","00326518 - Spišská Belá","24110110052 - Spišská Belá - environ. infraštruktúra - vodovod",2010,"Január",2012,"Február",141731.07,2409428.15,283462.14,2692890.29,0,0,0
"OP Životné prostredie","00326518 - Spišská Belá","24120110027 - Protipovodňová ochrana mesta Spišská Belá",2010,"Január",2012,"Marec",253395.57,4307724.65,506791.14,4814515.79,0,0,0
