"Operačný program","Názov prijímateľa","Názov projektu","Rok - Začiatok realizácie","Mesiac - Začiatok realizácie","Rok - Koniec realizácie","Mesiac - Koniec realizácie","Spolufinancovanie","EÚ zdroje - Zazmluvnené prostriedky","ŠR zdroje - Zazmluvnené prostriedky","Spolu - Zazmluvnené prostriedky","EÚ zdroje - Vyčerpané prostriedky","ŠR zdroje - Vyčerpané prostriedky","Spolu - Vyčerpané prostriedky"
"OP Konkurencieschopnosť a Hospodársky rast","33274487 - Miroslav Pilát - DREVOKOM","25110120185 - Zvýšenie konkurencieschopnosti",2009,"Júl",2009,"December",79710,67753.5,11956.5,79710,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","33484155 - Alena Benešová - ODEMA","25110120049 - Inovatívne technológie pre výrobu odevov",2009,"Máj",2011,"Marec",771183.71,437004.1,77118.37,514122.47,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","33554561 - Ľuboš Klimo - KLIMEX","25110120047 - Inovatívne  technológie - nové možnosti pre inovác",2009,"Apríl",2009,"November",566611.83,321080.04,56661.18,377741.22,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","33889449 - Ján Vaľo JaVa","25110120175 - Ján Vaľo JaVa - Podpora zavedenia inovácii a techn",2009,"Jún",2009,"December",137061.84,116249.25,20538.74,136787.99,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","34759956 - Peter Szabó","25110120089 - Zriadenie klampiarskej výrobne výstavbou a nákupom",2009,"August",2010,"December",163748.18,139125.38,24557.32,163682.7,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","34833501 - Fiľko","25110120018 - inovácia pekárne",2009,"Marec",2010,"Február",249409.62,211998.17,37411.44,249409.61,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","37833588 - Marián Kišák","25110120123 - Obnoviteľné zdroje energie – výroba brikiet zo sla",2009,"September",2009,"December",25470.09,21649.58,3820.51,25470.09,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","40049116 - František Záruba ELZAR","25120120008 - Rekonštrukcia MVE – Boboty, Dolný Harmanec",2009,"Apríl",2010,"Júl",144294.16,122650.04,21644.12,144294.16,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","40866319 - Otto Hauer","25130120029 - Horský hotel Bernardín",2009,"Jún",2011,"Máj",199987.38,169989.27,29998.11,199987.38,0,0,0
"OP Konkurencieschopnosť a Hospodársky rast","41803507 - UNIPROJEKT","25110120196 - Modernizácia, zvýšenie konkurencieschopnosti a per",2009,"September",2010,"September",8298.15,7053.43,1244.72,8298.15,0,0,0
