"Project name","Projektägare","Region","Beviljat ESF-stöd","Total projektbudget","Projektperiod","Currency"
"Delaktig medarbetare","Järnboden i Sala AB","Östra Mellansverige",187425,187425,"2009-01-01 till 2009-05-31","SEK"
"Drivkraft Östra Mellansverige","Personalstrategerna i Mälardalen AB","Östra Mellansverige",959409,2411409,"2008-05-01 till 2008-10-30","SEK"
"EA - European Apprentice","Furuboda Malmö","Östra Mellansverige",241885,338485,"2008-11-17 till 2009-04-17","SEK"
"EFF LEAN 3","Eskilstuna Fabriksförening","Östra Mellansverige",3094979,3094979,"2010-02-01 till 2011-07-29","SEK"
"Egen Väg till Arbete ( EVA )","ABF Örebro län","Östra Mellansverige",5370000,13583520,"2008-05-01 till 2011-04-30","SEK"
"EIOs Regionala Socialfondsprojekt Östra Mellansverige","EIO Medlemsservice AB","Östra Mellansverige",366046,366046,"2008-11-01 till 2009-04-30","SEK"
"Entreprenörskraft i besöksnäringen","Turismakademin Uppsala län","Östra Mellansverige",442867,442867,"2009-03-01 till 2009-08-31","SEK"
"Eskilstuna Fabriksförening 1","Eskilstuna Fabriksförening","Östra Mellansverige",7636800,7636800,"2009-04-01 till 2010-12-31","SEK"
"Ett fullvärdigt  arbetsliv","Team+ Sverige AB","Östra Mellansverige",2605927,6637927,"2008-05-01 till 2010-04-30","SEK"
"Eu projekt Sala Industrier","Karlssonspools","Östra Mellansverige",3214760,3214760,"2009-05-04 till 2011-05-03","SEK"
"EXCERT","KCEM","Östra Mellansverige",270428,270428,"2009-05-01 till 2009-09-30","SEK"
"Företag i utveckling Excert","Lärcentrum Karlskoga","Östra Mellansverige",3763286,3763286,"2010-01-15 till 2011-06-30","SEK"
"Företag i utveckling Möckelnregionen","Lärcentrum Karlskoga","Östra Mellansverige",5554680,5554680,"2009-05-01 till 2011-04-29","SEK"
"Företag i utveckling Mökelnregionen","Lärcentrum Karlskoga","Östra Mellansverige",798471,798471,"2008-08-01 till 2008-11-15","SEK"
"Företag i utveckling Robotdalen","Lärcentrum Karlskoga","Östra Mellansverige",1229340,1229340,"2009-01-05 till 2009-06-30","SEK"
"Företag i utveckling Robotdalen I","Lärcentrum Karlskoga","Östra Mellansverige",3380585,3380585,"2009-08-01 till 2011-06-30","SEK"
"Företag i utveckling Robotdalen II","Lärcentrum Karlskoga","Östra Mellansverige",1898546,1898546,"2010-01-15 till 2011-06-30","SEK"
"Förprojektering - Att rusta för resan in i framtiden","Länstrafiken Mälardalen AB","Östra Mellansverige",409950,409950,"2008-05-01 till 2008-09-30","SEK"
"Förprojektering för företags- och personalutveckling i Mälarlaser AB och I-Verkstaden AB","Mälarlaser AB","Östra Mellansverige",119038,119038,"2008-05-01 till 2008-10-31","SEK"
"Förprojektering KAK","ABF Västerås","Östra Mellansverige",269800,359800,"2008-07-01 till 2008-09-25","SEK"
"Förprojektering Östra mellansverige","Scandinavian Petroleum Technic (SPT) Association","Östra Mellansverige",321300,321300,"2008-11-03 till 2009-02-28","SEK"
"Förskoleutveckling Örebro kommun","Skola SO","Östra Mellansverige",1083507,1083507,"2009-08-01 till 2010-01-29","SEK"
"Förskolor ESF 3","Almi företagspartner Västmanla","Östra Mellansverige",402058,402058,"2008-11-01 till 2009-04-30","SEK"
"Förskolor ESF Steg 2","Almi företagspartner Västmanla","Östra Mellansverige",1266473,1266473,"2010-02-01 till 2011-08-31","SEK"
"Förstudie kring integration på arbetsmarknaden för Somalier FIAS","Eskilstuna kommun Resursenh för Jobbsök och Jobbförm","Östra Mellansverige",494336,659534,"2008-09-01 till 2009-02-28","SEK"
"Förstudie. Samverkan för förbättrad introduktion för flyktingar i Örebro län","Länsstyrelsen, Tillväxt och Samhällsbyggnad","Östra Mellansverige",213619,284899,"2008-08-01 till 2009-01-30","SEK"
"Förstudieansökan för kompetensutveckling - lokala spelregler","Forum för Frivilligt Socialt Arbete","Östra Mellansverige",583238,583238,"2008-11-01 till 2009-04-30","SEK"
"Framtidens affärsaktörer","Regionkansliet","Östra Mellansverige",1329972,1329972,"2009-08-17 till 2009-12-31","SEK"
"Från bruksanda till framåtanda","Barn- och utbildningsförvaltningen","Östra Mellansverige",700000,700000,"2008-08-01 till 2009-01-31","SEK"
"Från bruksanda till framåtanda","Barn- och utbildningsförvaltningen","Östra Mellansverige",3104338,3104338,"2009-08-01 till 2011-07-31","SEK"
"Från spridningstekniker till Kabeltekniker","Relacom @ Networks, omfattar Ö","Östra Mellansverige",626700,626700,"2008-11-03 till 2009-02-03","SEK"
"Futurum","Rådgivning & Kompetensutveckling","Östra Mellansverige",9872043,24722043,"2008-11-03 till 2011-10-31","SEK"
"Gå vidare","Bona folkhögskola","Östra Mellansverige",4492179,4492179,"2009-07-08 till 2011-06-30","SEK"
"Gå vidare II","Kommunledningskontoret","Östra Mellansverige",759700,759700,"2009-01-12 till 2009-07-10","SEK"
"Gagna: medborgarstöd","Regionförbundet Östsam","Östra Mellansverige",750000,1000000,"2008-05-01 till 2008-10-31","SEK"
"Gagna:kompetens","Regionförbundet Östsam","Östra Mellansverige",691000,691000,"2008-05-01 till 2008-10-31","SEK"
"Genomförande-Att rusta för resan in i framtiden","Länstrafiken Mälardalen AB","Östra Mellansverige",7995132,7995132,"2009-01-01 till 2010-12-31","SEK"
"GFF:s Regionala Socialfondsprojekt, Östra Mellansverige","Grafiska Företagens Service AB","Östra Mellansverige",638360,638360,"2009-01-05 till 2009-06-30","SEK"
"Gottsunda Factory","Företagarna Uppsala","Östra Mellansverige",16277000,48798000,"2008-08-01 till 2010-09-30","SEK"
"Hälsolyftet","Oxelösunds kommun, Kommunförvaltning","Östra Mellansverige",8731610,8731610,"2010-01-15 till 2011-06-30","SEK"
"Hälsolyftet Oxelösund","Oxelösunds kommun, Kommunförvaltning","Östra Mellansverige",283330,283330,"2009-01-05 till 2009-06-30","SEK"
"HP 1","Hallstahammar  Promotion","Östra Mellansverige",523325,523325,"2008-07-01 till 2008-12-31","SEK"
"HP1 genomförande","Hallstahammar  Promotion","Östra Mellansverige",3456749,3456749,"2009-05-01 till 2010-12-31","SEK"
"HP2 Genomförande","Hallstahammar  Promotion","Östra Mellansverige",1080805,1080805,"2010-01-15 till 2011-06-30","SEK"
"HP2b","Hallstahammar  Promotion","Östra Mellansverige",178500,178500,"2009-01-01 till 2009-05-31","SEK"
"HP3","None Listed","Östra Mellansverige",1126379,1126379,"2009-01-01 till 2009-05-01","SEK"
"HP3 genomförande","Hallstahammar  Promotion","Östra Mellansverige",5913352,5913352,"2009-08-01 till 2010-12-31","SEK"
"HP4","Hallstahammar  Promotion","Östra Mellansverige",5219977,5219977,"2009-04-01 till 2010-12-31","SEK"
"IKANO-huset – ett lärande köpcentrum","IKANO-husets Aktivitetsförening","Östra Mellansverige",565480,565480,"2008-08-01 till 2008-10-15","SEK"
"Individutv inför omställning, mindre/medelstora företag i kommunen","None Listed","Östra Mellansverige",716250,716250,"2009-05-01 till 2009-10-02","SEK"
"Individutveckling inför omställning, kommunens stora företag","None Listed","Östra Mellansverige",2996000,2996000,"2009-05-04 till 2011-04-29","SEK"
"Industrikompetens - kompetenssäkra industrin","Industrikompetens","Östra Mellansverige",1786793,1786793,"2009-05-01 till 2011-05-01","SEK"
"Industrisamarbete Virsbo","Näringsliv- & Informationsenh.","Östra Mellansverige",5000000,5000000,"2009-05-01 till 2011-04-30","SEK"
"Infrastruktur - kompetens","Volvo Köping","Östra Mellansverige",1800000,1800000,"2009-04-01 till 2010-12-31","SEK"
"IQs Kompetensförskjutning","None Listed","Östra Mellansverige",1799164,1799164,"2009-04-06 till 2011-04-05","SEK"
"JämBredd","None Listed","Östra Mellansverige",353919,353919,"2008-12-01 till 2009-03-31","SEK"
"JämBredd","None Listed","Östra Mellansverige",6122068,6122068,"2009-09-16 till 2011-09-15","SEK"
"JämTkom","Örebro läns landstings ledningskansli","Östra Mellansverige",320000,320000,"2008-12-01 till 2009-05-31","SEK"
"Job College","Communicare HK","Östra Mellansverige",26593120,66749737,"2008-08-01 till 2010-12-31","SEK"
"Jobb coacher fas 3","Arbetarnas bildningsförbund","Östra Mellansverige",5760131,5760131,"2009-09-01 till 2011-06-30","SEK"
"Jobb i sikte","Arbetsförmedlingen Örebro","Östra Mellansverige",350218,466956,"2008-09-01 till 2009-02-28","SEK"
"Jobb i sikte, Genomförande","Örebro Kommun Gymnasiesärskolan","Östra Mellansverige",6274346,15894582,"2009-08-10 till 2012-06-30","SEK"
"Jobbfokus E18","Henric Burak AB","Östra Mellansverige",7779568,20896268,"2010-05-01 till 2012-08-31","SEK"
"Jobbfokus-Närke-Värmland","Henric Burak AB","Östra Mellansverige",6770099,17110099,"2008-05-01 till 2010-04-30","SEK"
"Jobbpunkt Väst Örebro","Bovärdskontoret Vivalla","Östra Mellansverige",4827239,12460895,"2009-01-01 till 2011-12-31","SEK"
"JobbpunktVäst","JobbpunktVäst","Östra Mellansverige",6304030,16017421,"2008-11-01 till 2011-10-31","SEK"
"Kanalnätet","Hallstahammar  Promotion","Östra Mellansverige",604450,604450,"2009-08-01 till 2010-01-31","SEK"
"Kick-08","Häfla Bruks AB","Östra Mellansverige",295351,295351,"2008-11-01 till 2009-04-30","SEK"
"Kompetenförsörjning och entreprenörskap i småföretag II - Genomförande","CityAkademin - lärcentrum","Östra Mellansverige",2774090,2774090,"2009-08-01 till 2011-02-28","SEK"
"Kompetens i Förskolan","Kungsörs kommuns förskoleverksamhet","Östra Mellansverige",157757,157757,"2008-08-01 till 2009-01-31","SEK"
"Kompetens i forskolan genomforande","Kungsörs kommuns förskoleverksamhet","Östra Mellansverige",1428727,1428727,"2009-08-03 till 2011-08-02","SEK"
"Kompetens i förskolan","Barn och Utbildningsförvaltningen","Östra Mellansverige",1566386,1566386,"2009-08-01 till 2011-07-31","SEK"
"Kompetensanalys Öregrundsföretagare","None Listed","Östra Mellansverige",266427,266427,"2008-11-01 till 2008-12-15","SEK"
"Kompetensförsörj. genomförande","Tibnor","Östra Mellansverige",1994655,1994655,"2009-08-01 till 2011-07-31","SEK"
"Kompetensförsörjning Örebro kommun","CityAkademin - lärcentrum","Östra Mellansverige",1648694,1648694,"2009-01-01 till 2010-01-31","SEK"
"Kompetenssäkring GAWD","None Listed","Östra Mellansverige",1800000,1800000,"2009-04-01 till 2010-12-31","SEK"
"Kompetenssäkring i motorbranschen","Volkswagen Group Sverige AB","Östra Mellansverige",596140,596140,"2009-01-05 till 2009-06-30","SEK"
"Kompetenssäkring Wahlquists Verkstäder","Oskarsgatan","Östra Mellansverige",1388865,1388865,"2009-05-01 till 2011-04-30","SEK"
"Kompetenstid!","Örebro Läns Idrottsförbund","Östra Mellansverige",161000,161000,"2008-08-15 till 2008-12-31","SEK"
"Kompetenstid","Upplands Idrottsförbund","Östra Mellansverige",3698720,3698720,"2010-02-01 till 2011-07-31","SEK"
"Kompetensuppbyggnad i social barnavård","Regionförbundet Uppsala län","Östra Mellansverige",479500,479500,"2009-01-01 till 2009-06-30","SEK"
"Kompetensutveckling 09","Alignment Systems AB","Östra Mellansverige",1092000,1092000,"2009-05-01 till 2010-06-30","SEK"
"Kompetensutveckling för småföretag i Hällefors","Polstjärnan Kompetenscentrum","Östra Mellansverige",164816,164816,"2008-08-01 till 2008-10-31","SEK"
"Kompetensutveckling för strategiskt viktiga företag i Örebro län 1","CityAkademin - lärcentrum","Östra Mellansverige",14282892,14282892,"2009-04-01 till 2011-03-31","SEK"
"Kompetensutveckling för strategiskt viktiga företag i Örebro Län 2B","CityAkademin - lärcentrum","Östra Mellansverige",11574130,11574130,"2010-02-01 till 2011-07-31","SEK"
"Kompetensutveckling Hällefors","Polstjärnan Kompetenscentrum","Östra Mellansverige",640037,640037,"2009-01-01 till 2010-12-31","SEK"
"Kompetensutveckling inom den Sociala ekonomin","Coompanion Västmanland","Östra Mellansverige",330150,330150,"2009-05-01 till 2009-10-31","SEK"
"Kompetensutveckling Maskinringen - Mälardalen","Maskinring Sörmland","Östra Mellansverige",336200,336200,"2008-11-03 till 2008-12-26","SEK"
"Kompetensutveckling McDonalds","McDonald´s Uppsala","Östra Mellansverige",576996,576996,"2008-11-01 till 2009-12-31","SEK"
"Kompetensutveckling och entreprenörskap för småföretag I - genomförande","CityAkademin - lärcentrum","Östra Mellansverige",3343692,3343692,"2009-01-01 till 2010-12-31","SEK"
"kompetensutveckling och entreprenörskap i småföretag","CityAkademin - lärcentrum","Östra Mellansverige",371720,371720,"2008-07-01 till 2008-09-26","SEK"
"Kompetensutveckling och entreprenörskap i småföretag II","CityAkademin - lärcentrum","Östra Mellansverige",250915,250915,"2008-11-01 till 2009-01-31","SEK"
"Kompetensutveckling Öregrund/Gräsö","None Listed","Östra Mellansverige",3654040,3654040,"2009-05-01 till 2010-11-15","SEK"
"Kompetensutveckling Strategiska Underleverantörer","Industriellt Utvecklingscentru","Östra Mellansverige",7425710,7425710,"2010-01-15 till 2011-06-30","SEK"
"Kooperativa förskolor","Coompanion Västmanland","Östra Mellansverige",518130,518130,"2009-08-01 till 2010-01-31","SEK"
"Kpf Åsbacka","None Listed","Östra Mellansverige",198232,198232,"2008-11-10 till 2009-05-10","SEK"
"Kulturell Likabehandling","Modersmålsenheten","Östra Mellansverige",638948,638948,"2008-11-01 till 2009-04-30","SEK"
"Kulturklang - Kulturell likabehandling i förskolan","Modersmålsenheten","Östra Mellansverige",1614897,1614897,"2009-08-01 till 2011-07-31","SEK"
"Kulturkompetens 2010","Örebro Läns Museum","Östra Mellansverige",292500,292500,"2009-05-01 till 2009-10-30","SEK"
"Kunskapsrevanschen","Arbetsmarknads och familjeförv","Östra Mellansverige",9550040,23873015,"2010-04-01 till 2013-03-31","SEK"
"L4 - Lean LifeLong Learning","Utbildningsförvaltningen","Östra Mellansverige",344820,539820,"2009-05-01 till 2009-10-30","SEK"
"L4U Lean LifeLong Learning Ungdom","Utbildningsförvaltningen","Östra Mellansverige",2429670,6602445,"2010-01-18 till 2013-01-17","SEK"
"Lärcentrum som resurs i kompetensutveckling","APeL Forskning och utveckling","Östra Mellansverige",745925,745925,"2009-01-01 till 2009-03-31","SEK"
"LASSIE","Aktiv Assistans Tillsammans AB","Östra Mellansverige",437900,982400,"2010-02-01 till 2010-06-30","SEK"
"LC-KOMP Lärcentra som mäklare i kompetensförsörjning","APeL Forskning och utveckling","Östra Mellansverige",7020070,7020070,"2009-08-01 till 2011-07-31","SEK"
"LEAX Kompetensutveckling","None Listed","Östra Mellansverige",4667638,4667638,"2009-04-01 till 2010-12-31","SEK"
"Likabehandling av fysiskt funktionshindrade på svensk arbetsmarknad","VKL","Östra Mellansverige",502016,502016,"2009-01-01 till 2009-04-30","SEK"
"Linköpingsmodellen","Jobbtorget i Linköping","Östra Mellansverige",5738370,14345926,"2008-08-01 till 2011-07-31","SEK"
"Lokala förändringsledare i Östergötland","IF Metall Norra Östergötland","Östra Mellansverige",561000,561000,"2008-11-01 till 2009-04-30","SEK"
"Lyftet","Visit Nyköping","Östra Mellansverige",2436087,2436087,"2008-11-01 till 2010-10-31","SEK"
"Lyftet - Självkänsla 2008/09, kompetensutveckling för förskolans personal, inklusive","Skol- och fritidsförvaltningen, Städenheten","Östra Mellansverige",1558875,1558875,"2008-05-01 till 2009-06-30","SEK"
"Lyftkraft","Arbetsförmedlingen Örebro","Östra Mellansverige",3581803,8930123,"2008-08-11 till 2011-08-11","SEK"
"Matchline - APL","Arbetsmarknadskontoret","Östra Mellansverige",8010000,20074583,"2009-02-01 till 2012-01-31","SEK"
"MellansverigesBK_ESF08","Mellansveriges Bagare och Konditorer","Östra Mellansverige",246000,246000,"2008-08-01 till 2008-12-31","SEK"
"Mind the gap","Finspångs kommun, kommunkontor","Östra Mellansverige",427944,577944,"2010-01-25 till 2010-07-23","SEK"
"Mindre/medelstora företag i fem Sydnärkeskommuner individutv. inför omställn Genomförande","Hallsbergs kommun, Näringslivskontoret","Östra Mellansverige",4421310,4421310,"2010-02-01 till 2011-07-29","SEK"
"Mjölby Köpcentrum - med utveckling i Centrum","Mjölby Centrum Intresseförening","Östra Mellansverige",349404,349404,"2008-05-01 till 2008-07-31","SEK"
"Moelven Industrier AB Socialfonden, Östra Mellansverige","Moelven Industrier AB","Östra Mellansverige",324359,324359,"2008-11-01 till 2009-04-30","SEK"
"Möjligheter till omställning Nära Dej Östra Mellansverige FÖRSTUDIE","Menigo Foodservice AB Affärsområde servicehandel","Östra Mellansverige",297900,297900,"2008-11-03 till 2009-03-27","SEK"
"Motala handelsplats 2009","Svensk Handel i Motala","Östra Mellansverige",226462,226462,"2009-01-05 till 2009-03-31","SEK"
"Mötet","Stiftelsen kursverksamheten vid Uppsala Universitet","Östra Mellansverige",6584149,17884639,"2009-02-02 till 2010-09-03","SEK"
"NBV Östergötland","NBV Östergötland","Östra Mellansverige",299040,399040,"2009-05-04 till 2009-11-03","SEK"
"NUEVO","VuxAm","Östra Mellansverige",29615185,74575639,"2008-11-01 till 2011-10-31","SEK"
"Nya Växmanland","HanSaar Konsult AB","Östra Mellansverige",689290,689290,"2009-03-01 till 2009-08-15","SEK"
"Nystart 2009","Klassmorfar för barnen i Södermanlands län","Östra Mellansverige",248727,332310,"2009-05-01 till 2009-11-01","SEK"
"Ocean","Navigare Utveckling","Östra Mellansverige",3600700,9360700,"2008-05-01 till 2010-04-30","SEK"
"Öka andelen långtidsfriska","Fiskeby bruk","Östra Mellansverige",391450,391450,"2009-03-02 till 2009-09-02","SEK"
"Ökad anställningsbarhet NFP","FK NFP Linköping/Uppsala","Östra Mellansverige",194500,194500,"2009-05-01 till 2009-10-31","SEK"
"Ökad tillgänglighet inom städområdet för anställda med funktionshinder","Samhall AB (Publ)","Östra Mellansverige",865550,865550,"2008-07-01 till 2008-12-31","SEK"
"OPUS","Byggutbildning Star","Östra Mellansverige",6601450,16900450,"2008-09-01 till 2011-08-30","SEK"
"orangeriet","Östgöta Coop Center","Östra Mellansverige",19040118,52149344,"2008-12-01 till 2011-10-31","SEK"
"Östergötland_BoK","Småland","Östra Mellansverige",119500,119500,"2009-01-12 till 2009-04-17","SEK"
"Östsvenska Kompetenstouren","Östsvenska Handelskammarens se","Östra Mellansverige",563803,563803,"2009-05-01 till 2009-11-01","SEK"
"Palladium","Katrineholms kommun, Viadidakt","Östra Mellansverige",6103570,15338930,"2009-02-01 till 2011-12-31","SEK"
"Personalutveckling Kinda 1","Växtkraft Kinda","Östra Mellansverige",5134545,5134545,"2009-04-01 till 2011-01-31","SEK"
"Plattform för hållbar rehabilitering","APeL Forskning och utveckling","Östra Mellansverige",332315,332315,"2008-08-01 till 2009-01-31","SEK"
"Projekt: Kompetens i Förskolan","Barn och Utbildningsförvaltningen","Östra Mellansverige",198635,198635,"2008-08-01 till 2009-01-31","SEK"
"Projekt Margit","Campus Nyköping","Östra Mellansverige",6187486,6187486,"2010-02-02 till 2011-07-31","SEK"
"Projekt Valdemarsvik","Cutting Metal Works i Valdemar","Östra Mellansverige",428698,428698,"2009-05-01 till 2009-10-31","SEK"
"Projekt Valdemarsvik","Cutting Metal Works i Valdemar","Östra Mellansverige",2111162,2111162,"2010-01-15 till 2011-06-30","SEK"
"Projektet Topp Kompetens 2008","Allt i transport & Spedition A","Östra Mellansverige",184241,184241,"2008-11-01 till 2009-04-30","SEK"
"PUFFIMOK-ÖM","Karlskoga Kulturskola","Östra Mellansverige",737195,737195,"2009-01-01 till 2009-06-30","SEK"
"PUFFIMOK-ÖM","Karlskoga Kulturskola","Östra Mellansverige",9783052,9783052,"2010-03-01 till 2011-08-31","SEK"
"Romano Zor! - Romsk kraft!","None Listed","Östra Mellansverige",4765462,11983015,"2009-02-02 till 2011-03-31","SEK"
"Romer i Norrköping","Marieborgs folkhögskola","Östra Mellansverige",6262000,11462000,"2008-08-01 till 2010-07-31","SEK"
"Sahil","Eskilstuna kommun Resursenh för Jobbsök och Jobbförm","Östra Mellansverige",6435088,16462740,"2009-08-01 till 2012-07-31","SEK"
"SAMKLANG 2","Uppsala läns landsting, CEOS","Östra Mellansverige",4655894,13110329,"2009-02-02 till 2011-01-31","SEK"
"SAMS, Samverkan inom Sofint","Stiftelsen Actíva","Östra Mellansverige",12531412,31366880,"2010-03-01 till 2013-02-28","SEK"
"Samvekan skapar utvecklingsmöjligheter","Studieförbundet Bilda Svealand","Östra Mellansverige",219868,294868,"2009-07-01 till 2009-12-31","SEK"
"Samverkan för vägen till arbete i lärande miljö","Valla Folkhögskola","Östra Mellansverige",2542853,6544253,"2010-01-18 till 2013-01-17","SEK"
"Servistik kompetensprojekt","Servistik Group AB","Östra Mellansverige",1068950,1068950,"2008-05-01 till 2010-04-30","SEK"
"SMAK för arbetslivet","Regionförbundet Örebro","Östra Mellansverige",600884,600884,"2009-01-01 till 2009-06-30","SEK"
"SPIK! (Studier, Poolarbete, Idrott, Kompetens)","Östergötlands Idrottsförbund","Östra Mellansverige",5264538,15659538,"2009-02-01 till 2011-02-28","SEK"
"Språnget till reguljärt arbetsliv","None Listed","Östra Mellansverige",586779,4539579,"2009-06-01 till 2009-11-30","SEK"
"stadsutveckling västerås","Västerås Citysamverkan AB","Östra Mellansverige",528000,528000,"2009-01-01 till 2009-06-30","SEK"
"Stjärnan - ökat arbetskraftsutbud","Stiftelsen Actíva","Östra Mellansverige",4714133,11845577,"2009-02-02 till 2012-01-31","SEK"
"Strategisk kompetens för museiutveckling","Bohusläns Museum","Östra Mellansverige",855508,855508,"2009-08-03 till 2009-12-31","SEK"
"TÄNK OM (Trygghet, Ändrade Förutsättningar, Näringsliv, Kunskap- OMrådesutveckling","Planeringskontoret","Östra Mellansverige",18221800,45606385,"2008-07-01 till 2011-06-30","SEK"
"Teknikutveckling i norra länsdelen","NVU","Östra Mellansverige",7200000,7200000,"2009-05-01 till 2010-12-31","SEK"
"Tierp-Östhammar, företag i utveckling 090312","Näringslivsenheten","Östra Mellansverige",6805890,6805890,"2009-05-01 till 2011-03-30","SEK"
"Tillväxt Trosa","Trosa Kommun","Östra Mellansverige",273780,273780,"2009-05-01 till 2009-05-31","SEK"
"Tillväxt Trosa Genomförande","Trosa Kommun","Östra Mellansverige",4976851,4976851,"2010-01-15 till 2011-07-15","SEK"
"Topp Kompetens Genomförande","Allt i transport & Spedition A","Östra Mellansverige",1194484,1194484,"2010-01-15 till 2011-07-15","SEK"
"Torget","None Listed","Östra Mellansverige",203700,340630,"2009-02-01 till 2009-07-31","SEK"
"Trans-sam, TRANSnationell SAMverkan för ungas etablering i arbetslivet.","Stiftelsen Actíva","Östra Mellansverige",4713281,13056272,"2009-09-01 till 2012-02-29","SEK"
"Transit Sydnärke","Stiftelsen Actíva","Östra Mellansverige",520886,754806,"2008-11-01 till 2009-04-30","SEK"
"Tuna Park Köpcentrum","Tuna Park","Östra Mellansverige",124260,124260,"2008-08-01 till 2008-10-31","SEK"
"Ung företagsamhet i Norra Västmanland","NVU","Östra Mellansverige",340000,460000,"2010-01-15 till 2010-05-31","SEK"
"Ung möjlighet","Arbetsförmedlingen i Motala","Östra Mellansverige",8101149,20268599,"2008-11-01 till 2011-10-30","SEK"
"Ung resurs i Kinda","Växtkraft Kinda","Östra Mellansverige",288890,405410,"2010-01-15 till 2010-07-15","SEK"
"Unga mot Arbete","Arbetsförmedlingen Eskilstuna","Östra Mellansverige",376083,503083,"2010-02-15 till 2010-08-13","SEK"
"Uppbyggnad Östra Mellansverige","Sveriges Bygg & Järnhandlareförbund","Östra Mellansverige",266400,266400,"2009-01-19 till 2009-07-19","SEK"
"Upplyftet","Elastolan AB","Östra Mellansverige",266405,266405,"2008-08-01 till 2008-12-31","SEK"
"Upplyftet genomförande","Elastolan AB","Östra Mellansverige",687156,687156,"2009-08-03 till 2010-12-31","SEK"
"Utblick","Stiftelsen Actíva","Östra Mellansverige",436621,582607,"2008-11-17 till 2009-05-15","SEK"
"Utsikten","Nyby Vision","Östra Mellansverige",6617098,16745194,"2009-03-02 till 2011-06-30","SEK"
"utveckling av bildemonteringsbranschen","Sveriges Bilskrotares Riksförbund (SBR)","Östra Mellansverige",313364,313364,"2008-09-01 till 2008-11-30","SEK"
"""Utveckling av internservice""","Finspångs kommun, Lokalvård/internsevice","Östra Mellansverige",144960,144960,"2008-11-03 till 2008-12-31","SEK"
"Utveckling Tuna Park","Tuna Park","Östra Mellansverige",2445913,2445913,"2009-08-17 till 2010-12-31","SEK"
"Väderstad Kompetensutveckling","None Listed","Östra Mellansverige",1799679,1799679,"2009-04-01 till 2010-08-30","SEK"
"Våga Välja Väg (VVV)","Flens kommun, AU-Centrum","Östra Mellansverige",620800,837208,"2009-08-01 till 2009-12-31","SEK"
"Vårda och förbättra vår piezo kompetens 2","Piezomotor Uppsala","Östra Mellansverige",998964,998964,"2010-01-15 till 2010-12-31","SEK"
"VilstaGruppen","VilstaGruppen","Östra Mellansverige",1492930,1492930,"2008-11-01 till 2009-04-30","SEK"
"VilstaGruppen Kompetensutveckling","VilstaGruppen","Östra Mellansverige",5086627,5086627,"2009-08-01 till 2011-07-31","SEK"
"Visioncenter","Omsorgs- och socialförvaltningen","Östra Mellansverige",221114,294820,"2008-09-01 till 2009-02-28","SEK"
"Visioncenter - genomförande","Utbildningsförvaltningen","Östra Mellansverige",13655883,34775691,"2010-01-15 till 2012-12-31","SEK"
"VVS Företagens Kompetenssprång Östra Mellansverige","Kompetensförsörjning och Kommunikationsavdelning","Östra Mellansverige",697620,697620,"2009-01-01 till 2009-06-30","SEK"
"Yrkessvenska för integration genom samverkan","Katrineholms kommun, Viadidakt","Östra Mellansverige",14249060,35624083,"2009-08-01 till 2012-07-31","SEK"
"1000 nya ungdomsjobb i Luleå (2)","Arbetsmarknadsförvaltningen","Övre Norrland",7557204,18893572,"2008-11-03 till 2010-11-02","SEK"
"2WORK","Euniq´em AB","Övre Norrland",1118528,5682733,"2008-11-03 till 2010-09-30","SEK"
"4010 IKU Scancon","Scancon Industrimontage AB","Övre Norrland",1929460,1929460,"2009-02-24 till 2010-02-22","SEK"
"ÅF Energineering AB, Regionala samlingsprojekt,Europeiska Socialfonden","ÅF Energineering","Övre Norrland",295150,295150,"2008-08-01 till 2009-01-31","SEK"
"Ägarskifte och dess möjligheter","Bolagsförmedling i Skellefteå AB","Övre Norrland",135000,135000,"2008-08-01 till 2008-10-31","SEK"
"AKTIV 24","Socialförvaltning, Umeå Sociltjänst","Övre Norrland",162405,216540,"2008-11-03 till 2009-04-30","SEK"
"Aktiv24G","VIVA kompetenscentrum","Övre Norrland",7480800,18766805,"2010-05-01 till 2013-04-30","SEK"
"Allas Idrott","SISU Idrottsutbildarna Norrbot","Övre Norrland",589390,589390,"2009-01-01 till 2009-06-30","SEK"
"Ambulanslyftet","None Listed","Övre Norrland",332129,332129,"2008-11-01 till 2009-04-30","SEK"
"amverkan Interjakt Övre Norrland","None Listed","Övre Norrland",71804,71804,"2008-08-01 till 2008-12-31","SEK"
"Andra andningen. Ge de kasserade ett nytt liv.","Sverigefinska folkhögskola","Övre Norrland",141668,188891,"2008-05-01 till 2008-10-31","SEK"
"Andra chansen","Sverigefinska folkhögskola","Övre Norrland",2507523,6268748,"2009-06-29 till 2011-04-15","SEK"
"Anordnarresurs i Norr","HSO Norrbotten","Övre Norrland",3408397,3408397,"2009-07-01 till 2011-06-30","SEK"
"Arbete på egna villkor","3370-0246","Övre Norrland",2501936,7259664,"2009-02-02 till 2011-02-02","SEK"
"ARBETSAM","VIVA Kompetenscentrum","Övre Norrland",3950698,9876065,"2008-10-01 till 2010-09-30","SEK"
"Ariadneprojektet - ""Den röda tråden""","Arvidsjaurs kommun","Övre Norrland",497471,497471,"2008-05-12 till 2008-11-12","SEK"
"Assist kompetens 2009","Assist Holding AB","Övre Norrland",178260,178260,"2009-01-12 till 2009-03-31","SEK"
