Ident,REGION,TITLE,BENEFICIARY,FROM,TO,FUNDING SEK,FUNDING EURO
41198,Övre Norrland,Tillväxt i balans,Argentis AB,1/1/08,12/31/10,1125000,0
41774,Övre Norrland,Fjällvägen Saxnäs-Borgafjäll,Vilhelmina kommun,1/1/09,9/30/09,1144690,0
148031,Norra Mellansverige,"Evenemangsmotor ""För nya internationella",Falun Borlänge Regionen AB,1/7/10,12/31/11,1160000,0
68762,Småland och Öarna,Pilotprojekt - Innovationer(2),QVINNOR PÅ G.,11/1/08,10/31/11,1172479,0
67867,Övre Norrland,Informationsprojekt från kust till fjäll,Vindelns kommun,4/1/08,12/31/10,1180020,0
140598,Mellersta Norrland,Renewable Energy and Clean Tech - tools,Länsstyrelsen i Jämtlands län,3/19/09,12/31/09,1194960,0
70476,Östra Mellansverige,Innovationsbyrån PLUS - en del av Sörmla,Katrineholms kommun,9/29/08,12/31/10,1197045,0
70380,Västsverige,Konsultcheckar för Innovativt Företagand,LÄNSSTYRELSEN I HALLANDS LÄN,9/26/08,12/31/10,1198569,0
40177,Mellersta Norrland,nYa tag II,Länsstyrelsen Västernorrland,1/1/08,1/31/10,1200000,0
39719,Mellersta Norrland,Kreditgarantiföreningen Jämtlands län,Kreditgarantiföreningen Jämtlands län,11/1/07,10/31/10,1200000,0
70382,Norra Mellansverige,Vi samkör din mat,Vägverket,1/1/09,12/31/11,1200000,0
40302,Norra Mellansverige,Näringslivsutveckling inom ITS området i,ITSdalarna Utvecklings AB,1/1/08,5/31/09,1200000,0
39643,Norra Mellansverige,IUC-länken,INDUSTRIELLT UTVECKLINGSCENTRUM WERMLAND,1/1/07,2/28/08,1200000,0
140849,Skåne-Blekinge,Landskrona innovationscenter - LINC,INVEST IN LANDSKRONA AB RESURSCENTRUM FÖ,8/1/09,7/31/12,1200000,0
118007,Småland och Öarna,Försöksverksamhet med Regionalt Godstran,Vägverket,1/20/09,1/19/12,1200000,0
56954,Övre Norrland,EntreprenörsCentra,ÄLVSBYNS KOMMUN,8/1/08,7/31/09,1220750,0
40448,Småland och Öarna,Delta Garden,SIDEUM INNOVATION AB,1/7/08,12/31/10,1232300,0
117298,Mellersta Norrland,SMEAX 2,CONNECT Sverige,1/1/09,6/30/10,1240847,0
117965,Skåne-Blekinge,SMEAX 8,CONNECT Sverige,1/1/09,6/30/10,1240847,0
117517,Övre Norrland,SMEAX 1,CONNECT Sverige,1/1/09,6/30/10,1240847,0
67799,Mellersta Norrland,Rangeringsspår i Härnösands hamn,Härnösands Hamn AB,1/1/08,12/30/09,1250000,0
42918,Norra Mellansverige,Bredband till mindre orter i Nordanstigs,NORDANSTIGS KOMMUN,5/1/08,12/31/09,1252000,0
117302,Mellersta Norrland,Utveckling av Kustvägen,Kustvägens ekonomiska förening,1/1/09,12/31/10,1253621,0
42920,Östra Mellansverige,Vingåker Energetic Science Park 1,KOMPETENSCENTRUM ENERGISKA MATERIAL AB,7/1/08,6/30/10,1261000,0
42985,Norra Mellansverige,"GEOSUS, Geoenergy research centre: Förbe",HUDIKSVALLS NÄRINGSLIVS AKTIEBOLAG,5/1/08,8/15/09,1264357,0
42586,Västsverige,FöretagsAcceleratorn Skaraborg,CONNECT Väst,3/1/08,2/28/09,1280000,0
151163,Östra Mellansverige,Regional YH-samverkan Öst,REGIONFÖRBUNDET ÖSTSAM,2/1/10,11/30/11,1282000,0
39675,Norra Mellansverige,Bredbandsutbyggnad 2007 i Gävle kommun,GÄVLE KOMMUN,1/1/07,12/31/08,1283100,0
117510,Övre Norrland,Bioteknik - Bär etapp2,Institutet för livsmedel och bioteknik A,1/1/09,12/31/10,1300000,0
70723,Mellersta Norrland,Finansiellt Resurscentrum för Jämtland,Trångsviksbolaget AB,10/1/08,9/30/11,1306155,0
40572,Skåne-Blekinge,Kvinnligt Mentorskap,INTERNATIONELLA KVINNOFÖRENINGEN - LRC F,4/1/08,3/31/11,1316850,0
40171,Mellersta Norrland,Konst i Världsarvet,VÄSTERNORRLANDS LÄNS LANDSTING,1/1/08,10/31/10,1318750,0
118157,Norra Mellansverige,ReWin - en innovativ miljö inom återvinn,CIT Recycling Development AB,1/13/09,12/31/10,1338200,0
69144,Norra Mellansverige,LINK-Idrottsturism,SVENSKT UTVECKLINGSCENTRUM FÖR HANDIKAPP,8/1/08,12/31/10,1340064,0
153308,Östra Mellansverige,InfraBiogas Öst - Optimerad biogasdistri,Energikontoret Mälardalen,6/1/10,12/31/12,1370000,0
151101,Norra Mellansverige,Framtidssäker IT-Infrastruktur - Älvdale,ÄLVDALENS KOMMUN,2/1/10,1/31/11,1400000,0
119513,Norra Mellansverige,Destinationsutveckling Älvdalen,Turistrådet Norra Dalarna Turism ek för,9/1/09,8/30/11,1400000,0
117495,Övre Norrland,Polcirkeln levererar,Destination Arctic Circle AB,1/1/09,12/31/10,1400000,0
117968,Skåne-Blekinge,Herbert Felix Växthus,Herbert Felixinstitutet,7/1/09,6/30/12,1441600,0
27468,Norra Mellansverige,Destination Dalarna - utveckling av ett,REGION DALARNA,11/1/07,11/30/09,1450000,0
27453,Norra Mellansverige,DIRECT,SWEDISH LCD CENTER AB,8/1/07,7/31/09,1452000,0
117519,Övre Norrland,Botnia Samtrams,"HANDELSKAMMARENS SERVICE, AC LÄN AB",2/1/09,1/31/12,1462500,0
118104,Västsverige,Identifiering och transformering av fors,STIFTELSEN CHALMERS INNOVATION,1/12/09,4/30/11,1470022,0
68719,Småland och Öarna,Uthållig kommun - modell för regionalt s,REGIONFÖRBUNDET I KALMAR LÄN,7/1/08,6/30/11,1478124,0
140851,Skåne-Blekinge,Filmen som tillväxtmotor,YSTAD KOMMUN,9/1/09,6/30/11,1488913,0
70473,Mellersta Norrland,Industriutveckling genom ökat materielku,Mittuniversitetet,1/1/09,6/30/10,1495000,0
40487,Norra Mellansverige,Inkubator för unga kvinnors kooperativa,Coompanion Dalarna,12/1/07,5/31/11,1518546,0
70417,Småland och Öarna,Värdskap i Jönköpings län. Ett identitet,Regionförbundet Jönköpings län,1/1/09,12/31/11,1540000,0
42078,Mellersta Norrland,Digital 3D-Reklam - System för digital 3,Mittuniversitetet,1/1/08,10/31/10,1542700,0
117485,Övre Norrland,Trevia Lotsen,Pajala kommun,5/1/09,4/30/11,1550000,0
39784,Norra Mellansverige,RuTa Fem från samsyn till samordnande ha,"KVINNOKOOPERATIVET SAGA, EKONOMISK FÖREN",1/1/08,6/30/09,1564622,0
39648,Mellersta Norrland,Industriutveckling genom ökat materialku,Mittuniversitetet,7/1/07,6/30/10,1576000,0
117329,Mellersta Norrland,Utställning Hållbar Utveckling,TECHNICHUS I MITT SVERIGE AB,1/1/09,12/31/11,1590000,0
151093,Norra Mellansverige,Destinationsutveckling Järvsö,Samverkansprojekt Destination Järvsö,1/1/10,5/30/12,1600000,0
117500,Övre Norrland,Discover Kiruna Lappland -Swedish Laplan,Kiruna Lappland ekonomisk förening,1/1/09,12/31/10,1600000,0
40502,Småland och Öarna,Företagsutveckling i Jönköpings län,LÄNSSTYRELSEN I JÖNKÖPINGS LÄN,1/1/07,12/31/10,1620000,0
70490,Norra Mellansverige,Ökat tågresande i södra Norrland,Ljusdals Kommun,1/1/09,12/31/11,1625528,0
117299,Mellersta Norrland,Lögdö Bruk,Timrå kommun,1/1/09,12/31/11,1626000,0
40360,Västsverige,Innovatum Inkubator2008,INNOVATUM AB,1/1/08,12/31/08,1629000,0
40384,Västsverige,Mission 24 - verktyg för samverkan mella,IDC West Sweden AB,1/1/08,12/31/10,1632288,0
145319,Skåne-Blekinge,PILOT,Nätverket KOMPASSEN,4/1/09,12/31/11,1636389,0
150677,Övre Norrland,Bottenvikens skärgård,Luleå kommun,1/1/10,12/31/11,1638704,0
42125,Östra Mellansverige,MDPU - Miljödriven produktutveckling Öst,Länsstyrelsen Östergötland,3/1/08,12/31/10,1675450,0
39677,Norra Mellansverige,"UTI Edsbyn (Utveckling, Tillgänglighet,",OVANÅKERS KOMMUN,1/1/07,12/31/09,1677272,0
68186,Mellersta Norrland,Tekniska hjälpmedel vid idrottsskador oc,Mittuniversitetet,7/1/08,6/30/11,1700000,0
68144,Mellersta Norrland,Engineering Tools for Designing the Fibe,Mittuniversitetet,1/1/09,12/31/10,1700000,0
39668,Mellersta Norrland,Industrial inkjet - paper media for futu,Mittuniversitetet,1/1/08,6/30/10,1700000,0
151094,Norra Mellansverige,Pilotprojekt - Företagsakuten i Värmland,Partnerinvest i Mellansverige AB med bif,1/1/10,12/31/11,1700000,0
145288,Skåne-Blekinge,Tillväxtarena Syd TAS 2.0 Förprojekt,TEKNOPOL AB,4/1/09,3/31/10,1700000,0
151194,Skåne-Blekinge,KombiSyd II - Kombitransportprojektet i,BANVERKET,1/11/10,12/30/11,1702000,0
43194,Övre Norrland,City Break to Swedish Lapland,Visit Luleå ekonomisk förening,6/1/08,12/31/10,1725000,0
68394,Östra Mellansverige,Kommunikationsplanering för ökad tillgän,REGIONFÖRBUNDET ÖSTSAM,6/10/08,1/10/11,1727393,0
117055,Östra Mellansverige,Sammanbindning av Motala och Vadstena ko,MOTALA KOMMUN,12/1/08,6/30/09,1729679,0
43183,Övre Norrland,Jokkmokk tar SATS (Strategi med Aktivite,Destination Jokkmokk Ek förening,9/1/09,12/31/11,1736390,0
39825,Småland och Öarna,FLiT - Fordonsunderleverantörer i tillvä,Länsteknikcentrum i Jönköpings län,1/1/08,12/31/10,1741342,0
118067,Östra Mellansverige,Kompetensforum Uppsala län,Regionförbundet Uppsala län,3/1/09,12/31/11,1741800,0
146254,Övre Norrland,Välkommen till Piteå tredje året,Piteå presenterar ekonomisk förening,1/1/10,12/31/10,1750000,0
147977,Norra Mellansverige,Förbättrad infrastruktur vid Avesta Vise,AVESTA KOMMUN,1/15/10,10/31/10,1760000,0
39691,Mellersta Norrland,Ökad produktivitet och konkurrenskraft i,Ywood Ekonomisk förening,1/1/08,6/30/10,1763000,0
70437,Småland och Öarna,Polering av glas med vattenskärteknik -,Glafo AB,1/1/09,12/31/11,1796051,0
117518,Övre Norrland,Nyföretagarcentrum,FÖRETAGARNA I KIRUNA,1/1/09,12/31/10,1800000,0
42055,Övre Norrland,System för Användardriven TjänsteINnovat,Luleå tekniska universitet,4/1/08,3/31/09,1800000,0
42911,Norra Mellansverige,Pendlarprojekt Karlstad Hagfors,Vägverket,4/1/08,3/31/09,1806980,0
151088,Norra Mellansverige,Plattform DalaBit,INDUSTRIELLT UTVECKLINGSCENTER DALARNA A,6/1/10,5/31/12,1825491,0
152487,Övre Norrland,Fokus - Nya marknader,"HANDELSKAMMARENS SERVICE, AC LÄN AB",9/1/10,8/30/13,1827285,0
68289,Mellersta Norrland,Energigrödor från åkermark,Övik Energi AB,6/2/08,5/31/11,1830000,0
70543,Norra Mellansverige,Magasinet - kreativt entreprenörskap,KULTURFÖRENINGEN MAGASINET,1/1/09,12/31/10,1830000,0
70696,Mellersta Norrland,STEGET TILL EGET,Trångsviksbolaget AB,10/1/08,9/30/11,1848960,0
117486,Övre Norrland,Nyföretagarcentrum NFC 2011,Haparanda kommun,9/1/09,8/31/12,1851000,0
148032,Norra Mellansverige,Gävle - Dala utvecklingsstråk - delproje,GÄVLE KOMMUN,1/1/10,10/31/10,1860493,0
147190,Norra Mellansverige,REFILL-Rädda Etablerade Företag I Lång L,ALMI FÖRETAGSPARTNER GÄVLEBORG AKTIEBOLA,7/1/09,4/30/12,1868000,0
40535,Skåne-Blekinge,"Informations-,kommunikations- och mediei",REGION SKÅNE,1/1/07,6/30/08,1883369,0
39678,Norra Mellansverige,Bredband till 100% - Bollnäs kommun,"BOLLNÄS KOMMUN, Torsbergsgymnasiet",4/1/07,3/31/10,1887500,0
27506,Övre Norrland,Globac,"HANDELSKAMMARENS SERVICE, AC LÄN AB",1/1/08,12/31/10,1887800,0
151193,Skåne-Blekinge,"Selfmade - ""Kreativ storstad""",Föreningen Malmö folkhögskola,3/1/10,2/28/13,1920000,0
41775,Övre Norrland,Evonet ERT,EVONET EKONOMISKA FÖRENING,10/1/07,9/30/10,1945000,0
119436,Norra Mellansverige,"Bredband ortsammanbindande när, Långvind",HUDIKSVALLS KOMMUN,3/15/09,3/15/10,1950000,0
151176,Skåne-Blekinge,Cleanovation - Innovationsnätverk för om,REGION SKÅNE,7/1/10,12/31/11,1957474,0
40372,Västsverige,SPIRA,STIFTELSEN DRIVHUSET I GÖTEBORG,1/1/08,12/31/10,1960000,0
117496,Övre Norrland,ICT-Upplevelse- Ett innovationscentra fö,PITEÅ NÄRINGSFASTIGHETER AKTIEBOLAG,1/1/09,6/30/11,1980584,0
140586,Mellersta Norrland,Alpin nationalarena i Åre,SVENSKA SKIDFÖRBUNDET,3/18/09,3/31/11,10000000,0
148046,Norra Mellansverige,Företagsutveckling Gävleborgs län 2010,LÄNSSTYRELSEN I GÄVLEBORGS LÄN Landsbyg,1/1/10,12/31/12,10000000,0
148010,Norra Mellansverige,Företagsutveckling i Dalarnas län 2010-2,LÄNSSTYRELSEN I DALARNAS LÄN,1/1/10,12/31/12,10000000,0
147991,Norra Mellansverige,Företagsutveckling i Värmlands län 2010-,LÄNSSTYRELSEN VÄRMLAND,1/1/10,12/31/12,10000000,0
70430,Norra Mellansverige,Företagsutveckling i Värmlands län 2009-,LÄNSSTYRELSEN VÄRMLAND,1/1/09,12/31/11,10000000,0
70423,Norra Mellansverige,Företagsutveckling Gävleborgs län 2009,LÄNSSTYRELSEN I GÄVLEBORGS LÄN Landsbyg,1/1/09,12/31/11,10000000,0
70415,Norra Mellansverige,Företagsutveckling i Dalarnas län 2009-2,LÄNSSTYRELSEN I DALARNAS LÄN,1/1/09,12/31/11,10000000,0
67804,Norra Mellansverige,Företagsutveckling i Dalarnas län 2008-2,LÄNSSTYRELSEN I DALARNAS LÄN,1/1/08,12/31/10,10000000,0
43897,Norra Mellansverige,Företagsutveckling i Värmlands län,LÄNSSTYRELSEN VÄRMLAND,1/1/08,12/31/10,10000000,0
43488,Norra Mellansverige,Företagsutveckling Gävleborgs län 2008,LÄNSSTYRELSEN I GÄVLEBORGS LÄN Landsbyg,1/1/08,12/31/10,10000000,0
43026,Skåne-Blekinge,ARENA,NetPort Karlshamn AB,4/1/08,3/31/11,10000000,0
27463,Norra Mellansverige,Fiber Optic Valley Processledning Nr 1,Fiber Optic Valley AB,11/1/07,12/31/09,10042250,0
140591,Mellersta Norrland,Resurscenter för trycktekniska innovatio,Mittuniversitetet,9/15/09,9/14/12,10051161,0
118045,Västsverige,HälsoteknikCentrum Halland,HÖGSKOLAN HALMSTAD,8/15/09,8/14/12,10175032,0
40478,Norra Mellansverige,Hälsingegårdar - världsarv och utvecklin,Regionförbundet Gävleborg,1/1/08,12/31/10,10206000,0
42909,Norra Mellansverige,En destination värd att investera i 2013,FILIPSTADS KOMMUN,3/28/08,12/31/10,10212000,0
152556,Övre Norrland,TräCentrum Norr,Luleå tekniska universitet,11/1/10,10/31/13,10300000,0
39743,Mellersta Norrland,"Ramprojekt för produkt-, produktions- oc",Länsstyrelsen i Jämtlands län,1/1/08,12/31/10,10371250,0
117492,Övre Norrland,EntreprenörCentrum Norrbotten,Almi Företagspartner Nord AB,3/1/09,2/28/11,10412500,0
147748,Övre Norrland,"Byggande av gränstorg, gränskanal, evene",Haparanda kommun,8/6/08,5/6/11,10500000,0
27497,Övre Norrland,Innova,UMINOVA INNOVATION AB,12/1/07,12/1/10,10500000,0
39781,Norra Mellansverige,"Turistutveckling längs Klarälven ""TULK""",MUNKFORS KOMMUN,1/1/08,12/31/10,10600000,0
68764,Småland och Öarna,Etablering av en nod för utomhuspedagogi,VIMMERBY KOMMUN,7/1/08,6/30/11,10646097,0
27459,Norra Mellansverige,Livskraftigt Företagande,Falun Borlänge Regionen AB,1/1/08,12/31/10,10695000,0
43191,Övre Norrland,Virtuellet EU Project Office,Umeå Universitet,1/1/09,12/31/11,10713710,0
119485,Norra Mellansverige,"Fiber Optic Valley AB, Processledning Nr",Fiber Optic Valley AB,1/1/10,12/31/11,10750000,0
67819,Mellersta Norrland,Infrastrukturprojekt i Funäsdalen,HÄRJEDALENS KOMMUN,5/1/08,6/30/11,10850000,0
41877,Övre Norrland,TräCentrum Norr,Luleå tekniska universitet,11/1/07,10/31/10,10950000,0
39721,Mellersta Norrland,Förstudie JEREMIE-fond i Sverige,Nutek,9/28/07,2/28/08,100000,0
68782,Norra Mellansverige,Center of Excellence -förstudie,Regionförbundet Gävleborg,1/1/09,10/31/09,100000,0
39644,Norra Mellansverige,"Förstudie: JEREMIE-initiativ i Sverige,",Nutek,9/28/07,2/28/08,100000,0
40534,Skåne-Blekinge,"Förstudie JEREMIE-fond i Sverige, Nuteks",Nutek,9/28/07,2/28/08,100000,0
119297,Stockholm,Förstudie Aktörssamverkan för boendesoci,Stockholms läns landsting,3/31/09,6/30/09,100000,0
70590,Stockholm,Förstudie - BYAR,Länsstyrelsen i Stockholms län,10/1/08,3/31/09,100000,0
41207,Övre Norrland,"Förstudie JEREMIE-fond i Sverige, Nuteks",Nutek,9/28/07,2/28/08,100000,0
147375,Mellersta Norrland,Investeringsteg 1,Mittkapital i Jämtland och Västernorrlan,1/23/09,12/31/14,100000000,0
39881,Västsverige,Förstudie: Utvecklingsarena Hälsa & Välb,Region Halland,1/14/08,5/31/08,104182,0
39651,Stockholm,Förstudie Kunskapsutveckling i SMF,Stockholms läns landsting,1/1/08,10/31/08,108400,0
39744,Mellersta Norrland,Ramprojekt för regionalt investeringsstö,Länsstyrelsen Västernorrland,7/1/07,12/31/09,11000000,0
119457,Norra Mellansverige,Framtidssäker IT-Infrastruktur,MORA KOMMUN,5/1/09,4/30/12,11000000,0
40439,Småland och Öarna,Projekt Vinst,REGIONFÖRBUNDET I KALMAR LÄN,1/1/08,10/31/11,11051000,0
40419,Norra Mellansverige,Material- och konstruktionscentrum vid K,KARLSTADS UNIVERSITET,10/1/07,12/31/08,11120598,0
27462,Norra Mellansverige,Fiber Optic Valley Fokusområde Nr 1,Fiber Optic Valley AB,11/1/07,12/31/09,11180971,0
40376,Västsverige,"Metodutveckling för Turistnäringen, MetU",VÄSTSVENSKA TURISTRÅDET AB,6/1/08,5/31/11,11200000,0
39801,Mellersta Norrland,Strategisk besöksnäringsutveckling i Väs,Länsstyrelsen Västernorrland,1/1/08,12/31/10,11410000,0
68971,Mellersta Norrland,Fortsatt utveckling av Östersunds skidst,ÖSTERSUNDS KOMMUN,7/14/08,6/30/11,11500000,0
152491,Övre Norrland,Plats för Bärighetsförstärkning för ökad,Arvidsjaur Flygplats AB,6/24/10,11/15/11,11500000,0
69147,Norra Mellansverige,Bergslagssatsningen - Kultur och Turism,INTRESSEFÖRENINGEN BERGSLAGET,8/1/08,7/31/11,11550000,0
43206,Övre Norrland,Produktion Botnia,Luleå tekniska universitet,4/1/08,3/31/11,11600000,0
43140,Övre Norrland,GEORANGE,GEORANGE IDEELLA FÖRENING,12/1/08,6/30/11,11600000,0
43193,Övre Norrland,Centrum för högpresterande stål. - Imple,Luleå tekniska universitet,10/1/08,9/30/11,11632000,0
147958,Övre Norrland,Nya Gällivare,Gällivare kommun,9/1/09,8/3/12,11649975,0
148049,Norra Mellansverige,"Compare Business Innovation Ventre, C-BI",STIFTELSEN COMPARE KARLSTAD COMPETENCE A,1/1/10,12/31/11,11886000,0
39774,Östra Mellansverige,Förstudie Miljöteknikkluster Östra Mella,LÄNSSTYRELSEN I VÄSTMANLANDS LÄN,10/1/07,3/31/08,113060,0
42941,Skåne-Blekinge,Initiativ Landskrona -Förstudie av närin,LANDSKRONA KOMMUN,9/1/08,1/31/09,115090,0
151044,Östra Mellansverige,UTCED Affärsutveckling 2010,Länsstyrelsen i Örebro län,1/8/10,3/31/11,12004800,0
117303,Mellersta Norrland,Bredband i Sollefteå kommun 2.0 (BRIS 2,Sollefteå kommun,1/1/09,4/1/12,12196602,0
43222,Övre Norrland,Flervåningsbyggnader i trä - Kontruktion,Umeå Universitet,4/1/09,3/31/12,12285000,0
70537,Norra Mellansverige,Dala Sports Academy,FALU KOMMUN,1/1/09,12/31/10,12290000,0
69889,Skåne-Blekinge,Moving Media Southern Sweden 1 (MMSS1),REGION SKÅNE,1/1/09,12/31/11,12433631,0
39773,Norra Mellansverige,Fortsatt bredbandsutbyggnad i Värmland -,REGION VÄRMLAND-KOMMUNALFÖRBUND,1/1/07,5/31/08,12451501,0
70441,Småland och Öarna,TSS Tågstopp - Södra Stambanan,VÄXJÖ KOMMUN,1/1/09,12/31/11,12474306,0
148014,Norra Mellansverige,The Packaging Arena - Europeiska nod för,THE PACKAGING ARENA EKONOMISK FÖRENING,1/1/10,12/31/11,12550000,0
41208,Övre Norrland,I2 - den Intelligenta Inlandsvägen,Luleå tekniska universitet,1/1/08,12/31/10,12600000,0
27496,Övre Norrland,Utbyggnad för tillväxt,Arvidsjaur Flygplats AB,9/1/07,12/31/08,12700000,0
70586,Stockholm,Stockholm MedTech Growth,Stiftelsen Electrum,1/1/09,3/31/12,12894000,0
152510,Övre Norrland,Hållbart värdeskapande Innova-H,UMINOVA INNOVATION AB,12/1/10,11/30/13,12900000,0
43010,Norra Mellansverige,Förstudie - Destination Siljan med Dalha,REGION SILJAN,4/1/08,11/15/08,120850,0
146674,Övre Norrland,Attraktiva Jokkmokk,JOKKMOKKS KOMMUN,7/1/09,10/1/09,124600,0
42974,Norra Mellansverige,"Förstudie ""Ett rörligare Leksand""",SILJANSNÄS SOCKENKONTOR EKONOMISK FÖRENI,10/1/08,12/31/08,125000,0
117983,Norra Mellansverige,"Grön station 2, förstudie",OCKELBO KOMMUN,4/1/09,10/1/09,125744,0
151140,Västsverige,Gränsöverskridande struktur för näringsl,Region Halland,1/8/10,7/7/10,126666,0
27445,Norra Mellansverige,Effektivare tågtrafik i Bergslagen - för,TÅG I BERGSLAGEN AB,10/1/07,6/30/08,127500,0
40225,Stockholm,"Förstudie, Internationell konkurrenskraf",Länsstyrelsen i Stockholms län,11/15/07,8/31/08,128734,0
151717,Mellersta Norrland,Samhällsentreprenörskap - gränsöverskrid,Mittuniversitetet,7/1/10,6/30/13,13024654,0
39613,Norra Mellansverige,The Packaging Arena - regionalt kompeten,THE PACKAGING ARENA EKONOMISK FÖRENING,1/1/07,12/31/09,13352000,0
39686,Norra Mellansverige,Future Position X NYSTA,FUTURE POSITION X,1/1/08,12/31/09,13371938,0
40465,Norra Mellansverige,Godstrafik på Fryksdalsbanan,TORSBY KOMMUN,9/1/07,2/28/11,13440300,0
119495,Norra Mellansverige,Acreo Fiber Optic Center - Etapp 2,ACREO AB,1/1/10,12/31/11,13501178,0
40585,Skåne-Blekinge,SÖM: Fosie,Malmö stad,1/1/08,12/31/10,13562000,0
119424,Norra Mellansverige,Fibernät i Malung-Sälens kommun,Malungs Elnät AB,8/10/09,8/9/12,13578807,0
42307,Östra Mellansverige,"Samverkansprojekt del 1, Mobilisering",Länsstyrelsen i Örebro län,9/1/07,8/31/10,13724486,0
42097,Mellersta Norrland,Resecentrum etapp II Härnösand,Härnösands kommun,1/1/07,12/30/09,13750000,0
145226,Östra Mellansverige,Mer Koll,Länstrafiken Mälardalen AB,3/27/09,3/26/12,13788335,0
151177,Skåne-Blekinge,ESS MAX IV - Tillväxt Innovation (TI),REGION SKÅNE,1/11/10,12/31/12,13865331,0
117296,Mellersta Norrland,Peak inom Mid Sweden Science Park,Mid Sweden Science Park AB,1/1/09,12/31/11,13885000,0
43200,Övre Norrland,Invest in Västerbotten,Skellefteå kommun,5/1/08,4/30/11,13931328,0
118042,Småland och Öarna,Båramo Terminalområde,VAGGERYDS KOMMUN,2/1/09,3/31/10,13933382,0
40547,Skåne-Blekinge,Svensk modell för Ren Tillväxt,REGION SKÅNE,10/1/07,9/30/10,13949064,0
41640,Övre Norrland,Bioenergigårdar i ett nytt landskap,Länsstyrelsen Västerbotten,7/1/08,6/30/11,13975000,0
43241,Övre Norrland,Uppgraderinga av Haemavan/Tärnaby Airpor,STORUMANS KOMMUN,2/28/08,10/31/10,13990000,0
117976,Norra Mellansverige,Samordnande godstransporter - SamTran,Falun Borlänge Regionen AB,3/1/09,11/30/09,139750,0
119421,Norra Mellansverige,Resecentrum Hedemora,HEDEMORA KOMMUN KOMMUNSTYRELSEN,3/1/09,12/31/11,14000000,0
117503,Övre Norrland,Filmpool Nord Development - inkubator fö,Filmpool Nord AB,3/16/09,3/15/12,14250000,0
27465,Norra Mellansverige,Acreo Fiber Optic Center: Etapp 1,ACREO AB,1/1/07,12/31/09,14280000,0
40402,Norra Mellansverige,BoomTown - en innovativ miljö för näring,BORLÄNGE KOMMUN,1/1/08,12/31/10,14346397,0
