Nazwa beneficjenta,Tytu_ projektu,Program Operacyjny,Dzia_anie,Poddzia_anie,Warto__ ogó_em,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyp_acenia ostatniej raty
"Firma Budowlano-Drogowa ""Prasbet"" Sp.J. Wojciech Hilger, Mariusz Ziemer","Wzmocnienie konkurencyjno_ci Firmy Budowlano - Drogowej ""Prasbet"" Sp.J. z Grudzi_dza poprzez zakup dwóch wysokiej klasy _adowarek budowlanych",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.2. Wsparcie inwestycji przedsi_biorstw,"651,487.81","266,503.20",2008,2009
"Firma Gastronomiczno-Us_ugowo-Handlowa ""HE_KO"" Piotr Nowicki","Zakup wyposa_enia do restauracji ""Karczma D_brówka"" w D_browie Che_mi_skiej",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.1. Wsparcie inwestycji mikroprzedsi_biorstw,"165,047.21","67,903.67",2008,2009
Firma Grze_kowiak Spó_ka Jawna,Rowój Firmy Grze_kowiak Spó_ka Jawna poprzez eksport.,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"12,500.00","10,000.00",2009,2009
"Firma Handlowo - Us_ugowa ""MAT-MAT"" Krzysztof M_cior","“Wzrost konkurencyjno_ci Firmy Handlowo – Us_ugowej “MAT-MAT” poprzez zakup innowacyjnych maszyn budowlanych”
",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"646,600.00","238,500.00",2008,2009
Firma Handlowo - Us_ugowa Dobosz Sport DOBOSZ Halina Zofia,Wzrost konkurencyjno_ci i rozszerzenie dzia_alno_ci F. H. U. Dobosz Sport poprzez inwestycje w _rodki trwa_e,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"247,660.00","81,200.00",2008,2009
Firma Handlowo- Produkcyjno - Us_ugowa „TRANSTAL”Andrzej Ryczek,"Poprawa pozycji konkurencyjnej firmy ""Transtal"" na rynku regionalnym poprzez zakup linii technologicznych do produkcji blach profilowanych T8 i D23",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"852,170.00","272,250.00",2008,2009
Firma Handlowo Us_ugowa Olga Pe_ka,"Work Equally, Work with English",Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"49,987.36","49,987.36",2008,2009
Firma Handlowo- Us_ugowa Ramot Rafa_ Straszak,Modernizacja posiadanych obiektów z przeznaczeniem na serwis samochodowy,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.1. Mikroprzedsi_biorstwa,"408,700.00","199,995.00",2008,2009
"Firma Handlowo-Us_ugowa ""EURO MOTO""",BUDOWA STACJI DIAGNOSTYCZNEJ- ZAKUP MASZYN I URZ_DZE_- ETAP KO_COWY,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"350,250.15","102,834.00",2008,2009
"Firma Handlowo-Us_ugowa ""JARMAR"" Centrum Kszta_cenia ""Wiedza dla wszystkich""",Innowacyjny trening pracy dla osób zagro_onych wykluczeniem z So_ectw Derczewo oraz Sitno,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"25,690.00","25,614.14",2008,2009
"Firma Handlowo-Us_ugowa ""Panaceum"" Maria Jolanta Wyborska OMEGA Firma Szkoleniowa Maria Jolanta Wyborska",Wiele jeszcze mog_ zdzia_a_!,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"49,779.15","49,779.15",2008,2009
Firma Handlowo-Us_ugowa „S_KPOL” Jan Kowal,"Zwi_kszenie konkurencyjno_ci oraz poprawa jako_ci produkcji Firmy Handlowo-Us_ugowej ""S_KPOL"" Jan Kowal poprzez zakup niezb_dnej linii technologicznej",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"1,133,448.00","417,982.29",2008,2009
Firma Handlowo-Us_ugowa „Tamex” Jakub Ko_uchowski ,Zakup maszyn budowlanych w celu wprowadzenia nowych oraz podniesienia jako_ci dotychczas _wiadczonych us_ug przez firm_ Tamex ,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla ma_ych i _rednich przedsi_biorstw,,"873,959.20","501,452.00",2008,2009
FIRMA HANDLOWO-US_UGOWA „TRANSBLACH” GAIK JAN,Podniesienie potencja_u innowacyjno_ci FHU „TRANSBLACH” Gaik Jan poprzez zakup kompletnego ci_gu technologicznego do profilowania i ci_cia trapezu,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"2,626,782.00","968,220.00",2008,2009
FIRMA HANDLOWO-US_UGOWA „TRANSBLACH” GAIK JAN,Zwi_kszenie konkurencyjno_ci FHU „TRANSBLACH” Gaik Jan poprzez zakup kompletnego ci_gu technologicznego do profilowania i ci_cia blachodachówki. ,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"2,783,430.00","999,981.45",2008,2009
"Firma Handlowo-Us_ugowa Apteka ""Panaceum"", Maria Jolanta Wyborska, PROMEDICAL POLSKA s.c., OMEGA - Firma Szkoleniowa Maria Jolanta Wyborska",Uwierz w siebie - naucz si_ budowa_ nowocze_nie!,Program Operacyjny Kapita_ Ludzki,9.2. Podniesienie atrakcyjno_ci i jako_ci szkolnictwa zawodowego,,"214,983.60","187,545.60",2008,2009
Firma Handlowo-Us_ugowa Piotrowski Krzysztof,Modernizacja parku maszynowego przedsi_biorstwa Firma Handlowo-Us_ugowa Piotrowski Krzysztof.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.1. Wsparcie inwestycji mikroprzedsi_biorstw,"399,810.90","219,822.93",2008,2009
Firma Kamieniarska GRANIT-MAR Miros_aw Gry_,"Wzrost poziomu innowacyjno_ci oraz poziomu technologicznego w firmie ""GRANIT-MAR"" Miros_aw Gry_ poprzez zakup nowoczesnych urz_dze_ i oprogramowania",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"1,186,093.00","576,000.00",2008,2009
Firma KOMNET Krajewski Piotr,Promocja marki Meble Krajewski oraz produktów wytworzonych przez t_ mark_,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"56,596.59","27,824.44",2008,2009
Firma Lehr Katarzyna Lehr,"Wdro_enie innowacyjno_ci w kawiarnio-lodziarni - produkcja i sprzeda_ w_asnych rzemie_lniczych wyrobów 
",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"1,582,550.08","778,303.32",2008,2009
FIRMA P.H.U. GLOB-METAL Krzysztof Zielaskiewicz,Automatyzacja procesu produkcyjnego w przedsi_biorstwie Glob-Metal,Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.9. Inne inwestycje w przedsi_biorstwa,"595,000.00","270,000.00",2008,2009
Firma Produkcyjno – Us_ugowo – Handlowa El_bieta Szostek,Wzrost konkurencyjno_ci firmy FPUH El_bieta Szostek poprzez zakup urz_dze_ do obróbki skrawaniem ,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"143,960.00","47,200.00",2008,2009
Firma Produkcyjno Handlowo Us_ugowa JE_,Inwestycja w nowoczesne centrum obróbki frezarskie w celu podniesienia konkurencyjno_ci Firmy Produkcyjno Handlowo Us_ugowej JE_.,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"471,225.00","154,500.00",2008,2009
Firma Produkcyjno Us_ugowo Handlowa Rega Babicz Tomasz,ZAKUP INNOWACYJNEGO CENTRUM OBRÓBCZEGO JAKO ELEMENT ROZWOJU FIRMY REGA,Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapita_owe przedsi_biorczo_ci,,"658,800.00","351,000.00",2008,2009
"Firma Produkcyjno_handlowa SEPPA s.c. Gil Jerzy, W_grzyn Pawe_",Wzmocnienie konkurencyjno_ci przedsi_biorstwa poprzez zakup drukarki wielkoformatowej Durst Rho 700,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.1. Wsparcie inwestycji mikroprzedsi_biorstw,"589,277.08","338,109.80",2008,2009
"Firma Produkcyjno-Handlowa ""Kano"" Miros_aw O_ko, Zbigniew Tupaj",Udzia_ w targach Salon _odzi Turystycznych i Rekreacyjnych KAJAK EXPO 2009,Regionalny Program Operacyjny Województwa Lubelskiego,2.4. Marketing gospodarczy,Schemat A,"75,100.00","30,950.00",2008,2009
"Firma Produkcyjno-Handlowo-Us_ugowa ""Pol-Met"" Kazimierz Kaszowski",Wzrost konkurencyjno_ci firmy poprzez zakup innowacyjnej maszyny do produkcji opatentowanych pneumatycznych amortyzatorów ko_cowej fazy zamykania,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"695,400.00","228,000.00",2008,2009
Firma Projektowo-Us_ugowa „GAZ-MAX” Ma_ysz Andrzej,Wzrost konkurencyjno_ci GAZ-MAX poprzez inwestycje w nowoczesny park maszynowy i wprowadzenie nowych innowacyjnych us_ug ,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"231,800.00","76,000.00",2008,2009
Firma Prywatna „Rol” Us_ugi Pralnicze-Maglowanie,"Wzrost konkurencyjno_ci firmy poprzez zakup innowacyjnych urz_dze_: magla, pralnicowirówek, suszarki oraz zestawu do czyszczenia powierzchni p_askich.",Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"678,320.00","199,993.20",2008,2009
"Firma Stolarska ""DREWMAR"" Marcin Hamera",Wdro_enie procesów automatyzacji produkcji ekspozytorów reklamowych i mebli w oparciu o narz_dzia CAD/CAM i sterown_ komputerowo frezark_,Regionalny Program Operacyjny Województwa Dolno_l_skiego,1.1. Inwestycje dla przedsi_biorstw,,"434,000.00","233,850.60",2008,2009
Firma Szkoleniowo Doradcza Onagra - Izabela Hawry_ow,Nie wykluczaj - zatrudniaj!,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"767,136.50","680,761.97",2008,2009
Firma Transportowo-Handlowo-Us_ugowa,Wzrost konkurencyjno_ci mikroprzedsi_biorstwa w wyniku zakupu specjalistycznej linii dozuj_co-pakuj_cej oraz wprowadzenie nowych produktów do oferty firmy w Brze_cach.,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.1. Mikroprzedsi_biorstwa,"439,200.00","126,000.00",2008,2009
Firma Us_ugowa EduCasa Agnieszka Waszy_ska,HURRA idziemy do przedszkola,Program Operacyjny Kapita_ Ludzki,9.1. Wyrównywanie szans edukacyjnych i zapewnienie wysokiej jako_ci us_ug edukacyjnych _wiadczonych w systemie o_wiaty,9.1.1 Zmniejszanie nierówno_ci w stopniu upowszechnienia edukacji przedszkolnej,"228,586.55","206,078.97",2008,2009
"Firma Us_ugowa STANISZEWSCY Staniszewski, Kulis Sp. J.",Poprawa konkurencyjnosci przedsiebiorstwa poprzez inwestycje z zakresu ochrony srodowiska naturalnego - zakup dwóch urzadzen do recyklingu odpadów pobetonowych.,Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.5. Wsparcie M_P - promocja produktów i procesów przyjaznych dla _rodowiska,"610,000.00","250,000.00",2008,2009
"Firma Us_ugowa STANISZEWSCY Staniszewski, Kulis Sp. J.","Rozbudowa istniej_cego przedsi_biorstwa poprzez pozyskanie innowacyjnych technologii w postaci systemu do podgrzewania
kruszywa i wody, pompo-gruszki wraz z podwoziem.",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsi_biorstw i sektora M_P w zakresie innowacji i nowych technologii,"1,583,560.00","649,000.00",2008,2009
"Firma Us_ugowa STANISZEWSCY Staniszewski, Kulis Sp. J.","Rozbudowa istniej_cego przedsi_biorstwa poprzez pozyskanie innowacyjnych technologii, tj. pompy do betonu o d_ugo_ci
wysi_gnika 41 m w pionie oraz systemu tasmociagów do podawania kruszywa.",Regionalny Program Operacyjny Województwa Warmi_sko-Mazurskiego,1.1.Wzrost konkurencyjno_ci przedsi_biorstw,1.1.7. Dotacje inwestycyjne dla mikroprzedsi_biorstw i sektora M_P w zakresie innowacji i nowych technologii,"1,823,258.28","747,237.00",2008,2009
"Firma Us_ugowa-Handlowa ""Uster"" Dudek Jerzy",Wzrost kokurencyjno_ci firmy porzez nowe inwestycje,Regionalny Program Operacyjny Województwa _l_skiego,1.2. Mikroprzedsi_biorstwa i M_P,1.2.1. Mikroprzedsi_biorstwa,"349,364.40","171,818.56",2008,2009
FIRMA US_UGOWO – PRODUKCYJNO – HANDLOWA LIMBLACH W_ODARCZYK IGNACY,POPRAWA KONKURENCYJNO_CI FIRMY LIMBLACH POPRZEZ INNOWACYJNE INWESTYCJE W SYSTEM DO ZARZ_DZANIA FIRM_ KLASY ERP ORAZ W KOMPLETNE CI_GI TECHNOLOGICZNE DO CI_CIA ORAZ PROFILOWANIA BLACHY,Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapita_owe przedsi_biorczo_ci,,"2,922,461.16","1,198,183.32",2008,2009
"Firma Us_ugowo-Handlowa ""ADCLEAN"" Pawe_ Adamkiewicz","""ROZWÓJ FIRMY ADCLEAN POPRZEZ INWESTYCJE""",Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsi_biorczo_ci,1.1.2 Inwestycje w mikroprzedsi_biorstwach,"152,988.00","62,700.00",2008,2009
Firma WALTER W_adys_aw Chrobak,""" Wzrost krajowej 
i mi_dzynarodowej konkurencyjno_ci firmy WALTER poprzez zakup innowacyjnej wycinarki laserowej oraz prasy kraw_dziowej""",Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapita_owe przedsi_biorczo_ci,,"3,373,300.00","1,779,954.80",2008,2009
Flowair G_ogowski i Brzezi_ski Sp. j. ,"Wsparcie na uzyskanie ochrony 12 wspólnotowych wzorów przemys_owych (konsole i obudowy urz_dze_ grzewczych, wentylacyjnych i klimatyzacyjnych)
",Program Operacyjny Innowacyjna Gospodarka,5.4. Zarz_dzanie w_asno_ci_ intelektualn_,5.4.1. Wsparcie na uzyskanie/realizacj_ ochrony w_asno_ci przemys_owej,"12,767.60","5,201.77",2008,2009
FLOWAIR G_OGOWSKI I BRZEZI_SKI SPÓ_KA JAWNA,Wdro_enie wyniku prac rozojowych nad kurtyn_ powietrzn_ ze strumieniem pomocniczym.,Program Operacyjny Innowacyjna Gospodarka,1.4. Wsparcie projektów celowych,,"74,800.00","29,699.99",2009,2009
FLOWAIR G_OGOWSKI I BRZEZI_SKI SPÓ_KA JAWNA,Wsparcie na przygotowanie Planu rozwoju eksportu dla firmy FLOWAIR G_ogowski i Brzezi_ski Sp. J. ,Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"15,250.00","9,967.20",2009,2009
FLOWER Bogdan Kwiatkowski,Nowe _ród_o przychodów firmy „FLOWER” – sklep drogeryjny.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsi_biorstw,5.2.1. Wsparcie inwestycji mikroprzedsi_biorstw,"118,375.70","66,288.89",2008,2009
Fludra Przedsi_biorstwo Metalowe T.M.T. Fludra  Spó_ka Jawna,Wdro_enie wzoru przemys_owego suwaka mechanizmu regulacyjnego w wózku rehabilitacyjnym,Program Operacyjny Innowacyjna Gospodarka,4.2. Stymulowanie dzia_alno_ci B+R przedsi_biorstw oraz wsparcie w zakresie wzornictwa przemys_owego,,"2,415,314.60","1,169,278.27",2008,2009
Fludra Przedsi_biorstwo Metalowe T.M.T. Fludra Spó_ka Jawna,Zakup innowacyjnej linii technologicznej do produkcji sprz_tu rehabilitacyjnego,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Dzia_anie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"1,619,196.76","793,932.52",2008,2009
Forest JK Joanna Kondys,"Podniesienie konkurencyjno_ci i innowacyjno_ci przedsi_biorstwa Forest JK poprzez zakup innowacyjnej linii do produkcji stolarki otworowej PCV, która zostanie zlokalizowana w Malborku",Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, ma_e i _rednie przedsi_biorstwa",1.1.2. Ma_e i _rednie przedsi_biorstwa,"1,735,250.00","712,250.00",2008,2009
Formac Polonia sp. z o.o.,Aktywizacja zawodowa kobiet po 50 roku _ycia z Andrychowa i okolic,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"47,036.00","46,756.47",2008,2009
FORMASTER S.A.,Wdro_enie nowej technologii przy produkcji systemów sorpcyjnych,Regionalny Program Operacyjny Województwa _wi_tokrzyskiego,"1.1. Bezpo_rednie wsparcie sektora mikro, ma_ych i _rednich przedsi_biorstw",,"1,370,205.42","556,744.90",2008,2009
FORMAT in_. Tadeusz Osiecki,"Zakup i uruchomienie MOBILNEGO CENTRUM BETONIARSKIEGO w technologii „on the fly” – firma FORMAT, Koszalin",Regionalny Program Operacyjny Województwa Zachodniopomorskiego,1.1. Wzrost konkurencyjno_ci przedsi_biorstw poprzez innowacyjne inwestycje,1.1.2. Inwestycje w ma_e i _rednie przedsi_biorstwa,"3,090,880.98","1,408,620.00",2008,2009
"FORMAT ZBYS_AW MICHALSKI, US_UGI STOLARSKIE",Rozszerzenie dzia_alno_ci przedsi_biorstwa poprzez wprowadzenie nowych us_ug dzi_ki zakupowi innowacyjnych maszyn,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsi_biorczo_ci,,"1,073,600.00","440,000.00",2008,2009
Forum Inicjatyw Rozwojowych,Podlaskie Warsztaty R_kodzielnictwa,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"49,500.00","42,177.62",2008,2009
Forum Inicjatyw Rozwojowych,Wioski tematyczne na Podlasiu integracja poprzez dzia_anie,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,890.00","41,235.47",2008,2009
Forum Inicjatyw Rozwojowych,Gmina Dobrzyniewo Duze - innowacyjne rozwi_zania na rzecz integracji spo_ecznej mieszka_ców,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,970.00","38,295.80",2008,2009
Forum Inicjatyw Rozwojowych,Gmina Czarna Bia_ostocka - innowacyjne rozwi_zania na rzecz aktywnej integracji spo_ecznej mieszka_ców,Program Operacyjny Kapita_ Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,970.00","42,962.77",2008,2009
Forum Inicjatyw Rozwojowych,Tradycyjne zawody - nowoczesna edukacja,Program Operacyjny Kapita_ Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,888.16","40,312.22",2008,2009
FPHU Piotr Brzazgacz,Poprawa konkurencyjno_ci FPHU Piotr Brzazgacz poprzez zakup innowacyjnych technologii wytwórczych.,Regionalny Program Operacyjny Województwa Ma_opolskiego,2.1. Rozwój i podniesienie konkurencyjno_ci przedsi_biorstw,Schemat A: Bezpo_rednie wsparcie inwestycji w  M_P,"610,000.00","103,580.32",2008,2009
FREZBUD Wies_aw Barwi_ski,Wzrost konkurencyjno_ci  Firmy FREZBUD Wies_aw Barwi_ski poprzez nabycie nowoczesnej frezarki do nawierzchni bitumicznych na zimno W 2000.,Regionalny Program Operacyjny Województwa Lubelskiego,1.2. Dotacje inwestycyjne dla mikroprzedsi_biorstw,,"1,709,586.00","840,780.00",2008,2009
Fuda Agnieszka Laskowska,Jurysta,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"276,780.00","265,906.65",2008,2009
FUDA Agnieszka Laskowska Rzezak,Pomorski CIA,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"374,830.00","363,600.99",2008,2009
Fundacja  Gospodarcza im. Karola Marcinkowskiego ,Postaw na przysz_o__,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"49,965.50","46,357.00",2008,2009
Fundacja  Gospodarcza im. Karola Marcinkowskiego w Ciechanowie,Prze_ama_ bariery,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"336,540.00","327,270.75",2008,2009
"Fundacja ""Merkury""",Wspracie i aktywizacja zawodowa mieszka_ców obszarów wiejskich - gmina wiejska Dzier_oniów,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"46,608.00","43,019.36",2008,2009
"Fundacja ""Merkury""",Wsparcie i aktywizacja zawodowa mieszka_ców obszarów wiejskich - gmina Walim,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"46,608.00","34,128.93",2008,2009
"Fundacja ""Merkury""",Wspracie i aktywizacja zawodowa mieszka_ców obszarów wiejskich - gmina G_uszyca,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"46,608.00","42,322.94",2008,2009
"Fundacja ""Merkury""",Wsparcie i aktywizacja zawodowa mieszka_ców obszarów wiejskich - gmina Marcinowice ,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"46,608.00","41,232.35",2008,2009
"Fundacja ""Merkury""",Wsparcie i aktywizacja zawodowa mieszka_ców obszarów wiejskich - gmina Stare Bogaczowice,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"46,608.00","43,284.99",2008,2009
"Fundacja ""Merkury""",Wsparcie i aktywizacja zawodowa mieszka_ców obszarów wiejskich - _widnica gmina wiejska,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"46,608.00","42,775.95",2008,2009
"Fundacja ""Razem""","""Nie daj si_ wykluczy_""",Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"827,482.59","801,895.45",2008,2009
"Fundacja ""Razem""","""Odwa_ si_ w _yciu na wi_cej"" - rozpoznawanie w_asnych mo_liwo_ci na rynku pracy",Program Operacyjny Kapita_ Ludzki,9.3. Upowszechnienie formalnego kszta_cenia ustawicznego,,"300,164.85","265,186.31",2008,2009
"Fundacja ""Tutaj Warto""",Aktywizacja obszarów wiejskichz powiatu wrzesi_skiego- budowanie lokalnej startegii rozwoju 2009-2014,Program Operacyjny Kapita_ Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywno_ci zawodowej na obszarach wiejskich,,"45,440.00","45,440.00",2008,2009
Fundacja Agencja Rozwoju Regionalnego,Nowy zawód - now_ szans_ ,Program Operacyjny Kapita_ Ludzki,6.1. Poprawa dost_pu do zatrudnienia oraz wspieranie aktywno_ci zawodowej w regionie,6.1.1 Wsparcie osób pozostaj_cych bez zatrudnienia na regionalnym rynku pracy,"588,596.00","543,547.70",2007,2009
Fundacja Agencja Rozwoju Regionalnego w Starachowicach,Moja Nowa Firma,Program Operacyjny Kapita_ Ludzki,6.2. Wsparcie oraz promocja przedsi_biorczo_ci i samozatrudnienia,,"917,192.45","811,096.81",2008,2009
Fundacja Agencja Rozwoju Regionalnego w Starachowicach,INTEGRACJA + AKTYWIZACJA = RÓWNE SZANSE NA RYNKU PRACY,Program Operacyjny Kapita_ Ludzki,7.2. Przeciwdzia_anie wykluczeniu i wzmocnienie sektora ekonomii spo_ecznej,7.2.1 Aktywizacja zawodowa i spo_eczna osób zagro_onych wykluczeniem spo_ecznym,"356,540.00","351,786.80",2008,2009
Fundacja Agencja Rozwoju Regionalnego w Starachowicach,"Europa bez granic - szkolenia j_zykowe dla pracowników z terenu powiatów kielckiego, ostrowskiego i starachowickiego.",Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"729,300.00","721,860.03",2008,2009
Fundacja Aktywno_ci Obywatelskiej,Koordynator -skuteczny lider! Rozwój umiej_tno_ci i kompetencji kierowników projektów spo_ecznych z Lubelszczyzny,Program Operacyjny Kapita_ Ludzki,8.1. Rozwój pracowników i przedsi_biorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsi_biorstw,"340,460.00","340,335.72",2008,2009
