payee_name,project_title,year_joined,public_expenditure_listing,fund,uri
∆ήµος Νέας Ερυθραίας,Επέκταση δικτύου ποδηλατόδορµων οδούς της Νέας Ε,2009,1.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Πεύκης,Αναπλάσεις περιοχών ∆,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Βάρης,Ανάπλαση - Πράσινο- Π,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αργυρούπολης,Ανάπλαση οδ,2009,1.900.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος ∆ροσιάς,Βελτίωση λειτουργικότητας κα ιπρο χώρων,2009,1.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Χολαργού,Ανάπλαση οδού Φανε,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αγίου Στεφάνου,Κατασκευή αναµόρφωση ιστ,2009,1.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Γέρακα,Μελέτη Κατασκευή για την ενοποίη κοινόχρηστων χ,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
Περιφέρεια Αττικής - ∆ιεύθυνση ∆ηµοσίων Εργων,Αναβάθµιση µέρους του αστικού Κρυονερίο,2009,1.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Ανω Λιοσίων,Πράσινη Ζωή στη,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Νέας Ιωνίας,Πράσινη ζωή στη,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Μοσχάτου,Αναβάθµιση και βελτίωση πράσινου πεζόδορµων οδόυ Θεσσ,2009,1.500.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Χαλανδρίου,Πράσινη Ζωή στη,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Ηρακλείου,Αναζωογόνηση περιοχών πράσινου κα αθλητικών εγκαταστάσεων στο,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Χαιδαρίου,Εργα ανάπλασης για την αναζωογόνσ ∆ήµου Χαιδαρ,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Αγίας Παρασκευής,Βιοκλιµατική ανάπλαση και ενί,2009,2.000.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
Περιφέρεια Αττικής - ∆ιεύθυνση Σχεδιασµού και ανάπτυξης,Ενέργειες Ενίσχυσης της κοινωνική ποιότητας ζωής ηλικιωµένων και ατ βοήθειας,2008,14.700.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ήµος Πεύκης,Κατασκευή αγωγών οµβρ,2009,2.490.000,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
∆ηµοτική Επιχείρηση Υδρευσης - Αποχέτευσης Λαυρίου,Ολοκλήρωση εσωτερικού δικτύου,2009,3.772.835,ΕΤΠΑ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=325
