"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
95,"Inspecta Latvia","Slokas iela 13, Rīga, LV-1048","Būvju konstrukcijas apsekošana ar nesagraujošām kontroles metodēm","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots veikt rūpniecisko pētījumu jaunu zināšanu un paņēmienu ieguvei būvju konstrukcijas apsekošanas jomā, un uz minētā pētījuma rezultātiem bāzētu eksperimentālo izstrādni, kuras ietvaros tiks apkopotas un dokumentētas pētījumā iegūtās zināšanas un paņēmieni.
 Projekta ietvaros tiks algoti pētnieki un to asistenti, kā arī nomātas un iegādātas nepieciešamās nesagraujošās kontroles iekārtas.
 Projekta rezultāts būs dokumentēts jauns pakalpojums - būvju konstrukcijas apsekošana ar nesagraujošām kontroles metodēm.","210,680.00","64,298.25","11,346.75",12,"www.inspecta.lv"
96,"Optilas","Rīgas gatve 64, Ādažu novads, LV-2164","Jaunas diožu lāzera frekvences stabilizācijas un trokšņu samazināšanas iekārtas izstrāde","Ādažu novads",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros SIA ""Optilas"" un SIA ""Latvijas licencēto datorprogrammu centrs"" 14 mēnešu laikā veiks rūpniecisko pētījumu un izstrādās jaunu iekārtu - diožu lāzera frekvences stabilizācijas un trokšņu samazināšanas iekārtu. Pētījumu paredzēts izstrādāt iesaistot Latvijas Universitātes FMF Lāzercentru un uzņēmumu pētniekus.","253,550.23","147,690.42","26,063.04",14,"www.optilas.lv"
97,"Senso Tech","Inženieru iela 101, Ventspils, LV-3601","B-phone VIDEO Monitoring izpēte","Ventspils",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Jauna inovatīva produkta B-phone VIDEO Monitoring pētījums, kas nodrošinātu vienlaicīgi mazuļa novērošanu skaņas, teksta un videoattēla veidā. pētījuma rezultāti ļautu skaidri noteikti risināmos jautājumus, lai jau tuvākajā laikā veiktu jauna komercializējama produkta izstrādi.","72,957.00","42,117.50","7,432.50",13,"www.b-phone.eu"
98,"AudioGids","Inženieru iela 101 C, Ventspils, LV-3601","Mobilo iekārtu pielāgojuma un elektronisko gidu programmnodrošinājuma izstrādes eksperimentālās izstrādnes pētījums","Ventspils",06/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks veikts mobilo iekārtu pielāgojuma un elektronisko gidu programmnodrošinājuma eksperimentālās izstrādes pētījums.
 Projekta rezultāts būs inovatīvu elektronisko gidu programmproduktu izstrādes specifikācija, uz kā pamata būs iespējams uzsākt programmproduktu prototipa izstrādi.","49,200.00","25,092.00","4,428.00",13,"www.audiogids.lv  www.audiogids.com"
99,"A TurboC 4U","Čiekurkalna 1.līnija 33, Rīga, LV-1026","Atvērtā koda datu vadības un apdrošināšanas datu apstrādes un komunikāciju programmatūras pētījums un izstrāde","Rīga",06/07/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks iztrādāts vienots IT risinājums, kurš uzlabotu apdrošināšanas un citu nozaru, kur nepieciešama liela IT vajadzīgo specifisko datu apmaiņa, intensitāti un kvalitāti. Izstrādātais IT risinājums - platforma būtiski palielinātu datu apmaiņas un apstrādes ātrumu, kvalitāti. Vienotais IT risinājums ir uz atvērtā koda izveidota programmatūra, kas ievērojami mainītu dažādu IT sistēmu izveidošanas un uzturēšanas parametru izmaksas, kā arī uzlabotu Latvijas ārējo maksājumu bilanci, jo izmantojot atvērtā koda programmatūru ievērojami samazinātos maksājumi uz ārvalstīm par licencētās programmatūras iegādi un izmantošanu. ievērojams jaunu atvērtā koda IT programmatūru funkcionālais atbalsts.","172,487.08","87,968.40","15,523.85",23,"www.aa.lv"
100,"Baltic Partner","Purva iela 12, Valmiera, LV-4201","Jaunu produktu: ziedes ""Olīveļļa - kalcijs"" zīdaiņu ādas attīrīšanai un kopšanai vakuuma masāžas eļļas izstrāde","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks izstrādāti divi produkti, kuru pamatā ir naturālā olīveļļa: zīdaiņu ādas attīrīšanai un kopšanai ziede ""Olīveļļa - kalcijs"" un vakuuma masāžas eļļa. Projekta ietvaros tiks algoti pētnieki, nomātas nepieciešamās pētniecības iekārtas, kā arī izmantoti ārējo pētniecības institūtu pakalpojumi.","67,080.00","37,567.92","6,629.64",9,
101,"PERUZA","Traleru iela 10, Rīga, LV-1030","Aktīvās benzpirēna filtrēšanas iekārtas izstrāde","Ropažu novads",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros paredzēts veikt jauna produkta - aktīvā benzpirēna filtra izstrādi pārtikas ražošanas uzņēmumiem, kas nodarbojas ar produktu kūpināšanu.
 Projekta ietvaros tiks algoti pētnieki, konstruktori, tejniķi un atslēdznieki, izmantoti datori un metālapstrādes iekārtas, kā arī tiks izmantoti ārēju pētniecības institūciju pakalpojumi.
 Projekta rezultāts būs rūpnieciskas ražības un pielietojuma aktīva benzpirēna filtra tehniskais projekts, kas ļaus izmantojot filtru samazināt neizbēgamas kūpināšanas procesa kaitīgās blakusvielas - benzipirēna, saturu kūpināšanas dūmos, kas iepriekš bija par iemslu Latvijas šprotu eksporta pārtraukšanai uz Krievijas Federāciju.","95,565.29","46,050.29","8,126.55",9,"www.peruza.lv"
102,"PERUZA","Traleru iela 10, Rīga, LV-1030","Rūpnieciskas ražības mazo zivju sugu ķidāšanas līnija","Ropažu novads",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros paredzēts veikt jauna produkta - Rūpnieciskas ražības mazo zivju sugu ķidāšanas līnijas izstrādi zivju apstrādes uzņēmumiem.
 Projekta ietvaros tiks algoti pētnieki, konstruktori, tehniķi un atslēdznieki, izmantoti datori un metālapstrādes iekārtas, kā arī tiks izmantoti ārēju pētniecības institūciju pakalpojumi.
 Projekta rezultāts būs rūpnieciskas ražības un pielietojuma Rūpnieciskas ražības mazo zivju sugu ķidāšanas līnijas tehniskais projekts, kas ļaus iegūt augstākas vērtības preci - ķidātu mazo zivi tālākai apstrādei, vienlaicīgi ekonomējot tālākās saldēšanas jaudas tikai vērtīgā produkta saldēšanai.","64,125.00","38,305.33","6,759.79",11,"www.peruza.lv"
103,"Balt Risk","Lokomotīves iela 34, Rīga, LV-1057","Skoringa sistēmas izstrādāšana","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots veikt rūpniecisko pētījumu eksperimentālo izstrādi jaunam produktam - skoringa sistēmas izstrādāšana, kas savāc, klasificē un analizē finanšu informāciju. Projekta rezultāta sasniegšanai tiks piesaistīti uzņēmuma speciālisti. Projekta rezultāts būs izstrādātā skoringa sistēma ar sistēmas izdruku.","134,135.10","54,874.92","9,683.83",11,"www.balt-risk.lv"
104,"Doitex","Ropažu iela 140, Rīga, LV-1006","Jauna ergonomikas servisa datorizētās sistēmas izstrāde","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks izstrādāts jauna ergonomikas servisa produkts- datorizēta sistēma plašam lietoāju lokam, kura mērķis ir sniegt datoru lietotājiem pilnu veselība preventīvo aprūpi","23,830.19","12,396.45","2,187.62",6,"www.doitex.lv"
