Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
KUFNER TEXTILWERKE GES.M.B.H.,Qualifizierung für Beschäftigte,"2,646",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUGLER GERHARD,Qualifizierung für Beschäftigte,455,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUHN-BAUMASCHINEN GMBH,Qualifizierung für Beschäftigte,250,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUKLA EDMUND DR.,Qualifizierung für Beschäftigte,"2,553",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KULINARIK GASTRONOMIE UND FRISCHKÜCHE GMBH,Qualifizierung für Beschäftigte,"2,715",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KULTURPARK HENGIST,Archäologische Grabungen im Kulturpark Hengist ,"118,125",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUM NAKCH TAWAR DDR.,Gesundheit/Pflege ,"1,957",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUNERT GESMBH,Qualifizierung für Beschäftigte,"6,797",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUNSTHAUSWIEN GMBH,Qualifizierung für Beschäftigte,"1,600",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUNSTTRANS SPEDITION GMBH,Qualifizierung für Beschäftigte,780,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURAPOTHEKE  MAG. HROVAT OHG,Qualifizierung für Beschäftigte,"1,483",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURATORIUM F. KÜNSTLERISCHE  U. HEILENDE PÄDAGOGIK,Qualifizierung für Beschäftigte,443,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURHAUS DER MARIENSCHWESTERN VOM KARMEL,Qualifizierung für Beschäftigte,967,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURHOTEL BAD PIRAWARTH GMBH&CO KG,Qualifizierung für Beschäftigte,"32,361",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURHOTEL SALZERBAD GMBH,Qualifizierung für Beschäftigte,980,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURSANA RESIDENZEN GMBH.,Qualifizierung für Beschäftigte,"1,291",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURT HOFMANN,Qualifizierung für Beschäftigte,560,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURT KAMMERLEITHNER   URKORNHOF,Qualifizierung für Beschäftigte,"1,215",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURT KREISSL,Qualifizierung für Beschäftigte,397,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"KURT MANN, BÄCKEREI & KONDITOREI GMBH & CO KG",Qualifizierung für Beschäftigte,913,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURTA TOURISTIK GMBH.,Qualifizierung für Beschäftigte,743,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZBAUER ANTON,Qualifizierung für Beschäftigte,915,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM  LANDSKNECHTE  BAD SCHÖNAU GMBH,Qualifizierung für Beschäftigte,"13,078",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM  LANDSKNECHTE  BAD SCHÖNAU GMBH,Qualifizierung für Beschäftigte,"12,133",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM BAD EISENKAPPELGMBH & COKG,Qualifizierung für Beschäftigte,696,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM BAD HOFGASTEIN GES.M.B.H.&.CO.KG,Qualifizierung für Beschäftigte,"2,174",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM BAD HOFGASTEIN GESELLSCHAFT M.B.H. & CO KG,Qualifizierung für Beschäftigte,"5,374",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM BAD HÄRING GMBH,Qualifizierung für Beschäftigte,"4,100",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM PARKHOTEL IGLS GMBH,Qualifizierung für Beschäftigte,"4,782",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM PARKHOTEL IGLS GMBH,Qualifizierungsverbund ,"6,830",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KURZENTRUM THERMAL-HEILBAD GMBH&COKG,Qualifizierung für Beschäftigte,198,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUSS RUDOLF LUDWIG,Qualifizierung für Beschäftigte,540,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUSTER UND STAMPFER WIRTSCHAFTSPRÜFUNGS- U. STEUERBERATUNGSGMBH,Qualifizierung für Beschäftigte,263,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KUVAG  GMBH & CO KG,Qualifizierung für Beschäftigte,420,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KWINTET AUSTRIA GMBH,Qualifizierung für Beschäftigte,"9,534",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KWT KLAGENFURTER WIRTSCHAFTSTREUHAND GES.M.B.H.,Qualifizierung für Beschäftigte,"6,806",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KYOCERA MITA GMBH,Qualifizierung für Beschäftigte,"7,095",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄLTEPOL KÜHLANLAGEN GMBH.,Qualifizierung für Beschäftigte,"1,889",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRCHER ALFRED GMBH,Qualifizierung für Beschäftigte,"1,796",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER BERUFSFÖRDERUNGSINSTITUT,Qualifizierung für Beschäftigte,"6,412",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER CARITASVERBAND  FÜR WOHLFAHRTSPFLEGE U. FÜRSORGE,Qualifizierung für Beschäftigte,"6,291",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER DRUCK- UND VERLAGSGES.M.B.H.,Qualifizierung für Beschäftigte,163,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER FLUGHAFEN BETRIEBSGESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"1,159",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER HILFSWERK,Qualifizierung für Beschäftigte,"5,085",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER LANDESVERSICHERUNG,Qualifizierung für Beschäftigte,"1,026",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER MONTANINDUSTRIE GES.M.B.H.,Qualifizierung für Beschäftigte,"2,568",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER REGIONAL MEDIEN GMBH,Qualifizierung für Beschäftigte,"9,374",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER REGIONALMEDIEN KLAGENFURTER,Qualifizierung für Beschäftigte,195,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER SPARKASSE AG,Qualifizierung für Beschäftigte,"6,881",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄRNTNER WOCHE ZEITUNGS-G.M.B.H. & CO KG,Qualifizierung für Beschäftigte,"3,215",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄSEHOF REGGENMBH,Qualifizierung für Beschäftigte,254,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄSEREI PLANGGER GES.M.B.H.,Qualifizierungsverbund ,"3,091",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄSSBOHRER TRANSPORT TECHNIK GMBH,Qualifizierung für Beschäftigte,"5,022",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÄSTLE GMBH,Qualifizierung für Beschäftigte,367,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖ - FLEISCHWAREN - JOSEF KÖTTSTORFER,Qualifizierung für Beschäftigte,"1,424",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖB & SCHÄFER KG,Qualifizierung für Beschäftigte,287,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖCK HEIMO  1A AUTOSERVICE,Qualifizierung für Beschäftigte,277,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖFELE KINDERMODEN  INH. GABY WASNIG,Qualifizierung für Beschäftigte,153,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖLBL BAU GMBH,Qualifizierung für Beschäftigte,333,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖLBL GES.M.B.H.,Qualifizierung für Beschäftigte,"1,267",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖNIG - MAHLE,Qualifizierung für Beschäftigte,"3,044",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖNIG SONNENSCHUTZ GMBH,Qualifizierung für Beschäftigte,89,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖPFCHEN KREATIVSTUDIO STUDIO JABLANEV,Qualifizierung für Beschäftigte,"3,522",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖSE INSTALLATIONEN GMBH,Qualifizierung für Beschäftigte,996,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖSSLER GES.M.B.H.,Qualifizierung für Beschäftigte,600,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖSSLER GESMBH.,Qualifizierung für Beschäftigte,"1,801",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖSSNER GMBH U. CO.KG,Qualifizierung für Beschäftigte,668,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÖTZ GMBH,Qualifizierung für Beschäftigte,"1,000",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÜBLBÖCK ÖKOSYSTEMS GMBH,Qualifizierung für Beschäftigte,947,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÜCHEN & WOHNEN HANDELS GMBH,Qualifizierung für Beschäftigte,"1,440",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÜCHEN WERKSTATT GMBH,Qualifizierung für Beschäftigte,267,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÜHNE & NAGEL GMBH.,Qualifizierung für Beschäftigte,"2,111",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÜHNE + NAGEL GMBH,Qualifizierungsverbund ,"1,370",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
KÜHNE ENGINEERING GMBH,Qualifizierung für Beschäftigte,"3,640",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
L & M GES.M.B.H,Qualifizierung für Beschäftigte,"1,313",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
L & S RECYCLING,Qualifizierung für Beschäftigte,"1,693",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
L-MOBILE SOFTWARE GMBH,Qualifizierung für Beschäftigte,513,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
L. DERKSEN & CO. GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,380,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
L.I.F.F.T.VEREIN F. INTERDISZIPLINÄRE FRÜHFÖRDERER,Qualifizierung für Beschäftigte,210,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
L.Z.B.  BAUSTOFFHANDEL GMBH,Qualifizierung für Beschäftigte,333,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LA BELLEZZA  DAS SCHÖNHEITSHAUS  SABINE PAINSI,Qualifizierung für Beschäftigte,"1,359",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LA VITA  INH. SCHIEDER MANUELA,Qualifizierung für Beschäftigte,647,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAAERBERG APOTHEKE  MAG. IRENE DEIXLER KG,Qualifizierung für Beschäftigte,"1,387",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LABAU  GARTEN-U. GRÜNFLÄCHENGESTALTUNGS- GESELLSCHAFT,Qualifizierung für Beschäftigte,860,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"LABER, POZZI & PARTNERS CORPORATE FINANCE GMBH",Qualifizierung für Beschäftigte,990,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LABOKLIN GMBH & CO.KG,Qualifizierung für Beschäftigte,193,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LABOR STRAUSS  SICHERUNGSANLAGENBAU GMBH WIEN,Qualifizierung für Beschäftigte,745,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LACHMAYR MÖBELWERKSTÄTTE GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"1,040",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LACKNER RUDOLF,Qualifizierung für Beschäftigte,"5,772",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LACKNER SEKYRA OHG,Qualifizierung für Beschäftigte,"8,378",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"LACKNERHOF GMBH, FAM. LACKNER",Qualifizierung für Beschäftigte,"5,056",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LACTOPROT  ALPENLÄNDISCHE MILCHINDUSTRIE,Qualifizierung für Beschäftigte,536,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LADURNER JOHANN PETER,Qualifizierung für Beschäftigte,210,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAETITIA PFLEGEHEIME GMBH,Qualifizierung für Beschäftigte,"2,265",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUS BAUSERVICE REG GEN.MBH & COKG,Qualifizierung für Beschäftigte,"1,152",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUS TECHNIK CENTER  GMBH & CO KG,Qualifizierung für Beschäftigte,"2,063",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUS TRAUNVIERTEL EGEN,Qualifizierung für Beschäftigte,585,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUS TRAUNVIERTEL EGEN,Qualifizierung für Beschäftigte,"1,087",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT,Qualifizierung für Beschäftigte,147,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT,Qualifizierung für Beschäftigte,459,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT,Qualifizierung für Beschäftigte,"40,162",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT   GREIN U. UMGEBUNG,Qualifizierung für Beschäftigte,147,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT  EFERDING,Qualifizierung für Beschäftigte,"2,442",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT  PREGARTEN-GALLNEUKIRCHEN,Qualifizierung für Beschäftigte,"1,341",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT  VÖCKLABRUCK,Qualifizierung für Beschäftigte,"1,040",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERHAUSGENOSSENSCHAFT REGMBH GMUNDEN-LAAKIRCHEN,Qualifizierung für Beschäftigte,412,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERMAX AED GMBH & CO KG,Qualifizierung für Beschäftigte,"1,913",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERMAX AUTOTRANSPORT GMBH,Qualifizierung für Beschäftigte,"1,512",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERMAX INT. SPEDITION GES.M.B.H.,Qualifizierung für Beschäftigte,"8,494",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERMAX LAGERHAUS U. SPEDITION AG,Qualifizierung für Beschäftigte,"2,968",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGERMAX PAKETDIENST GMBH & CO KG,Qualifizierung für Beschäftigte,"1,855",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAGLER GMBH,Qualifizierung für Beschäftigte,"2,550",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAHNER CHRISTOPH DDR.,Qualifizierung für Beschäftigte,"2,560",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAHOFER BAUMEISTER GESMBH,Qualifizierung für Beschäftigte,600,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAICHA EDITH  FRISEURSTUDIO,Qualifizierung für Beschäftigte,660,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAIMINGER MICHAEL,Qualifizierungsverbund ,"1,029",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAMMER-PAULITSCH BIRGITT,Qualifizierung für Beschäftigte,533,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LAMPE REISEN GESMBH & COKG,Qualifizierung für Beschäftigte,"1,250",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANCE LUMSDEN GMBH.,Qualifizierung für Beschäftigte,193,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDENA WELS KG,Qualifizierung für Beschäftigte,843,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDENTWICKLUNG STEIERMARK,Qualifizierung für Beschäftigte,773,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDESMUSEUM FÜR KÄRNTEN,Virunum/Zollfeld 2007 ,"245,825",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDESMUSEUM JOANNEUM GMBH,Qualifizierung für Beschäftigte,307,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDESNERVENKLINIK  SIGMUND FREUD GRAZ,Qualifizierung für Beschäftigte,"9,651",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDESVERLAG  DRUCKSERVICE GMBH,Qualifizierung für Beschäftigte,"1,876",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDGRAF HOTELBETRIEBS GMBH,Qualifizierung für Beschäftigte,920,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDHAUS CARLA FAM. E. U. C. EBERHARTER,Qualifizierung für Beschäftigte,"1,800",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDHAUS ST. GEORG  HOTELBETRIEBSGMBH,Qualifizierungsverbund ,866,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDHOF GESMBH & CO KG,Qualifizierung für Beschäftigte,"1,248",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDHOTEL SCHICKLBERG GMBH & CO KG,Qualifizierung für Beschäftigte,"1,023",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
LANDSCHAFTSAPOTHEKE  INH. MAG. DUNDALEK,Qualifizierung für Beschäftigte,787,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
