Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
ACHLEITNER OHG,Qualifizierung für Beschäftigte,"1,747",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACHLEITNER U. PARTNERSTEUERBERATUNG GMBH,Qualifizierung für Beschäftigte,"1,058",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACO MODEAGENTUR GMBH,Qualifizierung für Beschäftigte,"2,248",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACP IT HOLDING GMBH,Qualifizierung für Beschäftigte,"1,307",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACTEBIS  COMPUTERHANDELS GMBH,Qualifizierung für Beschäftigte,340,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACTIVA APOTHEKE  RENATE FOLBERTH KG,Qualifizierung für Beschäftigte,509,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACTUALFENSTER TÜREN SONNENSCHUTZ GMBH,Qualifizierung für Beschäftigte,"2,414",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACTUALFENSTER- U.MASCHINENBAU HOLDING GMBH,Qualifizierung für Beschäftigte,"2,352",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADDIT DIENSTLEISTUNGEN GMBH & CO KG,Qualifizierung für Beschäftigte,"1,196",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADEG SCHIEFER,Qualifizierung für Beschäftigte,"1,875",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ADEG VERBRAUCHERMÄRKTE GMBH,Qualifizierung für Beschäftigte,275,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
