datum_objave_potrditve,op,naziv,status,vir,posrednisko_telo_razpisovalec_organ_upravljanja,razpisana_potrjena_vrednost,naziv_upravicenca,naziv_operacije,regija,leto_dodelitve_sredstev,visina_dodeljenih_sredstev,visina_izplacanih_sredstev,opomba
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,KOLDING d.o.o.,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Koroška,2009,99.914 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,CBD gradbeno in poslovno projektiranje d.o.o.,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Savinjska,2009,99.896 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,KOLOSEJ KINEMATOGRAFI d.o.o.,Vspodbujanje prehoda raziskovalcev iz institucij znanja v gospodarstvo,Osrednjeslovenska,2010,99.866 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"AMANOVA- Inteligentni sistemi, senzorji in novi materiali d.o.o.",Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Osrednjeslovenska,2009,99.799 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,IskraLAB raziskave in razvoj d.o.o.,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Goriška,2009,99.319 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,Razvojno tehnološki center za vžigne sisteme in elektroniko d.o.o.,Vspodbujanje prehoda raziskovalcev iz institucij znanja v gospodarstvo,Severna Primorska,2010,95.975 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"IOS, Inštitut za okoljevarstvo in senzorje, d.o.o.",Vspodbujanje prehoda raziskovalcev iz institucij znanja v gospodarstvo,Podravska,2010,92.623 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,Razvojno tehnološki center za vžigne sisteme in elektroniko d.o.o.,Vspodbujanje prehoda raziskovalcev iz institucij znanja v gospodarstvo,Severna Primorska,2010,91.616 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,ARHEJ d.o.o.,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Spodnjeposavska,2009,91.547 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,INŠTITUT BION d.o.o.,Vspodbujanje prehoda raziskovalcev iz institucij znanja v gospodarstvo,Osrednjeslovenska,2010,78.421 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"IOS, Inštitut za okoljevarstvo in senzorje, d.o.o.",Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Podravska,2009,59.570 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Perutnina Ptuj, d.d.",Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Podravska,2009,54.975 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,EFOS informacijske rešitve d.o.o.,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Notranjsko-kraška,2009,49.740 €,,
8.5.2009,RČV,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja,JR,Ur.l.RS št. 35/2009,Javna agencija RS za podjetništvo in tuje investicije ,,Studio Bikini d.o.o.,Javni razpis za sofinanciranje zaposlitev raziskovalcev ob prehodu v podjetja (št.II),Primorska,2009,34.984 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"TERMO SHOP d.o.o., trgovina in inženiring za toplotno in hladilno tehniko",Industrijske raziskave optimiranja izbire komponent energetske opreme z upoštevanjem spremenljivih parametrov okolja,savinjska,2010,200.000 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"KOPS Tovarna kovinske opreme in procesnih sistemov d.d. Industrijska 5, Grosuplje",Raziskava različnih pogonov in načinov gretja pri prašni lakirnici,osrednjeslovenska,2010,200.000 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"O.G.I. Equipment, Oprema d.o.o.",Raziskava sušenja krme,osrednjeslovenska,2010,200.000 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,Škrlj kovinska oprema d.o.o.,Vintelligence: inteligentni sistem za vodenje in nadzor vinskih kleti,osrednjeslovenska,2010,199.967 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ALPINEON, razvoj in raziskave, d.o.o.",Inteli Mo: avtonomni sistem za inteligentni monitoring požarov v naravi,osrednjeslovenska,2009,199.813 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Bosio d.o.o., proizvodnja industrijskih peči in pralnih linij",Jamska peč za toplotno obdelavo rotorjev EUP-J 250/1100,savinjska,2010,199.380 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Gradbeni servis in gostinstvo, Peter Leskovar s.p.",Edinstvena gumijasta obutev,savinjska,2010,199.169 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,ROTO podjetje za predelavo in trženje d.o.o.,Inovativno izkoriščanje energije vetra z malimi vetrnimi elektrarnami za individualno rabo,pomurska,2009,199.071 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,IUS SOFTWARE pravne in poslovne informacije d.o.o. Ljubljana,"IUS-CONTENT, sistem za upravljanje in elektronsko publiciranje pravnih in akademskih dokumento",osrednjeslovenska,2010,199.039 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"MOLLIER, inženiring, storitve, proizvodnja, trgovina d.o.o.",Uporaba žlindre za sanacije odlagališč nenevarnih odpadkov,savinjska,2010,198.950 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"EMO ORODJARNA proizvodna družba, d.o.o.",Razvoj nove generacije preoblikovanja orodij za preoblikovanje pločevin za najzahtevnejša področja,savinjska,2009,198.899 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Wravor, proizvodnja, trgovina, transport d.o.o.",Postopek Predelava lesa v biomaso in pretvorba v električno energijo ter eterična olja in rastlinsko mast,savinjska,2010,198.758 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,ROYCE & BACH - IGRALNA PROCESNA AVTOMATIKA d.o.o.,Aplikacija strojnega vida v produktih za industrijo gostoljubja,savinjska,2010,198.738 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Acies Bio, biotehnološke raziskave in razvoj, d.o.o.",Razvoj funkcionalnega živila za zmanjšanje tveganja kardiovaskularnih obolenj,osrednjeslovenska,2010,198.694 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,DMP TRADE Zunanja trgovina d.o.o.,Inovativni sistem za urejanje mirujočega prometa,osrednjeslovenska,2010,198.318 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"O1S, trgovina s pisarniškim materialom in opremo, d.o.o.",E-sistem za prodajo učnih gradiv,osrednjeslovenska,2010,197.895 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ALPINEON razvoj in raziskave, d.o.o.",BioID: domofon z biometrično identifikacijo oseb,osrednjeslovenska,2010,196.824 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Optilab d.o.o., informacijske tehnologije in poslovne storitve",Razvoj informacijske rešitve za razreševanje goljufij in nepravilnosti v zdravstvenem zavarovanju,goriška,2010,192.904 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Dr. Ferk & Partner, podjetniško svetovanje d.o.o.",Internacionalizacija poslovanja v 5 korakih - rain maker,podravska,2010,192.180 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,KORONA inženiring d.d.,Informacijski sistem za trgovanje z električno energijo,osrednjeslovenska,2010,191.817 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,Paron lesna industrija d.o.o.,EAG (elektroakustična godala),savinjska,2010,189.948 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"GISDATA, družba za geoinformacijske tehnologije, sisteme in storitve, d.o.o., Ljubljana",Sistem ovrednotenja in spremljanja okolju prijaznih zgradb,osrednjeslovenska,2010,177.586 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Tajfun Planina, proizvodnja strojev d.o.o.",Raziskave in razvoj namenskih sestavin vodne hidravlike za gozdarski vitel Tajfun,savinjska,2010,175.263 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,EFOS informacijske rešitve d.o.o.,Avtomatsko zaznavanje pojava škodljivih žuželk,obalno-kraška,2010,168.617 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"REPAR ELEKTRONIKA, Podjetje za načrtovanje, proizvodnjo in prodajo, Škofljica, d.o.o.",Metalokacijska borza prevozov,osrednjeslovenska,2009,166.865 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"AEROSOL razvoj in proizvodnja znanstvenih instrumentov, d.o.o.","UV Aethalometer - inštrument za merjenje ogljičnih aerosolov, ki absorbirajo svetlobo v UV in modrem delu spektra",osrednjeslovenska,2009,165.808 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"UNISTAR LC, zastopstvo, izdelava in vzdrževanje računalniške opreme in računalniških aplikacij d.o.o. Ljubljana","""Komunikacijski farmakovigilančni sistem"" za online sporočanje škodljivih učinkov ter ""Ekspertni sistem"" za analizo in ugotavljanje redkejših, nenavadnih in naključnih škodljivih učinkov zdravljenja onkoloških bolnikov",osrednjeslovenska,2010,162.547 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"GEA COLLEGE PIC poslovnoizobraževalni center, d.o.o.",R&R centra podjetniške odličnosti,osrednjeslovenska,2009,162.020 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"FMC, Sistemski Integrator d.o.o.",Razvoj platforme za upravljanje z multimedijskimi vsebinami in povezanimi intelektualnimi pravicami,osrednjeslovenska,2010,159.631 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"INTRA LIGHTING Proizvodnja svetil, inženiring in oprema objektov d.o.o.",Alpha Programme,goriška,2010,157.895 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"EUROCOM računalniški inženiring, d.o.o.",Programska rešitev MIS INTEGRA,savinjska,2010,153.222 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ANALITICA, računalništvo in svetovanje, d.o.o.",Razvoj programskega paketa za ALM,osrednjeslovenska,2009,151.705 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"GOAP Računalniški inženiring in avtomatizacija procesov, d.o.o. Nova Gorica",Multimedijska platforma,goriška,2009,149.713 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ENSICO S, družba za športne inovacije d.o.o.","R&R sodobne opreme, storitev in infrastrukturnih rešitev za telesno-kulturne dejavnosti otrok in mladine od 10 do 18 leta",osrednjeslovenska,2010,148.825 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ŠPICA INTERNATIONAL, sistemi za avtomatsko identifikacijo, d.o.o.",iSTM - inovativna storitev upravljanja z delovnim časom,osrednjeslovenska,2009,143.177 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"AREX, Proizvodnja orodij, naprav in storitev d.o.o. Šentjernej",Raziskave in razvoj tehnologije okoljsko razgradljivih polimernih materialov in markirnih sredstev za simulacijsko strelivo za pravo strelno orožje,Jugovzhodna Slovenija,2010,134.959 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,RESULT Računalniški sistemi d.o.o.,ePomočnik,osrednjeslovenska,2010,133.060 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"MICROGRAMM d.o.o., informacijske tehnologije",SyncAc - vzpostavitev sistema sinhronega računovodenja z integracijo v produktno skupino ADVANTIK,osrednjeslovenska,2010,129.928 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"BASING, strojni in računalniški inženiring, d.o.o.",Tarantela 08,gorenjska,2009,125.042 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"HALCOM sistemi za plačilne storitve, elektronsko bančništvo in varno elektronsko poslovanje, d.d.",R & R programskega sistema za kliring e-računov nove generacije,osrednjeslovenska,2010,124.003 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"PRO SERVIS, servis in vzdrževanje IT opreme d.o.o.",Testna aplikacija intuitivnega razvojnega orodja RcG na problem razvoja portala za optimizacijo servisnih storitev,osrednjeslovenska,2010,122.331 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ETRA 33 Energetski transformatorji, d.o.o.",Razvoj modela za učinkovito napovedovanje in merjenje vibracij in hrupa energetskega transformatorja,osrednjeslovenska,2010,121.950 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ALSING Avtomatizirani logistični sistemi, d.o.o.",Razvoj inteligentnega montažnega sistema skladiščenja IMS 620,osrednjeslovenska,2010,120.914 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"SILIKO proizvodno podjetje, storitve in trgovina, d.o.o. Brezje",Razvoj kompleksnih 2k izdelkov: kombinacija termoplast - elastomer,osrednjeslovenska,2010,112.053 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"RZ, razvoj zrakoplovov d.o.o.",Raziskovanje problematike plačilne discipline,savinjska,2010,111.378 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Modre tehnologije, programska oprema d.o.o.",Razvoj biomehanskega merilnega sistema za rehabilitacijo (Wise-Rehab),osrednjeslovenska,2010,109.385 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"MENINA proizvodnja pogrebne opreme, d.d.",Razvoj nove kategorije krst za italijansko in obstoječa tržišča,osrednjeslovenska,2010,104.679 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"TRM FILTER, filtri in filtrirne naprave d.o.o.",Razvoj inovativne ekološko energetske tehnologije za impregnacijo,osrednjeslovenska,2010,104.145 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,Institut za ekološki inženiring d.o.o.,Metoda napovedovanja sprememb gladine podzemne vode,podravska,2010,102.147 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"TANTEGEL Poslovne storitve in varstvo pri delu, d.o.o.",Raziskava in razvoj trajnostnih procesov in proizvodov s primerom lahkega betona na osnovi agregata iz lahko pihanega stekla,podravska,2010,101.681 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"PRONET informacijski in komunikacijski sistemi, inženiring, storitve d.o.o.",Razvoj platforme MSE24,podravska,2010,101.559 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"EKSTUNDO, proizvodnja, raziskovanje in razvoj, d.o.o.,",Razvoj novega koncepta fleksibilne kolesne gredi 3. generacije,obalno-kraška,2010,96.053 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"VAVTAR Inženiring, d.o.o., Jesenice",Krmilna aplikacija za optimizirano pridobivanje toplote iz obnovljivih virov energije,gorenjska,2010,95.584 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"CVS MOBILE, informacijske rešitve, d.d.",ECODRIVER - modul za optimizacijo vožnje v tovornem prometu,osrednjeslovenska,2010,94.632 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"SLEDENJE, informacijske storitve, d.o.o.",Track PRO,osrednjeslovenska,2009,93.242 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"VALICON, trženjsko svetovanje in raziskave d.o.o.",Raziskava in razvoj univerzalne programske platforme za anketiranje,osrednjeslovenska,2010,87.363 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"VIRIS, varnost in razvoj informacijskih sistemov, d.o.o.",Informacijski sistem za vodenje golfskih turnirjev,osrednjeslovenska,2009,83.771 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"NETIS, računalniški inženiring, d.o.o.",Razširitev funkcionalnosti orodja za analizo tveganj,osrednjeslovenska,2009,82.000 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"AGENDA komunikacijski in informacijski inženiring, d.o.o.",Upravljanje e-dokumentacije v skladu z zahtevami standardov in realizacije IT rešitev na OK,podravska,2009,81.221 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,BRINOX INŽENIRING D.O.O.,Razvoj kontinuiranega sistema za granulacijo farmacevtskih praškastih komponent na podlagi naprednega sistema za nadzor in vodenje procesa,osrednjeslovenska,2010,79.822 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Pronet, Kranj, d.o.o., računalniški inženiring in trgovina",Informacijski sistem za spremljanje kakovosti proizvodnje v vinarski industriji,gorenjska,2010,78.630 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"ARIH oglaševalska agencija, d.o.o.",Dinamični komunikacijski vmesnik,osrednjeslovenska,2010,77.763 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"POLYCOM predelava plastičnih mas in orodjarstvo Škofja Loka, d.o.o.",Raziskave ključnih tehnologij za razvoj funkcijsko zahtevnega izdelka,gorenjska,2009,74.463 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"SOLARNI TERMO SISTEMI - STS, razvoj, proizvodnja in prodaja solarnih termo sistemov, d.d.",Razvoj učinkovitih in cenovno ugodnih termo-solarnih sistemov z namenom povečanja deleža koriščenja obnovljivih virov energije,savinjska,2010,73.537 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"CIVIS, Center za izobraževanje, varnost, inžiniring in svetovanje d.o.o.",Spletna podporna mreža storitev za podjetja,podravska,2009,72.089 €,,
30.4.2009,RČV,Javni razpis za sofinanciranje stroškov projektnih interdisciplinarnih skupin ,JR,Ur.l.RS št. 33/2009,Javna agencija RS za podjetništvo in tuje investicije ,,"Temaconsult družba za svetovanje, storitve in trgovino d.o.o.",Razvoj tehnologije za recikliranje brusnega mulja,osrednjeslovenska,2010,66.553 €,,
