nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
Instituto Español de Comercio Exterior (ICEX) (MITC),MINV DE LA TV CENTRAL CHINA (CCTV),"606,36",606.36,"606,36",606.36,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV EEUU 2008 - OFICINA DE PRENSA (PU),"1.542,30",1542.30,"1.542,30",1542.30,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),JORNADA (3) -INDUSTRIAS CULTURALES,"309,09",309.09,"309,09",309.09,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ENCUENTRO EMPRESARIAL ESPAÑA-EGIPTO 2008,"356,14",356.14,"356,14",356.14,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MINV1 PRESCRIPTORES CEVISAMA 2008,"107,74",107.74,"107,74",107.74,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),JTEC RESTAURACIÓN MODERNA CHINA 2008,"3.920,47",3920.47,"3.920,47",3920.47,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INV ESTUDIO MERCADO RESTAURACION EN CHINA,"848,59",848.59,"848,59",848.59,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (3) MIF CANNES 2008 - FRANCIA,"145,74",145.74,"145,74",145.74,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLICIT.INTERNI ABRIL ITALIA 2008,"266,03",266.03,"266,03",266.03,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC. PUBLICIT.ABITARE ABRIL ITALIA 2008,"156,07",156.07,"156,07",156.07,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3030)BB11.pdf
