BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
MANTENIMIENTOS Y CONSERVACION ABRISER SL,Mejorar a empleabilidad de las personas desempleadas,"141,45",
MANTENIMIENTOS Y CONTRATAS ALONSO SL,Mejorar a empleabilidad de las personas desempleadas,"994,18",
MANTENIMIENTOS Y LIMPIEZAS ASTURIANAS SL,Mejorar a empleabilidad de las personas desempleadas,"2.216,67",
"MANTENIMIENTOS Y LIMPIEZAS DELMAR, SL",Mejorar a empleabilidad de las personas desempleadas,"1.893,33",
MANTENIMIENTOS Y MONTAJES CLIMALEC SL,Mejorar a empleabilidad de las personas desempleadas,"1.713,30",
MANTENIMIENTOS Y MONTAJES RIA DE AVILES SA,Mejorar a empleabilidad de las personas desempleadas,"3.659,84",
"MANTENIMIENTOS Y OBRAS BCN, SL",Mejorar a empleabilidad de las personas desempleadas,"1.910,04",
"MANTENIMIENTOS Y SERVICIOS DE GALICIA,SL",Mejorar a empleabilidad de las personas desempleadas,"1.197,08",
MANTENIMIENTOS Y SERVICIOS HERNANDEZ SANZ SL,Mejorar a empleabilidad de las personas desempleadas,"2.905,63",
MANTENIMIENTOS Y SERVICIOS INTEGRALES GERCLIN S.L.,Mejorar a empleabilidad de las personas desempleadas,"3.696,18",
"MANTENIMIENTOS Y SERVICIOS ONUBA, SL",Mejorar a empleabilidad de las personas desempleadas,"466,69",
MANTENIMIENTOS Y TECNICAS DE SOFTWARE SL,Mejorar a empleabilidad de las personas desempleadas,"300,00",
"MANTEOLA Y LLAMAS, OLALLA SL",Mejorar a empleabilidad de las personas desempleadas,"76,13",
MANTEPOXI SL,Mejorar a empleabilidad de las personas desempleadas,"2.406,34",
"MANTEPUERTO, SL",Mejorar a empleabilidad de las personas desempleadas,"1.594,71",
MANTEQUERIAS ARIAS SA,Mejorar a empleabilidad de las personas desempleadas,"2.769,43",
MANTEQUERIAS BRAVO SL,Mejorar a empleabilidad de las personas desempleadas,"3.110,09",
"MANTEQUILLA DE CANTABRIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"609,06",
"MANTERMIC, SL",Mejorar a empleabilidad de las personas desempleadas,"1.296,66",
MANTEROL FACTORY SL,Mejorar a empleabilidad de las personas desempleadas,"866,71",
MANTEROL SA,Mejorar a empleabilidad de las personas desempleadas,"3.667,74",
MANTI. GER. POR SL,Mejorar a empleabilidad de las personas desempleadas,"173,23",
"MANTICA SOLUTIONS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77",
"MANTOLAN, SL",Mejorar a empleabilidad de las personas desempleadas,"46,62",
MANTON COSTA DEL SOL SL,Mejorar a empleabilidad de las personas desempleadas,"1.133,28",
"MANT-PORT VALLES 98, SL",Mejorar a empleabilidad de las personas desempleadas,"217,77",
MANTRA SALUD SL,Mejorar a empleabilidad de las personas desempleadas,"1.518,08",
"MANTROL SERVICIOS, SL",Mejorar a empleabilidad de las personas desempleadas,"62,30",
MANTUATURI SL,Mejorar a empleabilidad de las personas desempleadas,"68,47",
MANTURIOS E SEMENTES SL,Mejorar a empleabilidad de las personas desempleadas,"520,00",
"MANTYDESA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"648,92",
MANTZIKERT SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,73",
"MANU ATRISTAIN ARQUITECTO, S.R.L.",Mejorar a empleabilidad de las personas desempleadas,"1.173,40",
MANU GRAN S.L.,Mejorar a empleabilidad de las personas desempleadas,"100,00",
MANUALIDADES BLANCA CB,Mejorar a empleabilidad de las personas desempleadas,"676,59",
MANUALIDADES ESCOLARES SA,Mejorar a empleabilidad de las personas desempleadas,"354,15",
MANUALIDADES GRAFICAS SL,Mejorar a empleabilidad de las personas desempleadas,"626,64",
MANUALIDADES URREA SL,Mejorar a empleabilidad de las personas desempleadas,"43,29",
MANUART SA,Mejorar a empleabilidad de las personas desempleadas,"5.044,78",
MANUATOPE SL,Mejorar a empleabilidad de las personas desempleadas,"252,01",
MANUCHAP SLL,Mejorar a empleabilidad de las personas desempleadas,"1.061,76",
"MANUCRIS MODA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"3.758,15",
MANUDECOR INTERNATIONAL SL,Mejorar a empleabilidad de las personas desempleadas,"929,97",
MANUE Y RAFAEL VAZQUEZ FERNANDEZ CB,Mejorar a empleabilidad de las personas desempleadas,"1.899,90",
MANUEL A. DOMINGUEZ EXPOSITO-MANUEL PALOP FERNANDEZ,Mejorar a empleabilidad de las personas desempleadas,"33,34",
MANUEL ABELLAN SA,Mejorar a empleabilidad de las personas desempleadas,"1.873,33",
MANUEL ABRIL CLARAMONTE SL,Mejorar a empleabilidad de las personas desempleadas,"483,25",
MANUEL AIZPURU SL,Mejorar a empleabilidad de las personas desempleadas,"55,50",
MANUEL ALTUNA SL,Mejorar a empleabilidad de las personas desempleadas,"11.058,14",
"MANUEL ALVAREZ DOMINGUEZ,DOMINGO ALVAREZ RODRI- GUEZ Y",Mejorar a empleabilidad de las personas desempleadas,"1.275,00",
"MANUEL AMADO, SL",Mejorar a empleabilidad de las personas desempleadas,"73,20",
MANUEL ANGEL SANTOS PULIDO SL,Mejorar a empleabilidad de las personas desempleadas,"477,79",
MANUEL ANIDO SL,Mejorar a empleabilidad de las personas desempleadas,"535,51",
MANUEL ARROYO GARCIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
MANUEL BARBERO CILLEROS SL,Mejorar a empleabilidad de las personas desempleadas,"1.509,15"
MANUEL BARCENAS RUPEREZ Y ALFREDO BARCENAS RUPEREZ,Mejorar a empleabilidad de las personas desempleadas,"1.102,64"
MANUEL BAREA SA,Mejorar a empleabilidad de las personas desempleadas,"83,25"
MANUEL BARREIRO BARREIRO ROGELIO BARREIRO BARREIRO Y DO,Mejorar a empleabilidad de las personas desempleadas,"949,95"
"MANUEL BECERRA CENTRO WELLNESS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"4.272,73"
MANUEL BERRAL CASTRO SL,Mejorar a empleabilidad de las personas desempleadas,"676,59"
"MANUEL BLAYA LASTRAS Y ROBERTO VALLE LOPEZ, C.B.",Mejorar a empleabilidad de las personas desempleadas,"217,70"
MANUEL BOUZAS GARRIDO SA,Mejorar a empleabilidad de las personas desempleadas,"1.100,00"
MANUEL BOUZAS PEREIRAS Y CIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.693,24"
MANUEL BRAVO MARTINEZ Y JOSE I. HELGUERA C.B.,Mejorar a empleabilidad de las personas desempleadas,"1.204,11"
"MANUEL BUENO-LAUFER, SL",Mejorar a empleabilidad de las personas desempleadas,"763,24"
"MANUEL BURDEUS MUNDINA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.097,19"
MANUEL BUSTO AMANDI SA,Mejorar a empleabilidad de las personas desempleadas,"126,65"
MANUEL CABERO SA,Mejorar a empleabilidad de las personas desempleadas,"1.038,82"
MANUEL CALDERON COLLADO SA,Mejorar a empleabilidad de las personas desempleadas,"426,68"
MANUEL CAMPOS SL,Mejorar a empleabilidad de las personas desempleadas,"952,58"
MANUEL CANDELA 2001 SL,Mejorar a empleabilidad de las personas desempleadas,"108,85"
MANUEL CARDOSO ALONSO SL,Mejorar a empleabilidad de las personas desempleadas,"134,80"
MANUEL CASTILLO FERNANDEZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,73"
MANUEL CLAROS PESCADERIA SL,Mejorar a empleabilidad de las personas desempleadas,"3.782,78"
MANUEL COMINO REDONDO I MIGUEL ANGEL MUROS BARRAGAN,Mejorar a empleabilidad de las personas desempleadas,"300,00"
"MANUEL COMPANY Y PAULA ENSENAT, CB",Mejorar a empleabilidad de las personas desempleadas,"3.161,13"
"MANUEL CONCHA,SL",Mejorar a empleabilidad de las personas desempleadas,"708,30"
MANUEL CORDERO ALVAREZ SL,Mejorar a empleabilidad de las personas desempleadas,"10.817,17"
MANUEL CUBO E HIJO SL,Mejorar a empleabilidad de las personas desempleadas,"53,12"
"MANUEL DAVILA E HIJOS,C.B.",Mejorar a empleabilidad de las personas desempleadas,"1.054,51"
"MANUEL DE DALMASES PINOT, CORREDURIA DE SEGUROS, SL",Mejorar a empleabilidad de las personas desempleadas,"56,61"
MANUEL DE LA RIVA HERMANOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.250,02"
MANUEL DE PINTO LOPEZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.194,63"
MANUEL DEL RIO CALVO SL,Mejorar a empleabilidad de las personas desempleadas,"1.000,05"
MANUEL DISENO SL,Mejorar a empleabilidad de las personas desempleadas,"528,31"
MANUEL DONAIRE SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MANUEL DURA CABELLO PILAR ARIAS ROYO CB,Mejorar a empleabilidad de las personas desempleadas,"86,74"
MANUEL ELICES E HIJOS S.L.,Mejorar a empleabilidad de las personas desempleadas,"2.896,70"
MANUEL ESCRIBANO SL,Mejorar a empleabilidad de las personas desempleadas,"1.596,66"
"MANUEL FERNANDEZ CASAR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"672,88"
MANUEL FERNANDEZ INSTALACIONES SL,Mejorar a empleabilidad de las personas desempleadas,"2.999,20"
MANUEL FERNANDEZ ROCO Y OTRO CB,Mejorar a empleabilidad de las personas desempleadas,"1.882,54"
"MANUEL FERRENO,S.L.- EN CONST.",Mejorar a empleabilidad de las personas desempleadas,"109,99"
"MANUEL FORNER BLASCO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.093,24"
MANUEL GAMBIN SL,Mejorar a empleabilidad de las personas desempleadas,"886,58"
MANUEL GARCIA MENDOZA SA,Mejorar a empleabilidad de las personas desempleadas,"506,90"
MANUEL GINES SL,Mejorar a empleabilidad de las personas desempleadas,"2.521,72"
"MANUEL GOMEZ VILA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.493,24"
MANUEL GONZALEZ MARIN SL,Mejorar a empleabilidad de las personas desempleadas,"3.980,03"
MANUEL GONZALEZ RODRIGUEZ Y CIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.079,92"
MANUEL GUERRA E HIJOS SA,Mejorar a empleabilidad de las personas desempleadas,"926,71"
MANUEL HORTAS CANOSA SL,Mejorar a empleabilidad de las personas desempleadas,"1.247,25"
"MANUEL HORTAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"237,68"
MANUEL JESUS COBO ILLANA SL,Mejorar a empleabilidad de las personas desempleadas,"1.799,93"
"MANUEL JESUS PEREZ MARCHENA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"214,47"
MANUEL JIMENEZ NOGUERA SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
MANUEL JOSE ALVAREZ PEREDA Y MARIO LUIS MUNIZ GN C.B.,Mejorar a empleabilidad de las personas desempleadas,"69,48"
MANUEL LAGUNA SL,Mejorar a empleabilidad de las personas desempleadas,"276,21"
MANUEL LARRAGA SL,Mejorar a empleabilidad de las personas desempleadas,"499,92"
"MANUEL LIMA,S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"566,64"
"MANUEL LOPEZ OJEDA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.404,48"
MANUEL LOPEZ VILLEGAS SL,Mejorar a empleabilidad de las personas desempleadas,"575,54"
"MANUEL LORDEN NUNEZ, SOC.RESPONSABILIDAD LIMITADA",Mejorar a empleabilidad de las personas desempleadas,"148,35"
MANUEL LUCAS PAREJA SL,Mejorar a empleabilidad de las personas desempleadas,"136,63"
MANUEL MANZANEQUE SL,Mejorar a empleabilidad de las personas desempleadas,"66,67"
MANUEL MARI#O Y CIA S.A.,Mejorar a empleabilidad de las personas desempleadas,"653,31"
MANUEL MARRERO E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.579,23"
"MANUEL MARTIN MORON Y CESAREO ROBLEDA CABRERA, C.B.",Mejorar a empleabilidad de las personas desempleadas,"710,63"
MANUEL MARTIN PADIAL Y JOSE CALVENTE BONET CB,Mejorar a empleabilidad de las personas desempleadas,"850,00"
"MANUEL MARTINEZ DE HIJOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.037,77"
MANUEL MATAMOROS SL,Mejorar a empleabilidad de las personas desempleadas,"646,52"
MANUEL MESTRE SL,Mejorar a empleabilidad de las personas desempleadas,"637,44"
MANUEL MOLINA DIAZ SL,Mejorar a empleabilidad de las personas desempleadas,"585,52"
MANUEL MOLINA DOMINGUEZ S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.057,70"
MANUEL MOTA CHECA CB,Mejorar a empleabilidad de las personas desempleadas,"2.193,69"
"MANUEL MUÑOZ JIMENEZ DE SERVICIOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"266,61"
"MANUEL NAVARRO TORRES, MERCEDES D.GOMEZ LOBO MAYORGA,CB",Mejorar a empleabilidad de las personas desempleadas,"771,99"
MANUEL NEBOT INGENIERIA SL,Mejorar a empleabilidad de las personas desempleadas,"377,18"
MANUEL NICOLAS GARCIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,89"
MANUEL NIETO FERNANDEZ-ANA MARIA ARENAS MONTES,Mejorar a empleabilidad de las personas desempleadas,"584,42"
MANUEL OBRERO RUIZ SA,Mejorar a empleabilidad de las personas desempleadas,"679,92"
MANUEL OLIVERA RODRIGUEZ SL,Mejorar a empleabilidad de las personas desempleadas,"522,19"
MANUEL PEDRAZA VELAZQUEZ SL,Mejorar a empleabilidad de las personas desempleadas,"700,00"
MANUEL PEREIRA E HIJOS S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.060,06"
MANUEL PEREZ E HIJOS MATERIALES DE CONSTRUCCION SL,Mejorar a empleabilidad de las personas desempleadas,"1.728,77"
MANUEL PINILLOS SOBA Y DOMINGO PINILLOS SOBA,Mejorar a empleabilidad de las personas desempleadas,"672,98"
MANUEL PNREZ RODRNGUEZ,Mejorar a empleabilidad de las personas desempleadas,"849,96"
MANUEL PORTAL SL,Mejorar a empleabilidad de las personas desempleadas,"1.663,27"
MANUEL RELINQUE E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.746,62"
MANUEL REVERT Y COMPANIA SA,Mejorar a empleabilidad de las personas desempleadas,"4.917,54"
"MANUEL REY AUTOMOVILES, S.A.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MANUEL REY S.A. BETANZOS,Mejorar a empleabilidad de las personas desempleadas,"1.204,11"
MANUEL REY S.A. FERROL,Mejorar a empleabilidad de las personas desempleadas,"643,07"
MANUEL RIEGO PORRINO SA,Mejorar a empleabilidad de las personas desempleadas,"236,67"
MANUEL RIESGO SA,Mejorar a empleabilidad de las personas desempleadas,"920,79"
