BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
"MAYORAL ROSADO, JESUS 001039415K S.L.N.E.",Mejorar a empleabilidad de las personas desempleadas,"786,18"
"MAYORAL Y ANDUJAR, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"968,01"
MAYORDOMO E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.185,96"
"MAYORES ATENCION A LA DEPENDENCIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"840,82"
"MAYOREX,S.L.",Mejorar a empleabilidad de las personas desempleadas,"228,87"
MAYORISTA DE MARISCOS GALLEGOS SL,Mejorar a empleabilidad de las personas desempleadas,"2.971,15"
"MAYORISTA EN CONFECCION TEXTIL,S.L.",Mejorar a empleabilidad de las personas desempleadas,"3.346,12"
MAYORISTA REAL SPAIN SL,Mejorar a empleabilidad de las personas desempleadas,"2.205,67"
"MAYORISTA ZUCO CANARIAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"360,00"
MAYORISTAS CANARIAS DE NEUMATICOS SL,Mejorar a empleabilidad de las personas desempleadas,"668,27"
MAYORISTAS CANTABROS DE GOLOSINAS SLL,Mejorar a empleabilidad de las personas desempleadas,"1.233,40"
MAYORISTAS DE MOBILIARIO SL,Mejorar a empleabilidad de las personas desempleadas,"163,27"
"MAYORISTAS ELECTRICO MADELEC, SL",Mejorar a empleabilidad de las personas desempleadas,"656,61"
"MAYORTUB, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.704,48"
MAYORYMEN SL,Mejorar a empleabilidad de las personas desempleadas,"664,34"
MAYPA BY CARLOS SL,Mejorar a empleabilidad de las personas desempleadas,"401,35"
"MAYPE,S.L.",Mejorar a empleabilidad de las personas desempleadas,"334,62"
MAYPER GRUPO ALIMENTARIO SRL,Mejorar a empleabilidad de las personas desempleadas,"1.171,52"
MAYPI C.B.,Mejorar a empleabilidad de las personas desempleadas,"1.782,17"
"MAYPRO 97, SL",Mejorar a empleabilidad de las personas desempleadas,"533,36"
MAYPRO SA,Mejorar a empleabilidad de las personas desempleadas,"827,70"
"MAYPRO,SA",Mejorar a empleabilidad de las personas desempleadas,"448,79"
MAYQUEL SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
"MAYRIT MODA Y COMPLEMENTOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"177,10"
MAYRIT SUR S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.949,56"
MAYS GROUP SERV.INT.ACOND.CONST.S.A.,Mejorar a empleabilidad de las personas desempleadas,"182,18"
"MAYSA CONSTRUCCIONES Y CONTRATAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.376,82"
"MAYSAL ALIMENTACION,S.L.",Mejorar a empleabilidad de las personas desempleadas,"585,60"
MAYSE EXTREMADURA SA,Mejorar a empleabilidad de las personas desempleadas,"1.842,44"
"MAYSES SOLUTIONS, SL",Mejorar a empleabilidad de las personas desempleadas,"173,26"
MAYSU SA,Mejorar a empleabilidad de las personas desempleadas,"2.193,24"
MAYTO CB,Mejorar a empleabilidad de las personas desempleadas,"561,91"
"MAYTROK 97, SL",Mejorar a empleabilidad de las personas desempleadas,"1.626,54"
MAYUBEN 2002 SL,Mejorar a empleabilidad de las personas desempleadas,"1.461,41"
MAYUKA ZAPATOS SL,Mejorar a empleabilidad de las personas desempleadas,"3.187,35"
MAYURKA CB,Mejorar a empleabilidad de las personas desempleadas,"1.031,74"
"MAYVAN ASESORES INMOBILIARIOS, SL",Mejorar a empleabilidad de las personas desempleadas,"89,91"
MAYYA CANTANO SL,Mejorar a empleabilidad de las personas desempleadas,"62,15"
MAZ MUTUA DE ACCIDENTES DE TRABAJO Y ENFERMEDADESPROFES,Mejorar a empleabilidad de las personas desempleadas,"3.083,25"
"MAZAIRA INVERSIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MAZAPANES DONAIRE SL,Mejorar a empleabilidad de las personas desempleadas,"4.832,20"
MAZAPANES RUIZ SL,Mejorar a empleabilidad de las personas desempleadas,"897,16"
"MAZARIAS TECNICAS DEL FRIO, SL",Mejorar a empleabilidad de las personas desempleadas,"371,84"
MAZARINOS SL,Mejorar a empleabilidad de las personas desempleadas,"2.554,62"
"MAZARS AUDITORES, SL",Mejorar a empleabilidad de las personas desempleadas,"38.847,13"
"MAZARS SERVICIOS PROFESIONALES, SL",Mejorar a empleabilidad de las personas desempleadas,"4.598,21"
"MAZARS Y ASOCIADOS, ABOGADOS Y ASESORES FISCALES SL",Mejorar a empleabilidad de las personas desempleadas,"8.602,11"
MAZATLAN SL,Mejorar a empleabilidad de las personas desempleadas,"299,86"
"MAZAUTO VALLES,S.A.",Mejorar a empleabilidad de las personas desempleadas,"236,67"
"MAZAYA INVERSIONES SIGLO XXI, S.L.",Mejorar a empleabilidad de las personas desempleadas,"35,40"
MAZBIT SOLUCIONES TECNOLOGICAS SL,Mejorar a empleabilidad de las personas desempleadas,"2.627,01"
"MAZCATU, SL",Mejorar a empleabilidad de las personas desempleadas,"196,67"
"MAZEL INGENIEROS, SA",Mejorar a empleabilidad de las personas desempleadas,"2.970,56"
MAZIACON SL,Mejorar a empleabilidad de las personas desempleadas,"459,95"
MAZO Y RODRIGUEZ ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"883,01"
MAZOR ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"3.413,47"
MAZORGAN CELTIGOS SL,Mejorar a empleabilidad de las personas desempleadas,"800,00"
MAZORRA Y GUTIERREZ SL,Mejorar a empleabilidad de las personas desempleadas,"906,99"
MAZORRIAGA RESTAURANTE SL,Mejorar a empleabilidad de las personas desempleadas,"172,34"
MAZOTTI SA,Mejorar a empleabilidad de las personas desempleadas,"1.027,02"
"MAZZONI INDUSTRIAL CLEANING MACHINES,S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"2.222,89"
"MAZZONI INVERSORES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"424,98"
"MB - ABRERA, SA",Mejorar a empleabilidad de las personas desempleadas,"560,03"
"MB BENAVENT, SL",Mejorar a empleabilidad de las personas desempleadas,"1.891,47"
"MB MEDINAUS, SL",Mejorar a empleabilidad de las personas desempleadas,"253,35"
MB PRODUCCION TEXTIL SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
"MB-ARAGON, SA",Mejorar a empleabilidad de las personas desempleadas,"5.032,43"
MBASC CONSULTANCY SL,Mejorar a empleabilidad de las personas desempleadas,"203,05"
"MBE SPAIN 2000, SL",Mejorar a empleabilidad de las personas desempleadas,"2.410,58"
"MBM ARQUITECTES, SL",Mejorar a empleabilidad de las personas desempleadas,"2.079,90"
"MBM ASESORIA Y CONSULTING PONTEVEDRA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"169,98"
"MBO PUBLICIDAD Y GESTION MADRID, S.L.",Mejorar a empleabilidad de las personas desempleadas,"695,04"
"M-BORSO & IZUZQUIZA AUDITORES, SL",Mejorar a empleabilidad de las personas desempleadas,"419,93"
MBR COPIADORAS SL,Mejorar a empleabilidad de las personas desempleadas,"486,58"
"MBR SOLUCIONES EDUCATIVAS BASICAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"6.049,92"
"MBS ROSER GRUP MODA, SLU",Mejorar a empleabilidad de las personas desempleadas,"2.181,14"
MBS SOLUCIONES INFORMATICAS.,Mejorar a empleabilidad de las personas desempleadas,"66,67"
"MC ALEER GUITIAN, SL",Mejorar a empleabilidad de las personas desempleadas,"515,03"
"MC ASESORIA FISCAL, SL",Mejorar a empleabilidad de las personas desempleadas,"64,38"
MC ASOCIADOS CONSULTORIA DE DESARROLLO DE ORGANIZACIONE,Mejorar a empleabilidad de las personas desempleadas,"694,13"
"MC BUSINESS SPAIN 21, S.A.",Mejorar a empleabilidad de las personas desempleadas,"1.246,62"
MC CONSERVACION Y RESTAURACION SL,Mejorar a empleabilidad de las personas desempleadas,"2.300,00"
MC CORDOBESA DE SERVICIOS SL,Mejorar a empleabilidad de las personas desempleadas,"574,17"
"MC GUFFIN ESTUDIO AUDIOVISUAL, SL",Mejorar a empleabilidad de las personas desempleadas,"1.279,66"
MC INFORTECNICA SL,Mejorar a empleabilidad de las personas desempleadas,"129,83"
MC LABELLA COMUNIDADES SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MC LEHM INTERNACIONAL SL,Mejorar a empleabilidad de las personas desempleadas,"70,83"
MC LEHM TRADUCTORES SL,Mejorar a empleabilidad de las personas desempleadas,"1.338,69"
MC MEDICAL SL,Mejorar a empleabilidad de las personas desempleadas,"348,81"
MC MEMORY CALL SL,Mejorar a empleabilidad de las personas desempleadas,"883,25"
MC MESIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.070,00"
MC PEDREGUER TOLDOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
MC QUAY ESPANA SA,Mejorar a empleabilidad de las personas desempleadas,"637,44"
"MC SPA SOCIEDAD DE PREVENCINN, S.L.",Mejorar a empleabilidad de las personas desempleadas,"9.615,84"
"MCA. DE MONTAJES, SL",Mejorar a empleabilidad de las personas desempleadas,"683,25"
"MCATALAGRAU,S.L.",Mejorar a empleabilidad de las personas desempleadas,"849,95"
"MCB ADVOCATS, SCP",Mejorar a empleabilidad de las personas desempleadas,"739,96"
"MCB CINEMAS CALAFELL, SL",Mejorar a empleabilidad de las personas desempleadas,"271,12"
MCC CENTRO DE PROMOCION S.COOP,Mejorar a empleabilidad de las personas desempleadas,"1.204,11"
MCCANAN COMPUTER SL,Mejorar a empleabilidad de las personas desempleadas,"111,12"
"MCD VV, SL",Mejorar a empleabilidad de las personas desempleadas,"1.300,00"
MCDOG PET PRODUCTS SL,Mejorar a empleabilidad de las personas desempleadas,"1.274,94"
"MCGINTY IDIOMAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"147,45"
MCGRAW HILL INTERAMERICANA DE ESPANA SA,Mejorar a empleabilidad de las personas desempleadas,"3.691,88"
MCH PRIVATE EQUITY ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"1.114,37"
MCH SA,Mejorar a empleabilidad de las personas desempleadas,"1.273,29"
MCKINNON & CLARKE SA,Mejorar a empleabilidad de las personas desempleadas,"628,00"
"MCM BARCELONA SONDEIG D OPINIO, SL",Mejorar a empleabilidad de las personas desempleadas,"800,00"
MCM CONSULTIN SL,Mejorar a empleabilidad de las personas desempleadas,"867,62"
MCM MORTEROS AUTONIVELANTES CASTILLA LA MANCHA SL,Mejorar a empleabilidad de las personas desempleadas,"400,00"
"MCMILLAN, CLIFFORD AND PARTNERS S.L",Mejorar a empleabilidad de las personas desempleadas,"1.015,24"
"MCP ABOGADOS & INVERSIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"286,24"
"MCP ACUSTICA LEVANTINA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"926,60"
MCR INFO ELECTRONIC SL,Mejorar a empleabilidad de las personas desempleadas,"1.397,66"
MCR INTERNATIONAL EXECUTIVE SEARCH CONSULTING SL,Mejorar a empleabilidad de las personas desempleadas,"4.674,78"
"MCR LEARNING ORGANIZATIONS, SL",Mejorar a empleabilidad de las personas desempleadas,"212,49"
"MCRIT, SL",Mejorar a empleabilidad de las personas desempleadas,"1.656,04"
MCT LIMPIEZAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.486,58"
"MCV CONSULTING NETWORK TEAM,S.L.",Mejorar a empleabilidad de las personas desempleadas,"98,27"
MCV DE LA PLANA CONSTRUCCIONES Y PROMOCIONES S.L.,Mejorar a empleabilidad de las personas desempleadas,"189,45"
MCV SA,Mejorar a empleabilidad de las personas desempleadas,"3.590,20"
"M-D INSTALACIONES, MULTISERVICIOS Y DESARROLLO, SL",Mejorar a empleabilidad de las personas desempleadas,"326,45"
MD PROYCON SL,Mejorar a empleabilidad de las personas desempleadas,"991,62"
MD TELEPROMOCIONES SL,Mejorar a empleabilidad de las personas desempleadas,"1.369,25"
MDA ARCHIVOS S.L.,Mejorar a empleabilidad de las personas desempleadas,"19,98"
MDB LABORATORI D ANALISIS CLINIQUES SA,Mejorar a empleabilidad de las personas desempleadas,"1.543,29"
"MDELGADO TORRES ASESORES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"141,66"
MDF SERVICIOS FINANCIEROS E INMOBILIARIOS SL,Mejorar a empleabilidad de las personas desempleadas,"481,23"
MDL DISTRIBUCION LOGISTICA SA,Mejorar a empleabilidad de las personas desempleadas,"9.826,56"
MDL SERVICIOS DE MARKETING Y LOGISTICA SA,Mejorar a empleabilidad de las personas desempleadas,"5.746,09"
MDM SERVICIOS PROFESIONALES SL,Mejorar a empleabilidad de las personas desempleadas,"915,53"
"MDP FASHION OLESA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.246,59"
"MDR INVERSIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"600,00"
MDS ARQUITECTOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.474,69"
MDS PHARMA SERVICES ESPANA SA,Mejorar a empleabilidad de las personas desempleadas,"3.334,98"
"MDV JURIDICO Y TRIBUTARIO, SL",Mejorar a empleabilidad de las personas desempleadas,"6.242,59"
ME CORTAS ESE PLANO SL,Mejorar a empleabilidad de las personas desempleadas,"722,20"
ME GUSTA LA PASTA SL,Mejorar a empleabilidad de las personas desempleadas,"753,16"
ME KUNOS SL,Mejorar a empleabilidad de las personas desempleadas,"600,00"
ME Y F RAMIREZ SL,Mejorar a empleabilidad de las personas desempleadas,"800,00"
MEA-BIDEA 2006 S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.009,24"
"MEADOWS WYE SPAIN, SL(EN CONST.)",Mejorar a empleabilidad de las personas desempleadas,"99,16"
"MEADWESTVACO CALMAR, S.A.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MEANA GREEN MAURA Y ASOCIADOS CB,Mejorar a empleabilidad de las personas desempleadas,"1.062,45"
MEANA SERVICIO URGENTE DE PAQUETERIA SL,Mejorar a empleabilidad de las personas desempleadas,"527,62"
"MEAZA CONSTRUCCIONES Y EXCAVACIONES, SL",Mejorar a empleabilidad de las personas desempleadas,"3.656,61"
MEBAUTO SL,Mejorar a empleabilidad de las personas desempleadas,"2.126,58"
"MEBE INDUSTRIAL, SL",Mejorar a empleabilidad de las personas desempleadas,"1.488,27"
MEBEAL ELECTRIC SL,Mejorar a empleabilidad de las personas desempleadas,"1.556,61"
MEC & PROY CICERO SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MEC SUMINISTRA SL,Mejorar a empleabilidad de las personas desempleadas,"993,98"
MECA - FUSTA SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,73"
MECA 3 RIOJA SL,Mejorar a empleabilidad de las personas desempleadas,"749,95"
"MECA AUTOMOCION, SL",Mejorar a empleabilidad de las personas desempleadas,"422,24"
MECA ESTAN LEVANTE I S.L.,Mejorar a empleabilidad de las personas desempleadas,"276,66"
MECA ESTAN SA,Mejorar a empleabilidad de las personas desempleadas,"5.064,71"
"MECA FLEXO, S. COOP. C. L.",Mejorar a empleabilidad de las personas desempleadas,"1.425,00"
MECA GESTION SL,Mejorar a empleabilidad de las personas desempleadas,"1.639,62"
MECA HOSTELERIA S.L.,Mejorar a empleabilidad de las personas desempleadas,"436,75"
MECA REIXA SL,Mejorar a empleabilidad de las personas desempleadas,"88,41"
MECA SYSTEM SL,Mejorar a empleabilidad de las personas desempleadas,"3.642,06"
MECA YARZA CB,Mejorar a empleabilidad de las personas desempleadas,"979,92"
MECACOR SL,Mejorar a empleabilidad de las personas desempleadas,"1.680,12"
"MECACORE, SL",Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
MECAELECTRIC MANTENIMENT SL,Mejorar a empleabilidad de las personas desempleadas,"616,43"
"MECAFLUX, SL",Mejorar a empleabilidad de las personas desempleadas,"199,95"
"MECA-FONTDE, SL",Mejorar a empleabilidad de las personas desempleadas,"1.553,16"
MECAFRIO SL,Mejorar a empleabilidad de las personas desempleadas,"604,47"
MECAINOX MECANIZADO INDUSTRIALES DE ACERO INOXIDABLE SA,Mejorar la empleabilidad de las personas desempleadas,"777,66"
MECAJESA SL,Mejorar la empleabilidad de las personas desempleadas,"26,64"
MECALARIZ S.L.,Mejorar la empleabilidad de las personas desempleadas,"886,66"
MECALAZO SL,Mejorar la empleabilidad de las personas desempleadas,"400,00"
MECALUX CANARIAS SA,Mejorar la empleabilidad de las personas desempleadas,"548,91"
MECALUX LEVANTE SA,Mejorar la empleabilidad de las personas desempleadas,"983,45"
MECALUX SA,Mejorar la empleabilidad de las personas desempleadas,"67.632,18"
MECALUX SERVIS SA,Mejorar la empleabilidad de las personas desempleadas,"12.163,30"
"MECAMAN PUJOL, SL",Mejorar la empleabilidad de las personas desempleadas,"893,04"
MECAMESOR SA,Mejorar la empleabilidad de las personas desempleadas,"100,00"
MECANASA,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"16.168,16"
MECANER SA,Mejorar la empleabilidad de las personas desempleadas,"599,66"
"MECANIC SERVEIS MECANITZACIO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"999,90"
MECANICA ACIEN SL,Mejorar la empleabilidad de las personas desempleadas,"597,69"
MECANICA BALEAR SA,Mejorar la empleabilidad de las personas desempleadas,"789,91"
"MECANICA CALMET, SL",Mejorar la empleabilidad de las personas desempleadas,"2.151,53"
"MECANICA CAN BROS, SL",Mejorar la empleabilidad de las personas desempleadas,"1.084,92"
MECANICA CANARIAS MOTOR SL,Mejorar la empleabilidad de las personas desempleadas,"1.133,39"
"MECANICA CAPE, SL",Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
MECANICA CASILDA SL,Mejorar la empleabilidad de las personas desempleadas,"241,75"
MECANICA CIENTIFICA SA,Mejorar la empleabilidad de las personas desempleadas,"1.142,28"
MECANICA COMERCIAL MECO SL,Mejorar la empleabilidad de las personas desempleadas,"20,00"
"MECANICA DAP, SL",Mejorar la empleabilidad de las personas desempleadas,"1.453,28"
MECANICA DE CAMIONES DEL SIL SL,Mejorar la empleabilidad de las personas desempleadas,"469,93"
"MECANICA DE MANTENIMIENTO DE OBRA PUBLICA Y PESADA, SL",Mejorar la empleabilidad de las personas desempleadas,"725,00"
MECANICA DE PRECISION JOSE MADAULA SA,Mejorar la empleabilidad de las personas desempleadas,"533,20"
MECANICA DEL AUTOMOVIL LA PIEDAD SL,Mejorar la empleabilidad de las personas desempleadas,"540,67"
"MECANICA DEL NARCEA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.450,92"
"MECANICA FELOAGA, SL",Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
MECANICA FENIX SA,Mejorar la empleabilidad de las personas desempleadas,"1.447,99"
MECANICA GARMENDIA SL,Mejorar la empleabilidad de las personas desempleadas,"1.544,04"
MECANICA GORDON SL,Mejorar la empleabilidad de las personas desempleadas,"1.048,94"
"MECANICA I MUNTATGES DEL TER, S.L.",Mejorar la empleabilidad de las personas desempleadas,"946,90"
"MECANICA INDUSTRIAL GARRE, SL",Mejorar la empleabilidad de las personas desempleadas,"279,92"
"MECANICA J. GUART, SL",Mejorar la empleabilidad de las personas desempleadas,"247,94"
MECANICA JET BAIX PENEDES SL,Mejorar la empleabilidad de las personas desempleadas,"728,86"
MECANICA LLAVERIA SL,Mejorar la empleabilidad de las personas desempleadas,"2.523,21"
MECANICA MARTINETE SL,Mejorar la empleabilidad de las personas desempleadas,"63,33"
MECANICA MODERNA SA,Mejorar la empleabilidad de las personas desempleadas,"283,32"
MECÁNICA NAVAL CANARIAS,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"2.897,76"
MECANICA OCHENTA Y TRES SL,Mejorar la empleabilidad de las personas desempleadas,"195,43"
"MECANICA PRISMA, SL",Mejorar la empleabilidad de las personas desempleadas,"868,81"
"MECANICA PUIG, SL",Mejorar la empleabilidad de las personas desempleadas,"143,34"
MECANICA RAMIZ SL,Mejorar la empleabilidad de las personas desempleadas,"489,91"
"MECANICA ROPAL, SL",Mejorar la empleabilidad de las personas desempleadas,"1.566,30"
MECANICA SOTO SLL,Mejorar la empleabilidad de las personas desempleadas,"131,05"
MECANICA Y COMBUSTION SL,Mejorar la empleabilidad de las personas desempleadas,"1.352,45"
MECANICA Y COMPETICION SA,Mejorar la empleabilidad de las personas desempleadas,"1.295,59"
MECANICA Y ELECTRONICA PEDRO LORENTE SL,Mejorar la empleabilidad de las personas desempleadas,"673,34"
"MECANICA Y SERVICIOS CARTAGENA, SL",Mejorar la empleabilidad de las personas desempleadas,"582,20"
MECANICAS BOLEA SA,Mejorar la empleabilidad de las personas desempleadas,"946,55"
MECANICAS BOLEA.SA,Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"1.261,90"
MECANICAS CERDANYOLA SA,Mejorar la empleabilidad de las personas desempleadas,"124,39"
MECANICAS DE PRECISION M. V. M. SL,Mejorar la empleabilidad de las personas desempleadas,"872,12"
MECANICAS DE SALIME SL,Mejorar la empleabilidad de las personas desempleadas,"126,61"
MECANICAS DEL PIRINEO SL,Mejorar la empleabilidad de las personas desempleadas,"1.345,77"
MECANICAS DEL PISUERGA SA,Mejorar la empleabilidad de las personas desempleadas,"2.177,99"
MECANICAS DRAGUER SL,Mejorar la empleabilidad de las personas desempleadas,"289,91"
MECANICAS ENGUITA SA,Mejorar la empleabilidad de las personas desempleadas,"812,22"
MECANICAS GONMIR SL,Mejorar la empleabilidad de las personas desempleadas,"966,59"
MECANICAS HERCAS SL,Mejorar la empleabilidad de las personas desempleadas,"1.776,59"
"MECANICAS MARE NOSTRUM, S.L.",Mejorar la empleabilidad de las personas desempleadas,"243,17"
MECANICAS TERUEL SL,Mejorar la empleabilidad de las personas desempleadas,"1.062,07"
MECANICAS VICENTE SL,Mejorar la empleabilidad de las personas desempleadas,"744,56"
MECANICOS ASOCIADOS ARANCETANOS SL,Mejorar la empleabilidad de las personas desempleadas,"331,13"
MECANICOS EXPRESS S.L.L,Mejorar la empleabilidad de las personas desempleadas,"19,98"
MECANICS DE CIM SL,Mejorar la empleabilidad de las personas desempleadas,"1.316,99"
"MECANIMPORT, SL",Mejorar la empleabilidad de las personas desempleadas,"3.947,04"
"MECANINOR MECANIZADOS, SA",Mejorar la empleabilidad de las personas desempleadas,"806,66"
MECANINZADOS J C GUERRERO S L,Mejorar la empleabilidad de las personas desempleadas,"411,12"
"MECANIQUE AFANON DE GENTILLY IBERICA, SL",Mejorar la empleabilidad de las personas desempleadas,"1.699,98"
"MECANIQUES BOHIGAS, SL",Mejorar la empleabilidad de las personas desempleadas,"106,56"
"MECANIQUES BOVER, SL",Mejorar la empleabilidad de las personas desempleadas,"2.299,90"
MECANIQUES JOVI SLL,Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
MECANIQUES LA VALL SL,Mejorar la empleabilidad de las personas desempleadas,"251,07"
MECANIQUES OLBAR SL,Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
"MECANIQUES SEGAB, SL",Mejorar la empleabilidad de las personas desempleadas,"1.102,17"
"MECANIQUES TARADELL, SL",Mejorar la empleabilidad de las personas desempleadas,"1.496,57"
"MECANISMOS ANCLAJES Y SISTEMAS AUTOPORTANTES, SL",Mejorar la empleabilidad de las personas desempleadas,"1.293,24"
MECANISMOS AUTOMATICOS INDUSTRIALES,Mejorar la empleabilidad de las personas desempleadas,"1.491,94"
"MECANISMOS Y TRANSPORTES AEREOS, SL",Mejorar la empleabilidad de las personas desempleadas,"316,67"
"MECANITZACIONS DIPER, SL",Mejorar la empleabilidad de las personas desempleadas,"377,75"
MECANITZATS ALADAR S.L.,Mejorar la empleabilidad de las personas desempleadas,"100,00"
"MECANITZATS ALEN, S.L.- EN CONSTITUCIO",Mejorar la empleabilidad de las personas desempleadas,"2.173,31"
"MECANITZATS ANSA, SL",Mejorar la empleabilidad de las personas desempleadas,"359,43"
"MECANITZATS ARSO, SL",Mejorar la empleabilidad de las personas desempleadas,"1.096,57"
"MECANITZATS ARTIS, SA",Mejorar la empleabilidad de las personas desempleadas,"946,49"
"MECANITZATS BASSA-NOVA, SL",Mejorar la empleabilidad de las personas desempleadas,"245,00"
"MECANITZATS BELL-LLOC, SL",Mejorar la empleabilidad de las personas desempleadas,"864,42"
"MECANITZATS CUSSO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"911,32"
MECANITZATS DARNOC SL,Mejorar la empleabilidad de las personas desempleadas,"2.205,17"
"MECANITZATS DASER, SL",Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
"MECANITZATS DEL BERGUEDA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"393,29"
MECANITZATS FERGRIN SL,Mejorar la empleabilidad de las personas desempleadas,"4.821,98"
"MECANITZATS GOVI, SL",Mejorar la empleabilidad de las personas desempleadas,"695,70"
"MECANITZATS J CARRERAS, SL",Mejorar la empleabilidad de las personas desempleadas,"1.596,57"
"MECANITZATS LLOVERAS,S.L.",Mejorar la empleabilidad de las personas desempleadas,"883,25"
"MECANITZATS MANCILLA, SL",Mejorar la empleabilidad de las personas desempleadas,"1.569,83"
"MECANITZATS PARES, SL",Mejorar la empleabilidad de las personas desempleadas,"767,23"
"MECANITZATS PINYERO, SL",Mejorar la empleabilidad de las personas desempleadas,"6,66"
"MECANITZATS PIRINEUS , SL",Mejorar la empleabilidad de las personas desempleadas,"334,21"
"MECANITZATS RAMON NURI, SL",Mejorar la empleabilidad de las personas desempleadas,"879,92"
"MECANITZATS REVERTE, SL",Mejorar la empleabilidad de las personas desempleadas,"566,69"
MECANITZATS SALVADOR ARABIA SL,Mejorar la empleabilidad de las personas desempleadas,"1.123,81"
"MECANITZATS, MUNTATGES I MANTENIMENTS CGM,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.998,28"
MECANIZACION ADMINISTRATIVA DE EMPRESAS SL,Mejorar la empleabilidad de las personas desempleadas,"708,30"
MECANIZACION AGRICOLA DEL SUR SL,Mejorar la empleabilidad de las personas desempleadas,"1.739,81"
MECANIZACION ALAVESASA SL,Mejorar la empleabilidad de las personas desempleadas,"166,64"
MECANIZACION DE VIZCAYA SAL,Mejorar la empleabilidad de las personas desempleadas,"708,30"
"MECANIZACION EUROPEA DE PLASTICOS, SL",Mejorar la empleabilidad de las personas desempleadas,"1.576,59"
MECANIZACION Y MINERIA SA,Mejorar la empleabilidad de las personas desempleadas,"3.274,61"
MECANIZACION Y MONTAJES EMIPAR SL,Mejorar la empleabilidad de las personas desempleadas,"1.459,94"
MECANIZACION Y SERVICIOS INFORMATICOS SA,Mejorar la empleabilidad de las personas desempleadas,"948,85"
"MECANIZACION Y TRANSFORMADOS DEL ALUMINIO,S.L.",Mejorar la empleabilidad de las personas desempleadas,"978,27"
MECANIZACIONES AERONAUTICAS SA,Mejorar la empleabilidad de las personas desempleadas,"575,54"
MECANIZACIONES CARBONIFERAS Y SERVICIOS SA,Mejorar la empleabilidad de las personas desempleadas,"2.615,81"
MECANIZACIONES INDUSTRIALES SAN CLAUDIO SL,Mejorar la empleabilidad de las personas desempleadas,"769,83"
MECANIZACIONES MIZAR SAL,Mejorar la empleabilidad de las personas desempleadas,"212,52"
"MECANIZACIONES TORT, SL",Mejorar la empleabilidad de las personas desempleadas,"469,93"
MECANIZAD0S FERVI SL,Mejorar la empleabilidad de las personas desempleadas,"1.349,96"
MECANIZAD0S NOVAK SL,Mejorar la empleabilidad de las personas desempleadas,"2.156,41"
"MECANIZADO DE LA MADERA RICHARTE,S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.811,17"
