BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
"ACRITEL, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ACTIU BERBEGAL Y FORMAS SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","16.000,00"
ACTIU BERBEGAL Y FORMAS SA,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.250,00"
"ACTIU LOGISTICA, SA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ACTIVIDADES INMOBILIARIAS 
MEDITERRANEAS ACTISA SL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.752,66"
ACUAMAR LIMPIEZAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
ADADE ALICANTE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ADDECUA SERVICIOS INTEGRALES DE 
REFORMAS SL","Desarrollo de Servicios específicos de empleo, formación y apoyo en sectores y empresas 
en reestructuración","6.000,00"
ADE INNOVACIONES EMPRESARIALES SL,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","240,00"
ADECOL LIMPIEZAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ADEMUZ CENTRO WELLNESS, SL",Favorecer la integración social y laboral de las personas inmigrantes,"6.000,00"
ADEMUZ FORMACION Y TECNOLOGIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
ADIGAN CG SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
ADMINISTRACION Y GESTION TORRENT SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ADMINISTRADORA LLOSEN SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.000,00"
"ADOCIACION DE VENDEDORES PARA LA 
IMPLANTACION DE N","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","30.912,60"
ADRICAR SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
"A-E TRANSIT, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
AEQUUS ABOGADOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
AERONOVA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","32.000,00"
"AFFAIRS, EVENTOS FERIALES, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
AGAIN AGENCY CASTELLON SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
AGENCIA ALQUILERES BELTRAN SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
AGENCIA DE DESARROLLO LOCAL,Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"41.205,00"
AGENCIA DE DESARROLLO LOCAL,Prevención del abandono escolar y refuerzo de la formación inicial,"120.921,25"
"AGENCIA LOCAL DE DESARROLLO 
ECONOMICO Y SOCIAL",Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"69.416,00"
"AGENCIA LOCAL DE DESARROLLO 
ECONOMICO Y SOCIAL",Prevención del abandono escolar y refuerzo de la formación inicial,"64.104,36"
AGENCIA VALENCIANA DEL TURISMO,Mejorar la empleabilidad de las personas desempleadas,"2.747.526,87"
AGENCIA VALENCIANA DEL TURISMO,"Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","2.005.225,72"
"AGLOMERADOS, OBRAS Y CANTERAS DELTA, 
SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGORA CONSTRUCCION Y MANTENIMIENTO 
SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
AGRICOLA DE CANALS COOP V,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
AGRICOLA LA REALENSE COOP VALENCIANA,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.500,00"
"AGRICOLA VILLENA, COOP.V.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","6.000,00"
AGRIOS SELECTOS SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","6.000,00"
AGROGARNES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
AGROMERCADO BLASCO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
AGROPECHUAN SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
AGROTECNIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
AGRUPACION COMARCAL DE EMPRESARIOS,Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"21.436,00"
"AGRUPACION EMPRESARIAL TEXTIL 
ALCOYANA",Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"70.508,00"
"AGRUPACION EMPRESARIAL TEXTIL 
ALCOYANA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.000,00"
"AGRUPACION LOCAL DE COMERCIANTES DE 
ALMORADI","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","13.500,00"
AGUAMARBOX SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"AICE, INSTITUTO TECNOLÓGICO DE 
CERÁMICA",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"6.884,00"
"AIDICO, INSTITUTO TECNOLÓGICO DE LA 
CONSTRUCCIÓN",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"67.635,93"
"AIDIMA , INSTITUTO TECNOLÓGICO DEL 
MUEBLE",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"71.620,99"
"AIDIMA , INSTITUTO TECNOLÓGICO DEL 
MUEBLE",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"70.690,71"
"AIDO, INSTITUTO TECNOLÓGICO DE ÓPTICA",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"8.667,00"
AIGMA XXI CONSULTING SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
AIGUAPRES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"AIJU, INSTITUTO TECNOLÓGICO DEL JUGUETE",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"22.904,86"
"AIMME, INSTITUTO TECNOLÓGICO 
METALMECÁNICO",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"36.699,27"
"AIMPLAS, INSTITUTO TECNOLÓGICO DEL 
PLÁSTICO",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"64.970,07"
"AINIA, INSTITUTO TECNOLÓGICO 
AGROALIMENTARIO",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"54.775,91"
AIR ILLICE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
AISLAGYPS DISTRIBUCIONES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
AISLAMIENTOS ACUSTICOS LEVANTE SL,Favorecer la integración social y laboral de las personas inmigrantes,"6.000,00"
AITANA MULTIMEDIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
AITARON SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
"AITEX, INSTITUTO TECNOLÓGICO DEL TEXTIL",Desarrollar el potencial humano en el ámbito de la investigación y la innovación,"111.784,49"
AJB MEDICO DISTRIBUCION SANITARIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
AJUNTAMENT D AIELO DE MALFERIT,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","14.265,25"
AJUNTAMENT D ALBERIC,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","8.865,24"
AJUNTAMENT D ALGEMESI,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","8.865,25"
AJUNTAMENT D ATZENETA D ALBAIDA,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","13.818,46"
AJUNTAMENT D´ALBOCASSER,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","3.731,00"
AJUNTAMENT D´ALCOLEJA,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","8.747,72"
AJUNTAMENT D´EL PALOMAR,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","12.547,93"
AJUNTAMENT D´ONDARA,Prevención del abandono escolar y refuerzo de la formación inicial,"52.118,80"
AJUNTAMENT D´ONTINYENT,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","12.402,97"
AJUNTAMENT D´ONTINYENT,Prevención del abandono escolar y refuerzo de la formación inicial,"58.757,73"
AJUNTAMENT DE BARXETA,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","14.042,73"
AJUNTAMENT DE BELLREGUARD,Prevención del abandono escolar y refuerzo de la formación inicial,"40.836,44"
AJUNTAMENT DE BENISSODA,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","12.372,56"
AJUNTAMENT DE CARLET,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","14.220,28"
AJUNTAMENT DE CARLET,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","31.061,04"
AJUNTAMENT DE CASTELLO DE RUGAT,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","11.595,68"
"AJUNTAMENT DE FONTANARS DELS 
ALFORINS","Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","14.205,21"
AJUNTAMENT DE GAVARDA,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","8.369,05"
"AJUNTAMENT DE L,ALCUDIA","Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","14.265,25"
"AJUNTAMENT DE L,ALCUDIA",Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"9.873,00"
AJUNTAMENT DE LA LLOSA DE RANES,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","14.256,80"
AJUNTAMENT DE LA VALL D UIXO,Prevención del abandono escolar y refuerzo de la formación inicial,"44.692,99"
AJUNTAMENT DE SENYERA,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","8.832,22"
AJUNTAMENT DE SUMACARCER,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","5.400,00"
AJUNTAMENT DE VILLANUEVA DE CASTELLON,"Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","8.865,25"
AJUNTAMENT DE XIRIVELLA,Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"7.585,00"
AJUNTAMENT DE XIRIVELLA,Prevención del abandono escolar y refuerzo de la formación inicial,"70.240,44"
AJUNTAMENT DEL CAMPELLO,Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"16.457,00"
AKI BRICOLAJE ESPAÑA SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
AKUKA NUNA GESTION DEL SUELO SLU,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ALBACARMI SL(EN CONSTITUCION),"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
ALBAÑILERIA CARLOS Y MIGUEL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ALBEL FRIO Y MEDIOAMBIENTE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ALBERO ARTE SANO SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.696,15"
ALBERO ARTESANOS,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","37.074,00"
ALBIR COLONIAL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ALBOAIRES, SA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","42.250,00"
"ALBOAIRES, SA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","4.499,40"
ALCAELECTRIC SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
ALCODAR TRACCION SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.000,00"
ALCORONA 2006 SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","13.125,00"
"ALC-PROYECTO ESPAÑOL, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ALEJANDRO HERRERA CHABRERA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.000,00"
ALEMI SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ALENAR SISTEMES SLU,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ALEXDEVILA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
ALFILDIGITAL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ALFONSO CRUZ E HIJOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ALFYC GESTION DE EMPRESAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ALGUEÑA STONE,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ALICER SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","21.000,00"
"ALICHAMPI, S.L.U.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.750,00"
ALIMENTACION VENTAS-LAYANA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.935,00"
ALIMENTARIA SALES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.125,00"
"ALIPROSER, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","13.750,00"
ALLIANZ CIA DE SEGUROS Y REASEGUROS SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ALMAZORENSE DE GASOLINERAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ALMIÑANA MARTI SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ALMUPLAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ALTERNATIVE SHOES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","15.000,00"
"ALTOTUR PROYECTOS ESTETICOS SL EN 
CONSTITUCION","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ALUMIFER ESTRUCTURAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
ALUMINIO Y DECORACION ALUDECO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
ALUMINIOS JARACO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
"ALUMINIOS VICENTE VIVES,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ALUYTEC DEL SURESTE, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ALZIRA TELEFONOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
AMASIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"AMBIENTA INIC AMBIENTAL DALMAU CORTES 
SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"AMFI ASOC DE MINUSVALIDOS FISICOS 
INTERCOMARCAL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","5.600,00"
AMI URBANA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
AMIFRUIT SAL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
ANA Y MACARENA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","12.812,50"
ANAVIG SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","28.000,00"
ANCASIL SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","18.658,58"
ANCHOAS Y SALAZONES RAYSA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ANCOBE GESTION, SL.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ANDA MEDITERRANEO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
"ANDRANIK ESPACIOS FUNCIONALES DE 
INTERIORES ALICAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ANDREU BARBERA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ANTENAS GALLEGO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","41.000,00"
ANTONIO ANDRES VALLES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ANTONIO LOPEZ INSTALACIONES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.500,00"
APANEE,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.200,00"
APARADOS KATI SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
APARICIO-CASTELLO ASSESSORS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.685,00"
"APEU MUNTANYA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
APISOL SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","14.000,00"
"APLIC.DIG.D GEST.D INF,SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
APLICA MARMOL SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.000,00"
APLICACIONES TECNICAS DE LA ENERGIA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
APLICACIONES TECNICAS DE LA ENERGIA SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.500,00"
"APLICACIONES Y SISTEMAS DEL 
MEDITERRANEO SLU","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
APLIKE LUMINARIAS DE BAÑO SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
"APOLANA,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
APROSDECO,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","25.184,43"
"APYME GESTION, ASESORAMIENTO 
INTEGRAL DE EMPRESAS,","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.750,00"
AQUA XATIVA SPORT SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
ARA ABOGADOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.125,00"
ARANEA GESTIONES ADMINISTRATIVAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ARCHIDUQUE CARLOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ARCOFLOR SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
AREA DE SERVICIO C.V. 821. SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.750,00"
AREA MICROBIT SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","5.366,59"
"AREA-BIS, SL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.500,00"
ARENAS & LOZANO FINCAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ARG SEGURIDAD SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
ARIAS COOP V,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ARIDOS CARASOLES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
ARISTAS MOBILIARIO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ARISTEO SL,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","500,00"
ARISTIDES SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ARMERÍA Y DEPORTES MACARIO SL ""EN 
CONSTITUCIÓN""","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.250,00"
"ARREGLOS Y COMPOSTURAS MARFOR 2008 
SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
ARROSERIA ELS TARONCHERS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ARTE Y NATURA VEGA BAJA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
ARTES COVA LEVANTE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.125,00"
ARTES GRAFICAS LA POPULAR SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ARTESANIA BORDADA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ARTESANOS DE SAX, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.000,00"
ARTISAN SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
ARUMANI IBERICA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","13.750,00"
"AS UNTERNEHMENSGRUPPE SPANIEN, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.000,00"
ASCENSION LATORRE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"ASCIACION DE JOVENES EMPRESARIOS DE 
LA PROVINCIA D","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","30.137,87"
ASEGES ASESORIA DE GESTION SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ASEGUR FONTANERIA Y SISTEMAS, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","21.000,00"
ASESORAMIENTO FISCAL DE EMPRESAS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","13.812,50"
"ASESORES DE SEGUROS Y PRODUCTOS 
FINANCIEROS CUENCA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ASESORIA CAMARA RODRIGUEZ, SL 
UNIPERSONAL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ASESORIA COLLADO, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ASESORIA DE COMUNICACIONES LA PLANA 
SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.000,00"
ASESORIA EUGENIO SEVILLA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.125,00"
