"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"AGROFERTI 2000, SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","411,95"
"AGROFERTI TRACTORES SL U EN CO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","243,60"
"AGROFITOLAM SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","144,13"
"AGROFORESTAL JAEN SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGROFRESAS SA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","186,03"
"AGROQUIMICOS CESPEDES SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","419,04"
"AGRO-SERVICIOS ONUBENSES SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGRUP. PANADEROS CORTES FRONTE","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGUA CONTROL LINARES SL","Mejorar la empleabilidad de las personas desempleadas","1.500,00"
"AGUA ROPA SPORT SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGUA Y ENERGIA SOLAR SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGUILAR SANCHEZ ALIMENTARIA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"AGYRE SUR SL (EN CONSTITUCION)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","21.000,00"
"AHB HISPANIA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AIDCON CONSULTING, S.L.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.500,00"
"AIM WHOLESALE SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"AIRE CLIMA PROYECTOS E INSTALA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"AIRE DE JUPITER, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.875,00"
"AIRTECH ANDALUCIA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AISLAMCER PROYECTADOS, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AISLAMIENTOS ISOLAIS SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"AJIVACO INVERSIONES,SL","Mejorar la empleabilidad de las personas desempleadas","1.500,00"
"AJIVACO INVERSIONES,SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"AL ANDALUS BAÑOS ARABES SL","Favorecer la integración social y laboral de las personas inmigrantes","3.000,00"
"AL ANDALUS BAÑOS ARABES SL","Mejorar la empleabilidad de las personas desempleadas","1.500,00"
"AL ANDALUS BAÑOS ARABES SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALACART ALMERIA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ALANJI SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALANJI SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALARCOL SOCIEDAD CIVIL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALASUR MAIRENA 95 SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALBA INFORM.SIT.CONTROL E IDEN","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ALBAÑILERIA MACADI SL","Mejorar la empleabilidad de las personas desempleadas","24.000,00"
"ALBERTO COZAR MUELAS SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALBRICIA GESTION INMOBILIARIA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.750,00"
"ALCALA AUTOCASION SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALCALA AUTOCASION SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALCALA COLOR SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALCALDE MORILLAS SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALCOCON, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALCOMAYRE SL","Mejorar la empleabilidad de las personas desempleadas","18.000,00"
"ALCUFRE SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALDABASUR UN SERVICIO INTEGRAL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.564,00"
"ALDIFRU SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALDOCAR AUTOS SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"ALEGRIA ACTIVITY ANDALUCIA SL","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","11.994,40"
"ALEJANDRO PRET A PORTER SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALFA NOVENTA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","14.250,00"
"ALFAGRAN SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.625,00"
"ALFALJARAFE SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALFREDO LUCENA SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALGECIR S L","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ALHAMBRA MOTOR SA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ALHAMBRA TERRAZOS Y PAVIMENTOS","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALIANZA 2000 SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
