Beneficiary,Project description,Gasto publico
EMBUTIDOS ROJAS SL,Mejorar la empleabilidad de las personas desempleadas,774.38
EMBUTIDOS RODRIGUEZ SL,Mejorar la empleabilidad de las personas desempleadas,"12,366.07"
EMBUTIDOS RIO VENA SL,Mejorar la empleabilidad de las personas desempleadas,"1,987.70"
EMBUTIDOS RAMOS VIVAS SL.,Mejorar la empleabilidad de las personas desempleadas,193.24
EMBUTIDOS PIRIS SA,Mejorar la empleabilidad de las personas desempleadas,"1,046.52"
EMBUTIDOS PEDRAGOSA SA,Mejorar la empleabilidad de las personas desempleadas,"1,081.07"
"EMBUTIDOS ONA, SL",Mejorar la empleabilidad de las personas desempleadas,"3,885.00"
EMBUTIDOS OLMOS SL,Mejorar la empleabilidad de las personas desempleadas,"1,170.43"
"EMBUTIDOS OLMEDO, SL",Mejorar la empleabilidad de las personas desempleadas,"2,691.52"
EMBUTIDOS NAVARRO Y ROBLES SL,Mejorar la empleabilidad de las personas desempleadas,"1,800.00"
EMBUTIDOS MORENO PLAZA SA,Mejorar la empleabilidad de las personas desempleadas,"2,843.09"
EMBUTIDOS MORATO SL,Mejorar la empleabilidad de las personas desempleadas,"2,043.41"
EMBUTIDOS MONTSA SA,Mejorar la empleabilidad de las personas desempleadas,"3,604.66"
"EMBUTIDOS MONTER, S.L.UNIPERSONAL",Mejorar la empleabilidad de las personas desempleadas,"2,033.27"
EMBUTIDOS MONTEPICATO SL,Mejorar la empleabilidad de las personas desempleadas,753.16
"EMBUTIDOS MONTEFRIO, SL",Mejorar la empleabilidad de las personas desempleadas,"4,099.37"
"EMBUTIDOS MONELLS, SA",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
EMBUTIDOS MALAGA SL,Mejorar la empleabilidad de las personas desempleadas,848.13
EMBUTIDOS MADRILE/OS ARTESANOS SLL,Mejorar la empleabilidad de las personas desempleadas,"4,498.76"
"EMBUTIDOS MADRIGAL, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,344.68
EMBUTIDOS LUIS CHACON SL,Mejorar la empleabilidad de las personas desempleadas,937.68
EMBUTIDOS LOS CERROS SL,Mejorar la empleabilidad de las personas desempleadas,6.67
EMBUTIDOS LEONCIO SL,Mejorar la empleabilidad de las personas desempleadas,"1,237.03"
"EMBUTIDOS LAS TRES G, S.L.",Mejorar la empleabilidad de las personas desempleadas,791.52
"EMBUTIDOS LAS INFANTAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,227.71"
"EMBUTIDOS LACOBA, SL",Mejorar la empleabilidad de las personas desempleadas,265.60
EMBUTIDOS LA PILA SA,Mejorar la empleabilidad de las personas desempleadas,"3,266.96"
"EMBUTIDOS LA PERUYAL, SL",Mejorar la empleabilidad de las personas desempleadas,84.99
EMBUTIDOS LA NUNCIA SL,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
EMBUTIDOS LA HOGUERA SA,Mejorar la empleabilidad de las personas desempleadas,"1,791.04"
"EMBUTIDOS LA ENCINA, SL",Mejorar la empleabilidad de las personas desempleadas,699.22
EMBUTIDOS LA CRUZ SL,Mejorar la empleabilidad de las personas desempleadas,659.94
EMBUTIDOS JURADO SL,Mejorar la empleabilidad de las personas desempleadas,148.72
"EMBUTIDOS JAVI, S.L",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
EMBUTIDOS J. FERNANDEZ SL,Mejorar la empleabilidad de las personas desempleadas,"1,155.59"
EMBUTIDOS GARCIA GOMEZ SL,Mejorar la empleabilidad de las personas desempleadas,"1,642.50"
EMBUTIDOS FRIAL SA,Mejorar la empleabilidad de las personas desempleadas,"1,876.59"
EMBUTIDOS FILI SL,Mejorar la empleabilidad de las personas desempleadas,135.49
EMBUTIDOS FERMIN SL,Mejorar la empleabilidad de las personas desempleadas,"4,876.59"
EMBUTIDOS FARO SA,Mejorar la empleabilidad de las personas desempleadas,"2,480.75"
EMBUTIDOS ESTEVEZ SA,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
EMBUTIDOS EL MOJON SL,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
"EMBUTIDOS DON BODEGONES SEVILLANOS, SL",Mejorar la empleabilidad de las personas desempleadas,975.07
"EMBUTIDOS DEL TIO TUBERO, S.L.",Mejorar la empleabilidad de las personas desempleadas,702.26
EMBUTIDOS DEL CAMPO DE SAN JUAN SL,Mejorar la empleabilidad de las personas desempleadas,"1,093.36"
EMBUTIDOS DE TENERIFE SA,Mejorar la empleabilidad de las personas desempleadas,"4,013.34"
"EMBUTIDOS DE CARPIO, SL",Mejorar la empleabilidad de las personas desempleadas,"1,486.48"
"EMBUTIDOS DAZA, SL",Mejorar la empleabilidad de las personas desempleadas,"4,470.72"
EMBUTIDOS CORDON SA,Mejorar la empleabilidad de las personas desempleadas,196.57
EMBUTIDOS CONTRERAS SL,Mejorar la empleabilidad de las personas desempleadas,"1,009.28"
EMBUTIDOS CISELIA CB,Mejorar la empleabilidad de las personas desempleadas,"1,200.06"
"EMBUTIDOS CAULA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,139.26"
"EMBUTIDOS CASTRO BELLO,SL.",Mejorar la empleabilidad de las personas desempleadas,"1,958.99"
EMBUTIDOS CASEROS AIRES DE MAGINA SDAD COOP AND,Mejorar la empleabilidad de las personas desempleadas,25.97
EMBUTIDOS CASA PICHI SL,Mejorar la empleabilidad de las personas desempleadas,672.87
EMBUTIDOS CARRASCO SL,Mejorar la empleabilidad de las personas desempleadas,"1,528.71"
EMBUTIDOS CAMPOSIERRA S.L.,Mejorar la empleabilidad de las personas desempleadas,"1,341.05"
EMBUTIDOS CAMINO DE SANTIAGO SL,Mejorar la empleabilidad de las personas desempleadas,429.77
"EMBUTIDOS CADI, SL",Mejorar la empleabilidad de las personas desempleadas,200.00
EMBUTIDOS BOTAN SL,Mejorar la empleabilidad de las personas desempleadas,"1,575.85"
EMBUTIDOS BONIS SL,Mejorar la empleabilidad de las personas desempleadas,344.45
EMBUTIDOS BELLOTA SL,Mejorar la empleabilidad de las personas desempleadas,"1,738.22"
"EMBUTIDOS ATIENZA 2.000,S A",Mejorar la empleabilidad de las personas desempleadas,813.32
EMBUTIDOS ARTYSAN SL,Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
"EMBUTIDOS ARTESANOS SIERRA DE SAN VICENTE, S.L.",Mejorar la empleabilidad de las personas desempleadas,560.00
EMBUTIDOS ARTESANOS MELSA; SL,Mejorar la empleabilidad de las personas desempleadas,313.32
EMBUTIDOS ALVEN SL,Mejorar la empleabilidad de las personas desempleadas,"1,099.90"
EMBUTIDOS ALFONSO SA,Mejorar la empleabilidad de las personas desempleadas,"1,140.73"
EMBUTIDOS ALEJANDRO SA,Mejorar la empleabilidad de las personas desempleadas,"1,303.46"
EMBUTIDOS ABAD SL,Mejorar la empleabilidad de las personas desempleadas,493.33
EMBUTIDAS SIERRA DEL ARAMO SL,Mejorar la empleabilidad de las personas desempleadas,"1,687.10"
EMBUTICIONES PROFUNDAS DEL NORTE SA,Mejorar la empleabilidad de las personas desempleadas,"1,433.30"
"EMBULAC, SAL",Mejorar la empleabilidad de las personas desempleadas,600.00
"EMBUASTUR, SL",Mejorar la empleabilidad de las personas desempleadas,"1,071.89"
EMBRUJO DE GRANA SL,Mejorar la empleabilidad de las personas desempleadas,697.78
EMBRUJO C B,Mejorar la empleabilidad de las personas desempleadas,"1,050.05"
EMBRAGUES PEDRENO SL,Mejorar la empleabilidad de las personas desempleadas,"1,763.17"
EMBRAGATGES Y DERIVATS SA,Mejorar la empleabilidad de las personas desempleadas,602.26
EMBOU NUEVAS TECNOLOGIAS S.L.,Mejorar la empleabilidad de las personas desempleadas,"2,570.90"
"EMBOTITS SALGOT, SA",Mejorar la empleabilidad de las personas desempleadas,"4,553.37"
EMBOTITS SA CALDERA SL,Mejorar la empleabilidad de las personas desempleadas,"1,060.06"
EMBOTITS OLIVERAS SL,Mejorar la empleabilidad de las personas desempleadas,462.74
"EMBOTITS LA GLEVA, SL",Mejorar la empleabilidad de las personas desempleadas,991.62
"EMBOTITS I PERNILS D ONTINYENT, SL",Mejorar la empleabilidad de las personas desempleadas,243.17
EMBOTITS I CANSALADERIA CAL ESMET SL,Mejorar la empleabilidad de las personas desempleadas,"3,421.02"
"EMBOTITS GELY, SL",Mejorar la empleabilidad de las personas desempleadas,"1,696.57"
EMBOTITS GARRIGA SA,Mejorar la empleabilidad de las personas desempleadas,"2,616.65"
"EMBOTITS ESTAMARIU,S.L.(EN FORMACION)",Mejorar la empleabilidad de las personas desempleadas,151.10
"EMBOTITS CASSANY, SA",Mejorar la empleabilidad de las personas desempleadas,196.57
"EMBOTITS CASOLANS DE MONTMAJOR CASA FIGOLS, SL",Mejorar la empleabilidad de las personas desempleadas,"3,772.52"
"EMBOTITS CAN ROSES, SL",Mejorar la empleabilidad de las personas desempleadas,24.42
"EMBOTITS CABANAS, SL",Mejorar la empleabilidad de las personas desempleadas,719.88
EMBOTITS ARTESANS GRAU-VILA SL,Mejorar la empleabilidad de las personas desempleadas,"1,192.50"
EMBOTITS ARTESANS DE SERRA SL,Mejorar la empleabilidad de las personas desempleadas,600.00
"EMBOTITS ARTESANS DE CALP, S.L.",Mejorar la empleabilidad de las personas desempleadas,238.51
"EMBOTITS ARTESANS CAN DURAN, SOCIETAT ANONIMA",Mejorar la empleabilidad de las personas desempleadas,"3,697.69"
EMBOTELLADORA DE CANARIAS SA,Mejorar la empleabilidad de las personas desempleadas,"2,533.46"
EMBLEMAS Y GRABADOS SL,Mejorar la empleabilidad de las personas desempleadas,181.78
EMBLEMA Y ESTILO ANDALUZ S.L.,Mejorar la empleabilidad de las personas desempleadas,"1,799.58"
EMBID ARTIGAS MARIA GLORIA 000419423P SLNE,Mejorar la empleabilidad de las personas desempleadas,"1,100.00"
"EMBENTION SISTEMAS INTELIGENTES, S.L.",Mejorar la empleabilidad de las personas desempleadas,66.66
"EMBE L CAMISERO,S.L",Mejorar la empleabilidad de las personas desempleadas,"6,948.11"
EMBAULAR SL,Mejorar la empleabilidad de las personas desempleadas,271.67
"EMBASSY,S.L.",Mejorar la empleabilidad de las personas desempleadas,"14,760.30"
"EMBASSY TRAVEL, SA",Mejorar la empleabilidad de las personas desempleadas,779.13
EMBASOL GASTRONOMIA SL,Mejorar la empleabilidad de las personas desempleadas,"1,201.60"
EMB-ASESORES SL,Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
"EMBARMAR, SA",Mejorar la empleabilidad de las personas desempleadas,"1,233.48"
EMBARCACIONES ASTINOR SL,Mejorar la empleabilidad de las personas desempleadas,370.00
EMBAMADRID SL,Mejorar la empleabilidad de las personas desempleadas,"1,360.04"
"EMBALPACK,2005,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,180.01"
"EMBALEX, SL",Mejorar la empleabilidad de las personas desempleadas,166.60
"EMBALATGES REUS, SL",Mejorar la empleabilidad de las personas desempleadas,65.77
"EMBALATGES I MANUFACTURES DEL PLASTIC,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,570.00"
"EMBALAN3 SISTEMAS DE EMBALAJE, S.L.",Mejorar la empleabilidad de las personas desempleadas,791.09
"EMBALAJES Y MADERAS DE RIOTORTO,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,262.59"
EMBALAJES Y CARPINTERIA INDUSTRIAL MADERAS RI PA SL,Mejorar la empleabilidad de las personas desempleadas,"1,000.00"
EMBALAJES Y BOBINAS SA,Mejorar la empleabilidad de las personas desempleadas,408.90
"EMBALAJES VALLTER, SL",Mejorar la empleabilidad de las personas desempleadas,"2,554.30"
EMBALAJES TEPI SA,Mejorar la empleabilidad de las personas desempleadas,700.00
EMBALAJES TECNICOS PLASTICOS SL,Mejorar la empleabilidad de las personas desempleadas,"3,159.97"
EMBALAJES SAGA SL,Mejorar la empleabilidad de las personas desempleadas,728.86
EMBALAJES RINCON SA,Mejorar la empleabilidad de las personas desempleadas,"2,208.86"
EMBALAJES PROSPER SL,Mejorar la empleabilidad de las personas desempleadas,996.57
"EMBALAJES P PORTA, SL",Mejorar la empleabilidad de las personas desempleadas,"2,215.02"
EMBALAJES MANUEL CAMPORRO SL,Mejorar la empleabilidad de las personas desempleadas,"6,828.77"
EMBALAJES LA PUEBLA SL,Mejorar la empleabilidad de las personas desempleadas,22.20
EMBALAJES LA PLANA SL,Mejorar la empleabilidad de las personas desempleadas,"2,747.90"
"EMBALAJES INDUSTRIALES EBROBOX, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
EMBALAJES ICIAR SL,Mejorar la empleabilidad de las personas desempleadas,"1,345.76"
EMBALAJES HERRERO SL,Mejorar la empleabilidad de las personas desempleadas,"4,067.36"
EMBALAJES ECOLOGICOS TRANSPACK SA,Mejorar la empleabilidad de las personas desempleadas,"6,438.64"
EMBALAJES ECHEBERRIA SA,Mejorar la empleabilidad de las personas desempleadas,"2,474.62"
EMBALAJES E.M.B.Z.A. XII SL,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
"EMBALAJES DE CASTILLA Y LEON, SL",Mejorar la empleabilidad de las personas desempleadas,144.02
"EMBALAJES CEMERRE, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,171.12
"EMBALAJES CAPSA, SL",Mejorar la empleabilidad de las personas desempleadas,27.42
EMBALAJES CANTABRIA SL,Mejorar la empleabilidad de las personas desempleadas,467.58
"EMBALAJES BI-KA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,456.61"
EMBALAJES BARRIO SA,Mejorar la empleabilidad de las personas desempleadas,386.63
EMBALAJES ARMANDO SL,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
"EMBALAJES ARCA, SA",Mejorar la empleabilidad de las personas desempleadas,"1,100.00"
"EMBALAJES ANGEL GONZALEZ,S.L.",Mejorar la empleabilidad de las personas desempleadas,761.59
EMBALAJES AIRPLASTIC SL,Mejorar la empleabilidad de las personas desempleadas,573.31
"EMBALAJE Y GRAPAS, SA",Mejorar la empleabilidad de las personas desempleadas,207.74
"EMBALAJE Y FRABRICACION TECNICA EN MADERA, S.L.",Mejorar la empleabilidad de las personas desempleadas,679.92
EMBAJADORES DE CRISTO ESPANA,Mejorar la empleabilidad de las personas desempleadas,300.00
EMBAJADA DEL SULTANATO DE OMAN,Mejorar la empleabilidad de las personas desempleadas,"2,630.69"
EMBAJADA DE LA REPUBLICA ISLAMICA DE AFGANISTAN,Mejorar la empleabilidad de las personas desempleadas,349.40
EMBAJADA DE LA REPUBLICA DEL YEMEN,Mejorar la empleabilidad de las personas desempleadas,"1,000.00"
EMBAIBOR SL,Mejorar la empleabilidad de las personas desempleadas,550.98
EMBAGENIL SL,Mejorar la empleabilidad de las personas desempleadas,"2,366.01"
"EMBAELCO, SL",Mejorar la empleabilidad de las personas desempleadas,"1,461.12"
EMBACAMPOO SL,Mejorar la empleabilidad de las personas desempleadas,757.50
"EMB SOCIETAT PROFESSIONAL D ADVOCATS, SL",Mejorar la empleabilidad de las personas desempleadas,"1,571.53"
"EMAYFRIST, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,"3,748.57"
"EMAX SERVICIOS ELECTRICOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,066.40"
"EMAVERA, SL",Mejorar la empleabilidad de las personas desempleadas,956.61
EMAUTO ELECTRICIDAD SL,Mejorar la empleabilidad de las personas desempleadas,"1,766.60"
EMAUS FUNDACION SOCIAL,Mejorar la empleabilidad de las personas desempleadas,"5,517.72"
"EMATEK AMBIENTAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,558.36
EMASE 2.000 SL,Mejorar la empleabilidad de las personas desempleadas,491.06
E-MARKMEDIA COMUNICACION Y NUEVAS TECNOLOGIAS SL,Mejorar la empleabilidad de las personas desempleadas,"1,869.91"
EMAR MANUFACTURAS METALICAS SA,Mejorar la empleabilidad de las personas desempleadas,"2,506.36"
EMAPYR SERVICIOS Y MTOS. INDUSTRIALES S.L.,Mejorar la empleabilidad de las personas desempleadas,481.62
"EMAOLAN, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,775.32"
"EMANKOR TALDEA, S.L.",Mejorar la empleabilidad de las personas desempleadas,697.78
EMAN SA INDUSTRIAS GRAFICAS,Mejorar la empleabilidad de las personas desempleadas,"2,055.42"
"EMAM ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL,S.L.",Mejorar la empleabilidad de las personas desempleadas,437.76
EMALVI SL,Mejorar la empleabilidad de las personas desempleadas,355.54
EMALBA SL,Mejorar la empleabilidad de las personas desempleadas,"1,211.30"
EMAL MANTENIMIENTO Y SERVICIOS SL,Mejorar la empleabilidad de las personas desempleadas,136.91
EM-AL CONSTRUCT. 2001 SLU,Mejorar la empleabilidad de las personas desempleadas,"2,339.88"
"EMAILING NETWORK EUROPE,S.L.(EN FORMACINN)",Mejorar la empleabilidad de las personas desempleadas,306.24
"EMAI XXI, SL",Mejorar la empleabilidad de las personas desempleadas,129.86
"EMAGINE SERVICIOS DE CONSULTORIA E INFORMATICA, SA",Mejorar la empleabilidad de las personas desempleadas,"18,782.67"
E-MAGIC PRODUCCION AUDIOVISUAL SL,Mejorar la empleabilidad de las personas desempleadas,916.70
EMAE SOC COOP AND,Mejorar la empleabilidad de las personas desempleadas,866.71
EMAE ABRASIVOS S.L.,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
"EMACEROS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"5,087.11"
EMACAR EVENTOS SL,Mejorar la empleabilidad de las personas desempleadas,708.88
EMAC COMPLEMENTOS SL,Mejorar la empleabilidad de las personas desempleadas,"1,269.93"
EMABAL 2000 SL,Mejorar la empleabilidad de las personas desempleadas,"1,266.66"
ELZABURU S.L.P.,Mejorar la empleabilidad de las personas desempleadas,"3,800.00"
"ELYSIUS EUROPA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
ELYPLAST SA,Mejorar la empleabilidad de las personas desempleadas,604.40
"ELYMET SALAS,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,468.47"
ELYCAR DISENO Y PUBLICIDAD SL,Mejorar la empleabilidad de las personas desempleadas,"1,107.14"
ELYBER MONTERO SL,Mejorar la empleabilidad de las personas desempleadas,327.04
"ELYA SOCIEDAD DE INGENIERIA Y CONSTRUCCINN,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,430.00"
ELYA COMUNICACION SL,Mejorar la empleabilidad de las personas desempleadas,371.84
ELWING ESTILISTAS SL,Mejorar la empleabilidad de las personas desempleadas,876.59
"ELVISVIVE, SL",Mejorar la empleabilidad de las personas desempleadas,190.01
ELVIRA-INGENIEROS SA,Mejorar la empleabilidad de las personas desempleadas,"3,909.31"
ELVIRA MARIN Y ASOCIADOS SL,Mejorar la empleabilidad de las personas desempleadas,808.92
"ELVIRA GARRAIOAK, SL",Mejorar la empleabilidad de las personas desempleadas,94.35
ELVIRA CONSTRUCT 2005 SL,Mejorar la empleabilidad de las personas desempleadas,219.98
ELVIRA ARANZABAL LEJARZA-TERESA ARANZABAL LEJARZA,Mejorar la empleabilidad de las personas desempleadas,"1,483.14"
ELVEX SISTEMAS SL,Mejorar la empleabilidad de las personas desempleadas,969.49
"ELVEA, SL",Mejorar la empleabilidad de las personas desempleadas,566.64
ELVA PROMOTIONAL TRADING SL,Mejorar la empleabilidad de las personas desempleadas,124.32
ELVA ELECTRICA VASCONIA SL,Mejorar la empleabilidad de las personas desempleadas,"1,199.88"
ELUMINA IBERICA SA,Mejorar la empleabilidad de las personas desempleadas,266.77
ELUJADA SL,Mejorar la empleabilidad de las personas desempleadas,656.35
ELTEAN SA,Mejorar la empleabilidad de las personas desempleadas,"1,000.00"
ELTAC XXI SL,Mejorar la empleabilidad de las personas desempleadas,696.44
"ELSURTIDO ELECTRICO, S.L.",Mejorar la empleabilidad de las personas desempleadas,70.84
ELSTER-INSTROMET SL,Mejorar la empleabilidad de las personas desempleadas,"3,699.72"
"ELSON TOURS, SLU",Mejorar la empleabilidad de las personas desempleadas,100.00
ELSON ELECTRONICA SA,Mejorar la empleabilidad de las personas desempleadas,"1,636.71"
ELSI 2000 SA,Mejorar la empleabilidad de las personas desempleadas,100.00
ELSAN SL,Mejorar la empleabilidad de las personas desempleadas,"3,035.68"
ELSAMEX SA,Mejorar la empleabilidad de las personas desempleadas,"24,676.66"
ELSAMEX INTERNACIONAL SRL,Mejorar la empleabilidad de las personas desempleadas,854.68
"ELSACORT, S.L.",Mejorar la empleabilidad de las personas desempleadas,233.31
ELSA Y FEDERICA SL,Mejorar la empleabilidad de las personas desempleadas,304.21
"ELSA PERETTI FOUNDATION, FUNDACIO PRIVADA",Mejorar la empleabilidad de las personas desempleadas,"1,200.00"
"ELS XIQUETS DE EL FABRAQUER, S.L.",Mejorar la empleabilidad de las personas desempleadas,92.08
"ELS VISITANS COMPANIA DE TEATRE, SL",Mejorar la empleabilidad de las personas desempleadas,784.43
ELS VIATGES DE LES COMARQUES CENTRALS SL,Mejorar la empleabilidad de las personas desempleadas,199.98
ELS TARONGERS COOP V,Mejorar la empleabilidad de las personas desempleadas,"1,700.00"
"ELS SOPARS DE LNESTACIO, SL",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
"ELS SEGARRULLS, SL",Mejorar la empleabilidad de las personas desempleadas,251.71
ELS SALOMONS SL,Mejorar la empleabilidad de las personas desempleadas,"1,600.00"
"ELS QUATRE POLLETS, SL",Mejorar la empleabilidad de las personas desempleadas,"2,616.74"
ELS PITEUS INVERSIONS 2005 SL,Mejorar la empleabilidad de las personas desempleadas,424.98
"ELS PINS DE LA RIERA, SL",Mejorar la empleabilidad de las personas desempleadas,200.00
ELS PESCADORS CAFE BAR SA,Mejorar la empleabilidad de las personas desempleadas,812.34
ELS PANCHORRINS SL,Mejorar la empleabilidad de las personas desempleadas,33.34
"ELS MENUTS DE LA PINEDA,S.L.",Mejorar la empleabilidad de las personas desempleadas,"3,454.03"
"ELS LLOPS 2002, SL",Mejorar la empleabilidad de las personas desempleadas,"1,733.30"
"ELS IRREDUCTIBLES, SL",Mejorar la empleabilidad de las personas desempleadas,919.90
"ELS GORGS 2000, SL",Mejorar la empleabilidad de las personas desempleadas,"1,496.67"
"ELS FOGONS DE LA PLANA RESTAURANT, S.L.",Mejorar la empleabilidad de las personas desempleadas,391.00
"ELS FOGONS DE LA MAMI, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,617.63"
"ELS FOGONS D ABANS, SL",Mejorar la empleabilidad de las personas desempleadas,278.36
"ELS BANYS DE SANT VICENC,SL",Mejorar la empleabilidad de las personas desempleadas,472.15
"ELS ARROSSOS DE VILANOVA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
"ELRIXU 2007, S.L.",Mejorar la empleabilidad de las personas desempleadas,991.62
"ELRACO DEL PALLO, S.L.",Mejorar la empleabilidad de las personas desempleadas,225.00
ELRA 98 SL,Mejorar la empleabilidad de las personas desempleadas,296.57
"ELQUIVIR MARROQUINERIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,600.00
"ELPO COMERCIAL ELECTRONICA DE POTENCIA, SA",Mejorar la empleabilidad de las personas desempleadas,"1,133.39"
ELPIRA SL,Mejorar la empleabilidad de las personas desempleadas,584.31
ELPE 94 SL,Mejorar la empleabilidad de las personas desempleadas,"1,200.00"
ELPA GESTION SA,Mejorar la empleabilidad de las personas desempleadas,937.82
ELOY SERIGRAFIA SA,Mejorar la empleabilidad de las personas desempleadas,469.82
"ELOY SANCHEZ, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,261.66"
ELOY R GARCIA GARCIA SA,Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
ELOY DIAZ E HIJOS SL,Mejorar la empleabilidad de las personas desempleadas,321.87
"ELOSEGUI BACH GESTION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,104.46"
ELORZA GARRAIOAK SL,Mejorar la empleabilidad de las personas desempleadas,"1,066.60"
ELORRIXO SL,Mejorar la empleabilidad de las personas desempleadas,779.13
ELOPI R 13 SL,Mejorar la empleabilidad de las personas desempleadas,985.29
ELOIZAL SL,Mejorar la empleabilidad de las personas desempleadas,144.02
"ELOISA SANCHEZ Y OTRO, COM.B.",Mejorar la empleabilidad de las personas desempleadas,212.49
ELOISA GARCIA SL,Mejorar la empleabilidad de las personas desempleadas,598.44
"ELOGOS CONOCIMIENTO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2,091.77"
"ELOGIA MEDIA, SL",Mejorar la empleabilidad de las personas desempleadas,477.80
ELN SA,Mejorar la empleabilidad de las personas desempleadas,309.12
ELMYA SA,Mejorar la empleabilidad de las personas desempleadas,225.00
ELMUNDOSTOCK SL,Mejorar la empleabilidad de las personas desempleadas,365.95
ELMUBAS IBERICA SL,Mejorar la empleabilidad de las personas desempleadas,"1,093.24"
ELMON TI3 SL,Mejorar la empleabilidad de las personas desempleadas,282.24
"ELMO SUMINISTROS, S.L.",Mejorar la empleabilidad de las personas desempleadas,605.56
ELMI 2000 SL,Mejorar la empleabilidad de las personas desempleadas,"1,266.60"
ELMET SL,Mejorar la empleabilidad de las personas desempleadas,"1,588.91"
"ELMEGA,SL",Mejorar la empleabilidad de las personas desempleadas,"1,427.20"
ELMEG SPAIN SL,Mejorar la empleabilidad de las personas desempleadas,204.31
ELME TOOLS SL,Mejorar la empleabilidad de las personas desempleadas,692.70
"ELMATRANS GESTION Y EXPLOTACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,77.78
"ELMASA OBRAS PNBLICAS, S.A.",Mejorar la empleabilidad de las personas desempleadas,713.32
ELMANTEC SALVATERRA SL,Mejorar la empleabilidad de las personas desempleadas,486.66
ELMAN ELECTROAUTOMATISMOS SL,Mejorar la empleabilidad de las personas desempleadas,243.29
ELMA REPRESENTACIONES SL,Mejorar la empleabilidad de las personas desempleadas,"1,089.91"
ELMA CB,Mejorar la empleabilidad de las personas desempleadas,924.27
ELMA C.B.,Mejorar la empleabilidad de las personas desempleadas,972.50
"ELLSA, SL",Mejorar la empleabilidad de las personas desempleadas,863.33
ELLO-LATHER SLU,Mejorar la empleabilidad de las personas desempleadas,760.23
"ELLIPO, S.L",Mejorar la empleabilidad de las personas desempleadas,"4,674.48"
ELLEQUEEN SL,Mejorar la empleabilidad de las personas desempleadas,"4,653.33"
ELFOMA SA,Mejorar la empleabilidad de las personas desempleadas,577.62
"ELFI FRANCHISES,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,572.14"
"ELFEM IBERIA, SL",Mejorar la empleabilidad de las personas desempleadas,"2,296.77"
ELFARMEDIA SL,Mejorar la empleabilidad de las personas desempleadas,888.91
ELFARGAS SL,Mejorar la empleabilidad de las personas desempleadas,19.98
ELFAR-AUTOCARES SA,Mejorar la empleabilidad de las personas desempleadas,583.25
"ELFANO BUSINESS SCHOOL, SL",Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
ELIZALDE HOTEL DON CARLOS SL,Mejorar la empleabilidad de las personas desempleadas,"2,683.25"
ELIZABETH ARDEN ESPANA S.L.,Mejorar la empleabilidad de las personas desempleadas,"29,596.21"
"ELIXE ENGINYERIA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,264.44"
"ELIX SERVICIOS INMOBILIARIOS, SL",Mejorar la empleabilidad de las personas desempleadas,588.62
ELIWEN HISPANO SL,Mejorar la empleabilidad de las personas desempleadas,"1,153.50"
ELITTIE SL,Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
ELIT-JEANS SA,Mejorar la empleabilidad de las personas desempleadas,983.33
ELITESPORT SA,Mejorar la empleabilidad de las personas desempleadas,"1,568.18"
"ELITEPAN, SL",Mejorar la empleabilidad de las personas desempleadas,"2,960.00"
