Beneficiary,Project description,Gasto publico
ENTRESUELO SEGUNDA SL,Mejorar la empleabilidad de las personas desempleadas,869.93
ENTRESOLES HOSTELERIA SL,Mejorar la empleabilidad de las personas desempleadas,"2,453.59"
ENTRESISTEMAS SL,Mejorar la empleabilidad de las personas desempleadas,971.12
ENTRESABORES SL,Mejorar la empleabilidad de las personas desempleadas,"1,800.00"
"ENTREQUATRE VA LA PASTA, S.L.",Mejorar la empleabilidad de las personas desempleadas,526.55
ENTREPLAZAS ASESORES Y CONSULTORES S.L.,Mejorar la empleabilidad de las personas desempleadas,"3,986.56"
"ENTREPANS PIZZAS & COMPANY,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,343.89"
ENTREPANS EXPRESS S.L,Mejorar la empleabilidad de las personas desempleadas,"5,947.97"
"ENTREPAN SELECCION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"5,827.61"
"ENTRENATECH, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,121.91"
ENTRENA E HIJOS SA,Mejorar la empleabilidad de las personas desempleadas,200.00
ENTREMIGAS SL,Mejorar la empleabilidad de las personas desempleadas,718.30
ENTREMADERAS SL,Mejorar la empleabilidad de las personas desempleadas,196.66
ENTRELLACS SL,Mejorar la empleabilidad de las personas desempleadas,"1,593.24"
"ENTRELINEAS PERIODISTICAS ASOCIADOS, SL",Mejorar la empleabilidad de las personas desempleadas,"1,300.00"
"ENTRELINEAS ENTERTAINMENT,S.L",Mejorar la empleabilidad de las personas desempleadas,904.49
"ENTRELASENCINA, C. B.",Mejorar la empleabilidad de las personas desempleadas,70.83
ENTREHIELO SA,Mejorar la empleabilidad de las personas desempleadas,769.66
ENTREGAS URBANAS SL,Mejorar la empleabilidad de las personas desempleadas,295.12
ENTREGAS EN PUNTO SL,Mejorar la empleabilidad de las personas desempleadas,"1,230.07"
ENTREGAS COMUNICACION Y SUSCRIPCIONES SL,Mejorar la empleabilidad de las personas desempleadas,"1,794.38"
ENTREDOSMUNDOS S.L.,Mejorar la empleabilidad de las personas desempleadas,191.26
ENTREDOS SERVICIOS HOTELEROS,Mejorar la empleabilidad de las personas desempleadas,520.90
ENTREDOS DECORACION SL,Mejorar la empleabilidad de las personas desempleadas,"1,539.55"
"ENTRECOPAS, C.B.",Mejorar la empleabilidad de las personas desempleadas,934.39
"ENTRECERCAS, SL",Mejorar la empleabilidad de las personas desempleadas,823.31
ENTREBODAS SL,Mejorar la empleabilidad de las personas desempleadas,"1,423.64"
"ENTREAUTO ENTRETENIMENTS PER L AUTOMOBIL, SL",Mejorar la empleabilidad de las personas desempleadas,"1,569.81"
"ENTREACTOS SERVICIOS DE RESTAURACINN,SLL",Mejorar la empleabilidad de las personas desempleadas,634.06
"ENTREACTO TALLER DE EVENTOS, SL",Mejorar la empleabilidad de las personas desempleadas,266.26
ENTRE3 COMUNICACION Y PUBLICIDAD SL,Mejorar la empleabilidad de las personas desempleadas,"3,479.85"
"ENTRE TRES,C.B.",Mejorar la empleabilidad de las personas desempleadas,600.25
ENTRE TAPAS Y LECTURA S.L.,Mejorar la empleabilidad de las personas desempleadas,495.81
ENTRE TAPAS Y COPAS S.L.,Mejorar la empleabilidad de las personas desempleadas,265.60
"ENTRE TANTO SISTEMAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,473.28
ENTRE PARENTESIS GLOBAL DISTRIBUIDORA SL,Mejorar la empleabilidad de las personas desempleadas,918.40
"ENTRE BAMBALINAS BABY S GALLERY, SL",Mejorar la empleabilidad de las personas desempleadas,33.05
"ENTRASA GESTION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,133.28"
"ENTRAMADOS DELTA, SL",Mejorar la empleabilidad de las personas desempleadas,"2,229.87"
"ENTRAL BCN, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,599.80"
ENTRAGO 99 SL,Mejorar la empleabilidad de las personas desempleadas,6.66
ENTRA DIGITAL IMPRESION S.L.,Mejorar la empleabilidad de las personas desempleadas,80.01
ENTORNOS SIG SL,Mejorar la empleabilidad de las personas desempleadas,147.79
ENTORNOS SERVICIOS SOCIOCULTURALES SL,Mejorar la empleabilidad de las personas desempleadas,724.82
"ENTORNOS INNOVADORES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,808.90"
"ENTORNOS DOCUMENTALES FINANCIEROS, SL",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
ENTORNO-4 INTERIORISMO SL,Mejorar la empleabilidad de las personas desempleadas,557.80
ENTORNO SIN GRAFFITI SL,Mejorar la empleabilidad de las personas desempleadas,11.10
"ENTORNO GRAFICO,S.COOP.",Mejorar la empleabilidad de las personas desempleadas,693.24
"ENTORNO DIGITAL, SA",Mejorar la empleabilidad de las personas desempleadas,848.93
"ENTORNO DE CALIDAD Y SERVICIOS EQUISAT- CLM, S.L.",Mejorar la empleabilidad de las personas desempleadas,47.20
ENTORNO 97 SA,Mejorar la empleabilidad de las personas desempleadas,918.40
"ENTORN, S.COOP.C.LTDA.",Mejorar la empleabilidad de las personas desempleadas,"3,395.25"
"ENTORN DIGITAL CATALA, S.L.",Mejorar la empleabilidad de las personas desempleadas,782.21
"ENTOPACK,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,396.57"
"ENTOLDADOS TOFER, CB",Mejorar la empleabilidad de las personas desempleadas,303.23
ENTITAT D ACCIN SOCIAL EAS ELS AVETS,Mejorar la empleabilidad de las personas desempleadas,669.93
"ENTIS, SL",Mejorar la empleabilidad de las personas desempleadas,"1,090.78"
"ENTIDADES RECREATIVAS PALMA, SA.",Mejorar la empleabilidad de las personas desempleadas,"1,086.05"
ENTIDAD URBANISTICA DE CONSERVACION URBANIZACION VALLE,Mejorar la empleabilidad de las personas desempleadas,811.54
ENTIDAD URBANISTICA DE CONSERVACION RESIDENCIAL CORTIJO,Mejorar la empleabilidad de las personas desempleadas,"3,610.64"
ENTIDAD URBANISTICA DE CONSERVACION DE LA URBANIZACION,Mejorar la empleabilidad de las personas desempleadas,793.30
ENTIDAD URBANISTICA COLABORADORA DE CONSERVACION RIOMON,Mejorar la empleabilidad de las personas desempleadas,90.00
ENTIDAD URBANISTICA COLABORADORA DE CONSERVACION MIRAFL,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
ENTIDAD URBANISTICA COLABORADORA DE CONSERVACION DE LA,Mejorar la empleabilidad de las personas desempleadas,341.14
ENTIDAD URBANISTICA COLABORADORA CONSERVACION PARQUE,Mejorar la empleabilidad de las personas desempleadas,240.78
ENTIDAD TECNICA DE CONTROL INDUSTRIAL SL ,Mejorar la empleabilidad de las personas desempleadas,"3,356.60"
ENTIDAD PUBLICA EMPRESARIAL DIARIO LANZA,Mejorar la empleabilidad de las personas desempleadas,240.54
ENTIDAD PUBLICA DE SANEAMIENTO DE AGUAS RESIDUALES DE L,Mejorar la empleabilidad de las personas desempleadas,788.57
ENTIDAD NORMALIZADORA S.L.L.,Mejorar la empleabilidad de las personas desempleadas,"2,440.36"
ENTIDAD NACIONAL DE ACREDITACION,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
ENTIDAD MUNICIPAL DE SERVICIOS DE VALL D UIXO SL,Mejorar la empleabilidad de las personas desempleadas,900.00
"ENTIDAD MAYA, SL",Mejorar la empleabilidad de las personas desempleadas,149.95
ENTIDAD LOCAL MENOR DE GARGALIGAS,Mejorar la empleabilidad de las personas desempleadas,"137,340.90"
ENTIDAD LOCAL AUTONOMA VVA DE LA CONCEPCION,Mejorar la empleabilidad de las personas desempleadas,"220,457.57"
ENTIDAD LOCAL AUTONOMA DE VALDERRUBIO,Mejorar la empleabilidad de las personas desempleadas,"107,388.52"
ENTIDAD LOCAL AUTONOMA DE MONTECORTO,Mejorar la empleabilidad de las personas desempleadas,"388,693.11"
ENTIDAD LOCAL AUTONOMA DE DEHESAS VIEJAS,Mejorar la empleabilidad de las personas desempleadas,"130,827.53"
"ENTIDAD DE PROJECT MANAGEMENT INMOBILIARIO, S.L.",Mejorar la empleabilidad de las personas desempleadas,804.48
"ENTIDAD DE INTERMEDIACION FINANCIERA, S.L.",Mejorar la empleabilidad de las personas desempleadas,787.11
"ENTIDAD DE GESTION ARQUITECTURA Y EL DISENO,S.L.",Mejorar la empleabilidad de las personas desempleadas,128.32
"ENTIDAD DE CONTROL, INVESTIGACION Y TECNOLOGIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,573.36
ENTIDAD DE CONSERVACION POLIGONO INDUSTRIAL ARINAGA,Mejorar la empleabilidad de las personas desempleadas,496.57
ENTIDAD DE CONSERVACION DE EUROVILLAS,Mejorar la empleabilidad de las personas desempleadas,637.47
ENTIDAD DE CONSERVACION COTO LOS RINALES,Mejorar la empleabilidad de las personas desempleadas,"1,846.67"
"ENTEX, SL",Mejorar la empleabilidad de las personas desempleadas,497.80
ENTESER A CONCESIONARIOS SL,Mejorar la empleabilidad de las personas desempleadas,"2,487.82"
ENTESA PERITACIONES SEGUROS Y COMISARIADO AVERIAS S.L.,Mejorar la empleabilidad de las personas desempleadas,520.55
"ENTERTAINMENT SOLUTIONS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,186.60"
ENTERTAIMENT LAND SL,Mejorar la empleabilidad de las personas desempleadas,755.47
ENTERTAIMENT DESIGN 2005,Mejorar la empleabilidad de las personas desempleadas,690.14
