BENEFICIARIO,TIPO DE OPERACIÓN,PO FSE ADAPTABILIDAD Y EMPLEO
LEXINGTON SA,Mejorar a empleabilidad de las personas desempleadas,"2.951,44"
LEXIS INSTITUTO DEL IDIOMA SL,Mejorar a empleabilidad de las personas desempleadas,"684,67"
"LEXKER REPRESENTACIONES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.427,22"
"LEXLAND BARCELONA, SL",Mejorar a empleabilidad de las personas desempleadas,"366,60"
LEXLAND SEVILLA SL,Mejorar a empleabilidad de las personas desempleadas,"989,20"
"LEXMA CERDANYA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.186,58"
LEXMARK ESPANA L L C & CIA SRC,Mejorar a empleabilidad de las personas desempleadas,"422,22"
LEXO CB,Mejorar a empleabilidad de las personas desempleadas,"1.345,71"
LEXON SA,Mejorar a empleabilidad de las personas desempleadas,"1.443,08"
LEXTER STONE SL,Mejorar a empleabilidad de las personas desempleadas,"448,14"
"LEXTRANSPORT ASISTENCIAL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"56,67"
"LEXTREND, S.L.",Mejorar a empleabilidad de las personas desempleadas,"713,32"
"LEXTRI, SL",Mejorar a empleabilidad de las personas desempleadas,"1.426,67"
"LEXUS CAPITAL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"552,45"
LEXXEL SERVICIOS EMPRESARIALES SL,Mejorar a empleabilidad de las personas desempleadas,"691,30"
LEY 1963 SL,Mejorar a empleabilidad de las personas desempleadas,"424,64"
LEY Y GESTION SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
"LEY Y PREVENCION, S.L.",Mejorar a empleabilidad de las personas desempleadas,"795,01"
LEYBOL IL.LUMINACIO SL,Mejorar a empleabilidad de las personas desempleadas,"1.357,50"
"LEYCONS MADRID ASESORES Y ABOGADOS, S.L",Mejorar a empleabilidad de las personas desempleadas,"1.304,49"
LEYCOR SDAD COOP ANDALUZA,Mejorar a empleabilidad de las personas desempleadas,"996,67"
"LEYDAL PROMOCIONES Y CONSTRUCCIONES, SLL",Mejorar a empleabilidad de las personas desempleadas,"480,35"
"LEYENDA CIDELA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.771,83"
LEYENDA PERSONAL S.L,Mejorar a empleabilidad de las personas desempleadas,"1.133,39"
"LEYENDAS DEL ESTE, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.278,77"
"LEYENDAS DEL TE, S.L.",Mejorar a empleabilidad de las personas desempleadas,"299,23"
LEYFAM SA,Mejorar a empleabilidad de las personas desempleadas,"726,70"
"LEYFIS ASSESSORS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"649,24"
LEYKON_PROMIERS SL,Mejorar a empleabilidad de las personas desempleadas,"728,86"
LEYLAND LANGUAGE SCHOOL SL,Mejorar a empleabilidad de las personas desempleadas,"423,84"
LEYMA CB,Mejorar a empleabilidad de las personas desempleadas,"281,67"
LEYMA CONSTRUCCIONES DEL NORTE SL,Mejorar a empleabilidad de las personas desempleadas,"899,90"
LEYMER BINTER SL,Mejorar a empleabilidad de las personas desempleadas,"629,30"
LEYNFOR S XXI SA,Mejorar a empleabilidad de las personas desempleadas,"4.004,95"
"LEYNOR CANARIAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"436,23"
LEYRE GESTION DE INMUEBLES SL,Mejorar a empleabilidad de las personas desempleadas,"3.108,24"
LEYRE MOBILIARIO DE COCINA SA,Mejorar a empleabilidad de las personas desempleadas,"810,97"
LEYRE PROYECTOS DE INGENIERIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.864,33"
LEYSAMAR SL,Mejorar a empleabilidad de las personas desempleadas,"469,93"
"LEYSER PROYECTOS Y CONSTRUCCION, S.A.",Mejorar a empleabilidad de las personas desempleadas,"1.227,71"
"LEYSO ABOGADOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
"LEYSTERS ABOGADOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"4.692,52"
LEYVA E HIJOS SA,Mejorar a empleabilidad de las personas desempleadas,"3.033,28"
"LEYVA Y ZAMORA ASOCIADOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"886,58"
"LEYVAMUR, S.R.L.L.",Mejorar a empleabilidad de las personas desempleadas,"708,30"
LEYVASOL SLL,Mejorar a empleabilidad de las personas desempleadas,"1.517,86"
LEYVESUR S.L.,Mejorar a empleabilidad de las personas desempleadas,"203,06"
LEYVIC SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
"LEZAETA COALCO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"196,57"
LEZAMIZ ANIA Y RODRIGUEZ SL,Mejorar a empleabilidad de las personas desempleadas,"531,23"
"LEZUONDA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
"LEZZO DESCANSO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"509,91"
LF POZUELO-ARAVACA SL,Mejorar a empleabilidad de las personas desempleadas,"3.125,29"
LF TORREJON SL,Mejorar a empleabilidad de las personas desempleadas,"1.246,68"
LG ELECTRONICS ESPANA SA,Mejorar a empleabilidad de las personas desempleadas,"280,96"
LG SESERFI SL,Mejorar a empleabilidad de las personas desempleadas,"1.933,34"
"LGAI TECHNOLOGICAL CENTER, SA",Mejorar a empleabilidad de las personas desempleadas,"2.320,90"
LGL GESTION Y FORMACION SL,Mejorar a empleabilidad de las personas desempleadas,"1.062,45"
"LGL REFRIGERATION SPAIN, SA",Mejorar a empleabilidad de las personas desempleadas,"1.274,94"
"LHOTSE INVESTMENTS, SA",Mejorar a empleabilidad de las personas desempleadas,"1.672,07"
"LIA-2 SHOES 2007,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.619,58"
LIAGO SL,Mejorar a empleabilidad de las personas desempleadas,"826,64"
LIAL TRADE SA,Mejorar a empleabilidad de las personas desempleadas,"1.293,82"
"LIALBE LIMPIEZAS Y CONTRATAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.913,27"
"LIAMA MODA, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"424,98"
"LIANATOR HOSTELEROS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"503,36"
"LIBACA, SL",Mejorar a empleabilidad de las personas desempleadas,"808,87"
LIBANTEX SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
"LIBARCO, SL",Mejorar a empleabilidad de las personas desempleadas,"320,33"
"LIBAX DISTRIBUCIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77"
LIBEANU SL,Mejorar a empleabilidad de las personas desempleadas,"637,47"
LIBECROM SA,Mejorar a empleabilidad de las personas desempleadas,"3.565,58"
"LIBELIUM COMUNICACIONES DISTRIBUIDAS, S. L.",Mejorar a empleabilidad de las personas desempleadas,"201,15"
"LIBELULAS DEL PICO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.130,89"
"LIBELUS LENGUA Y CULTURA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"400,00"
LIBER DISTRIBUCIONES EDUCATIVAS SL,Mejorar a empleabilidad de las personas desempleadas,"2.734,25"
LIBER MANIPULADOS SL,Mejorar a empleabilidad de las personas desempleadas,"2.728,30"
LIBER STUDIO SERVICIOS INTEGRALES DE,Mejorar a empleabilidad de las personas desempleadas,"1.348,12"
LIBERA INVERSIONES 2004 SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
"LIBERALIZA SERVICIOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"295,09"
LIBERCANO SL,Mejorar a empleabilidad de las personas desempleadas,"20,00"
"LIBERDUPLEX, SL",Mejorar a empleabilidad de las personas desempleadas,"235,65"
LIBERFUSTA SL,Mejorar a empleabilidad de las personas desempleadas,"603,33"
"LIBER-IMPORT, SL",Mejorar a empleabilidad de las personas desempleadas,"979,79"
LIBERITAE SL,Mejorar a empleabilidad de las personas desempleadas,"1.331,58"
LIBERPA 2000 SL,Mejorar a empleabilidad de las personas desempleadas,"56,64"
"LIBERSAT SAM 2110,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.766,60"
LIBERTAD 4 SPORT SL,Mejorar a empleabilidad de las personas desempleadas,"1.400,88"
"LIBERTAD ARCHENA, SL",Mejorar a empleabilidad de las personas desempleadas,"702,35"
LIBERTAD DE CREDITO CANARIAS S.L.,Mejorar a empleabilidad de las personas desempleadas,"897,16"
"LIBERTAD DE CREDITO SEVILLA, S.L.A",Mejorar a empleabilidad de las personas desempleadas,"122,75"
LIBERTAD DE CREDITO SL EN CONSTITUCION,Mejorar a empleabilidad de las personas desempleadas,"472,64"
LIBERTAD DELI SL,Mejorar a empleabilidad de las personas desempleadas,"1.473,26"
"LIBERTAD DIGITAL PUBLICIDAD Y MARKETING, S.L.",Mejorar a empleabilidad de las personas desempleadas,"672,87"
LIBERTAD DIGITAL TELEVISION SA,Mejorar a empleabilidad de las personas desempleadas,"300,00"
LIBERTIA SERVICIOS INFORMATICOS SL,Mejorar a empleabilidad de las personas desempleadas,"288,88"
"LIBERTO DE PEDRO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"188,84"
"LIBERTO PERRUQUERS, SL",Mejorar a empleabilidad de las personas desempleadas,"424,98"
"LIBERTY CARGO, SL",Mejorar a empleabilidad de las personas desempleadas,"746,06"
LIBERTY LASER S.L.,Mejorar a empleabilidad de las personas desempleadas,"781,50"
LIBERTY SEGUROS COMPANIA DE SEGUROS,Mejorar a empleabilidad de las personas desempleadas,"32.511,47"
Y REASEGUROS SA,Mejorar a empleabilidad de las personas desempleadas,
"LIBERTY VINQUINO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"201,85"
"LIBERTY VOZ, SL UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"2.960,54"
"LIBLADA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.941,66"
LIBORIA GARCIA SL,Mejorar a empleabilidad de las personas desempleadas,"176,69"
LIBRA ARTES GRAFICAS SA,Mejorar a empleabilidad de las personas desempleadas,"1.899,71"
LIBRA CONSULTORIA JURIDICO EMPRESARIAL SL,Mejorar a empleabilidad de las personas desempleadas,"1.326,88"
LIBRA GESTION DE PROYECTOS SL,Mejorar a empleabilidad de las personas desempleadas,"2.810,76"
"LIBRA MOTOR CACERES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"977,43"
"LIBRADO HIERROS, SA",Mejorar a empleabilidad de las personas desempleadas,"1.435,75"
"LIBRADO LORIENTE, SA",Mejorar a empleabilidad de las personas desempleadas,"1.059,41"
LIBRANOVA VIT SL,Mejorar a empleabilidad de las personas desempleadas,"2.869,93"
LIBRARIA COUCEIRO SL,Mejorar a empleabilidad de las personas desempleadas,"1.292,22"
LIBREDIS SL,Mejorar a empleabilidad de las personas desempleadas,"1.107,26"
"LIBRERED, S.L.",Mejorar a empleabilidad de las personas desempleadas,"312,32"
LIBRERIA ALBA SL,Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
LIBRERIA ANTICUARIA ASTARLOA SL,Mejorar a empleabilidad de las personas desempleadas,"361,23"
LIBRERIA AQUIS S.L.,Mejorar a empleabilidad de las personas desempleadas,"354,15"
LIBRERIA ARENAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.436,63"
LIBRERIA AURYN SL,Mejorar a empleabilidad de las personas desempleadas,"531,20"
"LIBRERIA BOSCH, SL",Mejorar a empleabilidad de las personas desempleadas,"475,00"
LIBRERIA BUSTOS SL,Mejorar a empleabilidad de las personas desempleadas,"2.507,77"
LIBRERIA CANAIMA SL,Mejorar a empleabilidad de las personas desempleadas,"944,49"
"LIBRERIA CENTRAL TEXTOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"563,27"
LIBRERIA CIENTIFICA Y TECNICA FLEMING SL,Mejorar a empleabilidad de las personas desempleadas,"708,26"
"LIBRERIA FM, SL",Mejorar a empleabilidad de las personas desempleadas,"855,00"
LIBRERIA GALERIA ANTONIO MACHADO SA,Mejorar a empleabilidad de las personas desempleadas,"960,91"
LIBRERIA GOMEZ SA,Mejorar a empleabilidad de las personas desempleadas,"219,57"
"LIBRERIA HIPERBOLE, CB.",Mejorar a empleabilidad de las personas desempleadas,"1.998,55"
LIBRERIA HYVROK S.L.,Mejorar a empleabilidad de las personas desempleadas,"722,20"
"LIBRERIA ITACA, CB",Mejorar a empleabilidad de las personas desempleadas,"1.135,22"
"LIBRERIA JARDIN, C.B.",Mejorar a empleabilidad de las personas desempleadas,"371,84"
LIBRERIA JURIDICA LEX-NOVA SL,Mejorar a empleabilidad de las personas desempleadas,"761,83"
LIBRERIA KILATE SL,Mejorar a empleabilidad de las personas desempleadas,"795,62"
"LIBRERIA KOWASA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.009,28"
LIBRERIA LA VERDE SL,Mejorar a empleabilidad de las personas desempleadas,"637,44"
"LIBRERIA LAS FLORES, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"812,75"
LIBRERIA MEDICA FELGUEROSO SA,Mejorar a empleabilidad de las personas desempleadas,"622,50"
LIBRERIA METAFORA SL,Mejorar a empleabilidad de las personas desempleadas,"467,44"
LIBRERIA NOGAL SL,Mejorar a empleabilidad de las personas desempleadas,"1.503,33"
"LIBRERIA NORAY, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.425,00"
LIBRERIA PAPELERIA ALARCON COM.B.,Mejorar a empleabilidad de las personas desempleadas,"177,79"
LIBRERIA PAPELERIA EDITORIAL FENIX SL,Mejorar a empleabilidad de las personas desempleadas,"382,47"
LIBRERIA PAPELERIA FAJARDO SL,Mejorar a empleabilidad de las personas desempleadas,"488,73"
LIBRERIA PAPELERIA JOBE SL,Mejorar a empleabilidad de las personas desempleadas,"4.737,80"
LIBRERIA PAPELERIA LAL PARRA CANALS SL,Mejorar a empleabilidad de las personas desempleadas,"789,97"
LIBRERIA PAPELERIA PLUMIER SL,Mejorar a empleabilidad de las personas desempleadas,"1.652,66"
LIBRERIA PAPELERIA TABAIBA SL,Mejorar a empleabilidad de las personas desempleadas,"660,29"
LIBRERIA RUMOR SL,Mejorar a empleabilidad de las personas desempleadas,"1.063,27"
LIBRERIA SAN JORGE SL,Mejorar a empleabilidad de las personas desempleadas,"723,02"
LIBRERIA URBANA VERGELES CB,Mejorar a empleabilidad de las personas desempleadas,"1.600,00"
LIBRERIA Y PAPELERIA BARCINO SA,Mejorar a empleabilidad de las personas desempleadas,"616,67"
LIBRERIA Y PRENSA;SL,Mejorar a empleabilidad de las personas desempleadas,"834,61"
LIBRERIA-PAPELERIA POLITECNICA SL,Mejorar a empleabilidad de las personas desempleadas,"279,82"
LIBRERIAS CALAMO SL,Mejorar a empleabilidad de las personas desempleadas,"35,40"
LIBRERIAS COSTA MEDITERRANEO SL,Mejorar a empleabilidad de las personas desempleadas,"1.383,25"
LIBRERIAS DEPORTIVAS ESTEBAN SANZ SL,Mejorar a empleabilidad de las personas desempleadas,"933,30"
LIBRERIAS LA ISLA SL,Mejorar a empleabilidad de las personas desempleadas,"3.703,30"
"LIBRERIAS LA SALMANTINA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"240,84"
LIBRERIAS OLETUM SL,Mejorar a empleabilidad de las personas desempleadas,"654,28"
LIBRERIAS PARIS-VALENCIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.274,94"
LIBRERIAS SENECA CB,Mejorar a empleabilidad de las personas desempleadas,"1.274,94"
"LIBRIA SOPORTES INFORMACION, COMUNICACION Y ARTE, S.L.",Mejorar a empleabilidad de las personas desempleadas,"786,16"
LIBRO CARGO SL,Mejorar a empleabilidad de las personas desempleadas,"1.036,63"
"LIBROFICE,S.L.",Mejorar a empleabilidad de las personas desempleadas,"235,47"
"LIBROGALIA, S.L. UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"3.623,42"
LIBRO-HOBBY CLUB SA,Mejorar a empleabilidad de las personas desempleadas,"142,22"
LIBROS COMO LUCES SL,Mejorar a empleabilidad de las personas desempleadas,"466,60"
LIBROS T.L.B. S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.518,12"
LIBROS TECNICOS CANARIAS SL,Mejorar a empleabilidad de las personas desempleadas,"255,31"
LIBROSIETE SLL,Mejorar a empleabilidad de las personas desempleadas,"1.233,01"
LIBROSOL SL,Mejorar a empleabilidad de las personas desempleadas,"313,41"
"LIBRUM, SA",Mejorar a empleabilidad de las personas desempleadas,"6.942,63"
"LIBUKOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"153,46"
LIBURNIA-LAB SL,Mejorar a empleabilidad de las personas desempleadas,"1.969,08"
LICA AUXILIAR DEL MUEBLE SA,Mejorar a empleabilidad de las personas desempleadas,"563,27"
"LICA RENOVABLES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"136,91"
LICEMA SA,Mejorar a empleabilidad de las personas desempleadas,"483,98"
LICENCIADAS CARRION-CARRASCO CB,Mejorar a empleabilidad de las personas desempleadas,"283,32"
LICENCIADORES DE MARCAS REUNIDAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.479,92"
LICENCIADOS VILLANUEVA CB,Mejorar a empleabilidad de las personas desempleadas,"219,98"
"LICENCIAS Y PROCESOS DE CONSTRUCCION,S.A.",Mejorar a empleabilidad de las personas desempleadas,"994,45"
"LICENSING CONSULTANTS, SA",Mejorar a empleabilidad de las personas desempleadas,"1.612,08"
"LICENSING PROJECTS, SL",Mejorar a empleabilidad de las personas desempleadas,"698,80"
"LICEO CENTRO DEPORTIVO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.345,74"
LICEO CORBI SL,Mejorar a empleabilidad de las personas desempleadas,"118,05"
LICEO DE ARTESANOS DE MONELOS SOCIEDAD RECREATIVA E INS,Mejorar a empleabilidad de las personas desempleadas,"2.855,41"
LICEO DE JUEGOS SA,Mejorar a empleabilidad de las personas desempleadas,"1.706,67"
LICEO EGARA SA,Mejorar a empleabilidad de las personas desempleadas,"1.791,55"
LICEO GRAFICO SL,Mejorar a empleabilidad de las personas desempleadas,"670,51"
LICEO INTERNACIONAL AGARIMO SL,Mejorar a empleabilidad de las personas desempleadas,"354,15"
LICEO PALCAM SL,Mejorar a empleabilidad de las personas desempleadas,"1.983,24"
LICEO POLITECNICO SL,Mejorar a empleabilidad de las personas desempleadas,"1.760,21"
LICITA CANAL DE NEGOCIO SL,Mejorar a empleabilidad de las personas desempleadas,"679,92"
"LICITEC, ESTUDIOS Y PROYECTOS, SL",Mejorar a empleabilidad de las personas desempleadas,"1.266,73"
LICOINTER SL,Mejorar a empleabilidad de las personas desempleadas,"1.114,37"
LICON SERVICIOS INTEGRALES SL,Mejorar a empleabilidad de las personas desempleadas,"1.031,32"
LICONSUR SL,Mejorar a empleabilidad de las personas desempleadas,"3.886,25"
LICONVI SL,Mejorar a empleabilidad de las personas desempleadas,"785,08"
LICORERIA BELMONTE SL,Mejorar a empleabilidad de las personas desempleadas,"100,00"
LICORERIA CUEVAS MARBELLA SL,Mejorar a empleabilidad de las personas desempleadas,"224,26"
"LICORES ALMENDRALEJO, SL",Mejorar a empleabilidad de las personas desempleadas,"1.676,66"
LICORES ALVAREZ SL,Mejorar a empleabilidad de las personas desempleadas,"533,30"
LICORES FIGUEROLA SA,Mejorar a empleabilidad de las personas desempleadas,"4.924,81"
LICORES LLUVA SL,Mejorar a empleabilidad de las personas desempleadas,"1.786,48"
LICORES PAMI 2002 SL,Mejorar a empleabilidad de las personas desempleadas,"845,21"
LICORES PINTO SL,Mejorar a empleabilidad de las personas desempleadas,"345,27"
LICORES SANCHO SL,Mejorar a empleabilidad de las personas desempleadas,"153,32"
LICORES SINC SA,Mejorar a empleabilidad de las personas desempleadas,"1.102,17"
LICORES Y ORUJOS DE POTES SL,Mejorar a empleabilidad de las personas desempleadas,"1.833,39"
LICORS JANE SL,Mejorar a empleabilidad de las personas desempleadas,"2.159,30"
"LICOSTA, SL (EN CONSTITUCION)",Mejorar a empleabilidad de las personas desempleadas,"5.411,57"
"LICOTRANSA, SL",Mejorar a empleabilidad de las personas desempleadas,"333,35"
LICOVINIS SL,Mejorar a empleabilidad de las personas desempleadas,"593,58"
LICUAS SA,Mejorar a empleabilidad de las personas desempleadas,"398,99"
LICUSAN GESTION SL,Mejorar a empleabilidad de las personas desempleadas,"2.459,49"
LID EDITORIAL EMPRESARIAL SL,Mejorar a empleabilidad de las personas desempleadas,"120,39"
LID MARKETING SL,Mejorar a empleabilidad de las personas desempleadas,"554,81"
LIDECO SERV INTEGRALES SL,Mejorar a empleabilidad de las personas desempleadas,"1.682,73"
LIDELSUR SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00"
LIDER 2000 SL,Mejorar a empleabilidad de las personas desempleadas,"160,00"
LIDER ALIMENT SA,Mejorar a empleabilidad de las personas desempleadas,"85.243,71"
"LIDER BIENSTAR, SL",Mejorar a empleabilidad de las personas desempleadas,"659,74"
LIDER CAFETERIA RESTAURANTE SL,Mejorar a empleabilidad de las personas desempleadas,"2.249,93"
LIDER DENTAL SA,Mejorar a empleabilidad de las personas desempleadas,"759,94"
LIDER ENCUADERNACINN Y MANIPULADO SL,Mejorar a empleabilidad de las personas desempleadas,"118,03"
LIDER ENERGYES SUN S.L.,Mejorar a empleabilidad de las personas desempleadas,"700,00"
LIDER EQUIPAMIENTO DEPORTIVO SL,Mejorar a empleabilidad de las personas desempleadas,"613,22"
"LIDER ESTUDIO DE COCINA Y BANO, SL",Mejorar a empleabilidad de las personas desempleadas,"3.370,00"
"LIDER IMPORTACIONS ESPORTIVES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.791,92"
LIDER INMOBILIARIO DE LA SIERRA S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.049,95"
LIDER INTEGRATED TECHNOLOGY,Mejorar a empleabilidad de las personas desempleadas,"493,33"
LIDER MOBILIARIO Y MAMPARAS SL,Mejorar a empleabilidad de las personas desempleadas,"853,28"
LIDER WASH SL,Mejorar a empleabilidad de las personas desempleadas,"1.133,39"
LIDER XXI SERVICIOS DE LIMPIEZA Y,Mejorar a empleabilidad de las personas desempleadas,"3.908,94"
LIDERA INTEL CANARIAS SL UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"1.496,51"
LIDERA NETWORK SL,Mejorar a empleabilidad de las personas desempleadas,"1.124,44"
"LIDERAUTO MOTORS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.204,11"
LIDERAZGO EMPRESARIAL SL,Mejorar a empleabilidad de las personas desempleadas,"765,01"
"LIDERAZGO Y COACHING, S.L.",Mejorar a empleabilidad de las personas desempleadas,"553,33"
LIDERCAR DOS MIL SA,Mejorar a empleabilidad de las personas desempleadas,"33,30"
LIDERFINCAS HOGARES S.L.,Mejorar a empleabilidad de las personas desempleadas,"344,72"
LIDERING SA,Mejorar a empleabilidad de las personas desempleadas,"3.584,15"
LIDERLAB EMPRESA DE TRABAJO TEMPORAL SL,Mejorar a empleabilidad de las personas desempleadas,"78,01"
LIDERMADER S.L.,Mejorar a empleabilidad de las personas desempleadas,"329,97"
LIDERMOL SL,Mejorar a empleabilidad de las personas desempleadas,"840,00"
LIDERNET SA,Mejorar a empleabilidad de las personas desempleadas,"828,93"
"LIDEROU, SL",Mejorar a empleabilidad de las personas desempleadas,"1.028,41"
"LIDERSAT, SA",Mejorar a empleabilidad de las personas desempleadas,"3.426,64"
LIDERTRANS SERVICIOS AUXILIARES SL,Mejorar a empleabilidad de las personas desempleadas,"2.963,00"
"LIDERVET, SL",Mejorar a empleabilidad de las personas desempleadas,"1.309,89"
"LIDI JUAN, SL",Mejorar a empleabilidad de las personas desempleadas,"1.388,97"
LIDIA HOGAR Y REGALOS SL,Mejorar a empleabilidad de las personas desempleadas,"600,00"
"LIDIA SOL 2006, S.L.",Mejorar a empleabilidad de las personas desempleadas,"815,44"
"LIDIEN HOUSE ENTERTAIMENT, SL",Mejorar a empleabilidad de las personas desempleadas,"2.692,97"
LIDIZA SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,31"
LIDL SUPERMERCADOS SA,Mejorar a empleabilidad de las personas desempleadas,"539.958,76"
"LIDOR SERVICIOS EMPRESARIALES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.407,32"
"LIDRO ESTRUCTURAS Y CONSTRUCCION, SL",Mejorar a empleabilidad de las personas desempleadas,"1.609,99"
"LIENZO BELMONTE 2006, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.448,30"
LIENZO DE LOS GAZULES SA,Mejorar a empleabilidad de las personas desempleadas,"210,00"
"LIENZO LAS ROZAS, SL",Mejorar a empleabilidad de las personas desempleadas,"2.604,16"
"LIENZOS MOIA, SL",Mejorar a empleabilidad de las personas desempleadas,"533,22"
LIFAN SA,Mejorar a empleabilidad de las personas desempleadas,"563,65"
LIFE HOTELS MEDITERRANEAN S.L.,Mejorar a empleabilidad de las personas desempleadas,"760,00"
"LIFE LINE ENTERTAINMENT, SL",Mejorar a empleabilidad de las personas desempleadas,"266,74"
"LIFE PORTS, SL",Mejorar a empleabilidad de las personas desempleadas,"1.700,00"
LIFE SPORT ACADEMY S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.039,02"
"LIFE STYLE CARS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"434,42"
"LIFECOLOR NASTA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.409,51"
LIFER 2006 ASSESSORAMENT I GESTIO SL,Mejorar a empleabilidad de las personas desempleadas,"1.866,60"
LIFER PROMOTORES Y ESTUDIOS,Mejorar a empleabilidad de las personas desempleadas,"17.074,54"
"LIFERAY, S.L.",Mejorar a empleabilidad de las personas desempleadas,"122,17"
LIFOC XXI SL,Mejorar a empleabilidad de las personas desempleadas,"1.754,14"
LIFOPIR SA,Mejorar a empleabilidad de las personas desempleadas,"564,83"
"LIFRA, SL",Mejorar a empleabilidad de las personas desempleadas,"502,11"
LIFTPARTS ANDALUCIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.117,78"
LIFTPARTS SL,Mejorar a empleabilidad de las personas desempleadas,"663,33"
LIGA ESPAÑOLA DE LA EDUCACION Y,Mejorar a empleabilidad de las personas desempleadas,"2.171,87"
LIGA MALAGUEÑA DE LA EDUCACIÓN Y LA,Mejorar a empleabilidad de las personas desempleadas,"138.684,71"
LIGA NACIONAL DE FUTBOL SALA,Mejorar a empleabilidad de las personas desempleadas,"351,76"
LIGEPLAS SL,Mejorar a empleabilidad de las personas desempleadas,"4.190,80"
"LIGERA SHOES, SL",Mejorar a empleabilidad de las personas desempleadas,"700,00"
"LIGERAS INVERSIONES Y MAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"19,98"
LIGHT ACTION S.L.,Mejorar a empleabilidad de las personas desempleadas,"568,88"
LIGHT PRESCRIPTIONS INNOVATORS-,Mejorar a empleabilidad de las personas desempleadas,"770,13"
"LIGHT WINDOWS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"666,70"
LIGHTING INVESTMENTS SL,Mejorar a empleabilidad de las personas desempleadas,"619,88"
"LIGHTLED, SA",Mejorar a empleabilidad de las personas desempleadas,"879,92"
"LIGHTNING MACHINING GROUP,S.L (EMPRESA",Mejorar a empleabilidad de las personas desempleadas,"481,62"
"LIGHTSOUND BUSINES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.853,64"
LIGJA SA,Mejorar a empleabilidad de las personas desempleadas,"849,96"
LIGNITOS DE MEIRAMA SA,Mejorar a empleabilidad de las personas desempleadas,"773,32"
LIGNITOS SA,Mejorar a empleabilidad de las personas desempleadas,"883,25"
LIGNUM SL,Mejorar a empleabilidad de las personas desempleadas,"1.266,64"
LIGNUM STORES SL,Mejorar a empleabilidad de las personas desempleadas,"1.666,67"
