"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO",,
"FERNANDEZ VINA ASESORES SL UNIPERSONAL","Mejorar la empleabilidad delas personas desempleadas","1274,94",,
"FERNANDEZ VINAL SL","Mejorar la empleabilidad delas personas desempleadas",800,,
"FERNANDEZ Y ANTOLIN ASESORES, S.R.L.","Mejorar la empleabilidad delas personas desempleadas","858,77",,
"FERNANDEZ Y ARIENZA SL","Mejorar la empleabilidad delas personas desempleadas","1045,16",,
"FERNANDEZ Y CANTALEJO SL","Mejorar la empleabilidad delas personas desempleadas","672,87",,
"FERNANDEZ Y COMESANA, S.L.","Mejorar la empleabilidad delas personas desempleadas","8,88",,
"FERNANDEZ Y CUERVO ASESORES, SL","Mejorar la empleabilidad delas personas desempleadas","1345,77",,
"FERNANDEZ Y DEL POZO SL","Mejorar la empleabilidad delas personas desempleadas","1573,16",,
"FERNANDEZ Y GABILONDO CONSULTING SL","Mejorar la empleabilidad delas personas desempleadas","566,64",,
"FERNANDEZ Y HERNANDEZ, INGENIERIOS, S.L.L.","Mejorar la empleabilidad delas personas desempleadas","76,13",,
"FERNANDEZ Y LAZARO SL","Mejorar la empleabilidad delas personas desempleadas","644,96",,
"FERNANDEZ Y MATEO ASESORES SL","Mejorar la empleabilidad delas personas desempleadas","1578,19",,
"FERNANDEZ Y MORALES, COM.B.","Mejorar la empleabilidad delas personas desempleadas","29,97",,
"FERNANDEZ Y ROBLES SL","Mejorar la empleabilidad delas personas desempleadas","1274,94",,
"FERNANDEZ Y SIMON ABOGADOS, SL","Mejorar la empleabilidad delas personas desempleadas","154,03",,
"FERNANDEZ Y TERZADO ASOCIADOS, SL","Mejorar la empleabilidad delas personas desempleadas","843,29",,
"FERNANDEZ Y TOTH ASESORES, S.L.","Mejorar la empleabilidad delas personas desempleadas","424,98",,
"FERNANDEZ-ARTELL SL","Mejorar la empleabilidad delas personas desempleadas","1266,73",,
"FERNANDEZ-BLANCO CARPAL, S.L.","Mejorar la empleabilidad delas personas desempleadas","1133,39",,
"FERNANDEZ-GONZALO, CB","Mejorar la empleabilidad delas personas desempleadas","31,08",,
"FERNANDEZ-PACHEGO INGENIEROS, SL","Mejorar la empleabilidad delas personas desempleadas","695,56",,
"FERNANDEZ-T. FONTAN, FEDERICO;ZAPICO GARCIA, MNINM.;C.B","Mejorar la empleabilidad delas personas desempleadas","845,15",,
"FERNANDEZ-VICENS, S.L.","Mejorar la empleabilidad delas personas desempleadas","2247,47",,
"FERNANDO ALDA. FOTOGRAFIA SL","Mejorar la empleabilidad delas personas desempleadas","838,07",,
"FERNANDO BARO PAZOS, SL","Mejorar la empleabilidad delas personas desempleadas","526,64",,
"FERNANDO BECEDAS SL","Mejorar la empleabilidad delas personas desempleadas","942,26",,
"FERNANDO BOBO Y ASOCIADOS ABOGADOS S.L.","Mejorar la empleabilidad delas personas desempleadas","923,31",,
"FERNANDO BUIL SA","Mejorar la empleabilidad delas personas desempleadas","358,87",,
"FERNANDO CABALLERO CONSTRUCCION S.L.","Mejorar la empleabilidad delas personas desempleadas","5078,33",,
"FERNANDO CAMPO PINTOR Y OSCAR GARCIA BALDEON CB","Mejorar la empleabilidad delas personas desempleadas","464,47",,
"FERNANDO CARMELO SACONA SL","Mejorar la empleabilidad delas personas desempleadas","1274,94",,
"FERNANDO CARRASCO RAMOS Y OTROS CB","Mejorar la empleabilidad delas personas desempleadas","679,92",,
"FERNANDO CHAS SL","Mejorar la empleabilidad delas personas desempleadas","625,64",,
"FERNANDO CORRAL E HIJOS SL","Mejorar la empleabilidad delas personas desempleadas",400,,
"FERNANDO DE LA FUENTE CONSULTORES SL","Mejorar la empleabilidad delas personas desempleadas","918,97",,
"FERNANDO DE LUNA GRANERO SA","Mejorar la empleabilidad delas personas desempleadas","495,81",,
"FERNANDO DURAN SA","Mejorar la empleabilidad delas personas desempleadas","1283,15",,
"FERNANDO EXPOSITO SEGOVIA Y OTRO CB","Mejorar la empleabilidad delas personas desempleadas",500,,
"FERNANDO FENOLLOSA MATEU SL","Mejorar la empleabilidad delas personas desempleadas","286,58",,
"FERNANDO GARCIA CONCHA Y MARIA CONCEPCION CORO, COM. B.","Mejorar la empleabilidad delas personas desempleadas","531,21",,
"FERNANDO GARCIA PAVIMENTOS, SL","Mejorar la empleabilidad delas personas desempleadas","1991,85",,
"FERNANDO GARCIA SANCHEZ SA","Mejorar la empleabilidad delas personas desempleadas","4596,19",,
"FERNANDO GIL SA","Mejorar la empleabilidad delas personas desempleadas","2098,21",,
"FERNANDO GRACIA SA","Mejorar la empleabilidad delas personas desempleadas","866,71",,
"FERNANDO GUTIERREZ MORENO SL","Mejorar la empleabilidad delas personas desempleadas","810,35",,
"FERNANDO HEREDIA DE ARTEAGA Y ASESORES SL","Mejorar la empleabilidad delas personas desempleadas","1100,06",,
"FERNANDO HERNANDEZ HERNANDEZ, SL","Mejorar la empleabilidad delas personas desempleadas","708,22",,
"FERNANDO HERRNAN MARTIN, FCO. JAVIER HERNAN MARTIN, C.B","Mejorar la empleabilidad delas personas desempleadas","600,03",,
"FERNANDO JAVIER SOTO CAMPOS SL","Mejorar la empleabilidad delas personas desempleadas","94,42",,
"FERNANDO LLAMOSAS COCINEROS SL","Mejorar la empleabilidad delas personas desempleadas","103,88",,
"FERNANDO LOPEZ INSTALACIONES,S.L.","Mejorar la empleabilidad delas personas desempleadas","995,54",,
"FERNANDO LUDENA Y OTRO CB","Mejorar la empleabilidad delas personas desempleadas","1734,08",,
"FERNANDO MARCOS ANDREU SL","Mejorar la empleabilidad delas personas desempleadas","66,67",,
"FERNANDO MARIA METAL SL","Mejorar la empleabilidad delas personas desempleadas",1890,,
"FERNANDO MARTINEZ NARBAIZA SL","Mejorar la empleabilidad delas personas desempleadas",800,,
"FERNANDO MURCIA LEGAZ, SL","Mejorar la empleabilidad delas personas desempleadas",1200,,
"FERNANDO MUﾄOZ BACIGALUPE Y UNO","Mejorar la empleabilidad delas personas desempleadas","797,85",,
"FERNANDO MUﾄOZ VAL Y OTRO, CB","Mejorar la empleabilidad delas personas desempleadas","1419,11",,
