"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO",,
"FRUTAS BARQUIN SL","Mejorar la empleabilidad de las personas desempleadas","851,1",,
"FRUTAS BEAN SA","Mejorar la empleabilidad de las personas desempleadas","205,38",,
"FRUTAS BENITO, C.B.","Mejorar la empleabilidad de las personas desempleadas",1075,,
"FRUTAS BRIZ, SL","Mejorar la empleabilidad de las personas desempleadas","579,92",,
"FRUTAS BRUNED; SL","Mejorar la empleabilidad de las personas desempleadas","453,18",,
"FRUTAS CALABUIG SL","Mejorar la empleabilidad de las personas desempleadas","40,12",,
"FRUTAS CALVO SA","Mejorar la empleabilidad de las personas desempleadas","214,85",,
"FRUTAS CAMPANA SL","Mejorar la empleabilidad de las personas desempleadas","779,82",,
"FRUTAS CANDIL SL","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FRUTAS CARLOS SL","Mejorar la empleabilidad de las personas desempleadas","1035,28",,
"FRUTAS CARRUSEL SL","Mejorar la empleabilidad de las personas desempleadas","1277,67",,
"FRUTAS CASAL DORADO SL","Mejorar la empleabilidad de las personas desempleadas","27,5",,
"FRUTAS CAUDETE SL","Mejorar la empleabilidad de las personas desempleadas","849,81",,
"FRUTAS CENI SL","Mejorar la empleabilidad de las personas desempleadas","946,63",,
"FRUTAS CERDAN SA","Mejorar la empleabilidad de las personas desempleadas","1071,89",,
"FRUTAS CEYBRIL SL","Mejorar la empleabilidad de las personas desempleadas","330,52",,
"FRUTAS CHAMPI SL","Mejorar la empleabilidad de las personas desempleadas","1130,89",,
"FRUTAS CONFRUVAL SL","Mejorar la empleabilidad de las personas desempleadas","2137,37",,
"FRUTAS COVARSI SL","Mejorar la empleabilidad de las personas desempleadas",500,,
"FRUTAS CRIFEMAR SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas","1459,94",,
"FRUTAS DE ALHAMA S L","Mejorar la empleabilidad de las personas desempleadas","99,48",,
"FRUTAS DE LOS MOZOS, SL","Mejorar la empleabilidad de las personas desempleadas","1266,73",,
"FRUTAS DEL CENTRO SL","Mejorar la empleabilidad de las personas desempleadas","736,63",,
"FRUTAS DEL GUADALENTIN SL","Mejorar la empleabilidad de las personas desempleadas","288,81",,
"FRUTAS DELVA SL","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FRUTAS DIEZ GARCIA SL","Mejorar la empleabilidad de las personas desempleadas","146,35",,
"FRUTAS DRACMA SA","Mejorar la empleabilidad de las personas desempleadas","620,68",,
"FRUTAS DRAGO SL","Mejorar la empleabilidad de las personas desempleadas","141,66",,
"FRUTAS DURANET SL","Mejorar la empleabilidad de las personas desempleadas","1753,28",,
"FRUTAS E SANCHEZ SL","Mejorar la empleabilidad de las personas desempleadas","1786,58",,
"FRUTAS EL CIPRI, SL","Mejorar la empleabilidad de las personas desempleadas","1343,41",,
"FRUTAS EL DULZE SL","Mejorar la empleabilidad de las personas desempleadas","641,92",,
"FRUTAS EL FRANCES SL","Mejorar la empleabilidad de las personas desempleadas","1431,98",,
"FRUTAS EL JOTA ALMANSA SL","Mejorar la empleabilidad de las personas desempleadas","4139,86",,
"FRUTAS EL PASO, S.L.","Mejorar la empleabilidad de las personas desempleadas","43,29",,
"FRUTAS EL ROLLON SL","Mejorar la empleabilidad de las personas desempleadas","533,36",,
"FRUTAS EL SURTIDO, S.L.","Mejorar la empleabilidad de las personas desempleadas","2837,92",,
"FRUTAS EL TESORO SL","Mejorar la empleabilidad de las personas desempleadas","938,78",,
"FRUTAS EL TORO S.L.","Mejorar la empleabilidad de las personas desempleadas","1255,6",,
"FRUTAS EL TRIBUNAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","1404,47",,
"FRUTAS ELOY RUANO SL","Mejorar la empleabilidad de las personas desempleadas","1412,7",,
"FRUTAS ERRUZ SL","Mejorar la empleabilidad de las personas desempleadas","136,91",,
"FRUTAS ESCANDELL SA","Mejorar la empleabilidad de las personas desempleadas",900,,
"FRUTAS ESCOBAR SL(UNIPERSONAL)","Mejorar la empleabilidad de las personas desempleadas","159,84",,
"FRUTAS ESCORIAL SL","Mejorar la empleabilidad de las personas desempleadas","1421,6",,
"FRUTAS ESTHER SA","Mejorar la empleabilidad de las personas desempleadas","6065,58",,
"FRUTAS FAUSTINO,S.L.","Mejorar la empleabilidad de las personas desempleadas","1155,52",,
"FRUTAS FEGRAN SL","Mejorar la empleabilidad de las personas desempleadas","1276,59",,
"FRUTAS FERNANDEZ SL","Mejorar la empleabilidad de las personas desempleadas","26,64",,
"FRUTAS FIESTA SL","Mejorar la empleabilidad de las personas desempleadas","65,1",,
"FRUTAS FLIX SL","Mejorar la empleabilidad de las personas desempleadas","963,43",,
"FRUTAS FORMAL SL","Mejorar la empleabilidad de las personas desempleadas","4654,66",,
"FRUTAS FRAJOMEL SL","Mejorar la empleabilidad de las personas desempleadas","212,49",,
"FRUTAS FRANCH SA","Mejorar la empleabilidad de las personas desempleadas","9024,56",,
"FRUTAS FRUCAL SLL","Mejorar la empleabilidad de las personas desempleadas",400,,
"FRUTAS FUSTER SL","Mejorar la empleabilidad de las personas desempleadas","696,02",,
"FRUTAS GALAPAGAR,S.L.","Mejorar la empleabilidad de las personas desempleadas","597,63",,
"FRUTAS GALLEGO E HIJOS, SL","Mejorar la empleabilidad de las personas desempleadas","316,55",,
"FRUTAS GALLEGO RAMOS, SL","Mejorar la empleabilidad de las personas desempleadas","772,02",,
"FRUTAS GAMERO SL","Mejorar la empleabilidad de las personas desempleadas","506,56",,
"FRUTAS GARCES S.L.","Mejorar la empleabilidad de las personas desempleadas","2914,12",,
"FRUTAS GARRALON IMPORT EXPORT SA","Mejorar la empleabilidad de las personas desempleadas","1055,34",,
"FRUTAS GRAGON SL","Mejorar la empleabilidad de las personas desempleadas","803,33",,
"FRUTAS GRAJUMA, S.L.","Mejorar la empleabilidad de las personas desempleadas","563,33",,
"FRUTAS HEREDIA SL","Mejorar la empleabilidad de las personas desempleadas","987,68",,
"FRUTAS HERMANOS AGUILAR SL","Mejorar la empleabilidad de las personas desempleadas","88,68",,
"FRUTAS HERMANOS ALCARAZ SL","Mejorar la empleabilidad de las personas desempleadas","118,65",,
"FRUTAS HERMANOS ALVAREZ S.L.U.","Mejorar la empleabilidad de las personas desempleadas","351,82",,
"FRUTAS HERMANOS BARRERO SL","Mejorar la empleabilidad de las personas desempleadas","344,68",,
"FRUTAS HERMANOS CAMPOS SL","Mejorar la empleabilidad de las personas desempleadas",600,,
"FRUTAS HERMANOS L.SANCHEZ VILASECA SL","Mejorar la empleabilidad de las personas desempleadas","1274,85",,
"FRUTAS HERMANOS LOPEZ DE LUCAS SL","Mejorar la empleabilidad de las personas desempleadas","1104,93",,
"FRUTAS HERMANOS MARTINEZ SA","Mejorar la empleabilidad de las personas desempleadas","86,58",,
"FRUTAS HERMANOS PASTOR, CB","Mejorar la empleabilidad de las personas desempleadas",1300,,
"FRUTAS HERMANOS RODRIGUEZ, SL","Mejorar la empleabilidad de las personas desempleadas","1099,9",,
"FRUTAS HERMANOS SORIA GONZALEZ, S.L.","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FRUTAS HERMANOS URIARTE, SL","Mejorar la empleabilidad de las personas desempleadas","364,3",,
"FRUTAS HERMANOS VELASCO SL","Mejorar la empleabilidad de las personas desempleadas","760,01",,
"FRUTAS HERNANDEZ ARROYO, SL","Mejorar la empleabilidad de las personas desempleadas","402,05",,
"FRUTAS HIJO DE ANTONIO HERNANDEZ SL","Mejorar la empleabilidad de las personas desempleadas","2742,67",,
"FRUTAS HNOS ESPAX SL","Mejorar la empleabilidad de las personas desempleadas","519,85",,
"FRUTAS HNOS. BANDERA SL","Mejorar la empleabilidad de las personas desempleadas","637,5",,
"FRUTAS IFACH SL","Mejorar la empleabilidad de las personas desempleadas","3613,05",,
"FRUTAS IGNACIO SL","Mejorar la empleabilidad de las personas desempleadas","3134,31",,
"FRUTAS ISLAS ESTALAYO SL","Mejorar la empleabilidad de las personas desempleadas","336,53",,
"FRUTAS IZAGUERRI SA","Mejorar la empleabilidad de las personas desempleadas","69,93",,
"FRUTAS J MUﾄOZ SA","Mejorar la empleabilidad de las personas desempleadas","469,93",,
"FRUTAS J. BERENGUER E HIJOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1237,8",,
"FRUTAS JAVIER MARTIN SL","Mejorar la empleabilidad de las personas desempleadas","573,36",,
"FRUTAS JESSICA SL","Mejorar la empleabilidad de las personas desempleadas","292,76",,
"FRUTAS JORROFI SA","Mejorar la empleabilidad de las personas desempleadas","415,51",,
"FRUTAS JUANITO SL","Mejorar la empleabilidad de las personas desempleadas","1197,69",,
"FRUTAS KATUXA SL","Mejorar la empleabilidad de las personas desempleadas","1196,57",,
"FRUTAS KIKO SA","Mejorar la empleabilidad de las personas desempleadas","977,71",,
"FRUTAS KURSAAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","139,3",,
"FRUTAS LA CATEDRAL SL","Mejorar la empleabilidad de las personas desempleadas","1056,51",,
"FRUTAS LA MIKA SL","Mejorar la empleabilidad de las personas desempleadas","1274,94",,
"FRUTAS LAS BRENAS S.L.","Mejorar la empleabilidad de las personas desempleadas",300,,
"FRUTAS LAS LEANDRAS SL","Mejorar la empleabilidad de las personas desempleadas","460,09",,
"FRUTAS LAUROK SLL","Mejorar la empleabilidad de las personas desempleadas","717,76",,
"FRUTAS LERIDANAS SA","Mejorar la empleabilidad de las personas desempleadas","583,25",,
"FRUTAS LOAR SL","Mejorar la empleabilidad de las personas desempleadas","1556,83",,
"FRUTAS LOS CAZADORES SL","Mejorar la empleabilidad de las personas desempleadas","14,16",,
"FRUTAS LOS CHICOS SCL","Mejorar la empleabilidad de las personas desempleadas","264,41",,
"FRUTAS LOS MONEGROS SL","Mejorar la empleabilidad de las personas desempleadas",100,,
"FRUTAS MALAVA SA","Mejorar la empleabilidad de las personas desempleadas","340,36",,
"FRUTAS MANUEL GOMEZ SL","Mejorar la empleabilidad de las personas desempleadas","126,64",,
"FRUTAS MANUEL PUNTAS E HIJOS GUILLENA EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","1620,47",,
"FRUTAS MARI NIEVES, SL","Mejorar la empleabilidad de las personas desempleadas","826,34",,
"FRUTAS MARIPI SL","Mejorar la empleabilidad de las personas desempleadas",1690,,
"FRUTAS MARY LUZ SL","Mejorar la empleabilidad de las personas desempleadas","1066,6",,
"FRUTAS MAVAZ S.L","Mejorar la empleabilidad de las personas desempleadas","486,34",,
"FRUTAS MERCEDES SL","Mejorar la empleabilidad de las personas desempleadas","66,67",,
"FRUTAS MIGUEL DIAZ, S.L.U.","Mejorar la empleabilidad de las personas desempleadas","351,79",,
"FRUTAS MIMADAS SL","Mejorar la empleabilidad de las personas desempleadas","1688,48",,
"FRUTAS MINO,S.A.","Mejorar la empleabilidad de las personas desempleadas","1891,11",,
"FRUTAS MIRA HERMANOS S.L.","Mejorar la empleabilidad de las personas desempleadas","1332,61",,
"FRUTAS MOLINO RAMOS SL","Mejorar la empleabilidad de las personas desempleadas","525,37",,
"FRUTAS MOLLA FAYOS SL","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FRUTAS MONGE SA","Mejorar la empleabilidad de las personas desempleadas","347,04",,
"FRUTAS MONTERO SALGADO SA","Mejorar la empleabilidad de las personas desempleadas","733,2",,
"FRUTAS MORA ESPARTINAS SL","Mejorar la empleabilidad de las personas desempleadas","1698,49",,
"FRUTAS MOZUN SL","Mejorar la empleabilidad de las personas desempleadas","577,17",,
"FRUTAS NARCEA SL","Mejorar la empleabilidad de las personas desempleadas","842,23",,
"FRUTAS NINO SUR SL","Mejorar la empleabilidad de las personas desempleadas","230,14",,
"FRUTAS NOMAR SL","Mejorar la empleabilidad de las personas desempleadas","5880,81",,
"FRUTAS OLIVAR SA","Mejorar la empleabilidad de las personas desempleadas","2294,64",,
"FRUTAS OLMOS, SL","Mejorar la empleabilidad de las personas desempleadas","73,33",,
"FRUTAS ORTS SL","Mejorar la empleabilidad de las personas desempleadas","198,27",,
"FRUTAS OVALLE CB","Mejorar la empleabilidad de las personas desempleadas","1116,7",,
"FRUTAS PABLO CATALA SA","Mejorar la empleabilidad de las personas desempleadas","149,95",,
"FRUTAS PASCUAL SL","Mejorar la empleabilidad de las personas desempleadas","389,61",,
"FRUTAS PATRICRIS SL","Mejorar la empleabilidad de las personas desempleadas","375,53",,
"FRUTAS PEREZ SANTANA SL","Mejorar la empleabilidad de las personas desempleadas","1383,33",,
"FRUTAS POZO SL","Mejorar la empleabilidad de las personas desempleadas","28,88",,
"FRUTAS PUCHE LOPEZ, SL","Mejorar la empleabilidad de las personas desempleadas","311,63",,
"FRUTAS PUCHE SL","Mejorar la empleabilidad de las personas desempleadas","902,46",,
"FRUTAS PULIDO CB","Mejorar la empleabilidad de las personas desempleadas","2432,3",,
"FRUTAS RADA SA","Mejorar la empleabilidad de las personas desempleadas","363,27",,
"FRUTAS RAFAEL MANZANO E HIJOS SL","Mejorar la empleabilidad de las personas desempleadas","1777,28",,
"FRUTAS RAQUEL SL","Mejorar la empleabilidad de las personas desempleadas","2248,6",,
"FRUTAS RAUSELL SL","Mejorar la empleabilidad de las personas desempleadas","412,16",,
"FRUTAS RODRIGUEZ Y GOMEZ, SL","Mejorar la empleabilidad de las personas desempleadas","1896,37",,
"FRUTAS ROMU SA","Mejorar la empleabilidad de las personas desempleadas","1485,91",,
"FRUTAS ROS Y TORRES SL","Mejorar la empleabilidad de las personas desempleadas","13982,61",,
"FRUTAS ROSI SL","Mejorar la empleabilidad de las personas desempleadas","1503,33",,
"FRUTAS ROURA, SA","Mejorar la empleabilidad de las personas desempleadas","5925,41",,
"FRUTAS ROVI SL","Mejorar la empleabilidad de las personas desempleadas","1156,88",,
"FRUTAS ROYECLA, S.L.","Mejorar la empleabilidad de las personas desempleadas","1204,11",,
"FRUTAS SAN NICOLAS GUILLENA SL","Mejorar la empleabilidad de las personas desempleadas","1373,9",,
"FRUTAS SANABRIA SL","Mejorar la empleabilidad de las personas desempleadas","931,09",,
"FRUTAS SANTACATALINA, S.L.","Mejorar la empleabilidad de las personas desempleadas","1086,58",,
"FRUTAS SANZ E HIJOS SL","Mejorar la empleabilidad de las personas desempleadas","2218,86",,
"FRUTAS SERAFIN SL","Mejorar la empleabilidad de las personas desempleadas","551,12",,
"FRUTAS SERAL SL","Mejorar la empleabilidad de las personas desempleadas",600,,
"FRUTAS SEVERA SA","Mejorar la empleabilidad de las personas desempleadas","4263,5",,
"FRUTAS SORLI SL","Mejorar la empleabilidad de las personas desempleadas",2021,,
"FRUTAS SUSAGNA SA","Mejorar la empleabilidad de las personas desempleadas","996,94",,
"FRUTAS TABARES SL","Mejorar la empleabilidad de las personas desempleadas","3298,08",,
"FRUTAS TABERNER SL","Mejorar la empleabilidad de las personas desempleadas","2114,72",,
"FRUTAS TARDAGUILA CB","Mejorar la empleabilidad de las personas desempleadas","991,62",,
"FRUTAS TARRAGONA SA","Mejorar la empleabilidad de las personas desempleadas","3493,15",,
"FRUTAS THOKE, S.L","Mejorar la empleabilidad de las personas desempleadas","109,99",,
"FRUTAS TODO AGRICOLA SL","Mejorar la empleabilidad de las personas desempleadas","1856,67",,
"FRUTAS TONO SL","Mejorar la empleabilidad de las personas desempleadas","745,92",,
"FRUTAS TRAIN E HIJOS SL","Mejorar la empleabilidad de las personas desempleadas","195,94",,
"FRUTAS TXIKI CANTABRIA SL EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","1432,3",,
"FRUTAS TXIKI SA","Mejorar la empleabilidad de las personas desempleadas",60,,
"FRUTAS UCHA, SL","Mejorar la empleabilidad de las personas desempleadas","719,92",,
"FRUTAS VELETA SL","Mejorar la empleabilidad de las personas desempleadas","512,82",,
"FRUTAS VERGARA, S.L.","Mejorar la empleabilidad de las personas desempleadas","415,56",,
"FRUTAS VICENTE BETANCORT SL","Mejorar la empleabilidad de las personas desempleadas","1138,72",,
"FRUTAS VICENTE TAMARIT XXI, SL","Mejorar la empleabilidad de las personas desempleadas","1615,46",,
"FRUTAS VILLALENGUA SL","Mejorar la empleabilidad de las personas desempleadas","189,91",,
"FRUTAS Y CITRICOS VEGAMUR SL","Mejorar la empleabilidad de las personas desempleadas","2138,89",,
"FRUTAS Y CONSERVAS DEL MEDITERRANEO,S.A.","Mejorar la empleabilidad de las personas desempleadas",1500,,
"FRUTAS Y CONSERVAS DEL SOL SL EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","1089,38",,
"FRUTAS Y HORTALIZAS AMOR BAUTISTA SA","Mejorar la empleabilidad de las personas desempleadas","1083,15",,
"FRUTAS Y HORTALIZAS DEL NORTE SL","Mejorar la empleabilidad de las personas desempleadas","1164,08",,
"FRUTAS Y HORTALIZAS PRODIS, S.L.","Mejorar la empleabilidad de las personas desempleadas","883,25",,
"FRUTAS Y HORTALIZAS TOMAS SL","Mejorar la empleabilidad de las personas desempleadas","962,27",,
"FRUTAS Y PATATAS DE LEVANTE SL","Mejorar la empleabilidad de las personas desempleadas","1266,73",,
"FRUTAS Y PATATAS SA","Mejorar la empleabilidad de las personas desempleadas","916,66",,
"FRUTAS Y TURRONES SA","Mejorar la empleabilidad de las personas desempleadas","434,36",,
"FRUTAS Y VERDURAS ANTONIO, SL","Mejorar la empleabilidad de las personas desempleadas","875,86",,
"FRUTAS Y VERDURAS ARIMALAGA, SL","Mejorar la empleabilidad de las personas desempleadas","991,62",,
"FRUTAS Y VERDURAS CAPACES,S.L.","Mejorar la empleabilidad de las personas desempleadas","486,67",,
"FRUTAS Y VERDURAS CARMELO S.R.L.","Mejorar la empleabilidad de las personas desempleadas","1104,46",,
"FRUTAS Y VERDURAS DE BURGOS SL","Mejorar la empleabilidad de las personas desempleadas","1547,61",,
"FRUTAS Y VERDURAS GARNACHA SL","Mejorar la empleabilidad de las personas desempleadas","1546,96",,
"FRUTAS Y VERDURAS HERNANDEZ ROMERO S.L.","Mejorar la empleabilidad de las personas desempleadas","138,35",,
"FRUTAS Y VERDURAS HNOS.ORTIZ SL","Mejorar la empleabilidad de las personas desempleadas","1339,96",,
"FRUTAS Y VERDURAS JOSE Y MANUEL RODRIGUEZ SL","Mejorar la empleabilidad de las personas desempleadas","2590,04",,
"FRUTAS Y VERDURAS MAR-RU SL","Mejorar la empleabilidad de las personas desempleadas",2560,,
"FRUTAS Y VERDURAS MARTIN MARISCAL SL","Mejorar la empleabilidad de las personas desempleadas",1100,,
"FRUTAS Y VERDURAS MASSANASSA SL","Mejorar la empleabilidad de las personas desempleadas","86,58",,
"FRUTAS Y VERDURAS MONTENEGRO SL","Mejorar la empleabilidad de las personas desempleadas","793,33",,
"FRUTAS Y VERDURAS MOSTOLES SL","Mejorar la empleabilidad de las personas desempleadas",100,,
"FRUTAS Y VERDURAS NAVIO, SA","Mejorar la empleabilidad de las personas desempleadas","279,92",,
"FRUTAS Y VERDURAS ORGILES SL","Mejorar la empleabilidad de las personas desempleadas","593,24",,
"FRUTAS Y VERDURAS RODRIGUEZ HERNANDEZ S.L.","Mejorar la empleabilidad de las personas desempleadas","3133,26",,
"FRUTAS Y VERDURAS TRECE SL","Mejorar la empleabilidad de las personas desempleadas","239,96",,
"FRUTAS Y VERDURAS VABE, SL","Mejorar la empleabilidad de las personas desempleadas",400,,
"FRUTAS YANDOR, S.L.","Mejorar la empleabilidad de las personas desempleadas","2603,33",,
"FRUTAS, CITRICOS LA RUBIA, SL","Mejorar la empleabilidad de las personas desempleadas","118,05",,
"FRUTASY VERDURAS HERUIZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","1133,39",,
"FRUTEMAR-DISTRIBUCION LOGISTICA SL","Mejorar la empleabilidad de las personas desempleadas","155,47",,
"FRUTERIA AMAY SL","Mejorar la empleabilidad de las personas desempleadas","443,29",,
"FRUTERIA FRUTITONI S.L.","Mejorar la empleabilidad de las personas desempleadas","259,69",,
"FRUTERIA JUNTERONES, SL","Mejorar la empleabilidad de las personas desempleadas","212,49",,
"FRUTERIA LA HIGUERA SL","Mejorar la empleabilidad de las personas desempleadas","1899,9",,
"FRUTERIA PACO Y ANA, S.L.L.","Mejorar la empleabilidad de las personas desempleadas","889,76",,
"FRUTERIA, CHARCUTERIA Y BAZAR ROBERTO SL EN CONSTITUCIO","Mejorar la empleabilidad de las personas desempleadas","738,99",,
"FRUTERIAS DEL ALTO GALLEGO SL","Mejorar la empleabilidad de las personas desempleadas","3221,44",,
"FRUTERIAS EUROFRUTAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","9796,6",,
"FRUTERIAS MARVI, C.B.","Mejorar la empleabilidad de las personas desempleadas","273,9",,
"FRUTERIAS SELECTAS POZO SL","Mejorar la empleabilidad de las personas desempleadas",440,,
"FRUTEROS ASTURIANOS SA","Mejorar la empleabilidad de las personas desempleadas","2519,36",,
"FRUTESAL NATURA,S.L.","Mejorar la empleabilidad de las personas desempleadas","813,27",,
"FRUTICOLA CANADA, S. L.","Mejorar la empleabilidad de las personas desempleadas","7542,17",,
"FRUTINTER SL","Mejorar la empleabilidad de las personas desempleadas","3784,94",,
"FRUTOS ALAS FERNANDO GONZALEZ SABARIEGOS ESCRIBANO JOSE","Mejorar la empleabilidad de las personas desempleadas","637,42",,
"FRUTOS ASOCIADOS AUDITORES DE CUENTAS S.L.","Mejorar la empleabilidad de las personas desempleadas","1266,67",,
"FRUTOS DE BETERA SL","Mejorar la empleabilidad de las personas desempleadas","920,79",,
"FRUTOS FRANARO, S.L.","Mejorar la empleabilidad de las personas desempleadas","3467,88",,
"FRUTOS RAMOS ASESORES S.L.","Mejorar la empleabilidad de las personas desempleadas","1104,31",,
"FRUTOS SECOS ARGUAYO, S.L.","Mejorar la empleabilidad de las personas desempleadas","415,57",,
"FRUTOS SECOS DE LA VEGA SL","Mejorar la empleabilidad de las personas desempleadas","1928,07",,
"FRUTOS SECOS DEL MAESTRAZGO SA","Mejorar la empleabilidad de las personas desempleadas","2659,52",,
"FRUTOS SECOS EL LLANO SL","Mejorar la empleabilidad de las personas desempleadas","53,33",,
"FRUTOS SECOS EL RINCON SL","Mejorar la empleabilidad de las personas desempleadas","95524,41",,
"FRUTOS SECOS J M SA","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FRUTOS SECOS LOYZ MAR SL","Mejorar la empleabilidad de las personas desempleadas","959,95",,
"FRUTOS SECOS OLIVO 32 SL","Mejorar la empleabilidad de las personas desempleadas","1393,14",,
"FRUTOS SECOS ORTIZ SANZ SL","Mejorar la empleabilidad de las personas desempleadas","4906,31",,
"FRUTOS SECOS PUIG SA","Mejorar la empleabilidad de las personas desempleadas","909,89",,
"FRUTOS SECOS RAFALES SL","Mejorar la empleabilidad de las personas desempleadas","879,99",,
"FRUTOS SECOS SALES SL","Mejorar la empleabilidad de las personas desempleadas","988,88",,
"FRUTOS SECOS Y CARAMELOS SL","Mejorar la empleabilidad de las personas desempleadas","2044,42",,
"FRUTOS Y ESPINA, S.L.","Mejorar la empleabilidad de las personas desempleadas","559,6",,
"FRUTOSANJO SL","Mejorar la empleabilidad de las personas desempleadas","2123,96",,
"FRUVENCA SL","Mejorar la empleabilidad de las personas desempleadas","89,91",,
"FRUVER YOLI SL","Mejorar la empleabilidad de las personas desempleadas","434,42",,
"FRUVERGEL SL","Mejorar la empleabilidad de las personas desempleadas","713,36",,
"FRUVERNA SL","Mejorar la empleabilidad de las personas desempleadas","6111,38",,
"FRUVISA COMUNICACIONES SL","Mejorar la empleabilidad de las personas desempleadas","705,91",,
"FRUXERESA SL","Mejorar la empleabilidad de las personas desempleadas","10983,77",,
"FRUYPER SA","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FS GESTIONA VALLADOLID 2000, S.L.","Mejorar la empleabilidad de las personas desempleadas","779,13",,
"FS NEW DEVELOPMENTS SA","Mejorar la empleabilidad de las personas desempleadas","151,07",,
"FSC INVERSIONES E INMUEBLES SL","Mejorar la empleabilidad de las personas desempleadas","599,9",,
"FSD SERVIAUTO SL","Mejorar la empleabilidad de las personas desempleadas","585,52",,
"FSI CONSTRUC, SL","Mejorar la empleabilidad de las personas desempleadas","1338,63",,
"FSI FILTRACION SL","Mejorar la empleabilidad de las personas desempleadas","1250,89",,
"FSI OBRAS Y SERVICIOS, SL","Mejorar la empleabilidad de las personas desempleadas","1358,95",,
"FSM SERRANO MOLTO, S.L","Mejorar la empleabilidad de las personas desempleadas","3170,57",,
"FSQ QUALITAT I MEDI AMBIENT SL","Mejorar la empleabilidad de las personas desempleadas","417,8",,
"FST HOTELS SL","Mejorar la empleabilidad de las personas desempleadas","1971,2",,
"FUBERT, SL","Mejorar la empleabilidad de las personas desempleadas","742,48",,
"FUCEDI SL","Mejorar la empleabilidad de las personas desempleadas","1133,39",,
"FUDACI�N SOCIOASISTENCIAL MERCASEVILLA","Mejorar la empleabilidad de las personas desempleadas","94696,75",,
"FUDIGAN SL","Mejorar la empleabilidad de las personas desempleadas","1178,12",,
"FUDIS EXPERT SERVICIOS LOGISTICOS S.L.","Mejorar la empleabilidad de las personas desempleadas","890,88",,
"FUDOCHI, S.L.","Mejorar la empleabilidad de las personas desempleadas","98,31",,
"FUDOMO ESPACIOS INTELIGENTES SL","Mejorar la empleabilidad de las personas desempleadas","5665,28",,
"FUE SIN QUERER, S.L.","Mejorar la empleabilidad de las personas desempleadas","1944,54",,
"FUEBER SL","Mejorar la empleabilidad de las personas desempleadas","429,7",,
"FUECAS SL","Mejorar la empleabilidad de las personas desempleadas","171,75",,
"FUEGO DIFUSION SL","Mejorar la empleabilidad de las personas desempleadas","568,37",,
"FUEGO DURO SL","Mejorar la empleabilidad de las personas desempleadas","1087,5",,
"FUEGOS ARTIFICIALES HERMANOS LOPEZ, SL","Mejorar la empleabilidad de las personas desempleadas","1624,43",,
"FUEGOS ARTIFICIALES JOSMAN S.L","Mejorar la empleabilidad de las personas desempleadas","1383,25",,
"FUEL IBERIA S.L.","Mejorar la empleabilidad de las personas desempleadas","353,33",,
"FUELSERVICES NAVARRA SL","Mejorar la empleabilidad de las personas desempleadas","590,24",,
"FUEMBRA SL","Mejorar la empleabilidad de las personas desempleadas",500,,
"FUENBLANQUILLA SL","Mejorar la empleabilidad de las personas desempleadas",300,,
"FUENCAMPO XXI SL","Mejorar la empleabilidad de las personas desempleadas","899,46",,
"FUENCASTEL SA","Mejorar la empleabilidad de las personas desempleadas","311,62",,
"FUENCRUZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","2483,15",,
"FUENDERRO S.L.L.","Mejorar la empleabilidad de las personas desempleadas","413,3",,
"FUENFINANCE S.L.","Mejorar la empleabilidad de las personas desempleadas","618,58",,
"FUENGIROLA SELECTHOMES, S.L.","Mejorar la empleabilidad de las personas desempleadas","493,59",,
"FUENGIROLA SPORTS, SL (EN CONSTITUCION)","Mejorar la empleabilidad de las personas desempleadas","755,44",,
"FUENGOVI, S.L.","Mejorar la empleabilidad de las personas desempleadas","33,3",,
"FUENHOME SL","Mejorar la empleabilidad de las personas desempleadas","1576,67",,
"FUENLA DEL MONTE SL","Mejorar la empleabilidad de las personas desempleadas","756,67",,
"FUENLABRADA INDUSTRIAL SA","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FUENLABRADA MEDIOS DE COMUNICACION SA","Mejorar la empleabilidad de las personas desempleadas","1656,61",,
"FUENLALIM SL","Mejorar la empleabilidad delas personas desempleadas","564,28",,
"FUENLAMOVIL SL","Mejorar la empleabilidad delas personas desempleadas","19,98",,
"FUENLLANA.CENTRO CULTURAL PEDRALTA SA","Mejorar la empleabilidad delas personas desempleadas","19995,21",,
"FUENMAYOR GRAU LUNA PALLI, SL","Mejorar la empleabilidad delas personas desempleadas","1499,2",,
