"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"SALANS ABOGADOS, S.L.U.","Mejorar la empleabilidad de las personas desempleadas","646,20"
"SALAONS-PRODUCTES OLIVERERS, SL","Mejorar la empleabilidad de las personas desempleadas","3.650,00"
"SALAR RUIZ, SL","Mejorar la empleabilidad de las personas desempleadas","1.079,82"
"SALAS 2005 SERVEIS IMMOBILIARIS,S.L.","Mejorar la empleabilidad de las personas desempleadas","206,56"
"SALAS DE BINGO SA","Mejorar la empleabilidad de las personas desempleadas","491,61"
"SALAS MOLINER SA","Mejorar la empleabilidad de las personas desempleadas","1.328,60"
"SALAS PUERTAS Y ARMARIOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","198,30"
"SALAS TEXTIL, SL","Mejorar la empleabilidad de las personas desempleadas","1.876,59"
"SALAS Y MARAVER SOCIEDAD ESPANOLA DE AUDITORIA SL","Mejorar la empleabilidad de las personas desempleadas","672,87"
"SALAS Y SIRVENT SL","Mejorar la empleabilidad de las personas desempleadas","486,67"
"SALA-SANCHEZ ARQUITECTES, SL","Mejorar la empleabilidad de las personas desempleadas","479,26"
"SALAS-JAURENA, SCP","Mejorar la empleabilidad de las personas desempleadas","531,21"
"SALAT RESORT, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.036,63"
"SALA-TECHNIRISK GRUP ASSESSOR CORREDURIA DE SEGUROS SL","Mejorar la empleabilidad de las personas desempleadas","1.619,98"
"SALAVE DESIGN, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.065,82"
"SALAZAR PEREZ SL","Mejorar la empleabilidad de las personas desempleadas","133,20"
"SALAZAR Y SOCAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","422,65"
"SALAZAR Y VALLADARES S.L.","Mejorar la empleabilidad de las personas desempleadas","1.117,72"
"SALAZONES ALGEMESI SL","Mejorar la empleabilidad de las personas desempleadas","1.503,30"
"SALAZONES LOPEZ DE GEA, S.L.","Mejorar la empleabilidad de las personas desempleadas","73,33"
"SALBARTE SL","Mejorar la empleabilidad de las personas desempleadas","309,28"
"SALBAS, SL","Mejorar la empleabilidad de las personas desempleadas","1.275,88"
"SALBATORE OIL SL","Mejorar la empleabilidad de las personas desempleadas","899,52"
"SALBURUA HEZKUNTZA,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.695,11"
"SALCA I MARBIC ASSOCIATS, SL","Mejorar la empleabilidad de las personas desempleadas","354,15"
"SALCAC, C.B.","Mejorar la empleabilidad de las personas desempleadas","533,59"
"SALCANEDA, SL","Mejorar la empleabilidad de las personas desempleadas","736,34"
"SALCAR FLOORS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.251,05"
"SALCARRETE, S.L.","Mejorar la empleabilidad de las personas desempleadas","579,01"
"SALCEDO E HIJOS, SA","Mejorar la empleabilidad de las personas desempleadas","1.182,16"
"SALCER SERVICIOS AUXILIARES, SL","Mejorar la empleabilidad de las personas desempleadas","17.690,16"
"SALCISMAR SL","Mejorar la empleabilidad de las personas desempleadas","1.413,32"
"SALCO RETAURACION, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.077,98"
"SALDAG 35, SL","Mejorar la empleabilidad de las personas desempleadas","1.729,97"
"SALDAGAR S.L","Mejorar la empleabilidad de las personas desempleadas","169,98"
"SALDANA HOGAR SL","Mejorar la empleabilidad de las personas desempleadas","549,94"
"SALDO POSITIVO,S.L.","Mejorar la empleabilidad de las personas desempleadas","13,32"
"SALDUBA ASESORES,S.L.","Mejorar la empleabilidad de las personas desempleadas","318,69"
"SALDUBA MANTENIMIENTOS SL","Mejorar la empleabilidad de las personas desempleadas","1.225,35"
"SALEGAS-5 SLL","Mejorar la empleabilidad de las personas desempleadas","2.725,14"
"SALEN SA","Mejorar la empleabilidad de las personas desempleadas","2.103,02"
"SALEON 1969,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.433,12"
"SALEON, SA","Mejorar la empleabilidad de las personas desempleadas","3.314,85"
"SALEQUICH SLL","Mejorar la empleabilidad de las personas desempleadas","111,53"
