nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
MUEBLES Y COCINAS CEUTA S.L.,MUEBLES Y COCINAS CEUTA S.L.,"46.937,54",46937.54,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MUTUALIDAD DE PREVISION SOCIAL DE PERITOS E INGENIEROS TECNICOS INDUSTRIALES,CISNE (COOPERACION PARA LA IMPLANTACION DE SOLUCIONES DE NEGOCIO ELECTRONICO),"281,89",281.89,"281,89",281.89,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
NOOR Y MOHAMED S.L.,NOOR Y MOHAMED S.L.,"6.838,10",6838.10,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
NUTROSA ALIMENTACION CEUTA S.L.U.,NUTROSA ALIMENTACION CEUTA S.L.U.,"32.500,04",32500.04,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
ONDA CEUTA S.L.,ONDA CEUTA S.L.,"43.704,73",43704.73,"0,00",0.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"ORTHO CEUTA, S.L.","ORTHO CEUTA, S.L.","1.663,81",1663.81,"1.663,81",1663.81,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
PERLA BENTOLILA HACHUEL,PERLA BENTOLILA HACHUEL,"709,10",709.10,"709,10",709.10,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
PREVENCION ECOS S.L.,PREVENCION ECOS .SL.,"9.710,25",9710.25,"0,00",0.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
RAFAEL GIL BARRONES,RAFAEL GIL BARRONES,"1.481,25",1481.25,"1.481,25",1481.25,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
RAJU SIVDASANI BALANI,RAJU SIVDASANI BALANI,"26.654,77",26654.77,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
RECICLACEUTA S.L.,RECICLACEUTA S.L.,"5.513,43",5513.43,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
SANDRA MARIA MEDINA GARCIA,SANDRA MARIA MEDINA GARCIA,"4.331,25",4331.25,"4.331,25",4331.25,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
VILANTE GINO FERNANDEZ FERNANDEZ,VIOLANTE GINO FERNANDEZ FERNANDEZ,"34.129,51",34129.51,"34.129,51",34129.51,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
WEIL CEUTA 2000 S.A.L.,WEIL CEUTA 2000 S.A.L.,"27.048,00",27048.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
YOLANDA PEREZ AHUMADA,YOLANDA PEREZ AHUMADA,"1.359,75",1359.75,"1.359,75",1359.75,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
YOLANDA SOTO DOMINGUEZ,YOLANDA SOTO DOMINGUEZ,"17.813,52",17813.52,"17.813,52",17813.52,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
ZERO FACTORY S.L.,"PYME-BUSINESS: DISENO DE CONTENIDOS, ELABORACION Y","5.949,05",5949.05,"5.949,05",5949.05,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
