"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"BETOR, C.B.","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"BIGMAT TEVISA, S.A.","Mejorar la empleabilidad de las personas desempleadas","22.500,00"
"BIN PING, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"BIOENERGETICA EXTREMEÑA 2020 S.L.","Mejorar la empleabilidad de las personas desempleadas","21.000,00"
"BIOTRAN GESTION DE RESIDUOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"BISUTERIA XERET, S.L.","Mejorar la empleabilidad de las personas desempleadas","22.500,00"
"BITTACORA INFORMATICA Y DISEÑO S.L.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"BODEGAS MARTINEZ PAYVA, S.A.T.","Mejorar la empleabilidad de las personas desempleadas","13.500,00"
"BODEGAS TORIBIO, S.L.","Mejorar la empleabilidad de las personas desempleadas","19.250,00"
"BOTEIN, C.B.","Mejorar la empleabilidad de las personas desempleadas","4.812,00"
"BOUTIQUE DE LA CARNE ACEUCHAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"BOXOYO LIBROS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"BRAVO DEL RIO GABINETE ASESORES, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"BROTE DEL PINO S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"BRU RECUPERACIONES S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"BUBESA, S.C.","Mejorar la empleabilidad de las personas desempleadas","9.000,00"
"BUDA SC","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"BURGUILLOS GESTION S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"C.A.C. AUDITORES S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"C.A.M. REVESTIMIENTOS INTERIORES DE 
OBRAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"C.B. CAPRICHO","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"C.B. SUPER EL PARQUE","Mejorar la empleabilidad de las personas desempleadas","16.000,00"
"C.G. MINERIA S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"C.S.A. ASESORES S.A.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CABINAS D,AIGUADOLÃ S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CACERES KART, S.C.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CAFE BAR PLATA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CAFE BAR PLAZZA, C.B.","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"CAFE-BAR RESTAURANTE CHAMORRO, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CAHERSA CABALLERO Y HERNANDEZ S.A.","Mejorar la empleabilidad de las personas desempleadas","56.750,00"
"CAJA DE AHORROS DE BADAJOZ","Mejorar la empleabilidad de las personas desempleadas","135.000,00"
"CALACO MULERO C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CALLE CASATEJADA, C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CALLEJA DE LOS CASTAÑOS, S.C.","Mejorar la empleabilidad de las personas desempleadas","9.000,00"
"CAMBIO DE PLANES S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CAMPING CERES, S.L","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CAMPIÑASEC, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CAMPO PUBLICO DE TALAYUELA, S.A.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"CAMPOJEREZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"CAMPOS DE LA ALBUERA, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"CAMU CONSULTORES Y GESTION DE 
NEGOCIOS","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
