"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"ALMAZAN EL PASO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.800,00"
"ALONSO ALONSO AURELIANO Y OTRO S.CI","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALONSO BARRIGA MARTINEZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
"ALONSO GONZALEZ 2000 S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.250,00"
"ALONSO VARA MOTOR S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"ALQUILERES ARANDA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALSE ANDAMIO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALTA MORAÑA S.C.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","917,00"
"ALUMINIOS ANGEL CARRO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALUMINIOS GACIMARTIN S.L.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.200,00"
"ALUMINIOS JANDRI S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALUMINIOS LUFERCA,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"ALUMINIOS MORAN COMONTE S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"ALUMINIOS NERVION S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ALUPAN S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","429,08"
"ALVAMAY S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","334,40"
"ALVAREZ BELTRAN S.A.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","146,89"
"ALVAREZ RODRIGUEZ INSTALADORES S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.700,00"
"ALVARO ARTESANOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.000,00"
"ALVARO BAYONA&ASOCIADOS S.L","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.666,66"
"ALVAROMAN REGALOS PUBLICITARIOS S.L","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","19.081,65"
"AMBUIBERICA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","92.500,00"
"AMBULANCIAS ALVAREZ S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","17.500,00"
"AMBULANCIAS AMBUPAL S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","60.159,90"
"AMBULANCIAS TORESANAS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","24.500,00"
"ANDRES CAMINO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"ANDRES Y REGUERO,S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.800,00"
"ANFACO","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","4.013,60"
"ANGIL C.B.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","2.100,00"
"ANIMAVET S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.560,00"
"ANKARA SIGLO XXI S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ANKUS S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","108,01"
"ANLLOMAR S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.800,00"
"ANTENA 3 DE RADIO SA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.250,25"
"ANTON MODA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ANTONIO CRESPO CABRITO S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.005,80"
"ANTONIO PERALTA S.A.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","226,57"
"ANTONIO Y LUIS MURO GONZALEZ C.B.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","46,40"
"AP-5 DE ZAMORA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"APADEFIM","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","126.548,00"
"APA-OLID S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"APERITIVOS GUS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.600,00"
"APLIACIONES DE CADA CAM Y GIS S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","7.215,20"
"APP TIERRAS DE CASTILLA Y LEON S.C","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.000,00"
"AQ SERVICES SOLUCCION INTEGRAL PARA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.312,50"
"AQUIMISA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","9.980,00"
"ARALIA SERVICIOS SOCIO SANITARIOS S","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","40.095,00"
"ARBOLES AZULES S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.200,00"
"ARIDOS DE VILLACASTIN S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","11.760,00"
"ARIDOS EMILIO ANDRES S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ARIDOS VILLALLANO S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ARIDOS Y AGLOMERADOS MARTIN S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.600,00"
"ARISOFT EDITORIAL S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ARMARIOS LEON S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ARME LEON S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ARME LEON S.A.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","335,66"
"ARMERIA Y DEPORTES J.SANCHEZ S.A","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.382,00"
"ARPANOR, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ARRESTE S.L.","Mejorar la empleabilidad de las personas desempleadas","48.023,18"
"ARRESTE S.L.","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","26.671,39"
"ARRIBES FINANCIACIONES S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ARRICAS EXPRESS S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","352,64"
"ARTE LIMPIEZA C.B.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ARTE PURO 2000,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ARTE Y CONST.DE BURGOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ARTE Y MADERA DE BURGOS S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"ARTEPRINT SORIA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","208,80"
"ARTEQUESOS CASTELLANOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","30.000,00"
"ARTES GRAFICAS ARCO IRIS S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","3.480,00"
"ARTEVEDA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"AS.ASCARE SERV.INICIAT.SOCIAL,CAR","Favorecer la integración social y laboral de las personas inmigrantes","25.787,40"
"AS.ASCARE SERV.INICIAT.SOCIAL,CAR","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","415.627,16"
"AS.ASEMCAN","Mejorar la empleabilidad de las personas desempleadas","22.147,52"
"AS.ASEMCAN","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","44.244,76"
"AS.BURGALESA EMPRESAS DE FORM.ALBEF","Mejorar la empleabilidad de las personas desempleadas","48.465,15"
"AS.BURGALESA EMPRESAS DE FORM.ALBEF","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","43.071,23"
"AS.BUS.FORMACION Y ORIENTACION EMPL","Mejorar la empleabilidad de las personas desempleadas","27.565,54"
"AS.CASA BENEFICENCIA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"AS.CTRO.TECN.SOLDADURA DE CYL","Mejorar la empleabilidad de las personas desempleadas","35.798,00"
"AS.CTRO.TECN.SOLDADURA DE CYL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","22.008,00"
"AS.CTRO.TECN.SOLDADURA DE CYL","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","11.850,00"
"AS.DESARROLLO CONSULTORIA FORMACION","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","14.955,94"
"AS.DESARROLLO DISTRIBUCION DE CYL","Mejorar la empleabilidad de las personas desempleadas","59.752,89"
"AS.DESARROLLO Y SOLIDARIDAD","Favorecer la integración social y laboral de las personas inmigrantes","8.643,00"
"AS.EL ARBOL GORDO DE CIUDAD RODRIGO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.700,00"
"AS.EL PUENTE","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","44.978,29"
"AS.EMPR.Y PROFES.MEDINA DE RIOSECO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","6.642,00"
"AS.EMPRES.SALMANTIN.CTROS.ENSEÑANZA","Mejorar la empleabilidad de las personas desempleadas","6.517,25"
"AS.EMPRESAR.DEL POLIG.SAN CRISTOBAL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.700,00"
"AS.EMPRESAR.DEL POLIG.SAN CRISTOBAL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","31.500,00"
"AS.FAMILIAR DE LA RONDILLA","Favorecer la integración social y laboral de las personas inmigrantes","60.000,00"
"AS.FAMILIARES ALZHEIMER MEDINA C","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AS.FAMILIARES Y AMIGOS ENF.ALZEIMER","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","55.575,00"
"AS.HIJOS DEL MAIZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.350,00"
"AS.HOGARES PARA NIÑOS PRIVADOS PA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
