nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
JUNTA DE EXTREMADURA,MCON0801062-REDACCIÓN DE PROYECTO PARA LAS OBRAS DE REFORMAS EN EL C.P. SAGRADO CORAZÓN DE JESÚS DE OLIVA DE MÉRIDA,"8.288,40",8288.40,"8.288,40",8288.40,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,"MCON0801048-REDACCIÓN PROYECTO DE LAS OBRAS DE ACONDICIONAMIENTO DE PATIO ESCOLAR, PORCHE Y REFORMAS.","5.621,38",5621.38,"5.621,38",5621.38,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801069-REDACCIÓN PROYECTO OBRAS REFORMA C.P SAN JÓSE DE CALASANZ EN FUENTE DEL MAESTRE.,"10.384,32",10384.32,"10.384,32",10384.32,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801074-REDACCIÓN PROYECTO OBRAS C.P SAN FERNANDO EN BADAJOZ.,"7.000,00",7000.00,"7.000,00",7000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801072-REDACCIÓN PROYECTO REFORMA INT EN C.P JOAQUÍN TENA ARTIGA EN CASTUERA.,"6.000,00",6000.00,"6.000,00",6000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801068-REDACCIÓN PROYECTO OBRAS REFORMAS EN C.P SAN GREGORIO EN GUAREÑA,"6.827,70",6827.70,"6.827,70",6827.70,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801073-REDACCIÓN PROYECTO REFORMA INTEGRAL DEL CENTRO C.P PEDRO VALDIVIA DE CASTUERA.,"5.999,99",5999.99,"5.999,99",5999.99,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801079-ESTUDIO GEÓTECNICO POLIDEPORTIVO EN C.P CERVANTGES DE MORALEJA,"2.687,40",2687.40,"2.687,40",2687.40,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801058-REDACCIÓN PROYECTO DE ADECUACIÓN DE PISTA POLIDEPORTIVA Y REFORMA EN CO.P SIERRA FUENTES,"5.980,00",5980.00,"5.980,00",5980.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801057-REDACCIÓN PROYECTO REFORMAS C.P RAMÓN Y CAJAL EN PLASENCIA,"5.980,00",5980.00,"5.980,00",5980.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801070-REDACCIÓN PROYECTO OBRAS REFORMAS GENERALES EN C.P ANTONIO CHAVERO DE USAGRE,"12.000,00",12000.00,"12.000,00",12000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801060-REDACCIÓN PROYECTO C.P STA MAGDALENA EN MIRANDILLA,"10.000,00",10000.00,"10.000,00",10000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801082-CAMBIO DE USO RESIDENCIAL A DOCENTE EN EL IES UNIVERSIDAD LABORAL PARA CP PRÁCTICAS EN CÁCERES,"165.292,06",165292.06,"165.292,06",165292.06,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
