BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
TEBELSA GARBIKETAK SL,Mejorar la empleabilidad de las personas desempleadas,474.62
TEBENET LIMPIEZAS TECNICAS DE COLECTIVOS SL,Mejorar la empleabilidad de las personas desempleadas,"1,407.47"
"TEBEOS DOLMEN EDITORIAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,194.64"
TEBERMANS SOCIEDAD DE RESPONSABILIDAD LIMITADA LABORAL,Mejorar la empleabilidad de las personas desempleadas,559.84
"TEBEX DANO CORPORAL, SA",Mejorar la empleabilidad de las personas desempleadas,"1,742.86"
"TEBEX, SA",Mejorar la empleabilidad de las personas desempleadas,"3,337.26"
"TEBORAN 2000, SL",Mejorar la empleabilidad de las personas desempleadas,802.11
TEBRA INVERSIONES SL,Mejorar la empleabilidad de las personas desempleadas,"1,275.80"
TEBREPALMA SDAD COOP,Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
TEBRUSA SA,Mejorar la empleabilidad de las personas desempleadas,"2,590.24"
TEC 94 SA,Mejorar la empleabilidad de las personas desempleadas,706.66
"TEC ACADEMIC MULTIMEDIA, SL",Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
"TEC ENGINEERING, SA",Mejorar la empleabilidad de las personas desempleadas,"4,350.65"
TEC REDI SL,Mejorar la empleabilidad de las personas desempleadas,944.48
TEC REPRESENTACIONES SL,Mejorar la empleabilidad de las personas desempleadas,"1,733.33"
TEC Y ARTESANIA DEL AUTOMOVIL SLL,Mejorar la empleabilidad de las personas desempleadas,635.78
TEC. ASSITENTS AL DISSENY I LNENGINYERIA AC I ASSOC.S.L,Mejorar la empleabilidad de las personas desempleadas,386.63
"TEC.ME.SY.IBERICA, SA",Mejorar la empleabilidad de las personas desempleadas,762.52
"TECAFER SERVICIOS GALLEGOS ,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,799.92"
"TECAFIL,SL",Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
"TECAL CARPINTERIA METALICA, SL",Mejorar la empleabilidad de las personas desempleadas,144.37
TECALGLASS S.L.,Mejorar la empleabilidad de las personas desempleadas,353.28
TECALPRIETOVELASCO SL,Mejorar la empleabilidad de las personas desempleadas,"1,118.04"
TECALUM SL,Mejorar la empleabilidad de las personas desempleadas,"1,196.57"
TECALUMINIO SL,Mejorar la empleabilidad de las personas desempleadas,500.00
TECAM CHIMICA SL,Mejorar la empleabilidad de las personas desempleadas,962.17
"TECAM SOLUCIONES MEDIOAMBIENTALES,S.L.",Mejorar la empleabilidad de las personas desempleadas,391.91
"TECAMUNT, SL",Mejorar la empleabilidad de las personas desempleadas,900.00
"TECAN IBERICA INSTRUMENTACION, SL",Mejorar la empleabilidad de las personas desempleadas,398.37
TECASE TECNICOS ASESORES SL,Mejorar la empleabilidad de las personas desempleadas,596.57
TECATEL S.A.,Mejorar la empleabilidad de las personas desempleadas,"1,366.67"
"TECBRAIN, TI, SL EN CONSTITUCION",Mejorar la empleabilidad de las personas desempleadas,"1,900.00"
"TECCAN NORTE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,749.85"
"TECCAR SERVICIOS 2006, S.L.",Mejorar la empleabilidad de las personas desempleadas,73.16
"TECCO CELTIC, SL",Mejorar la empleabilidad de las personas desempleadas,"1,696.66"
