nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
ASOC. PREVENCIÓN DE RIESGOS LABORALES SAN PRUDENCIO,SAIATU 08 - ASOC. PREVENCIÓN DE RIESGOS LABORALES SAN PRUDENCIO,"20.000,00",20000.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOC.CENTRO DE INVESTIGACIÓN COOP. EN BIOCIENCIAS CIC BIOGUNE,CARACTERIZACION ESTRUCTURAL DEL SUPRESOR TUMORAL P53: TETRAMEROS DE P53 Y COMPLEJOS CON DIFERENTES LIGANDOS,"111.320,00",111320.00,"111.320,00",111320.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOC.CENTRO DE INVESTIGACIÓN COOP. EN BIOCIENCIAS CIC BIOGUNE,PAPEL DE LA UBIQUITINACION MEDIADA POR A20 EN LA REGULACION DE LA ACTIVACION DE NF-KB EN CELULAS T,"96.800,00",96800.00,"96.800,00",96800.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION CAMARA DEL LIBRO DEL PAIS V.,ASOCIACION CAMARA DEL LIBRO DEL PAIS VASCO,"22.962,00",22962.00,"22.962,00",22962.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACIÓN CENTRO DE INVESTIGACIÓN EN TECNOLOGÍAS DE UNIÓN LORTEK,MODELIZACION MULTIESCALA DEL COMPORTAMIENTO DE ESPUMAS DE POLIOLEFINA DE CELDILLA ABIERTA Y MICROCELULARES,"48.000,00",48000.00,"48.000,00",48000.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION CIC BIOMAGUNE,ETORTEK2006-CICBIOMAGUNE,"566.310,23",566310.23,"566.310,23",566310.23,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION CIC NANOGUNE,ETORTEK2006-CICNANOGUNE,"1.283.599,00",1283599.00,"1.097.360,11",1097360.11,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION DE EMPRESARIOS VASCOS EN CUBA,ASOCIACION DE EMPRESARIOS VASCOS EN CUBA,"32.446,00",32446.00,"32.446,00",32446.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION ESPAÑOLA DE EXPORTADORES DE PRODUCTOS E INSTALACIONES SIDERURGICAS,MDIR SIDEREX MALASIA Y TAILANDIA,"9.113,48",9113.48,"9.113,48",9113.48,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASOCIACION ESPAÑOLA DE EXPORTADORES DE PRODUCTOS E INSTALACIONES SIDERURGICAS,MDIR - SIDEREX- IRAN - PROD. SIDERURGICOS,"1.125,38",1125.38,"1.125,38",1125.38,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
