BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
"A + 2, C.B.",Mejorar la empleabilidad de las personas desempleadas,"2.673,00"
"ADOBER ELECTRICIDAD, S.L.",Mejorar la empleabilidad de las personas desempleadas,"12.000,00"
"ADPAN EUROPA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"600,00"
"ADPAN EUROPA, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.600,00"
"ADVANCED SIMULATION TECHOLOGIES, SL",Mejorar la empleabilidad de las personas desempleadas,"6.750,00"
"AF NORTE CONSULTORES DE 
CONSTRUCCION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.403,10"
AGRICULTURA VERDE SL,Mejorar la empleabilidad de las personas desempleadas,"4.129,54"
"AGRICULTURA VERDE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"AGROLAVAL, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.200,00"
"AGRUPACION DE SOCIEDADES ASTURIANAS 
DE TRABAJO ASOCIADO (ASATA)",Mejorar la empleabilidad de las personas desempleadas,"60.303,39"
"AGRUPACION DE SOCIEDADES ASTURIANAS 
DE TRABAJO ASOCIADO (ASATA)","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","13.015,61"
"AGRUPACION SOCIEDADES ASTURIANAS 
TRABAJO ASOCIADO-ASATA",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"AIC TOPOGRAFIA E INGENIERIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.075,20"
"ALBERTO SICILIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.744,48"
"ALBERTO SICILIA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.837,86"
ALBORNOZ Y ASOCIADOS SL,Mejorar la empleabilidad de las personas desempleadas,"2.594,53"
"ALCE CALIDAD, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.200,00"
"ALECHIP SOLUCIONES INFORMATICAS, SL",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"ALEJANDRO BRAÑA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.629,60"
"ALIFORMASTUR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.046,40"
"ALIMERKA, S.A.",Mejorar la empleabilidad de las personas desempleadas,"10.985,40"
"ALIMERKA, S.A.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.440,00"
"ALMACENES DELCA, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.429,00"
"ALMACENES PUMARIN, S.A.",Mejorar la empleabilidad de las personas desempleadas,"8.136,90"
"ALONSO ALVAREZ, MANUEL FRANCISCO 
000212487P, S.L.N.E.",Mejorar la empleabilidad de las personas desempleadas,"2.030,70"
"ALONSO OTERO, C.B.",Mejorar la empleabilidad de las personas desempleadas,"528,57"
"ALQUI METAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"ALTABOX, S.L.",Mejorar la empleabilidad de las personas desempleadas,"10.089,00"
ALTAMECA SL,Mejorar la empleabilidad de las personas desempleadas,"1.909,80"
"ALTEL-91, S.L.",Mejorar la empleabilidad de las personas desempleadas,"7.059,82"
"ALVAREZ BUGALLO, C.B.",Mejorar la empleabilidad de las personas desempleadas,"1.140,60"
"ALVAREZ LOGO CONSTRUCCIONES, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.440,00"
"AMANDI Y ASOCIADOS ASESORES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"720,00"
"AMANDI Y ASOCIADOS ASESORES, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.326,80"
"ANA MARIA GARCIA ARBESU 001113173E, 
S.L.N.E.",Mejorar la empleabilidad de las personas desempleadas,"5.379,60"
ANALISIS PREDICTIVO DE VIBRACIONES SLL,Mejorar la empleabilidad de las personas desempleadas,"2.992,50"
"ANGEL TERAN CONSTRUCCION 
INTERIORISMO SL",Mejorar la empleabilidad de las personas desempleadas,"916,98"
"ANGEL TERAN CONSTRUCCION 
INTERIORISMO SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.042,40"
"ANTON SOLIS, SL",Mejorar la empleabilidad de las personas desempleadas,"8.851,50"
"APARICIO RATO, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.030,58"
"APERKEY, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.412,80"
"APLICACIONES DE CONTROL Y 
AUTOMATIZACION S.A.",Mejorar la empleabilidad de las personas desempleadas,"660,00"
"APLIMETAL 2000, C.B.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"APPLUS NORCONTROL, S.L.U.",Mejorar la empleabilidad de las personas desempleadas,"25.485,23"
"APPLUS NORCONTROL, S.L.U.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","27.963,14"
"ARACIL ARQUITECTURA Y ASOCIADOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"7.041,60"
"ARBOLES AZULES, SL",Mejorar la empleabilidad de las personas desempleadas,"5.755,97"
"ARCADIO MARTINEZ E HIJOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.060,80"
"ARCILLAS REFRACTARIAS, S.A. ""ARCIRESA""",Mejorar la empleabilidad de las personas desempleadas,"600,00"
"AREA DENTAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.657,50"
"ARGOVETUS, SL",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"ARGUELLES Y SIEGRIST, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.920,40"
"ARGUELLO ABOGADOS ECONOMISTAS, SL",Mejorar la empleabilidad de las personas desempleadas,"7.316,40"
"ARIAS EBANISTAS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.484,40"
"ARLOS Y EL FRESNO, S.L.L",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"ARNICIO RESTAURACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"9.145,33"
"ARNICIO RESTAURACION, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.188,63"
ARQUITECTONIA SL.,Mejorar la empleabilidad de las personas desempleadas,"2.894,40"
"ARQUYURBAN, SL",Mejorar la empleabilidad de las personas desempleadas,"2.330,30"
ARRENDAMIENTOS URBANOS RINOSOL SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.996,00"
"ARRONTES Y BARRERA ESTUDIO DE 
PUBLICIDAD, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,"822,12"
"ARRONTES Y BARRERA ESTUDIO DE 
PUBLICIDAD, S.L.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.147,40"
"ASAMBLEA SUPREMA DE LA CRUZ ROJA 
ESPAÑOLA",Mejorar la empleabilidad de las personas desempleadas,"38.184,80"
"ASCENSORES DEL PRINCIPADO, S.A",Mejorar la empleabilidad de las personas desempleadas,"3.427,20"
"ASCENSORES DEL PRINCIPADO, S.A","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"ASCENSORES ELEVASTUR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.814,40"
"ASCENSORES MODROÑO, S.C.",Mejorar la empleabilidad de las personas desempleadas,"4.140,00"
"ASCENSORES MONTANOR, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,"4.404,60"
ASCENSORES MONTES & K S.L.,Mejorar la empleabilidad de las personas desempleadas,"2.849,68"
"ASCONSA ASTURIANA DE CONSTRUCCIONES 
Y SERVICIOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.456,80"
"ASESORAMIENTO DE PYMES Y NEGOCIOS, 
S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.299,00"
"ASESORAMIENTO Y GESTION 
ADMINISTRATIVA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.080,00"
"ASESORES Y GESTORES J & F, C.B","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.440,00"
ASESORIA AUCOSA S.L.,Mejorar la empleabilidad de las personas desempleadas,"1.996,50"
"ASESORIA AYSAR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"ASESORIA E INGENIERIA PARA EL 
DESARROLLO DEL MEDIO AMBIENTE, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,"11.442,00"
"ASESORIA EMPRESARIAL TECNOS, SL",Mejorar la empleabilidad de las personas desempleadas,"2.527,20"
ASESORIA GONZALEZ VALDES SL,Mejorar la empleabilidad de las personas desempleadas,"2.879,10"
ASESORIA MURALBU S.L.,Mejorar la empleabilidad de las personas desempleadas,"2.440,80"
"ASESORIA MURALBU, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"ASESORIA NORIEGA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.168,80"
ASESORIA TEBAS CB,Mejorar la empleabilidad de las personas desempleadas,"1.943,70"
"ASESORIA VILLAMARIN, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.700,00"
"ASESORIAS TURON, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"ASISTENCIA MEDICA OCCIDENTAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.063,20"
"ASISTENCIA TECNICA INDUSTRIAL 
ASTURIANA, S.A.",Mejorar la empleabilidad de las personas desempleadas,"4.031,70"
"ASISTENCIA TECNICA, CALIDAD Y 
PREVENCION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.656,60"
"ASLENOR CONSULTORIA TECNICA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"12.769,65"
"ASOC CINCO VILLAS TERRITORIAL DE 
ASTURIAS PRO INTEGRACION DE PERSONAS 
CON DISCAPACIDAD PSIQU","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.160,00"
ASOCIACION ALTERNATIVA PARA EL MENOR,Mejorar la empleabilidad de las personas desempleadas,"900,00"
ASOCIACIÓN ASTURIANA DE E-LEARNING,Mejorar la empleabilidad de las personas desempleadas,"8.775,00"
"ASOCIACIÓN AUTONÓMICA DE CENTROS DE 
ENSEÑANZA PRIVADA DE ASTURIAS","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","3.744,00"
"ASOCIACIÓN COOPEERACIÓN POR EL 
EMPLEO EN ASTURIAS ACEA",Prevención del abandono escolar y refuerzo de la formación inicial,"14.787,12"
"ASOCIACIÓN COOPERACIÓN POR EL EMPLEO 
DE ASTURIAS (ACEA)",Mejorar la empleabilidad de las personas desempleadas,"29.690,56"
"ASOCIACIÓN CULTURAL NORTE JOVEN 
MIERES","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","11.070,00"
"ASOCIACIÓN CULTURAL NORTE JOVEN 
MIERES",Mejorar la empleabilidad de las personas desempleadas,"63.298,67"
"ASOCIACIÓN DE DISCAPACITADOS FÍSICOS 
COSA NUESA",Mejorar la empleabilidad de las personas desempleadas,"40.000,00"
"ASOCIACIÓN DE EMPRESAS DE ENERGÍAS 
RENOVABLES - AEERA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","24.993,00"
"ASOCIACIÓN DE FAMILIARES Y ENFERMOS 
MENTALES DE ASTURIAS ""AFESA""",Mejorar la empleabilidad de las personas desempleadas,"24.000,00"
"ASOCIACION DE INDUSTRIAS CARNICAS DEL 
PRINCIPADO DE ASTURIAS",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"ASOCIACIÓN DE MUJERES PARA LA 
REINSERCIÓN LABORAL XURTIR","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","50.400,00"
"ASOCIACIÓN DE PARAPLÉJICOS Y GRANDES 
DISCAPACITADOS ASPAYM",Prevención del abandono escolar y refuerzo de la formación inicial,"28.047,00"
"ASOCIACIÓN DE PARAPLÉJICOS Y GRANDES 
MINUSVÁLIDOS DEL PRINCIPADO DE 
ASTURIAS",Mejorar la empleabilidad de las personas desempleadas,"61.302,00"
"ASOCIACIÓN DE TALLERES DE REPARACIÓN 
DEL AUTOMÓVIL DE ASTURIAS (ATRAA)","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","13.343,45"
"ASOCIACIÓN DE VOLUNTARIOS AUXILIARES 
EN EMERGENCIAS Y MEDIOAMBIENTE VAEMA",Mejorar la empleabilidad de las personas desempleadas,"11.000,00"
ASOCIACIÓN EL GÜERNE,Mejorar la empleabilidad de las personas desempleadas,"25.740,00"
ASOCIACION EL PRIAL,Mejorar la empleabilidad de las personas desempleadas,"105.904,90"
ASOCIACION EL PRIAL,"Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","35.003,25"
"ASOCIACION EMPRESA FAMILIAR 
PRINCIPADO DE ASTURIAS","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.000,00"
"ASOCIACIÓN EMPRESARIAL DE AYUDA A 
DOMICILIO Y SERV",Mejorar la empleabilidad de las personas desempleadas,"7.763,54"
"ASOCIACIÓN FORMACIÓN EN CONFITERÍAS Y 
PANADERÍAS DE ASTURIAS AFORCO",Prevención del abandono escolar y refuerzo de la formación inicial,"6.728,29"
ASOCIACIÓN GITANA UNGA,Prevención del abandono escolar y refuerzo de la formación inicial,"47.562,23"
ASOCIACION LA QUINTANA,Mejorar la empleabilidad de las personas desempleadas,"600,00"
"ASOCIACIÓN NACIONAL DE CENTROS DE 
ENSEÑANZA A DIST",Mejorar la empleabilidad de las personas desempleadas,"35.359,20"
"ASOCIACIÓN NACIONAL DE CENTROS DE 
ENSEÑANZA A DISTANCIA","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","12.456,00"
ASOCIACIÓN NORTE JOVEN MIERES,Prevención del abandono escolar y refuerzo de la formación inicial,"61.220,36"
"ASOCIACIÓN PARA EL DESARROLLO DE LA 
FORMACIÓN EN ASTURIAS",Mejorar la empleabilidad de las personas desempleadas,"108.408,00"
"ASOCIACIÓN PARA LA FORMACIÓN TÉCNICA 
Y EL EMPLEO EN ASTURIAS - AFORTE",Mejorar la empleabilidad de las personas desempleadas,"12.000,00"
"ASOCIACIÓN PARA LA FORMACIÓN TÉCNICA 
Y EL EMPLEO EN ASTURIAS - AFORTE","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","7.735,00"
"ASOCIACION PARADOS MAYORES DE 40 
AÑOS",Mejorar la empleabilidad de las personas desempleadas,"30.245,00"
"ASOCIACIÓN PROFESIONAL DE CENTROS Y 
SERVICIOS DE MAYORES","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","5.245,50"
ASOCIACION SOC. CULTURAL CANDAS,"Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.243,14"
"ASOCIACIÓN SOCIOCULTURAL MINORÍAS 
ÉTNICAS UNGA",Mejorar la empleabilidad de las personas desempleadas,"49.157,60"
"ASOCIACIÓN SOCIOCULTURAL MINORÍAS 
ÉTNICAS UNGA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","11.287,50"
ASORCO ASTURIAS,"Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","3.689,40"
ASTERSA APLICACIONES SOLARES S.A.,Mejorar la empleabilidad de las personas desempleadas,"3.492,00"
ASTERSA APLICACIONES SOLARES S.A.,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.276,67"
"ASTERSA APLICACIONES SOLARES, SA",Mejorar la empleabilidad de las personas desempleadas,"21.407,85"
"ASTERSA APLICACIONES SOLARES, SA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","21.540,00"
"ASTILLEROS GONDAN, S.L.",Mejorar la empleabilidad de las personas desempleadas,"7.832,40"
"ASTUR ARMARIOS EMPOTRADOS, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"ASTUR CARRETILLAS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.487,60"
"ASTUR CENTER, S.A",Mejorar la empleabilidad de las personas desempleadas,"3.911,68"
"ASTUR DE MADERAS, S.A",Mejorar la empleabilidad de las personas desempleadas,"4.883,76"
"ASTUR PLAY, S.A.",Mejorar la empleabilidad de las personas desempleadas,"1.717,85"
ASTURCAR AUTOMOCION SA,Mejorar la empleabilidad de las personas desempleadas,"3.078,00"
ASTURCON SAT SLL,Mejorar la empleabilidad de las personas desempleadas,"3.121,20"
"ASTURDEISON, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
ASTURDIA SOCIEDAD COOPERATIVA,Mejorar la empleabilidad de las personas desempleadas,"11.550,00"
"ASTURDIET INVERSIONES DEL CANTABRICO, 
S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.360,00"
ASTURFEITO SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"ASTURFEITO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ASTURFEITO, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.600,00"
"ASTURIANA DE AUTOMOVILES Y REPUESTOS, 
S.A (ADARSA)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.465,28"
"ASTURIANA DE CONCESIONARIOS, S.A.",Mejorar la empleabilidad de las personas desempleadas,"2.179,50"
"ASTURIANA DE FERTILIZANTES, S.A.",Mejorar la empleabilidad de las personas desempleadas,"7.200,00"
"ASTURIANA DE FERTILIZANTES, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ASTURIANA DE MANTENIMIENTO 
PREVENTIVO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.559,14"
"ASTURIANA DE MANTENIMIENTO 
PREVENTIVO, SL",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"ASTURIANA DE MAQUINARIA Y 
REPRODUCCION SL",Mejorar la empleabilidad de las personas desempleadas,"6.999,52"
ASTURIANA DE PAVIMENTOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.150,40"
"ASTURIANA DE RECARGUES SIDERURGICOS, 
S.L","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.640,00"
"ASTURIANA DE RECARGUES SIDERURGICOS, 
S.L.",Mejorar la empleabilidad de las personas desempleadas,"10.124,40"
"ASTURIANA DE TECHOS, S.A.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"ASTURIANA DE VINOS, SA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.640,00"
"ASTURIANA DISEÑO MODULAR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.960,80"
"ASTURIANA GALVANIZADORA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"ASTURIAS EDUCACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.487,20"
"ASTURIAS EMPRESARIAL XXI, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.838,40"
ASTURJIMAT SLL,Mejorar la empleabilidad de las personas desempleadas,"1.598,67"
"ASTURLAN DE COMUNICACIONES, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","14.175,60"
"ASTURNET, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.498,40"
"ASTUR-RAYO, SL",Mejorar la empleabilidad de las personas desempleadas,"3.364,50"
"ASTURTADI, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.640,00"
ASTUR-YAN S FOOD S.L.N.E.,Mejorar la empleabilidad de las personas desempleadas,"12.861,12"
"ASTYLIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.826,40"
ATECA ADMINISTRACIONES CB,Mejorar la empleabilidad de las personas desempleadas,"1.827,90"
"ATEI SERVICIOS TECNICOS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ATSG 98 INSTRUMENTACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.018,60"
"AUCONTOR AUDITORES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"9.709,20"
"AUCONTOR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.445,05"
"AUGUSTA CENTROS DE DIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.085,14"
"AUTO CENTER PRINCIPADO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"AUTOAVILES, S.A.",Mejorar la empleabilidad de las personas desempleadas,"1.827,00"
AUTOCENTRO CANGAS SL,Mejorar la empleabilidad de las personas desempleadas,"2.745,00"
"AUTOESCUELA OCCIDENTE, S.A.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"AUTOLODI, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
"AUTOMATICOS TONIN, S.A.",Mejorar la empleabilidad de las personas desempleadas,"600,00"
"AUTOMATICOS TONIN, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.370,30"
"AUTOMOVILES AVILES, S.A",Mejorar la empleabilidad de las personas desempleadas,"19.043,01"
"AUTOMOVILES AVILES, S.A","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","15.681,60"
"AUTOMOVILES AVILES, S.A.",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"AUTOMOVILES AVILES, S.A.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"AUTOMOVILES BLANCO MOTOR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.360,60"
"AUTOMOVILES PORCEYO, S.A",Mejorar la empleabilidad de las personas desempleadas,"3.364,50"
AUTOPRIN S.A.,Mejorar la empleabilidad de las personas desempleadas,"3.907,80"
"AUTOVIELLA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.108,60"
"AUXILIAR DE INGENIERIA Y CONTROL, S.A.",Mejorar la empleabilidad de las personas desempleadas,"1.792,80"
"AUXILIAR DE PERFILES PERFORADOS 
METALICOS, S.A.",Mejorar la empleabilidad de las personas desempleadas,"6.706,48"
"AUXILIAR DE PERFILES PERFORADOS 
METALICOS, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","29.701,81"
AUXQUIMIA SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.400,00"
"AYSAR CYG, S.L",Mejorar la empleabilidad de las personas desempleadas,"1.320,00"
"AYSAR CYG, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.478,90"
AYUNTAMIENTO DE AVILÉS,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","60.658,99"
AYUNTAMIENTO DE AVILÉS,Prevención del abandono escolar y refuerzo de la formación inicial,"53.838,07"
AYUNTAMIENTO DE CARREÑO,Prevención del abandono escolar y refuerzo de la formación inicial,"33.581,47"
AYUNTAMIENTO DE CASTRILLÓN,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","82.726,76"
AYUNTAMIENTO DE COAÑA,Prevención del abandono escolar y refuerzo de la formación inicial,"32.764,40"
AYUNTAMIENTO DE GOZÓN,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","97.667,28"
AYUNTAMIENTO DE GOZÓN,Prevención del abandono escolar y refuerzo de la formación inicial,"20.108,50"
AYUNTAMIENTO DE LANGREO,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","153.926,93"
AYUNTAMIENTO DE MIERES,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","103.944,03"
AYUNTAMIENTO DE NAVA,Prevención del abandono escolar y refuerzo de la formación inicial,"36.674,77"
AYUNTAMIENTO DE OVIEDO,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","388.669,28"
AYUNTAMIENTO DE OVIEDO,Prevención del abandono escolar y refuerzo de la formación inicial,"34.857,43"
AYUNTAMIENTO DE SIERO,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","134.908,86"
AYUNTAMIENTO DE SIERO,Prevención del abandono escolar y refuerzo de la formación inicial,"25.536,05"
AYUNTAMIENTO DE VILLAVICIOSA,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","80.855,12"
