"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"IMCATEX-FRUITS SL","Mejorar la empleabilidad de las personas desempleadas","1386,58"
"IMCD ESPANA ESPECIALIDADES QUIMICAS S.A.","Mejorar la empleabilidad de las personas desempleadas","3691,16"
"IMCI 2005, SL","Mejorar la empleabilidad de las personas desempleadas","588,86"
"IMCOINSA 1985 S.A.","Mejorar la empleabilidad de las personas desempleadas","1542,22"
"IMD OCEANICA UNIVERSALIS AIRLINES S.L.","Mejorar la empleabilidad de las personas desempleadas","35,4"
"IMDEGA SA","Mejorar la empleabilidad de las personas desempleadas","3622,84"
"IMECO SISTEMAS SL","Mejorar la empleabilidad de las personas desempleadas","382,12"
"IMEDISA MATERIAL DE OFICINA SL","Mejorar la empleabilidad de las personas desempleadas","1477,85"
"IMEDO, SL","Mejorar la empleabilidad de las personas desempleadas","753,14"
"IMEGAL SL","Mejorar la empleabilidad de las personas desempleadas","1689,91"
"IMEGAMORRAZO","Mejorar la empleabilidad de las personas desempleadas","2307,2"
"IMEGAMORRAZO S.L.","Mejorar la empleabilidad de las personas desempleadas","1086,66"
"IMEI TELECOM SL","Mejorar la empleabilidad de las personas desempleadas","531,21"
"IMEL CONSULTORIA JURIDICO-TRIBUTARIA SL","Mejorar la empleabilidad de las personas desempleadas","510,97"
"IMENTE GLOBAL SL","Mejorar la empleabilidad de las personas desempleadas","1478,49"
"IMER DISTRIBUCION DE MAQUINARIA SA","Mejorar la empleabilidad de las personas desempleadas","1296,51"
"IMERA S.L.","Mejorar la empleabilidad de las personas desempleadas","1109,59"
"IMERGAUR SL","Mejorar la empleabilidad de las personas desempleadas","696,57"
"IMERYS KILN FURNITURE ESPANA SA","Mejorar la empleabilidad de las personas desempleadas","1266,73"
"IMESAPI S.A.","Mejorar la empleabilidad de las personas desempleadas","4807,6"
"IMESAZA, SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas","1383,33"
"IMESD ELECTRONICA, SL","Mejorar la empleabilidad de las personas desempleadas","2239,53"
"IMEVAL SL","Mejorar la empleabilidad de las personas desempleadas","2255,48"
"IMEVE SA","Mejorar la empleabilidad de las personas desempleadas","2770,89"
"IMEX CAMPOY SL","Mejorar la empleabilidad de las personas desempleadas","571,14"
"IMEX HORECA SL","Mejorar la empleabilidad de las personas desempleadas","993,68"
"IMEX MEDITERRANEAN SL","Mejorar la empleabilidad de las personas desempleadas","973,26"
"IMEX SELECT, S.L.U.","Mejorar la empleabilidad de las personas desempleadas","453,3"
"IMEX ZONE CAR IBERIA S.L.","Mejorar la empleabilidad de las personas desempleadas",3530
"IMEXCIE ALABA, SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas","359,84"
"IMEXCO, IMPORT-EXPORT, SL","Mejorar la empleabilidad de las personas desempleadas","379,92"
"IMFAPLAS SL","Mejorar la empleabilidad de las personas desempleadas",1740
"IMFARSAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","1886,58"
"IMFAXCOP SL","Mejorar la empleabilidad de las personas desempleadas","592,6"
"IMGAGEN Y VERJOR, S.L.","Mejorar la empleabilidad de las personas desempleadas","1009,28"
"IMHOTEP ASESORES S.L.","Mejorar la empleabilidad de las personas desempleadas","80,24"
"IMHOTEP PREVENCION, SL","Mejorar la empleabilidad de las personas desempleadas",530
"IMIBCN 96, SL","Mejorar la empleabilidad de las personas desempleadas","675,23"
"IMIDAGNEN SL","Mejorar la empleabilidad de las personas desempleadas","2885,44"
"IMIGAS SA","Mejorar la empleabilidad de las personas desempleadas",685
"IMLASS CONSULTING SL","Mejorar la empleabilidad de las personas desempleadas","879,92"
"IMMER SERVIS, SL","Mejorar la empleabilidad de las personas desempleadas","6368,58"
"IMMERGAS HISPANIA SA","Mejorar la empleabilidad de las personas desempleadas","132,19"
"IMMO CONSOR S.L.","Mejorar la empleabilidad de las personas desempleadas",100
"IMMO DIVOR SL","Mejorar la empleabilidad de las personas desempleadas","918,28"
"IMMO GINJOLHOME, S.L.","Mejorar la empleabilidad de las personas desempleadas","446,62"
"IMMO OPCIO, S.L.","Mejorar la empleabilidad de las personas desempleadas","262,04"
"IMMO PRESTIGI SL","Mejorar la empleabilidad de las personas desempleadas","377,27"
"IMMOBILIARIA BARNAMOL 2001, SL","Mejorar la empleabilidad de las personas desempleadas","861,77"
"IMMOBILIARIA CALA DE LNAMETLLA, S.L.","Mejorar la empleabilidad de las personas desempleadas","528,92"
"IMMOBILIARIA CASTELL DE BALSARENY,S.L.","Mejorar la empleabilidad de las personas desempleadas","1099,9"
"IMMOBILIARIA FINQUES CAVALLERS, SL,","Mejorar la empleabilidad de las personas desempleadas","254,97"
"IMMOBILIARIA PALAUBEBE, SL","Mejorar la empleabilidad de las personas desempleadas","423,21"
"IMMOBLALLAR SL","Mejorar la empleabilidad de las personas desempleadas","106,24"
"IMMOBLES DEL FUTUR, SL","Mejorar la empleabilidad de las personas desempleadas","3397,04"
"IMMOBLES I PROMOCIONS DARO, S.L.","Mejorar la empleabilidad de las personas desempleadas","70,83"
"IMMOBLES I SERVEIS MONTSANT, SL","Mejorar la empleabilidad de las personas desempleadas","1436,67"
"IMMOBLES LLOPART, SL","Mejorar la empleabilidad de las personas desempleadas",200
"IMMOBLES PRIORAT SL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMMODO RENTA SOL, S.L.","Mejorar la empleabilidad de las personas desempleadas","2920,61"
"IMMOGESTIO LA BISBAL SL","Mejorar la empleabilidad de las personas desempleadas","465,03"
"IMMOGRECS, SA","Mejorar la empleabilidad de las personas desempleadas",1900
"IMMOGRUP VIC 2005, S.L.","Mejorar la empleabilidad de las personas desempleadas","259,94"
"IMMOPALL GIRONA, SL","Mejorar la empleabilidad de las personas desempleadas","1171,04"
"IMMOSALT 2005 SL","Mejorar la empleabilidad de las personas desempleadas","661,69"
"IMMOSOLAR ACTIVE BUILDINGS TECHNOLOGIES, SL","Mejorar la empleabilidad de las personas desempleadas","2268,79"
"IMMOSPORT CONSULTORIA XXI,S.L.","Mejorar la empleabilidad de las personas desempleadas","212,49"
"IMMOXERTA SL","Mejorar la empleabilidad de las personas desempleadas","137,78"
"IMMUCOR, SL","Mejorar la empleabilidad de las personas desempleadas","904,45"
"IMMUNOSTEP SL","Mejorar la empleabilidad de las personas desempleadas","1403,06"
"IMNOVA CONSTRUCCIONES GIJON,S.L.","Mejorar la empleabilidad de las personas desempleadas","1077,82"
"IMNOVACIONES CORDOBA, S.L.","Mejorar la empleabilidad de las personas desempleadas","4279,03"
"IMOC GRANADA SL","Mejorar la empleabilidad de las personas desempleadas","2198,61"
"IMOEL SA","Mejorar la empleabilidad de las personas desempleadas","749,95"
"IMOLA SA","Mejorar la empleabilidad de las personas desempleadas","384,41"
"IMOLEY, SL","Mejorar la empleabilidad de las personas desempleadas","19,98"
"IMOP ENCUESTAS SA","Mejorar la empleabilidad de las personas desempleadas","1168,65"
"IMOSIP SL","Mejorar la empleabilidad de las personas desempleadas","1401,33"
"IMP. MIRAGE SL","Mejorar la empleabilidad de las personas desempleadas","453,3"
"IMPACT 5 SA","Mejorar la empleabilidad de las personas desempleadas","2003,87"
"IMPACT GREEN SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas","527,66"
"IMPACT SCHOOL OF ENGLISH SL","Mejorar la empleabilidad de las personas desempleadas","166,47"
"IMPACT SERVICIOS 21 SL","Mejorar la empleabilidad de las personas desempleadas","399,97"
"IMPACTA ESTUDIOS S.L.","Mejorar la empleabilidad de las personas desempleadas","882,24"
